Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.146,0.378,0.003,10838,hsa-mir-18a-3p,hsa-mir-221-3p,False,0.24585159010600707
0.025,0.028,0.0,9645,hsa-mir-127-5p,hsa-mir-379-5p,True,0.0
0.449,0.143,0.0095,1601,hsa-mir-134-5p,hsa-mir-935,False,0.33896
0.588,0.012,0.0015,57185,hsa-mir-1976,hsa-mir-199b-5p,False,0.19326666666666667
0.0725,0.3165,0.0075,1595,hsa-mir-15b-3p,hsa-mir-582-5p,False,0.32757062146892657
0.06,0.7925,0.0085,6542,hsa-mir-545-5p,hsa-mir-411-3p,False,0.33131428571428573
0.0185,0.0775,0.0035,920,hsa-mir-204-5p,hsa-mir-485-5p,False,0.2585095541401274
0.266,0.023,0.008,54443,hsa-mir-450b-5p,hsa-mir-107,False,0.33131428571428573
0.352,0.2945,0.002,672,hsa-mir-1-3p,hsa-mir-26a-1-3p,False,0.21776525821596243
0.549,0.068,0.001,9369,hsa-mir-940,hsa-mir-196a-5p,False,0.1599448275862069
0.7185,0.128,0.0085,5452,hsa-mir-493-5p,hsa-mir-204-5p,False,0.33131428571428573
0.391,0.4975,0.005,51306,hsa-mir-150-5p,hsa-mir-942-5p,False,0.2906265664160401
0.492,0.1695,0.005,7414,hsa-mir-29b-2-5p,hsa-mir-380-5p,False,0.2906265664160401
0.012,0.0805,0.0065,5291,hsa-mir-130b-5p,hsa-mir-204-5p,False,0.31537238493723846
0.1965,0.0515,0.0035,5291,hsa-mir-130b-3p,hsa-mir-204-5p,False,0.2585095541401274
0.3405,0.5255,0.006,57475,hsa-mir-200c-3p,hsa-mir-2355-3p,False,0.31130201342281877
0.1435,0.1665,0.0065,79832,hsa-mir-582-3p,hsa-mir-495-3p,False,0.31537238493723846
0.3405,0.854,0.004,28996,hsa-mir-149-5p,hsa-mir-32-3p,False,0.26657471264367816
0.2855,0.2795,0.0085,84679,hsa-mir-214-5p,hsa-mir-335-5p,False,0.33131428571428573
0.079,0.7535,0.006,7049,hsa-mir-106a-5p,hsa-mir-141-5p,False,0.31130201342281877
0.0115,0.6305,0.001,23161,hsa-mir-224-5p,hsa-mir-21-3p,False,0.1599448275862069
0.8785,0.1725,0.004,27125,hsa-mir-942-5p,hsa-mir-142-3p,False,0.26657471264367816
0.8615,0.115,0.0,27125,hsa-mir-942-5p,hsa-mir-142-5p,True,0.0
0.096,0.048,0.0085,4775,hsa-mir-338-3p,hsa-mir-337-3p,False,0.33131428571428573
0.593,0.4595,0.0095,2355,hsa-mir-155-5p,hsa-mir-625-5p,False,0.33896
0.3165,0.186,0.003,57690,hsa-mir-129-5p,hsa-mir-301b-3p,False,0.24585159010600707
0.2115,0.0475,0.002,10847,hsa-mir-335-5p,hsa-mir-329-3p,False,0.21776525821596243
0.0575,0.4305,0.001,7188,hsa-mir-125b-2-3p,hsa-mir-223-5p,False,0.1599448275862069
0.8105,0.524,0.008,4779,hsa-mir-503-5p,hsa-mir-181d-5p,False,0.33131428571428573
0.0125,0.1875,0.0025,7994,hsa-mir-323a-3p,hsa-mir-107,False,0.230996015936255
0.101,0.031,0.005,7994,hsa-mir-107,hsa-mir-376c-3p,False,0.2906265664160401
0.1405,0.0525,0.0005,6452,hsa-mir-129-5p,hsa-mir-338-3p,False,0.1115
0.1125,0.146,0.0005,9962,hsa-mir-21-3p,hsa-mir-142-3p,False,0.1115
0.12,0.1045,0.0,5037,hsa-mir-1976,hsa-mir-155-5p,True,0.0
0.028,0.6255,0.004,79776,hsa-mir-200c-3p,hsa-mir-98-5p,False,0.26657471264367816
0.0585,0.027,0.002,55632,hsa-mir-33b-5p,hsa-mir-511-5p,False,0.21776525821596243
0.885,0.9675,0.007,7042,hsa-mir-141-3p,hsa-mir-136-3p,False,0.3214732673267327
0.0945,0.195,0.0,25805,hsa-mir-301b-3p,hsa-mir-511-5p,True,0.0
0.686,0.6825,0.0075,6319,hsa-mir-188-3p,hsa-mir-1226-3p,False,0.32757062146892657
0.1685,0.543,0.004,5494,hsa-mir-1226-3p,hsa-mir-1305,False,0.26657471264367816
0.7195,0.8495,0.007,51804,hsa-mir-141-3p,hsa-mir-218-5p,False,0.3214732673267327
0.645,0.8315,0.0025,51804,hsa-mir-130b-3p,hsa-mir-218-5p,False,0.230996015936255
0.762,0.063,0.002,1983,hsa-mir-130b-3p,hsa-mir-33b-5p,False,0.21776525821596243
0.3785,0.2895,0.0055,57167,hsa-let-7c-5p,hsa-mir-508-5p,False,0.30442959427207633
0.028,0.6435,0.0035,5358,hsa-mir-182-5p,hsa-mir-149-5p,False,0.2585095541401274
0.391,0.0415,0.0095,5931,hsa-mir-330-3p,hsa-mir-106a-5p,False,0.33896
0.3105,0.1785,0.0065,5230,hsa-mir-96-5p,hsa-mir-488-3p,False,0.31537238493723846
0.181,0.141,0.0075,10725,hsa-mir-153-3p,hsa-mir-370-3p,False,0.32757062146892657
0.595,0.025,0.0065,23516,hsa-mir-149-5p,hsa-mir-363-3p,False,0.31537238493723846
0.667,0.042,0.0015,9149,hsa-mir-491-5p,hsa-mir-939-5p,False,0.19326666666666667
0.017,0.015,0.003,1021,hsa-mir-29b-1-5p,hsa-mir-224-5p,False,0.24585159010600707
0.06,0.058,0.006,1021,hsa-mir-105-5p,hsa-mir-142-5p,False,0.31130201342281877
0.7875,0.032,0.0005,1021,hsa-mir-582-5p,hsa-mir-222-3p,False,0.1115
0.6675,0.364,0.0005,3209,hsa-mir-363-3p,hsa-mir-222-3p,False,0.1115
0.6325,0.572,0.0015,5054,hsa-mir-34c-5p,hsa-mir-299-5p,False,0.19326666666666667
0.3455,0.016,0.0075,22849,hsa-mir-199a-3p,hsa-mir-550a-5p,False,0.32757062146892657
0.848,0.819,0.005,6158,hsa-mir-582-3p,hsa-mir-766-3p,False,0.2906265664160401
0.0425,0.0325,0.006,9693,hsa-mir-130b-3p,hsa-mir-1180-3p,False,0.31130201342281877
0.228,0.0175,0.003,1075,hsa-mir-455-3p,hsa-mir-488-3p,False,0.24585159010600707
0.0115,0.176,0.0055,595,hsa-mir-380-5p,hsa-mir-95-3p,False,0.30442959427207633
0.6755,0.0145,0.0095,3875,hsa-mir-195-5p,hsa-mir-424-5p,False,0.33896
0.7155,0.1245,0.0005,1303,hsa-let-7i-3p,hsa-mir-543,False,0.1115
0.0715,0.7735,0.0095,1303,hsa-mir-9-5p,hsa-mir-92b-3p,False,0.33896
0.0795,0.089,0.0085,26036,hsa-mir-21-3p,hsa-mir-130b-3p,False,0.33131428571428573
0.08,0.0685,0.002,26036,hsa-mir-21-3p,hsa-mir-9-5p,False,0.21776525821596243
0.8055,0.7075,0.0,1871,hsa-mir-1305,hsa-mir-376a-3p,True,0.0
0.4245,0.405,0.003,7422,hsa-mir-146a-5p,hsa-mir-125b-5p,False,0.24585159010600707
0.0335,0.118,0.0,59084,hsa-mir-130b-3p,hsa-mir-301b-3p,True,0.0
0.0475,0.0255,0.0045,59084,hsa-mir-130b-3p,hsa-mir-301a-3p,False,0.27904812834224596
0.0285,0.145,0.0045,23530,hsa-mir-195-5p,hsa-mir-107,False,0.27904812834224596
0.037,0.1585,0.0095,23530,hsa-mir-195-5p,hsa-mir-335-5p,False,0.33896
0.03,0.0305,0.0005,23530,hsa-mir-195-5p,hsa-mir-497-5p,False,0.1115
0.1475,0.0295,0.002,23530,hsa-mir-107,hsa-mir-497-5p,False,0.21776525821596243
0.1775,0.2715,0.009,2908,hsa-mir-329-3p,hsa-mir-301a-3p,False,0.336658064516129
0.1495,0.047,0.0035,80315,hsa-mir-16-2-3p,hsa-mir-130b-5p,False,0.2585095541401274
0.1625,0.1795,0.008,80315,hsa-mir-16-2-3p,hsa-mir-550a-5p,False,0.33131428571428573
0.338,0.0175,0.0025,80315,hsa-mir-363-3p,hsa-mir-301b-3p,False,0.230996015936255
0.159,0.586,0.0015,80315,hsa-mir-21-3p,hsa-mir-224-5p,False,0.19326666666666667
0.516,0.538,0.005,93,hsa-mir-497-5p,hsa-mir-335-5p,False,0.2906265664160401
0.586,0.831,0.0005,93,hsa-mir-3127-5p,hsa-mir-203a-3p,False,0.1115
0.0145,0.2125,0.001,92999,hsa-mir-424-5p,hsa-mir-542-5p,False,0.1599448275862069
0.3375,0.3375,0.0035,27086,hsa-mir-141-3p,hsa-mir-497-3p,False,0.2585095541401274
0.888,0.148,0.007,80255,hsa-mir-545-5p,hsa-mir-106a-5p,False,0.3214732673267327
0.773,0.18,0.007,80255,hsa-mir-3199,hsa-mir-106a-5p,False,0.3214732673267327
0.0345,0.0135,0.0,7128,hsa-mir-513a-5p,hsa-mir-125b-5p,True,0.0
0.017,0.29,0.001,4602,hsa-mir-215-5p,hsa-mir-192-5p,False,0.1599448275862069
0.343,0.012,0.0095,9194,hsa-mir-450b-5p,hsa-mir-16-2-3p,False,0.33896
0.0185,0.021,0.006,11278,hsa-mir-92b-3p,hsa-mir-182-5p,False,0.31130201342281877
0.5555,0.012,0.0035,894,hsa-mir-301a-3p,hsa-mir-21-3p,False,0.2585095541401274
0.15,0.015,0.005,894,hsa-mir-141-5p,hsa-mir-345-5p,False,0.2906265664160401
0.665,0.4145,0.0065,894,hsa-mir-452-3p,hsa-mir-2355-5p,False,0.31537238493723846
0.022,0.332,0.009,894,hsa-mir-345-5p,hsa-mir-221-3p,False,0.336658064516129
0.28,0.2705,0.001,284058,hsa-mir-513a-3p,hsa-mir-942-5p,False,0.1599448275862069
0.4735,0.066,0.009,79646,hsa-mir-106a-5p,hsa-mir-224-5p,False,0.336658064516129
0.516,0.011,0.0095,79646,hsa-mir-199b-5p,hsa-mir-142-5p,False,0.33896
0.212,0.1255,0.002,1997,hsa-mir-218-5p,hsa-mir-542-3p,False,0.21776525821596243
0.9845,0.0315,0.0,317,hsa-mir-452-5p,hsa-mir-491-5p,True,0.0
0.3955,0.275,0.0005,8434,hsa-mir-29b-2-5p,hsa-mir-96-5p,False,0.1115
0.011,0.0155,0.0055,4035,hsa-mir-494-3p,hsa-mir-154-3p,False,0.30442959427207633
0.699,0.0155,0.007,57826,hsa-mir-296-5p,hsa-mir-107,False,0.3214732673267327
0.387,0.1575,0.007,79026,hsa-mir-1229-3p,hsa-mir-141-3p,False,0.3214732673267327
0.052,0.0475,0.0055,117177,hsa-mir-1305,hsa-mir-629-5p,False,0.30442959427207633
0.3415,0.8335,0.009,9732,hsa-mir-149-5p,hsa-mir-1180-3p,False,0.336658064516129
0.547,0.0405,0.0045,599,hsa-mir-550a-5p,hsa-mir-21-3p,False,0.27904812834224596
0.032,0.8885,0.0055,23677,hsa-mir-155-5p,hsa-mir-141-3p,False,0.30442959427207633
0.174,0.7525,0.004,57688,hsa-mir-33a-5p,hsa-mir-98-5p,False,0.26657471264367816
0.0585,0.1965,0.004,140685,hsa-mir-23a-5p,hsa-mir-3940-3p,False,0.26657471264367816
0.46,0.177,0.001,7700,hsa-mir-135a-5p,hsa-mir-629-5p,False,0.1599448275862069
0.1345,0.1015,0.007,11127,hsa-mir-142-5p,hsa-mir-940,False,0.3214732673267327
0.253,0.581,0.0065,4131,hsa-mir-379-3p,hsa-mir-769-3p,False,0.31537238493723846
0.031,0.5275,0.007,23167,hsa-mir-130b-3p,hsa-mir-32-3p,False,0.3214732673267327
0.326,0.3475,0.0,92154,hsa-mir-200c-3p,hsa-mir-150-5p,True,0.0
0.048,0.0905,0.0065,79572,hsa-mir-296-5p,hsa-mir-32-3p,False,0.31537238493723846
0.012,0.261,0.003,79572,hsa-mir-455-5p,hsa-mir-127-5p,False,0.24585159010600707
0.1545,0.158,0.0025,8553,hsa-mir-330-3p,hsa-mir-329-3p,False,0.230996015936255
0.692,0.477,0.004,4853,hsa-mir-939-5p,hsa-mir-940,False,0.26657471264367816
0.038,0.0515,0.006,4853,hsa-mir-155-5p,hsa-mir-485-3p,False,0.31130201342281877
0.802,0.643,0.003,54407,hsa-mir-7-5p,hsa-mir-181d-5p,False,0.24585159010600707
0.0505,0.4875,0.0055,192670,hsa-mir-3065-5p,hsa-mir-424-5p,False,0.30442959427207633
0.095,0.029,0.0035,23318,hsa-mir-195-5p,hsa-mir-10a-5p,False,0.2585095541401274
0.208,0.75,0.0015,3178,hsa-mir-1291,hsa-mir-194-5p,False,0.19326666666666667
0.615,0.608,0.008,4193,hsa-mir-628-3p,hsa-mir-545-5p,False,0.33131428571428573
0.077,0.7665,0.001,4193,hsa-mir-222-3p,hsa-mir-152-3p,False,0.1599448275862069
0.0465,0.0105,0.0005,80704,hsa-mir-548v,hsa-mir-616-5p,False,0.1115
0.8065,0.5485,0.006,2317,hsa-mir-107,hsa-mir-1-3p,False,0.31130201342281877
0.0695,0.1465,0.002,4609,hsa-mir-323a-3p,hsa-mir-1224-5p,False,0.21776525821596243
0.0635,0.1645,0.003,132864,hsa-mir-182-5p,hsa-mir-96-5p,False,0.24585159010600707
0.0645,0.063,0.008,132864,hsa-mir-182-5p,hsa-mir-183-5p,False,0.33131428571428573
0.042,0.5775,0.0075,7057,hsa-mir-202-3p,hsa-mir-509-5p,False,0.32757062146892657
0.0585,0.4015,0.0045,7057,hsa-mir-202-3p,hsa-mir-509-3-5p,False,0.27904812834224596
0.5595,0.1455,0.0085,54536,hsa-mir-32-3p,hsa-mir-1305,False,0.33131428571428573
0.7005,0.035,0.004,150864,hsa-mir-616-5p,hsa-mir-508-5p,False,0.26657471264367816
0.028,0.0105,0.0015,84162,hsa-mir-301a-3p,hsa-mir-301b-3p,False,0.19326666666666667
0.0225,0.2515,0.0015,121512,hsa-mir-107,hsa-mir-199a-5p,False,0.19326666666666667
0.322,0.3195,0.007,144165,hsa-mir-766-3p,hsa-mir-215-5p,False,0.3214732673267327
0.7035,0.632,0.005,283373,hsa-mir-3065-3p,hsa-mir-491-5p,False,0.2906265664160401
0.3165,0.533,0.0065,283373,hsa-mir-195-5p,hsa-mir-92a-1-5p,False,0.31537238493723846
0.045,0.855,0.0,283373,hsa-mir-2355-5p,hsa-mir-106a-5p,True,0.0
0.467,0.1665,0.001,283373,hsa-mir-92a-1-5p,hsa-mir-199a-3p,False,0.1599448275862069
0.8065,0.1035,0.0,122786,hsa-mir-493-5p,hsa-mir-29b-2-5p,True,0.0
0.0405,0.8855,0.004,91833,hsa-mir-301a-3p,hsa-mir-301b-3p,False,0.26657471264367816
0.3855,0.0285,0.0045,3480,hsa-mir-218-5p,hsa-mir-376a-3p,False,0.27904812834224596
0.1115,0.055,0.002,3480,hsa-mir-539-5p,hsa-mir-377-3p,False,0.21776525821596243
0.1945,0.5595,0.0045,3480,hsa-mir-545-5p,hsa-mir-106a-5p,False,0.27904812834224596
0.045,0.06,0.009,3480,hsa-mir-377-3p,hsa-mir-379-3p,False,0.336658064516129
0.0375,0.0595,0.002,3480,hsa-mir-377-3p,hsa-mir-409-3p,False,0.21776525821596243
0.4345,0.6505,0.006,85464,hsa-mir-491-5p,hsa-mir-378c,False,0.31130201342281877
0.011,0.059,0.008,2627,hsa-mir-106a-5p,hsa-mir-363-3p,False,0.33131428571428573
0.172,0.9775,0.007,494470,hsa-mir-708-5p,hsa-mir-335-3p,False,0.3214732673267327
0.0545,0.0115,0.0075,4782,hsa-mir-940,hsa-mir-629-5p,False,0.32757062146892657
0.191,0.16,0.0035,4782,hsa-mir-550a-5p,hsa-mir-222-3p,False,0.2585095541401274
0.513,0.202,0.007,4782,hsa-mir-106a-5p,hsa-mir-150-5p,False,0.3214732673267327
0.1905,0.105,0.003,4782,hsa-mir-150-5p,hsa-mir-511-5p,False,0.24585159010600707
0.554,0.541,0.005,59283,hsa-mir-223-3p,hsa-mir-204-5p,False,0.2906265664160401
0.14,0.046,0.0085,473,hsa-mir-1224-5p,hsa-mir-182-5p,False,0.33131428571428573
0.451,0.8645,0.009,23126,hsa-mir-378a-3p,hsa-mir-221-3p,False,0.336658064516129
0.0815,0.1755,0.0085,57198,hsa-mir-194-5p,hsa-mir-939-5p,False,0.33131428571428573
0.119,0.016,0.0055,84451,hsa-mir-218-5p,hsa-mir-130b-5p,False,0.30442959427207633
0.1305,0.0105,0.0085,10130,hsa-mir-150-5p,hsa-mir-195-5p,False,0.33131428571428573
0.062,0.036,0.0015,6574,hsa-mir-221-3p,hsa-mir-125b-2-3p,False,0.19326666666666667
0.0505,0.045,0.0,6574,hsa-mir-125b-2-3p,hsa-let-7c-5p,True,0.0
0.0305,0.0775,0.0095,6574,hsa-mir-125b-2-3p,hsa-mir-222-3p,False,0.33896
0.809,0.057,0.007,5295,hsa-mir-542-3p,hsa-mir-107,False,0.3214732673267327
0.03,0.041,0.0015,5295,hsa-mir-195-5p,hsa-mir-107,False,0.19326666666666667
0.118,0.2075,0.0065,64599,hsa-mir-1266-5p,hsa-mir-125b-5p,False,0.31537238493723846
0.365,0.321,0.0025,8573,hsa-mir-142-3p,hsa-mir-203a-3p,False,0.230996015936255
0.215,0.0375,0.006,8473,hsa-mir-330-3p,hsa-mir-1226-3p,False,0.31130201342281877
0.029,0.5735,0.0005,8473,hsa-mir-1226-3p,hsa-mir-98-5p,False,0.1115
0.507,0.1675,0.0035,7436,hsa-mir-92b-3p,hsa-mir-942-5p,False,0.2585095541401274
0.3525,0.2805,0.0075,7436,hsa-mir-629-3p,hsa-mir-196b-5p,False,0.32757062146892657
0.4015,0.1685,0.006,7436,hsa-mir-1305,hsa-mir-942-5p,False,0.31130201342281877
0.0175,0.3855,0.005,7436,hsa-mir-616-5p,hsa-mir-2277-3p,False,0.2906265664160401
0.787,0.856,0.0025,2649,hsa-mir-497-5p,hsa-mir-98-5p,False,0.230996015936255
0.1165,0.1825,0.0095,138151,hsa-mir-301b-3p,hsa-mir-130b-3p,False,0.33896
0.1635,0.112,0.0085,6935,hsa-mir-409-3p,hsa-mir-335-5p,False,0.33131428571428573
0.34,0.5185,0.0,143686,hsa-mir-1287-5p,hsa-mir-223-3p,True,0.0
0.4255,0.082,0.004,85463,hsa-mir-497-5p,hsa-mir-33a-5p,False,0.26657471264367816
0.23,0.035,0.005,9344,hsa-mir-106a-5p,hsa-mir-1287-5p,False,0.2906265664160401
0.014,0.065,0.0045,8091,hsa-mir-511-5p,hsa-mir-194-5p,False,0.27904812834224596
0.4545,0.467,0.007,84159,hsa-mir-513a-5p,hsa-mir-33a-5p,False,0.3214732673267327
0.012,0.0255,0.0,84159,hsa-mir-942-5p,hsa-mir-676-3p,True,0.0
0.2205,0.1985,0.0,54545,hsa-mir-9-3p,hsa-mir-182-5p,True,0.0
0.8415,0.432,0.0,23657,hsa-mir-410-3p,hsa-mir-223-5p,True,0.0
0.384,0.6885,0.005,23657,hsa-mir-223-5p,hsa-mir-411-3p,False,0.2906265664160401
0.0115,0.0165,0.003,145282,hsa-mir-96-5p,hsa-mir-183-5p,False,0.24585159010600707
0.327,0.0745,0.0045,678,hsa-mir-125b-2-3p,hsa-mir-378a-3p,False,0.27904812834224596
0.015,0.1125,0.0095,4154,hsa-mir-9-5p,hsa-mir-130b-5p,False,0.33896
0.0995,0.017,0.0025,51128,hsa-mir-200c-3p,hsa-mir-301a-3p,False,0.230996015936255
0.1235,0.016,0.0005,51128,hsa-mir-301b-3p,hsa-mir-301a-3p,False,0.1115
0.1765,0.7365,0.0095,160897,hsa-mir-424-5p,hsa-mir-363-3p,False,0.33896
0.0525,0.279,0.005,124540,hsa-mir-2355-3p,hsa-mir-106a-5p,False,0.2906265664160401
0.0655,0.135,0.0045,23367,hsa-mir-1287-5p,hsa-mir-96-5p,False,0.27904812834224596
0.083,0.1135,0.0095,23367,hsa-mir-1287-5p,hsa-mir-182-5p,False,0.33896
0.534,0.0185,0.0025,7381,hsa-mir-616-5p,hsa-mir-130b-3p,False,0.230996015936255
0.5075,0.591,0.0005,3745,hsa-let-7a-2-3p,hsa-mir-301b-3p,False,0.1115
0.483,0.433,0.0095,57551,hsa-mir-2355-5p,hsa-mir-769-3p,False,0.33896
0.284,0.2815,0.0025,8613,hsa-mir-184,hsa-mir-149-5p,False,0.230996015936255
0.6035,0.9965,0.0085,11167,hsa-mir-506-3p,hsa-mir-766-3p,False,0.33131428571428573
0.063,0.026,0.006,151636,hsa-mir-377-5p,hsa-mir-98-5p,False,0.31130201342281877
0.081,0.0335,0.001,151636,hsa-mir-485-5p,hsa-mir-98-5p,False,0.1599448275862069
0.425,0.1435,0.0015,22836,hsa-mir-452-5p,hsa-mir-130b-5p,False,0.19326666666666667
0.4685,0.047,0.005,10395,hsa-let-7a-2-3p,hsa-mir-125b-5p,False,0.2906265664160401
0.1755,0.415,0.009,4982,hsa-mir-196a-5p,hsa-mir-769-3p,False,0.336658064516129
0.0285,0.0165,0.004,6850,hsa-mir-96-5p,hsa-mir-182-5p,False,0.26657471264367816
0.558,0.018,0.007,1073,hsa-mir-98-5p,hsa-mir-130b-3p,False,0.3214732673267327
0.857,0.0505,0.009,7248,hsa-mir-21-3p,hsa-mir-451a,False,0.336658064516129
0.3015,0.4625,0.0005,57608,hsa-mir-301b-3p,hsa-mir-149-5p,False,0.1115
0.0675,0.0995,0.009,7465,hsa-mir-125b-2-3p,hsa-mir-138-5p,False,0.336658064516129
0.0485,0.199,0.001,7465,hsa-mir-1224-5p,hsa-mir-204-5p,False,0.1599448275862069
0.6765,0.56,0.004,567,hsa-mir-195-3p,hsa-mir-411-3p,False,0.26657471264367816
0.031,0.051,0.0,84191,hsa-mir-181c-5p,hsa-mir-181d-5p,True,0.0
0.047,0.2455,0.0035,8085,hsa-mir-142-3p,hsa-mir-942-5p,False,0.2585095541401274
0.2725,0.079,0.0075,558,hsa-mir-541-3p,hsa-mir-485-5p,False,0.32757062146892657
0.51,0.6815,0.002,114823,hsa-mir-195-5p,hsa-mir-942-5p,False,0.21776525821596243
0.0615,0.296,0.0,124935,hsa-mir-139-3p,hsa-mir-204-5p,True,0.0
