Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0105,0.3795,0.0055,6542,hsa-mir-221-5p,hsa-mir-144-3p,True,0.01652181047449747
0.03,0.2835,0.0055,6720,hsa-let-7c-5p,hsa-mir-483-3p,True,0.01652181047449747
0.047,0.034,0.003,655,hsa-mir-326,hsa-mir-193b-5p,True,0.009988481357987269
0.0305,0.8485,0.007,6532,hsa-mir-939-5p,hsa-mir-106a-5p,True,0.020133019114951557
0.2435,0.0105,0.009,6532,hsa-mir-20b-5p,hsa-mir-20a-5p,True,0.024723271226710017
0.012,0.023,0.0035,5754,hsa-mir-30c-2-3p,hsa-mir-7-5p,True,0.011338740598731752
0.216,0.068,0.0005,8614,hsa-mir-136-5p,hsa-mir-127-5p,True,0.002153303273867869
0.3395,0.1175,0.0005,80031,hsa-mir-130a-5p,hsa-mir-148a-5p,True,0.002153303273867869
0.0485,0.4995,0.008,57575,hsa-mir-19b-3p,hsa-mir-223-5p,True,0.02246791102019944
0.1165,0.0145,0.0075,80000,hsa-mir-320b,hsa-mir-144-3p,True,0.021322634916526462
0.461,0.302,0.0,59283,hsa-mir-3615,hsa-mir-335-5p,True,0.0
0.782,0.1105,0.002,445815,hsa-mir-940,hsa-mir-19b-3p,True,0.007131309852296705
0.015,0.4175,0.001,6781,hsa-mir-9-3p,hsa-mir-130a-3p,True,0.003960338921939787
0.016,0.0255,0.0005,57216,hsa-mir-642a-5p,hsa-mir-7-1-3p,True,0.002153303273867869
0.0145,0.1385,0.002,2628,hsa-mir-651-5p,hsa-mir-215-5p,True,0.007131309852296705
0.088,0.1035,0.0045,139065,hsa-mir-129-5p,hsa-mir-188-5p,True,0.013992356687898087
0.0275,0.148,0.002,80139,hsa-mir-296-5p,hsa-mir-126-5p,True,0.007131309852296705
0.0125,0.458,0.0075,4604,hsa-mir-130b-5p,hsa-mir-505-3p,True,0.021322634916526462
0.0545,0.5995,0.004,23089,hsa-mir-3065-3p,hsa-mir-30a-5p,True,0.012676283900750145
