Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.1605,0.102,0.006,340527,hsa-mir-221-5p,hsa-mir-9-5p,False,0.1469135053110774
0.4105,0.4295,0.001,7035,hsa-mir-1-3p,hsa-mir-155-5p,False,0.05273202614379085
0.632,0.0315,0.001,1951,hsa-mir-378a-3p,hsa-mir-548j-5p,False,0.05273202614379085
0.5385,0.065,0.0055,493,hsa-mir-218-5p,hsa-mir-18a-3p,False,0.13932182103610674
0.1105,0.0275,0.007,2182,hsa-mir-7-5p,hsa-mir-429,False,0.15558126721763085
0.0145,0.958,0.0045,29121,hsa-mir-193b-3p,hsa-mir-214-3p,False,0.12874468085106383
0.019,0.014,0.008,6095,hsa-mir-29b-3p,hsa-mir-96-5p,False,0.16635051546391752
0.0985,0.783,0.001,22859,hsa-mir-1287-5p,hsa-mir-625-5p,False,0.05273202614379085
0.026,0.073,0.0065,7037,hsa-mir-495-3p,hsa-mir-125b-5p,False,0.15266957787481805
0.5125,0.022,0.0045,50509,hsa-mir-642a-5p,hsa-mir-185-3p,False,0.12874468085106383
0.067,0.165,0.004,79776,hsa-mir-196a-5p,hsa-mir-429,False,0.1217811320754717
0.1245,0.0165,0.0,2099,hsa-mir-18b-5p,hsa-mir-182-5p,True,0.0
0.0365,0.8925,0.009,26575,hsa-mir-23a-5p,hsa-mir-508-3p,False,0.176456865127582
0.7755,0.79,0.0095,10389,hsa-mir-377-5p,hsa-mir-212-3p,False,0.18119621749408985
0.694,0.0105,0.0005,57478,hsa-mir-29b-3p,hsa-mir-582-5p,True,0.032272
0.8275,0.192,0.0045,760,hsa-mir-29c-3p,hsa-mir-195-5p,False,0.12874468085106383
0.198,0.0105,0.0095,2138,hsa-mir-133b,hsa-mir-3928-3p,False,0.18119621749408985
0.0425,0.222,0.0035,7227,hsa-mir-221-3p,hsa-mir-429,False,0.11432388663967612
0.0195,0.0105,0.0,1021,hsa-mir-30a-3p,hsa-mir-92b-3p,True,0.0
0.0255,0.093,0.0015,4232,hsa-mir-29c-3p,hsa-mir-29b-3p,False,0.06742061281337047
0.033,0.2485,0.004,595,hsa-mir-195-5p,hsa-mir-338-3p,False,0.1217811320754717
0.02,0.455,0.002,595,hsa-mir-3170,hsa-mir-625-5p,False,0.08317525773195876
0.473,0.424,0.004,595,hsa-mir-625-5p,hsa-mir-296-5p,False,0.1217811320754717
0.2865,0.1615,0.009,1303,hsa-mir-9-5p,hsa-mir-10a-5p,False,0.176456865127582
0.4555,0.0975,0.0005,2651,hsa-mir-142-3p,hsa-mir-19a-3p,True,0.032272
0.1335,0.27,0.0005,6648,hsa-mir-99b-3p,hsa-mir-409-5p,True,0.032272
0.1335,0.153,0.0,6648,hsa-mir-30a-3p,hsa-mir-150-3p,True,0.0
0.31,0.0135,0.003,6648,hsa-mir-409-5p,hsa-mir-183-3p,False,0.10523478260869566
0.16,0.2215,0.0035,6648,hsa-mir-125b-5p,hsa-mir-9-5p,False,0.11432388663967612
0.279,0.0585,0.0,6648,hsa-mir-9-5p,hsa-let-7c-5p,True,0.0
0.037,0.024,0.006,7422,hsa-mir-199a-5p,hsa-mir-194-3p,False,0.1469135053110774
0.862,0.8485,0.006,55186,hsa-mir-203a-3p,hsa-mir-192-3p,False,0.1469135053110774
0.2505,0.9535,0.0,4820,hsa-mir-18a-5p,hsa-mir-143-3p,True,0.0
0.2335,0.0725,0.0045,6711,hsa-mir-152-3p,hsa-mir-200a-3p,False,0.12874468085106383
0.0305,0.054,0.0075,66008,hsa-mir-330-5p,hsa-mir-221-5p,False,0.1602913907284768
0.295,0.212,0.0025,2034,hsa-mir-125b-5p,hsa-mir-138-5p,False,0.09581947743467933
0.1595,0.54,0.007,54206,hsa-mir-152-3p,hsa-mir-429,False,0.15558126721763085
0.2325,0.016,0.0025,10000,hsa-mir-503-5p,hsa-mir-29b-1-5p,False,0.09581947743467933
0.202,0.101,0.0075,10000,hsa-mir-106a-5p,hsa-mir-2355-3p,False,0.1602913907284768
0.1305,0.9595,0.007,22936,hsa-mir-409-5p,hsa-mir-33a-3p,False,0.15558126721763085
0.0365,0.0465,0.0085,29126,hsa-mir-497-5p,hsa-mir-301b-3p,False,0.17209033877038898
0.0895,0.0725,0.0005,1026,hsa-mir-616-5p,hsa-mir-589-3p,True,0.032272
0.246,0.058,0.003,79026,hsa-mir-654-5p,hsa-mir-196a-5p,False,0.10523478260869566
0.2375,0.063,0.0035,6662,hsa-mir-33a-3p,hsa-mir-138-5p,False,0.11432388663967612
0.266,0.0175,0.0065,154796,hsa-mir-29c-3p,hsa-mir-29b-3p,False,0.15266957787481805
0.8525,0.6965,0.0045,3949,hsa-mir-199b-5p,hsa-mir-330-5p,False,0.12874468085106383
0.1395,0.2055,0.005,7837,hsa-let-7c-5p,hsa-mir-33a-3p,False,0.13424292845257904
0.162,0.727,0.001,79465,hsa-mir-326,hsa-mir-455-3p,False,0.05273202614379085
0.1805,0.0155,0.004,10810,hsa-mir-138-5p,hsa-mir-3065-5p,False,0.1217811320754717
0.8875,0.4415,0.0,5168,hsa-mir-152-3p,hsa-mir-138-5p,True,0.0
0.7345,0.0225,0.0085,4609,hsa-mir-323a-3p,hsa-mir-497-5p,False,0.17209033877038898
0.1235,0.5495,0.0065,8870,hsa-mir-589-3p,hsa-mir-20b-5p,False,0.15266957787481805
0.1775,0.7605,0.003,7057,hsa-mir-222-3p,hsa-mir-550a-3p,False,0.10523478260869566
0.0115,0.0255,0.001,80312,hsa-mir-3065-5p,hsa-mir-29b-3p,False,0.05273202614379085
0.0575,0.012,0.0,80312,hsa-mir-205-3p,hsa-mir-642a-5p,True,0.0
0.0435,0.123,0.0015,80312,hsa-mir-205-3p,hsa-mir-592,False,0.06742061281337047
0.0335,0.878,0.0,80312,hsa-mir-29b-3p,hsa-mir-877-5p,True,0.0
0.011,0.36,0.0005,2247,hsa-mir-196a-5p,hsa-mir-877-5p,True,0.032272
0.5765,0.647,0.0025,1848,hsa-mir-497-5p,hsa-mir-149-5p,False,0.09581947743467933
0.022,0.237,0.006,3480,hsa-mir-135b-3p,hsa-mir-3065-3p,False,0.1469135053110774
0.0605,0.0585,0.0075,8792,hsa-mir-19a-3p,hsa-mir-503-5p,False,0.1602913907284768
0.014,0.053,0.0085,80110,hsa-mir-944,hsa-mir-130b-3p,False,0.17209033877038898
0.015,0.696,0.0005,80110,hsa-mir-944,hsa-mir-182-5p,True,0.032272
0.012,0.059,0.0075,1952,hsa-mir-330-5p,hsa-mir-182-5p,False,0.1602913907284768
0.237,0.058,0.0065,5793,hsa-mir-193b-3p,hsa-mir-9-5p,False,0.15266957787481805
0.197,0.042,0.004,26018,hsa-mir-548j-5p,hsa-mir-149-5p,False,0.1217811320754717
0.4095,0.0385,0.005,5066,hsa-mir-548j-5p,hsa-mir-9-5p,False,0.13424292845257904
0.0855,0.136,0.008,8038,hsa-mir-29c-3p,hsa-mir-135b-3p,False,0.16635051546391752
0.6095,0.064,0.005,23657,hsa-mir-329-3p,hsa-mir-150-5p,False,0.13424292845257904
0.4375,0.5215,0.0075,23657,hsa-mir-624-5p,hsa-mir-330-3p,False,0.1602913907284768
0.0435,0.299,0.004,152485,hsa-mir-29b-3p,hsa-mir-20b-5p,False,0.1217811320754717
0.352,0.051,0.0075,8853,hsa-mir-452-3p,hsa-mir-127-5p,False,0.1602913907284768
0.498,0.0905,0.0005,667,hsa-mir-129-5p,hsa-mir-196a-5p,True,0.032272
0.0165,0.4935,0.0035,23362,hsa-mir-27b-5p,hsa-mir-182-5p,False,0.11432388663967612
0.359,0.027,0.008,2114,hsa-mir-199a-5p,hsa-mir-338-5p,False,0.16635051546391752
0.1895,0.0175,0.0025,81035,hsa-mir-7-5p,hsa-mir-335-3p,False,0.09581947743467933
0.442,0.0655,0.008,6781,hsa-mir-146a-5p,hsa-mir-34c-5p,False,0.16635051546391752
0.0815,0.2575,0.0055,10642,hsa-mir-139-3p,hsa-mir-221-5p,False,0.13932182103610674
0.0575,0.111,0.0,7855,hsa-mir-149-5p,hsa-mir-19a-3p,True,0.0
0.1025,0.0595,0.0045,729830,hsa-mir-195-5p,hsa-mir-18a-5p,False,0.12874468085106383
0.284,0.0125,0.0,23366,hsa-mir-497-5p,hsa-mir-29b-3p,True,0.0
0.019,0.3775,0.0,619279,hsa-mir-511-5p,hsa-mir-196a-5p,True,0.0
0.141,0.0205,0.0035,94241,hsa-mir-577,hsa-mir-182-5p,False,0.11432388663967612
0.0295,0.55,0.0045,360,hsa-mir-20a-3p,hsa-mir-889-3p,False,0.12874468085106383
0.026,0.249,0.0085,360,hsa-mir-20a-3p,hsa-mir-196a-5p,False,0.17209033877038898
0.0685,0.5885,0.0065,360,hsa-mir-2355-5p,hsa-mir-889-3p,False,0.15266957787481805
0.2725,0.029,0.0,2200,hsa-mir-183-3p,hsa-mir-224-5p,True,0.0
0.404,0.2415,0.002,2200,hsa-mir-616-5p,hsa-mir-29b-3p,False,0.08317525773195876
0.0395,0.2955,0.0025,2200,hsa-mir-582-5p,hsa-mir-760,False,0.09581947743467933
0.013,0.4865,0.0095,90990,hsa-mir-155-5p,hsa-mir-335-5p,False,0.18119621749408985
0.2135,0.6425,0.0075,1499,hsa-mir-203a-3p,hsa-mir-18a-5p,False,0.1602913907284768
0.0125,0.0165,0.0095,2194,hsa-mir-222-3p,hsa-mir-10a-5p,False,0.18119621749408985
0.0815,0.432,0.008,5569,hsa-mir-429,hsa-mir-20a-3p,False,0.16635051546391752
0.0145,0.0295,0.0055,57674,hsa-mir-181a-2-3p,hsa-mir-195-5p,False,0.13932182103610674
0.0915,0.0605,0.0025,488,hsa-mir-188-3p,hsa-mir-497-5p,False,0.09581947743467933
0.9385,0.043,0.0035,56675,hsa-mir-654-5p,hsa-mir-592,False,0.11432388663967612
0.873,0.0645,0.002,11145,hsa-mir-223-5p,hsa-mir-150-5p,False,0.08317525773195876
0.1385,0.408,0.003,9632,hsa-mir-222-3p,hsa-mir-199a-5p,False,0.10523478260869566
0.2035,0.4875,0.0,9632,hsa-mir-222-3p,hsa-mir-199b-5p,True,0.0
0.3255,0.2675,0.003,11180,hsa-mir-378c,hsa-mir-365a-3p,False,0.10523478260869566
0.8075,0.524,0.0085,5912,hsa-mir-329-3p,hsa-mir-19a-3p,False,0.17209033877038898
0.242,0.7195,0.0055,80139,hsa-mir-503-5p,hsa-mir-200c-5p,False,0.13932182103610674
0.762,0.1875,0.0055,8519,hsa-mir-363-3p,hsa-mir-3934-5p,False,0.13932182103610674
