Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.694,0.096,0.0045,53616,hsa-mir-493-5p,hsa-mir-543,False,0.231625
0.129,0.1085,0.007,5980,hsa-mir-592,hsa-mir-194-5p,False,0.231625
0.63,0.0735,0.008,3423,hsa-mir-193b-5p,hsa-mir-1271-5p,False,0.231625
0.518,0.9355,0.0025,9497,hsa-mir-548j-5p,hsa-mir-196a-5p,False,0.22295454545454546
0.469,0.2535,0.0055,10079,hsa-mir-511-5p,hsa-mir-629-3p,False,0.231625
0.7955,0.093,0.0045,10079,hsa-mir-625-5p,hsa-mir-616-3p,False,0.231625
0.4135,0.038,0.006,9877,hsa-mir-139-5p,hsa-mir-221-5p,False,0.231625
0.798,0.078,0.0015,79832,hsa-mir-148a-3p,hsa-mir-221-5p,False,0.218
0.248,0.6805,0.0015,7049,hsa-mir-193b-3p,hsa-mir-582-5p,False,0.218
0.0335,0.035,0.0045,10371,hsa-mir-30a-5p,hsa-mir-30d-5p,False,0.231625
0.2715,0.276,0.004,7163,hsa-mir-146b-5p,hsa-mir-146a-5p,False,0.231625
0.182,0.429,0.008,7163,hsa-mir-139-5p,hsa-mir-146b-5p,False,0.231625
0.2475,0.031,0.002,23468,hsa-mir-141-5p,hsa-mir-429,False,0.218
0.257,0.0315,0.0,23468,hsa-mir-200c-3p,hsa-mir-429,True,0.0
0.364,0.724,0.003,8829,hsa-mir-326,hsa-mir-9-5p,False,0.22295454545454546
0.0355,0.576,0.0025,54928,hsa-mir-33a-5p,hsa-mir-139-5p,False,0.22295454545454546
0.7755,0.0275,0.0055,23321,hsa-mir-3117-3p,hsa-mir-192-5p,False,0.231625
0.3945,0.522,0.0085,1871,hsa-mir-378c,hsa-mir-188-3p,False,0.231625
0.345,0.6165,0.0045,6711,hsa-mir-326,hsa-mir-191-3p,False,0.231625
0.084,0.474,0.004,55870,hsa-mir-582-3p,hsa-mir-139-5p,False,0.231625
0.737,0.8495,0.007,4602,hsa-mir-192-5p,hsa-mir-122-5p,False,0.231625
0.4745,0.0645,0.0075,3213,hsa-mir-885-5p,hsa-mir-122-5p,False,0.231625
0.052,0.014,0.0005,84668,hsa-mir-192-5p,hsa-mir-215-5p,False,0.11678571428571428
0.55,0.1865,0.005,1289,hsa-mir-33b-5p,hsa-mir-338-5p,False,0.231625
0.601,0.535,0.0005,4853,hsa-mir-326,hsa-mir-532-3p,False,0.11678571428571428
0.8115,0.487,0.003,4853,hsa-mir-33a-3p,hsa-mir-326,False,0.22295454545454546
0.0555,0.056,0.0005,1317,hsa-mir-10a-3p,hsa-mir-214-3p,False,0.11678571428571428
0.783,0.495,0.0035,7094,hsa-mir-338-3p,hsa-mir-760,False,0.231625
0.2345,0.1975,0.0025,9411,hsa-mir-192-5p,hsa-mir-192-3p,False,0.22295454545454546
0.1875,0.63,0.002,3480,hsa-mir-148a-3p,hsa-mir-3065-3p,False,0.218
0.7705,0.781,0.005,23066,hsa-mir-148a-3p,hsa-mir-3065-3p,False,0.231625
0.179,0.2035,0.008,7436,hsa-mir-376c-3p,hsa-mir-493-3p,False,0.231625
0.446,0.463,0.007,27250,hsa-mir-485-3p,hsa-mir-493-5p,False,0.231625
0.9245,0.544,0.008,124540,hsa-mir-221-5p,hsa-mir-155-5p,False,0.231625
0.147,0.4445,0.0085,7381,hsa-mir-584-5p,hsa-mir-411-5p,False,0.231625
0.22,0.552,0.0085,23049,hsa-mir-1307-3p,hsa-mir-1266-5p,False,0.231625
0.0665,0.379,0.0085,23049,hsa-mir-676-3p,hsa-mir-577,False,0.231625
0.367,0.0505,0.007,8365,hsa-mir-9-5p,hsa-mir-1228-5p,False,0.231625
0.649,0.309,0.0075,221035,hsa-mir-32-3p,hsa-mir-548j-5p,False,0.231625
0.066,0.3145,0.0015,4884,hsa-mir-30d-3p,hsa-mir-224-3p,False,0.218
0.4025,0.1765,0.0,93134,hsa-mir-196b-5p,hsa-mir-196a-5p,True,0.0
0.556,0.8645,0.007,144108,hsa-mir-33a-5p,hsa-mir-629-3p,False,0.231625
0.1335,0.099,0.007,23336,hsa-mir-192-5p,hsa-mir-23b-5p,False,0.231625
0.076,0.114,0.009,5660,hsa-mir-3127-5p,hsa-mir-454-5p,False,0.23733870967741935
0.238,0.091,0.002,7975,hsa-mir-532-3p,hsa-mir-188-3p,False,0.218
0.451,0.6585,0.0075,440590,hsa-mir-30b-3p,hsa-mir-3130-5p,False,0.231625
0.253,0.0175,0.004,375035,hsa-mir-139-5p,hsa-mir-582-3p,False,0.231625
