Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.054,0.5285,0.0065,7105,hsa-mir-20b-5p,hsa-mir-345-5p,True,0.04801801801801801
0.1125,0.045,0.0045,9369,hsa-mir-651-5p,hsa-mir-455-3p,True,0.037892420537897306
0.0405,0.4115,0.0035,56895,hsa-mir-605-5p,hsa-mir-455-3p,True,0.03217832354511479
0.0245,0.164,0.0045,3371,hsa-mir-877-5p,hsa-mir-136-5p,True,0.037892420537897306
0.0215,0.329,0.009,7462,hsa-mir-365a-5p,hsa-mir-455-3p,False,0.059220481467329
0.214,0.104,0.005,51804,hsa-mir-144-5p,hsa-mir-144-3p,True,0.040460526315789475
0.224,0.1295,0.007,51804,hsa-mir-149-5p,hsa-mir-144-3p,False,0.050477386934673366
0.13,0.832,0.0075,4833,hsa-let-7c-5p,hsa-mir-196a-5p,False,0.05280049059689288
0.4975,0.028,0.001,7991,hsa-mir-136-5p,hsa-mir-424-5p,True,0.01343213728549142
0.892,0.708,0.002,3783,hsa-mir-424-5p,hsa-mir-1-3p,True,0.022034548944337814
0.025,0.0635,0.0095,158471,hsa-mir-877-3p,hsa-mir-196b-5p,False,0.06124672407338075
0.0115,0.0565,0.0005,158471,hsa-mir-19a-3p,hsa-mir-301a-3p,True,0.00790633608815427
0.0775,0.081,0.006,158471,hsa-mir-196b-5p,hsa-mir-301a-3p,True,0.04563604240282686
0.0275,0.056,0.006,4355,hsa-mir-455-3p,hsa-mir-424-5p,True,0.04563604240282686
0.1515,0.011,0.0095,3312,hsa-mir-32-3p,hsa-mir-20b-5p,False,0.06124672407338075
0.2565,0.095,0.0015,4121,hsa-mir-1270,hsa-mir-877-5p,True,0.017949965253648368
0.0425,0.0165,0.0055,55084,hsa-mir-30c-1-3p,hsa-mir-181d-5p,True,0.04293291024478694
0.192,0.1855,0.001,4015,hsa-mir-767-5p,hsa-mir-135b-3p,True,0.01343213728549142
0.121,0.447,0.0075,5618,hsa-mir-760,hsa-mir-548e-3p,False,0.05280049059689288
0.56,0.59,0.001,8614,hsa-mir-129-5p,hsa-mir-769-3p,True,0.01343213728549142
0.789,0.1215,0.0,80315,hsa-mir-1276,hsa-mir-301b-3p,True,0.0
0.044,0.027,0.0,10000,hsa-mir-224-3p,hsa-mir-424-5p,True,0.0
0.257,0.08,0.007,80129,hsa-mir-744-3p,hsa-mir-1-3p,False,0.050477386934673366
0.105,0.5485,0.002,84612,hsa-mir-125b-5p,hsa-mir-580-3p,True,0.022034548944337814
0.1965,0.126,0.002,56937,hsa-mir-760,hsa-mir-629-3p,True,0.022034548944337814
0.1095,0.0705,0.003,79026,hsa-mir-203a-3p,hsa-mir-1226-3p,True,0.029104225352112677
0.0845,0.0715,0.0035,79026,hsa-mir-203a-3p,hsa-mir-1227-3p,True,0.03217832354511479
0.133,0.1965,0.0015,79026,hsa-mir-203a-3p,hsa-mir-877-5p,True,0.017949965253648368
0.114,0.0305,0.0035,79026,hsa-mir-203a-3p,hsa-mir-33b-5p,True,0.03217832354511479
0.0875,0.0705,0.0085,79026,hsa-mir-1226-3p,hsa-mir-1227-3p,False,0.057242862729761444
0.0315,0.0105,0.0045,79026,hsa-let-7g-3p,hsa-mir-424-5p,True,0.037892420537897306
0.011,0.021,0.0055,25953,hsa-mir-20b-5p,hsa-let-7c-5p,True,0.04293291024478694
0.71,0.05,0.0075,3572,hsa-mir-181d-5p,hsa-mir-215-5p,False,0.05280049059689288
0.1725,0.0135,0.0025,2113,hsa-mir-1228-3p,hsa-mir-424-5p,True,0.025625
0.0105,0.0835,0.001,2045,hsa-mir-33a-5p,hsa-mir-455-3p,True,0.01343213728549142
0.056,0.151,0.0045,7057,hsa-mir-550a-3p,hsa-mir-455-3p,True,0.037892420537897306
0.1415,0.024,0.0,7057,hsa-mir-34a-3p,hsa-mir-320c,True,0.0
0.059,0.2485,0.0,7057,hsa-mir-210-3p,hsa-mir-455-3p,True,0.0
0.093,0.1495,0.0055,94015,hsa-mir-424-5p,hsa-mir-215-5p,True,0.04293291024478694
0.262,0.0345,0.0005,494470,hsa-mir-1288-3p,hsa-mir-501-5p,True,0.00790633608815427
0.39,0.632,0.0025,4782,hsa-mir-23b-5p,hsa-mir-485-5p,True,0.025625
0.0855,0.014,0.004,81611,hsa-mir-1-3p,hsa-mir-362-5p,True,0.035071283095723015
