Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.073,0.079,0.0005,4170,hsa-mir-1180-3p,hsa-mir-339-3p,False,0.13452272727272727
0.014,0.018,0.001,56919,hsa-mir-193b-3p,hsa-mir-664a-3p,False,0.1879047619047619
0.136,0.077,0.003,9690,hsa-mir-181a-2-3p,hsa-mir-181d-5p,False,0.27745312499999997
0.0865,0.0345,0.0065,3423,hsa-mir-491-5p,hsa-mir-331-3p,False,0.3368536585365854
0.455,0.035,0.009,7185,hsa-mir-214-3p,hsa-mir-136-3p,False,0.3436838709677419
0.5845,0.0715,0.008,4659,hsa-mir-30b-5p,hsa-mir-183-5p,False,0.3418916967509026
0.554,0.045,0.0015,65125,hsa-mir-139-3p,hsa-mir-181a-2-3p,False,0.2247721518987342
0.1385,0.644,0.001,65125,hsa-mir-181a-2-3p,hsa-mir-181c-5p,False,0.1879047619047619
0.0805,0.602,0.005,65125,hsa-mir-214-3p,hsa-mir-18a-3p,False,0.32344262295081966
0.223,0.048,0.0095,5476,hsa-mir-760,hsa-mir-769-3p,False,0.3492577639751553
0.629,0.1615,0.001,7813,hsa-mir-200c-3p,hsa-mir-944,False,0.1879047619047619
0.166,0.0465,0.0035,602,hsa-mir-30b-3p,hsa-mir-32-3p,False,0.2917816901408451
0.0155,0.0615,0.0075,6095,hsa-mir-193b-5p,hsa-mir-30b-5p,False,0.3414807692307692
0.1525,0.0455,0.0095,7049,hsa-mir-17-5p,hsa-mir-130b-5p,False,0.3492577639751553
0.032,0.335,0.0075,79901,hsa-mir-146b-5p,hsa-mir-148a-3p,False,0.3414807692307692
0.2815,0.831,0.005,64778,hsa-mir-335-5p,hsa-mir-363-3p,False,0.32344262295081966
0.849,0.3835,0.0045,64778,hsa-mir-1-3p,hsa-mir-190a-5p,False,0.3189880239520958
0.3575,0.0135,0.002,2355,hsa-mir-150-5p,hsa-mir-342-3p,False,0.2518723404255319
0.97,0.126,0.007,2355,hsa-mir-495-3p,hsa-mir-939-5p,False,0.3368536585365854
0.9215,0.205,0.001,8516,hsa-mir-221-3p,hsa-mir-96-5p,False,0.1879047619047619
0.0385,0.726,0.0045,55183,hsa-mir-26b-3p,hsa-mir-628-3p,False,0.3189880239520958
0.099,0.0315,0.001,28962,hsa-mir-106a-5p,hsa-mir-17-5p,False,0.1879047619047619
0.103,0.157,0.004,7514,hsa-mir-342-3p,hsa-mir-664a-3p,False,0.30160509554140125
0.202,0.0365,0.0075,790,hsa-mir-939-5p,hsa-mir-505-5p,False,0.3414807692307692
0.247,0.4205,0.0025,27154,hsa-mir-18b-5p,hsa-mir-625-5p,False,0.26424107142857145
0.082,0.2305,0.004,6319,hsa-mir-3136-5p,hsa-mir-940,False,0.30160509554140125
0.036,0.1975,0.0075,4627,hsa-let-7c-5p,hsa-mir-758-3p,False,0.3414807692307692
0.025,0.217,0.0065,4627,hsa-mir-1296-5p,hsa-mir-758-3p,False,0.3368536585365854
0.7855,0.6445,0.005,23405,hsa-mir-342-5p,hsa-mir-193b-3p,False,0.32344262295081966
0.0675,0.163,0.009,5411,hsa-mir-150-3p,hsa-mir-320b,False,0.3436838709677419
0.075,0.053,0.0085,84061,hsa-mir-130b-5p,hsa-mir-129-5p,False,0.3436838709677419
0.326,0.034,0.0035,84056,hsa-mir-129-5p,hsa-mir-30b-3p,False,0.2917816901408451
0.0915,0.3945,0.008,10725,hsa-mir-183-5p,hsa-mir-30b-5p,False,0.3418916967509026
0.6945,0.644,0.0,8140,hsa-mir-491-5p,hsa-mir-181a-2-3p,True,0.0
0.378,0.029,0.004,2935,hsa-mir-9-3p,hsa-mir-129-5p,False,0.30160509554140125
0.19,0.0725,0.005,7227,hsa-mir-1306-3p,hsa-mir-760,False,0.32344262295081966
0.5225,0.0475,0.002,7227,hsa-mir-30b-5p,hsa-mir-183-5p,False,0.2518723404255319
0.117,0.0255,0.0085,30000,hsa-mir-150-5p,hsa-mir-345-5p,False,0.3436838709677419
0.592,0.153,0.002,30000,hsa-mir-296-5p,hsa-mir-505-5p,False,0.2518723404255319
0.1795,0.2585,0.0015,4233,hsa-mir-26b-3p,hsa-mir-194-3p,False,0.2247721518987342
0.557,0.699,0.0075,8729,hsa-mir-181a-2-3p,hsa-mir-335-5p,False,0.3414807692307692
0.058,0.2865,0.002,57649,hsa-mir-939-5p,hsa-mir-181d-5p,False,0.2518723404255319
0.39,0.711,0.002,7704,hsa-mir-424-5p,hsa-mir-301b-3p,False,0.2518723404255319
0.0925,0.786,0.0005,23603,hsa-mir-133a-3p,hsa-mir-146a-3p,False,0.13452272727272727
0.4155,0.042,0.006,80018,hsa-mir-301b-3p,hsa-mir-744-3p,False,0.3350377358490566
0.7305,0.0315,0.0005,79158,hsa-mir-25-5p,hsa-mir-577,False,0.13452272727272727
0.035,0.102,0.0,51559,hsa-mir-34a-3p,hsa-mir-505-5p,True,0.0
0.236,0.155,0.0055,1303,hsa-mir-1-3p,hsa-mir-181c-5p,False,0.3288333333333333
0.147,0.056,0.0005,23328,hsa-mir-136-5p,hsa-mir-345-5p,False,0.13452272727272727
0.1575,0.448,0.009,6648,hsa-mir-432-5p,hsa-mir-410-3p,False,0.3436838709677419
0.068,0.6475,0.008,6648,hsa-mir-181c-3p,hsa-mir-2116-3p,False,0.3418916967509026
0.7215,0.072,0.0,6648,hsa-mir-409-5p,hsa-mir-183-5p,True,0.0
0.019,0.1745,0.004,6648,hsa-mir-342-3p,hsa-mir-150-3p,False,0.30160509554140125
0.0895,0.02,0.005,6648,hsa-mir-183-5p,hsa-mir-331-5p,False,0.32344262295081966
0.0635,0.145,0.0065,6648,hsa-mir-183-5p,hsa-mir-331-3p,False,0.3368536585365854
0.03,0.7915,0.004,6648,hsa-mir-28-3p,hsa-mir-2116-3p,False,0.30160509554140125
0.6125,0.2035,0.001,9444,hsa-mir-138-5p,hsa-mir-150-3p,False,0.1879047619047619
0.4035,0.0155,0.007,9444,hsa-mir-30b-5p,hsa-mir-331-5p,False,0.3368536585365854
0.031,0.189,0.009,3157,hsa-mir-335-5p,hsa-mir-548s,False,0.3436838709677419
0.027,0.128,0.0025,3313,hsa-mir-339-5p,hsa-mir-129-5p,False,0.26424107142857145
0.098,0.1285,0.0055,5618,hsa-mir-183-5p,hsa-mir-182-5p,False,0.3288333333333333
0.4285,0.103,0.005,10723,hsa-mir-766-3p,hsa-mir-296-5p,False,0.32344262295081966
0.012,0.2745,0.007,1452,hsa-mir-181a-2-3p,hsa-mir-181d-5p,False,0.3368536585365854
0.221,0.174,0.0065,8614,hsa-mir-769-3p,hsa-mir-219a-1-3p,False,0.3368536585365854
0.934,0.1485,0.0015,1894,hsa-mir-155-5p,hsa-mir-664a-3p,False,0.2247721518987342
0.342,0.056,0.007,29959,hsa-mir-30b-5p,hsa-mir-20b-5p,False,0.3368536585365854
0.0805,0.2055,0.001,79745,hsa-mir-17-5p,hsa-mir-106a-5p,False,0.1879047619047619
0.412,0.9005,0.009,22848,hsa-mir-18a-3p,hsa-mir-106a-5p,False,0.3436838709677419
0.3855,0.816,0.008,2956,hsa-mir-1-3p,hsa-mir-139-5p,False,0.3418916967509026
0.091,0.5965,0.0005,1385,hsa-mir-204-5p,hsa-mir-9-5p,False,0.13452272727272727
0.1125,0.137,0.007,894,hsa-mir-96-5p,hsa-mir-452-3p,False,0.3368536585365854
0.392,0.564,0.0045,9991,hsa-mir-129-5p,hsa-mir-181d-5p,False,0.3189880239520958
0.2875,0.579,0.0025,9991,hsa-mir-9-5p,hsa-mir-181d-5p,False,0.26424107142857145
0.021,0.408,0.006,79591,hsa-mir-181a-2-3p,hsa-mir-214-3p,False,0.3350377358490566
0.743,0.3025,0.0,79646,hsa-mir-30b-5p,hsa-mir-183-5p,True,0.0
0.137,0.4675,0.0015,64282,hsa-mir-193b-5p,hsa-mir-129-5p,False,0.2247721518987342
0.026,0.067,0.0015,80218,hsa-mir-181d-5p,hsa-mir-155-5p,False,0.2247721518987342
0.513,0.5645,0.0015,10133,hsa-mir-9-5p,hsa-mir-148a-3p,False,0.2247721518987342
0.839,0.2425,0.0025,27161,hsa-mir-138-5p,hsa-mir-505-5p,False,0.26424107142857145
0.086,0.7755,0.008,1026,hsa-mir-654-3p,hsa-mir-939-5p,False,0.3418916967509026
0.103,0.0835,0.004,1026,hsa-mir-654-3p,hsa-mir-15b-3p,False,0.30160509554140125
