Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.046,0.092,0.0055,7982,hsa-mir-34a-5p,hsa-mir-204-5p,False,0.13053846153846155
0.1085,0.1715,0.005,4800,hsa-mir-502-5p,hsa-mir-203a-3p,False,0.12664179104477613
0.887,0.185,0.0015,22875,hsa-mir-582-5p,hsa-mir-424-5p,False,0.07170422535211268
0.0575,0.9275,0.008,11215,hsa-mir-16-2-3p,hsa-mir-424-5p,False,0.16066272189349112
0.91,0.914,0.0035,25897,hsa-mir-181d-5p,hsa-mir-34a-5p,False,0.11533009708737865
0.474,0.3165,0.001,23035,hsa-mir-135a-5p,hsa-mir-940,False,0.05563934426229508
0.0245,0.0405,0.0005,153,hsa-mir-363-3p,hsa-mir-654-3p,True,0.035354166666666666
0.229,0.0425,0.0035,153,hsa-mir-141-5p,hsa-mir-363-3p,False,0.11533009708737865
0.0265,0.6905,0.0065,9709,hsa-mir-125b-5p,hsa-mir-142-5p,False,0.14051592356687898
0.042,0.701,0.0005,10079,hsa-mir-150-5p,hsa-mir-3615,True,0.035354166666666666
0.0825,0.2525,0.009,10787,hsa-mir-218-5p,hsa-mir-34c-3p,False,0.16601086956521738
0.065,0.295,0.002,28966,hsa-mir-32-3p,hsa-mir-21-3p,False,0.08380246913580247
0.287,0.2445,0.0,8301,hsa-mir-204-5p,hsa-mir-501-3p,True,0.0
0.8945,0.4075,0.006,56889,hsa-mir-410-3p,hsa-mir-193b-3p,False,0.1366711409395973
0.0105,0.038,0.0045,4660,hsa-mir-106a-5p,hsa-mir-34a-5p,False,0.12316935483870967
0.03,0.0245,0.004,966,hsa-mir-136-5p,hsa-mir-501-5p,False,0.12121428571428572
0.1605,0.1185,0.0065,79944,hsa-mir-487b-3p,hsa-mir-155-5p,False,0.14051592356687898
0.0385,0.1475,0.005,1795,hsa-mir-34a-5p,hsa-mir-181c-3p,False,0.12664179104477613
0.2625,0.2795,0.0055,394,hsa-mir-212-3p,hsa-mir-493-5p,False,0.13053846153846155
0.0475,0.594,0.0005,4281,hsa-mir-33a-5p,hsa-mir-149-5p,True,0.035354166666666666
