Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.016,0.016,0.0,7035,hsa-mir-766-3p,hsa-mir-432-5p,True,0.0
0.0905,0.022,0.0025,1870,hsa-mir-222-5p,hsa-mir-31-5p,True,0.00562773929025873
0.012,0.017,0.004,1870,hsa-mir-31-5p,hsa-mir-676-3p,True,0.00847478376580173
0.016,0.04,0.0025,1870,hsa-mir-31-5p,hsa-mir-199a-3p,True,0.00562773929025873
0.0325,0.043,0.0025,1870,hsa-mir-31-5p,hsa-mir-199b-3p,True,0.00562773929025873
0.0285,0.2055,0.003,1870,hsa-mir-676-3p,hsa-mir-331-3p,True,0.00659296066252588
0.058,0.024,0.001,259266,hsa-mir-31-5p,hsa-mir-218-5p,True,0.0025042466184334697
0.4545,0.0275,0.0,259266,hsa-mir-509-3p,hsa-mir-218-5p,True,0.0
0.3935,0.3145,0.005,259266,hsa-mir-509-3p,hsa-mir-107,True,0.010290847983453982
0.035,0.245,0.0,259266,hsa-mir-218-5p,hsa-mir-107,True,0.0
0.0115,0.124,0.0015,50615,hsa-mir-455-5p,hsa-mir-103a-2-5p,True,0.003595754290876242
0.099,0.264,0.0015,50615,hsa-mir-103a-2-5p,hsa-mir-24-1-5p,True,0.003595754290876242
0.033,0.0235,0.003,2625,hsa-mir-7-5p,hsa-mir-338-5p,True,0.00659296066252588
0.015,0.0255,0.0085,3216,hsa-mir-425-3p,hsa-mir-126-5p,True,0.01629780828516378
0.025,0.029,0.0,1277,hsa-mir-107,hsa-mir-133a-3p,True,0.0
0.0125,0.0175,0.0,1277,hsa-mir-133a-3p,hsa-mir-766-3p,True,0.0
0.0285,0.086,0.0005,1277,hsa-mir-133a-3p,hsa-mir-29b-3p,True,0.0013319390998828844
0.218,0.0475,0.0,64151,hsa-mir-126-5p,hsa-mir-181c-5p,True,0.0
0.342,0.052,0.006,64151,hsa-mir-421,hsa-mir-181c-5p,True,0.012033253558382669
0.022,0.0285,0.004,595,hsa-mir-7-2-3p,hsa-mir-185-5p,True,0.00847478376580173
0.021,0.1455,0.0015,595,hsa-mir-7-2-3p,hsa-mir-24-3p,True,0.003595754290876242
0.0175,0.025,0.002,595,hsa-mir-7-2-3p,hsa-mir-671-5p,True,0.0046446907817969665
0.024,0.0835,0.002,2305,hsa-mir-149-5p,hsa-mir-24-3p,True,0.0046446907817969665
0.014,0.023,0.0,81539,hsa-mir-142-3p,hsa-mir-29b-3p,True,0.0
0.0115,0.0845,0.0085,1063,hsa-mir-1229-3p,hsa-mir-1226-3p,True,0.01629780828516378
0.013,0.7865,0.004,1063,hsa-mir-1229-3p,hsa-mir-185-3p,True,0.00847478376580173
0.0715,0.3785,0.004,29990,hsa-mir-146b-3p,hsa-mir-3943,True,0.00847478376580173
0.31,0.022,0.0,55355,hsa-mir-107,hsa-mir-485-5p,True,0.0
0.078,0.028,0.001,1026,hsa-mir-1229-3p,hsa-mir-654-3p,True,0.0025042466184334697
0.012,0.3315,0.0,1026,hsa-mir-345-5p,hsa-mir-107,True,0.0
0.1695,0.023,0.0035,151648,hsa-mir-107,hsa-mir-330-3p,True,0.00755722809872525
0.0775,0.058,0.003,7153,hsa-mir-22-5p,hsa-mir-7-5p,True,0.00659296066252588
0.0845,0.086,0.0,7153,hsa-mir-22-5p,hsa-mir-7-2-3p,True,0.0
0.837,0.2025,0.0015,55165,hsa-mir-514a-3p,hsa-mir-1179,True,0.003595754290876242
0.012,0.664,0.0,9245,hsa-mir-490-3p,hsa-mir-149-3p,True,0.0
0.1545,0.208,0.0055,23521,hsa-mir-214-5p,hsa-mir-181c-5p,True,0.011181179775280898
0.0115,0.043,0.0,5778,hsa-mir-330-5p,hsa-mir-126-5p,True,0.0
0.4335,0.042,0.0055,4288,hsa-mir-1298-5p,hsa-mir-330-5p,True,0.011181179775280898
0.0535,0.053,0.0,4288,hsa-mir-935,hsa-mir-22-5p,True,0.0
0.0395,0.012,0.0,4288,hsa-mir-935,hsa-mir-133a-3p,True,0.0
0.4965,0.0695,0.0,4288,hsa-mir-222-3p,hsa-mir-1224-5p,True,0.0
0.1475,0.1265,0.003,4288,hsa-mir-766-3p,hsa-mir-31-5p,True,0.00659296066252588
