Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.1465,0.266,0.0005,6542,hsa-mir-330-3p,hsa-mir-181c-5p,True,0.015011503067484663
0.165,0.146,0.008,6542,hsa-mir-616-5p,hsa-mir-30c-2-3p,False,0.08604395604395604
0.0745,0.141,0.0,1951,hsa-mir-30a-5p,hsa-mir-486-5p,True,0.0
0.017,0.2965,0.0,54443,hsa-mir-204-5p,hsa-mir-424-5p,True,0.0
0.165,0.135,0.001,3371,hsa-mir-362-5p,hsa-mir-616-5p,True,0.025064020486555698
0.1825,0.2505,0.002,79901,hsa-mir-556-5p,hsa-mir-188-5p,True,0.03942598187311178
0.038,0.0495,0.007,83394,hsa-mir-130b-5p,hsa-mir-30c-1-3p,False,0.08031946072684643
0.2905,0.0345,0.006,55350,hsa-mir-514a-3p,hsa-mir-135a-5p,False,0.07471374045801527
0.3765,0.8275,0.0035,6319,hsa-mir-424-3p,hsa-mir-196a-5p,False,0.05454816878980892
0.0185,0.0475,0.0,23002,hsa-mir-20a-5p,hsa-mir-182-5p,True,0.0
0.276,0.0425,0.0025,51804,hsa-mir-153-3p,hsa-mir-30a-3p,True,0.0450621546961326
0.065,0.2915,0.001,4092,hsa-mir-21-3p,hsa-mir-501-5p,True,0.025064020486555698
0.0115,0.0395,0.0025,8848,hsa-mir-106a-5p,hsa-mir-21-3p,True,0.0450621546961326
0.032,0.042,0.0015,8848,hsa-mir-21-3p,hsa-mir-130a-3p,True,0.032408940397350997
0.0115,0.0195,0.001,5934,hsa-mir-92b-3p,hsa-mir-582-5p,True,0.025064020486555698
0.0655,0.0265,0.0,23678,hsa-mir-182-5p,hsa-mir-30a-5p,True,0.0
0.084,0.1965,0.0015,7227,hsa-mir-369-3p,hsa-mir-30a-3p,True,0.032408940397350997
0.04,0.097,0.003,1021,hsa-mir-224-3p,hsa-mir-548v,True,0.04997872340425532
0.2415,0.9485,0.0055,7980,hsa-mir-330-3p,hsa-mir-224-3p,False,0.07097066578773895
0.0155,0.1305,0.003,3696,hsa-mir-20a-5p,hsa-mir-19a-3p,True,0.04997872340425532
0.028,0.256,0.001,23731,hsa-mir-143-3p,hsa-mir-20a-5p,True,0.025064020486555698
0.017,0.0785,0.0075,595,hsa-mir-7-5p,hsa-mir-1-3p,False,0.08294491525423729
0.3945,0.049,0.005,55553,hsa-mir-19b-3p,hsa-mir-548b-3p,False,0.06694596443228454
0.6885,0.0975,0.0025,55553,hsa-mir-19a-3p,hsa-mir-548b-3p,True,0.0450621546961326
0.012,0.0745,0.003,23086,hsa-mir-450b-5p,hsa-mir-20b-5p,True,0.04997872340425532
0.2035,0.0855,0.0005,6648,hsa-mir-331-3p,hsa-mir-30c-1-3p,True,0.015011503067484663
0.245,0.141,0.006,6648,hsa-mir-30a-3p,hsa-mir-125a-3p,False,0.07471374045801527
0.063,0.0325,0.003,6648,hsa-mir-30c-1-3p,hsa-mir-221-5p,True,0.04997872340425532
0.0185,0.636,0.0085,6648,hsa-mir-1287-5p,hsa-mir-7-5p,False,0.08916800643086817
0.5895,0.0265,0.003,6648,hsa-mir-7-5p,hsa-mir-222-5p,True,0.04997872340425532
0.0425,0.0775,0.0005,6648,hsa-mir-200b-5p,hsa-mir-144-5p,True,0.015011503067484663
0.1565,0.191,0.0015,5754,hsa-mir-30c-1-3p,hsa-mir-30c-2-3p,True,0.032408940397350997
0.234,0.1955,0.0005,2030,hsa-mir-653-5p,hsa-mir-127-3p,True,0.015011503067484663
0.077,0.185,0.009,4001,hsa-mir-3065-3p,hsa-mir-199a-5p,False,0.09185349322210636
0.09,0.013,0.006,10802,hsa-mir-30c-2-3p,hsa-mir-181c-5p,False,0.07471374045801527
0.5365,0.212,0.0055,51555,hsa-mir-326,hsa-mir-139-5p,False,0.07097066578773895
0.0295,0.013,0.007,3964,hsa-mir-200b-3p,hsa-mir-130b-3p,False,0.08031946072684643
0.0675,0.0275,0.0035,117178,hsa-mir-338-3p,hsa-mir-196b-5p,False,0.05454816878980892
0.455,0.1055,0.0085,687,hsa-mir-146b-5p,hsa-mir-129-5p,False,0.08916800643086817
0.04,0.037,0.006,1026,hsa-mir-299-5p,hsa-mir-301b-3p,False,0.07471374045801527
0.313,0.039,0.005,547,hsa-mir-548b-3p,hsa-mir-744-3p,False,0.06694596443228454
0.234,0.2155,0.007,4131,hsa-mir-301b-3p,hsa-mir-146b-5p,False,0.08031946072684643
0.045,0.1355,0.003,4148,hsa-mir-19b-3p,hsa-mir-19a-3p,True,0.04997872340425532
0.4745,0.012,0.0065,23111,hsa-mir-301b-3p,hsa-mir-362-5p,False,0.07739507299270072
0.1035,0.0225,0.001,54407,hsa-mir-203a-3p,hsa-mir-181c-5p,True,0.025064020486555698
0.111,0.423,0.0015,54407,hsa-mir-203a-3p,hsa-mir-125a-5p,True,0.032408940397350997
0.543,0.0355,0.0035,54407,hsa-mir-320c,hsa-mir-335-5p,False,0.05454816878980892
