Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0455,0.04,0.0015,240,hsa-let-7f-5p,hsa-mir-19a-3p,True,0.030214285714285714
0.069,0.236,0.008,58528,hsa-mir-221-5p,hsa-mir-4326,False,0.08147842401500938
0.0105,0.105,0.008,3371,hsa-mir-500b-5p,hsa-mir-616-5p,False,0.08147842401500938
0.016,0.163,0.0005,7546,hsa-mir-326,hsa-mir-30a-3p,True,0.01459274193548387
0.0685,0.0245,0.005,2296,hsa-mir-200a-3p,hsa-mir-32-3p,False,0.06189851767388825
0.1415,0.021,0.0065,2296,hsa-mir-500a-5p,hsa-mir-32-3p,False,0.07164517766497462
0.122,0.0395,0.0,7145,hsa-mir-340-5p,hsa-mir-93-3p,True,0.0
0.1435,0.5535,0.0055,2037,hsa-mir-1229-3p,hsa-mir-503-5p,False,0.06511832061068702
0.259,0.1565,0.0025,2195,hsa-mir-744-3p,hsa-let-7f-5p,True,0.04175769230769231
0.027,0.376,0.003,332,hsa-mir-203a-3p,hsa-mir-3940-3p,True,0.04693227665706052
0.0935,0.054,0.0005,25805,hsa-mir-301b-3p,hsa-mir-338-3p,True,0.01459274193548387
0.6725,0.5835,0.0065,6319,hsa-mir-629-3p,hsa-let-7f-5p,False,0.07164517766497462
0.107,0.0365,0.0,55586,hsa-mir-654-5p,hsa-mir-411-5p,True,0.0
0.7685,0.03,0.0,3696,hsa-mir-145-5p,hsa-mir-20a-3p,True,0.0
0.86,0.0385,0.0025,3696,hsa-mir-29a-5p,hsa-mir-20a-3p,True,0.04175769230769231
0.2235,0.0195,0.005,3696,hsa-mir-340-5p,hsa-mir-19a-3p,False,0.06189851767388825
0.2565,0.024,0.0095,3696,hsa-mir-671-5p,hsa-mir-20a-3p,False,0.08937738301559792
0.844,0.0175,0.0,25758,hsa-mir-93-3p,hsa-mir-29a-5p,True,0.0
0.0215,0.045,0.0025,2677,hsa-mir-7-5p,hsa-mir-455-3p,True,0.04175769230769231
0.0105,0.6275,0.007,2043,hsa-mir-20a-5p,hsa-let-7f-5p,False,0.07524653465346536
0.0125,0.064,0.0005,894,hsa-mir-324-5p,hsa-mir-548b-3p,True,0.01459274193548387
0.018,0.023,0.0015,894,hsa-mir-20a-5p,hsa-mir-345-5p,True,0.030214285714285714
0.078,0.013,0.0075,894,hsa-mir-19a-3p,hsa-mir-345-5p,False,0.07799568965517241
0.015,0.061,0.002,29126,hsa-mir-769-3p,hsa-mir-338-5p,True,0.03631103678929766
0.2635,0.2785,0.0,57169,hsa-mir-143-3p,hsa-mir-20b-5p,True,0.0
0.1865,0.5215,0.0055,2069,hsa-mir-301a-3p,hsa-mir-629-3p,False,0.06511832061068702
0.5395,0.0875,0.001,2069,hsa-mir-629-3p,hsa-mir-301b-3p,True,0.023298283261802576
0.104,0.0115,0.005,79026,hsa-mir-30b-5p,hsa-mir-429,False,0.06189851767388825
0.6355,0.0115,0.0015,79026,hsa-mir-32-3p,hsa-mir-324-5p,True,0.030214285714285714
0.2255,0.062,0.0055,1948,hsa-mir-503-5p,hsa-mir-193b-3p,False,0.06511832061068702
0.0575,0.1845,0.001,23345,hsa-mir-33a-5p,hsa-mir-200a-3p,True,0.023298283261802576
0.112,0.552,0.009,4131,hsa-mir-589-3p,hsa-mir-455-3p,False,0.0864716814159292
0.452,0.092,0.0055,1825,hsa-mir-33a-5p,hsa-mir-29b-2-5p,False,0.06511832061068702
0.034,0.182,0.0015,2113,hsa-mir-29a-5p,hsa-mir-1229-3p,True,0.030214285714285714
0.028,0.147,0.007,3159,hsa-mir-145-5p,hsa-let-7f-5p,False,0.07524653465346536
0.5435,0.0355,0.009,10964,hsa-mir-3613-3p,hsa-mir-20a-5p,False,0.0864716814159292
0.0265,0.0175,0.001,3480,hsa-let-7f-5p,hsa-mir-424-5p,True,0.023298283261802576
0.0175,0.0195,0.001,463,hsa-mir-424-5p,hsa-let-7f-5p,True,0.023298283261802576
0.177,0.0925,0.0,1969,hsa-mir-193b-3p,hsa-mir-200a-3p,True,0.0
0.9105,0.3935,0.002,388,hsa-mir-642a-5p,hsa-mir-411-3p,True,0.03631103678929766
0.015,0.0785,0.005,1956,hsa-mir-616-5p,hsa-mir-200a-3p,False,0.06189851767388825
0.1005,0.203,0.001,7552,hsa-mir-143-3p,hsa-mir-30b-5p,True,0.023298283261802576
0.2025,0.2025,0.006,8038,hsa-mir-34c-5p,hsa-mir-33b-5p,False,0.06893333333333333
0.7185,0.5615,0.002,8091,hsa-mir-320d,hsa-mir-363-3p,True,0.03631103678929766
0.053,0.019,0.003,23657,hsa-mir-30b-5p,hsa-mir-130a-3p,True,0.04693227665706052
0.015,0.2085,0.0,5042,hsa-mir-3200-3p,hsa-mir-20a-3p,True,0.0
0.065,0.0275,0.0,667,hsa-let-7f-5p,hsa-mir-20a-5p,True,0.0
0.035,0.4265,0.0035,654,hsa-mir-301a-3p,hsa-mir-130a-3p,False,0.05148983739837399
0.0825,0.473,0.0005,23049,hsa-let-7f-5p,hsa-mir-455-3p,True,0.01459274193548387
0.0955,0.04,0.0085,3745,hsa-let-7g-3p,hsa-mir-20b-5p,False,0.08450961538461539
0.5985,0.1435,0.0025,7832,hsa-mir-214-3p,hsa-mir-106a-5p,True,0.04175769230769231
0.652,0.161,0.0025,4774,hsa-mir-362-5p,hsa-mir-548e-3p,True,0.04175769230769231
0.2785,0.02,0.007,11167,hsa-mir-342-3p,hsa-mir-7-5p,False,0.07524653465346536
0.0155,0.461,0.007,3673,hsa-mir-424-5p,hsa-mir-550a-3p,False,0.07524653465346536
0.59,0.0455,0.001,114801,hsa-mir-29b-2-5p,hsa-mir-192-5p,True,0.023298283261802576
0.1175,0.0495,0.009,94241,hsa-mir-452-5p,hsa-mir-106a-5p,False,0.0864716814159292
0.0495,0.013,0.0015,19,hsa-mir-33a-3p,hsa-mir-106a-5p,True,0.030214285714285714
0.402,0.496,0.0,220963,hsa-mir-429,hsa-mir-18a-3p,True,0.0
0.14,0.2155,0.007,283659,hsa-let-7f-5p,hsa-mir-33a-5p,False,0.07524653465346536
0.0515,0.2655,0.004,8085,hsa-let-7f-5p,hsa-mir-629-3p,False,0.05476418663303909
0.744,0.4235,0.0005,367,hsa-mir-223-5p,hsa-mir-31-5p,True,0.01459274193548387
0.2605,0.679,0.004,4884,hsa-mir-505-5p,hsa-mir-301a-3p,False,0.05476418663303909
0.161,0.556,0.003,4884,hsa-mir-224-3p,hsa-mir-301a-3p,True,0.04693227665706052
0.04,0.0105,0.0005,54796,hsa-mir-33a-5p,hsa-mir-324-5p,True,0.01459274193548387
0.0165,0.012,0.0,54796,hsa-mir-324-5p,hsa-mir-93-3p,True,0.0
0.0345,0.2355,0.0085,6664,hsa-mir-222-5p,hsa-mir-616-5p,False,0.08450961538461539
0.0135,0.248,0.005,284716,hsa-mir-342-3p,hsa-mir-221-5p,False,0.06189851767388825
0.105,0.015,0.001,254228,hsa-mir-769-3p,hsa-mir-362-3p,True,0.023298283261802576
0.014,0.2655,0.007,23705,hsa-mir-671-5p,hsa-mir-192-3p,False,0.07524653465346536
0.0845,0.2635,0.0005,57634,hsa-let-7f-5p,hsa-mir-142-3p,True,0.01459274193548387
0.189,0.019,0.0015,339983,hsa-let-7f-5p,hsa-mir-221-5p,True,0.030214285714285714
0.042,0.0205,0.0045,339983,hsa-mir-449a,hsa-mir-221-5p,False,0.058580935251798555
0.068,0.1145,0.0065,1282,hsa-mir-29b-3p,hsa-mir-221-5p,False,0.07164517766497462
0.028,0.046,0.0055,3014,hsa-let-7f-5p,hsa-mir-328-3p,False,0.06511832061068702
0.067,0.473,0.0025,3064,hsa-mir-629-3p,hsa-let-7f-5p,True,0.04175769230769231
0.1095,0.5625,0.0025,4540,hsa-mir-196b-5p,hsa-let-7c-5p,True,0.04175769230769231
0.133,0.0815,0.004,6096,hsa-mir-1269a,hsa-mir-20a-5p,False,0.05476418663303909
0.02,0.03,0.0075,6096,hsa-mir-301a-3p,hsa-mir-301b-3p,False,0.07799568965517241
0.385,0.029,0.0085,1306,hsa-mir-29b-3p,hsa-let-7f-5p,False,0.08450961538461539
