Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.018,0.1675,0.003,1462,hsa-mir-210-3p,hsa-mir-129-5p,True,0.045387797311271974
0.1035,0.253,0.0015,1316,hsa-mir-10b-3p,hsa-mir-455-3p,True,0.028062659846547315
0.214,0.068,0.005,3655,hsa-mir-29c-3p,hsa-mir-1-3p,False,0.06349826388888889
0.037,0.026,0.007,1832,hsa-mir-224-5p,hsa-mir-150-5p,False,0.07957264957264958
0.0545,0.0435,0.003,57761,hsa-mir-338-3p,hsa-mir-30a-5p,True,0.045387797311271974
0.03,0.26,0.008,54941,hsa-mir-130b-3p,hsa-mir-17-5p,False,0.08618556701030929
0.454,0.574,0.0055,2254,hsa-mir-9-3p,hsa-mir-1291,False,0.06801775147928993
0.0845,0.0285,0.008,10382,hsa-mir-708-5p,hsa-let-7c-5p,False,0.08618556701030929
0.198,0.1805,0.0045,2549,hsa-mir-4326,hsa-mir-215-5p,False,0.05947154471544715
0.0365,0.047,0.005,595,hsa-mir-500a-5p,hsa-mir-95-3p,False,0.06349826388888889
0.0825,0.089,0.0065,3488,hsa-mir-584-5p,hsa-mir-7-5p,False,0.07601518784972022
0.727,0.451,0.0005,8828,hsa-mir-486-5p,hsa-mir-331-3p,True,0.011913680781758959
0.011,0.0125,0.001,3164,hsa-mir-224-5p,hsa-mir-130b-5p,True,0.02063469675599436
0.9405,0.1025,0.009,1026,hsa-mir-3150b-3p,hsa-mir-589-3p,False,0.09182008368200836
0.597,0.1155,0.0025,112399,hsa-mir-20b-5p,hsa-mir-20a-5p,True,0.03979869423286181
0.0185,0.091,0.0095,112399,hsa-mir-17-5p,hsa-mir-20a-5p,False,0.09519520547945205
0.023,0.0465,0.002,112399,hsa-mir-17-5p,hsa-mir-106a-5p,True,0.034102564102564105
0.171,0.0105,0.009,4131,hsa-mir-154-3p,hsa-mir-32-3p,False,0.09182008368200836
0.067,0.0535,0.0,10810,hsa-mir-214-3p,hsa-mir-542-5p,True,0.0
0.1345,0.6245,0.002,89796,hsa-mir-135b-5p,hsa-mir-20a-3p,True,0.034102564102564105
0.563,0.023,0.003,7168,hsa-mir-138-5p,hsa-mir-27a-5p,True,0.045387797311271974
0.714,0.626,0.008,150094,hsa-mir-296-5p,hsa-mir-503-5p,False,0.08618556701030929
0.138,0.2865,0.003,57451,hsa-mir-301a-3p,hsa-mir-301b-3p,True,0.045387797311271974
0.0285,0.115,0.009,11096,hsa-mir-210-3p,hsa-mir-133a-3p,False,0.09182008368200836
0.2265,0.2695,0.0005,11096,hsa-mir-30a-3p,hsa-mir-331-3p,True,0.011913680781758959
0.426,0.483,0.006,10642,hsa-mir-135b-5p,hsa-mir-2355-3p,False,0.0721875
0.9445,0.0345,0.0045,22941,hsa-mir-335-5p,hsa-mir-301a-3p,False,0.05947154471544715
0.159,0.6065,0.0,3481,hsa-mir-210-3p,hsa-mir-320b,True,0.0
0.014,0.31,0.0085,596,hsa-mir-494-3p,hsa-mir-136-5p,False,0.0892713567839196
0.056,0.0545,0.0005,57674,hsa-mir-370-3p,hsa-mir-141-3p,True,0.011913680781758959
0.15,0.0115,0.006,161176,hsa-mir-331-3p,hsa-mir-651-5p,False,0.0721875
0.012,0.149,0.0075,344148,hsa-mir-130b-3p,hsa-mir-19b-3p,False,0.08325113808801214
0.0575,0.0775,0.006,23768,hsa-mir-19a-3p,hsa-mir-130b-5p,False,0.0721875
0.057,0.091,0.002,23768,hsa-mir-17-5p,hsa-mir-130b-5p,True,0.034102564102564105
0.183,0.0205,0.0005,677,hsa-mir-29c-3p,hsa-mir-182-5p,True,0.011913680781758959
0.051,0.0765,0.002,339983,hsa-mir-34c-5p,hsa-mir-34b-5p,True,0.034102564102564105
0.8605,0.02,0.004,1290,hsa-mir-30a-3p,hsa-mir-331-3p,False,0.055311909262759924
0.033,0.0115,0.005,100506736,hsa-mir-940,hsa-mir-30b-3p,False,0.06349826388888889
0.1215,0.0135,0.0075,4067,hsa-mir-627-5p,hsa-mir-10b-3p,False,0.08325113808801214
0.029,0.3735,0.0075,387837,hsa-mir-130b-3p,hsa-mir-301b-3p,False,0.08325113808801214
