Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.426,0.9535,0.007,55349,hsa-mir-377-5p,hsa-mir-29c-3p,False,0.2135458515283843
0.457,0.098,0.003,2182,hsa-mir-130a-3p,hsa-mir-200b-3p,False,0.14453793103448276
0.017,0.121,0.001,375449,hsa-mir-17-5p,hsa-mir-1271-5p,False,0.08519512195121952
0.124,0.4705,0.0095,26986,hsa-mir-615-3p,hsa-mir-20b-5p,False,0.2381590909090909
0.753,0.897,0.0085,26034,hsa-mir-421,hsa-mir-940,False,0.22664503816793893
0.1905,0.3925,0.0,26002,hsa-mir-96-5p,hsa-mir-17-5p,True,0.0
0.7845,0.202,0.008,5241,hsa-mir-766-3p,hsa-mir-320b,False,0.22266135458167333
0.459,0.4375,0.0035,79776,hsa-let-7f-5p,hsa-mir-17-5p,False,0.15877272727272726
0.4275,0.0415,0.0045,990,hsa-mir-142-3p,hsa-mir-204-5p,False,0.17273076923076922
0.032,0.199,0.009,25805,hsa-mir-20a-5p,hsa-mir-500a-5p,False,0.23115441176470586
0.79,0.182,0.0035,57167,hsa-let-7c-5p,hsa-mir-1262,False,0.15877272727272726
0.112,0.0345,0.0,2254,hsa-mir-15a-5p,hsa-mir-22-3p,True,0.0
0.101,0.075,0.0045,1021,hsa-mir-378a-3p,hsa-let-7f-5p,False,0.17273076923076922
0.08,0.722,0.004,1021,hsa-mir-378a-3p,hsa-mir-200a-3p,False,0.1643764705882353
0.0135,0.616,0.007,857,hsa-mir-194-5p,hsa-mir-20a-5p,False,0.2135458515283843
0.1835,0.741,0.0035,6505,hsa-mir-204-5p,hsa-mir-1237-3p,False,0.15877272727272726
0.4565,0.021,0.007,9644,hsa-mir-200b-3p,hsa-mir-501-3p,False,0.2135458515283843
0.06,0.153,0.0075,595,hsa-mir-338-3p,hsa-mir-17-5p,False,0.22107594936708858
0.0285,0.015,0.004,55084,hsa-mir-15b-3p,hsa-mir-221-5p,False,0.1643764705882353
0.0145,0.04,0.0085,1718,hsa-mir-129-2-3p,hsa-mir-204-5p,False,0.22664503816793893
0.6525,0.524,0.003,23266,hsa-mir-582-3p,hsa-mir-224-3p,False,0.14453793103448276
0.49,0.219,0.006,894,hsa-mir-10a-5p,hsa-mir-106a-5p,False,0.20055502392344496
0.8425,0.015,0.0075,894,hsa-mir-200a-3p,hsa-mir-378a-5p,False,0.22107594936708858
0.0145,0.113,0.002,1191,hsa-mir-1228-5p,hsa-mir-20a-5p,False,0.1270181818181818
0.0175,0.677,0.004,800,hsa-mir-17-5p,hsa-mir-98-5p,False,0.1643764705882353
0.1155,0.0625,0.0015,79026,hsa-mir-149-5p,hsa-mir-766-3p,False,0.10584848484848484
0.039,0.0745,0.003,23167,hsa-mir-92b-3p,hsa-mir-30a-5p,False,0.14453793103448276
0.099,0.409,0.0045,7178,hsa-mir-1304-5p,hsa-mir-130a-3p,False,0.17273076923076922
0.0535,0.663,0.0055,30061,hsa-mir-17-5p,hsa-mir-222-3p,False,0.1902128712871287
0.032,0.675,0.0085,30061,hsa-mir-20a-5p,hsa-mir-222-3p,False,0.22664503816793893
0.46,0.0225,0.0,114795,hsa-mir-616-5p,hsa-mir-194-5p,True,0.0
0.0255,0.1725,0.0015,3480,hsa-mir-452-5p,hsa-mir-185-5p,False,0.10584848484848484
0.0325,0.0205,0.0025,3480,hsa-mir-223-3p,hsa-mir-224-5p,False,0.13751968503937007
0.308,0.018,0.002,80000,hsa-mir-320b,hsa-mir-320c,False,0.1270181818181818
0.037,0.523,0.0065,7157,hsa-mir-15a-5p,hsa-mir-30a-5p,False,0.20925806451612902
0.039,0.051,0.005,773,hsa-mir-605-5p,hsa-mir-221-5p,False,0.18005154639175258
0.0875,0.25,0.0015,3779,hsa-mir-1226-3p,hsa-mir-1262,False,0.10584848484848484
0.292,0.3665,0.0045,6867,hsa-mir-106a-5p,hsa-mir-378a-5p,False,0.17273076923076922
0.083,0.015,0.002,114569,hsa-mir-1226-3p,hsa-mir-130a-3p,False,0.1270181818181818
0.0135,0.2775,0.0,138151,hsa-mir-17-5p,hsa-mir-331-3p,True,0.0
0.079,0.0205,0.0055,5789,hsa-mir-429,hsa-mir-130a-3p,False,0.1902128712871287
0.7075,0.011,0.007,5789,hsa-mir-424-5p,hsa-mir-130a-3p,False,0.2135458515283843
0.013,0.0875,0.004,518,hsa-mir-409-3p,hsa-mir-424-5p,False,0.1643764705882353
0.023,0.059,0.0075,151354,hsa-mir-222-3p,hsa-mir-299-5p,False,0.22107594936708858
0.011,0.0755,0.001,5274,hsa-mir-185-5p,hsa-mir-200b-3p,False,0.08519512195121952
0.4825,0.2435,0.0095,56648,hsa-mir-20a-5p,hsa-mir-9-5p,False,0.2381590909090909
0.0425,0.057,0.0075,138311,hsa-mir-98-5p,hsa-mir-22-3p,False,0.22107594936708858
0.0595,0.342,0.003,2200,hsa-mir-96-5p,hsa-mir-20a-5p,False,0.14453793103448276
0.0535,0.017,0.0025,2200,hsa-mir-96-5p,hsa-mir-10b-3p,False,0.13751968503937007
0.7285,0.1755,0.008,2200,hsa-mir-183-3p,hsa-mir-98-5p,False,0.22266135458167333
