Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0645,0.142,0.001,29766,hsa-mir-141-3p,hsa-mir-676-3p,True,0.016362573099415204
0.0155,0.1055,0.0095,4170,hsa-mir-96-5p,hsa-mir-139-5p,False,0.06886269430051813
0.0215,0.0695,0.0005,1272,hsa-mir-33a-5p,hsa-mir-33b-5p,True,0.009992857142857144
0.031,0.0905,0.004,23446,hsa-mir-129-5p,hsa-mir-96-5p,True,0.04114705882352941
0.1105,0.266,0.0,64778,hsa-mir-129-5p,hsa-mir-577,True,0.0
0.028,0.1455,0.002,55195,hsa-mir-486-5p,hsa-mir-3934-5p,True,0.026149532710280376
0.04,0.2095,0.0065,6648,hsa-mir-577,hsa-mir-3065-3p,False,0.05630650154798761
0.203,0.2265,0.002,7422,hsa-mir-511-5p,hsa-mir-1-3p,True,0.026149532710280376
0.0205,0.0105,0.0085,5618,hsa-mir-203a-3p,hsa-mir-205-5p,False,0.06445257452574527
0.0155,0.011,0.0035,5618,hsa-mir-96-5p,hsa-mir-203a-3p,True,0.03825390625
0.1165,0.0155,0.003,3977,hsa-mir-19a-3p,hsa-mir-103a-2-5p,True,0.0344016393442623
0.062,0.0865,0.0005,1718,hsa-mir-642a-5p,hsa-mir-7-5p,True,0.009992857142857144
0.329,0.5165,0.005,1718,hsa-mir-129-2-3p,hsa-mir-103a-2-5p,True,0.046789297658862875
0.1445,0.07,0.0045,22936,hsa-mir-584-5p,hsa-mir-193b-3p,True,0.04449116607773851
0.1165,0.464,0.001,57670,hsa-mir-150-5p,hsa-mir-224-5p,True,0.016362573099415204
0.0175,0.015,0.001,79026,hsa-mir-7-5p,hsa-mir-33b-5p,True,0.016362573099415204
0.014,0.011,0.002,79026,hsa-mir-33a-5p,hsa-mir-7-5p,True,0.026149532710280376
0.086,0.09,0.0035,10487,hsa-mir-676-3p,hsa-mir-96-5p,True,0.03825390625
0.0505,0.014,0.0075,80727,hsa-mir-656-3p,hsa-mir-642a-5p,False,0.06082608695652174
0.042,0.012,0.0095,6498,hsa-mir-7-5p,hsa-mir-33b-5p,False,0.06886269430051813
0.035,0.0115,0.0085,3662,hsa-mir-19a-3p,hsa-mir-103a-2-5p,False,0.06445257452574527
0.085,0.012,0.002,2247,hsa-mir-203a-3p,hsa-mir-192-5p,True,0.026149532710280376
0.0775,0.056,0.001,7168,hsa-mir-33b-5p,hsa-mir-33a-5p,True,0.016362573099415204
0.043,0.5385,0.005,11057,hsa-mir-150-5p,hsa-mir-577,True,0.046789297658862875
0.535,0.258,0.0045,1291,hsa-mir-7-5p,hsa-mir-129-2-3p,True,0.04449116607773851
0.0145,0.0325,0.0075,5042,hsa-mir-139-5p,hsa-mir-33b-5p,False,0.06082608695652174
0.017,0.2045,0.0005,79888,hsa-mir-205-5p,hsa-mir-193b-3p,True,0.009992857142857144
0.017,0.017,0.005,11096,hsa-mir-129-5p,hsa-mir-33a-5p,True,0.046789297658862875
0.0125,0.0315,0.0005,10642,hsa-mir-129-5p,hsa-mir-3200-3p,True,0.009992857142857144
0.1735,0.031,0.0025,10642,hsa-mir-96-5p,hsa-mir-3200-3p,True,0.03054585152838428
0.037,0.6115,0.0015,22806,hsa-mir-30c-1-3p,hsa-mir-1228-3p,True,0.021973821989528797
0.0695,0.199,0.005,51278,hsa-mir-642a-5p,hsa-mir-511-5p,True,0.046789297658862875
0.2875,0.086,0.0015,1293,hsa-mir-3200-3p,hsa-mir-7-5p,True,0.021973821989528797
0.017,0.051,0.0005,22836,hsa-mir-146a-5p,hsa-mir-196b-5p,True,0.009992857142857144
0.026,0.055,0.007,118987,hsa-mir-141-3p,hsa-mir-150-5p,False,0.059531914893617026
0.1005,0.7645,0.006,5865,hsa-mir-33a-5p,hsa-mir-483-3p,False,0.0532952380952381
0.2415,0.5695,0.0055,84168,hsa-mir-9-5p,hsa-mir-642a-5p,True,0.04980258899676376
0.0615,0.2315,0.0005,5569,hsa-mir-429,hsa-mir-106a-5p,True,0.009992857142857144
0.3955,0.0115,0.0075,92126,hsa-mir-296-3p,hsa-mir-592,False,0.06082608695652174
0.273,0.031,0.0005,2131,hsa-mir-141-3p,hsa-mir-1224-5p,True,0.009992857142857144
0.699,0.466,0.0075,4810,hsa-mir-3909,hsa-mir-9-3p,False,0.06082608695652174
0.171,0.076,0.0075,6275,hsa-mir-7-5p,hsa-mir-194-3p,False,0.06082608695652174
0.438,0.038,0.0085,55534,hsa-mir-3682-3p,hsa-mir-193b-5p,False,0.06445257452574527
