Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.67,0.213,0.0015,3423,hsa-mir-376a-5p,hsa-mir-18b-5p,False,0.2979
0.1235,0.6675,0.0005,25937,hsa-mir-29b-3p,hsa-mir-101-5p,False,0.206875
0.5935,0.218,0.003,23034,hsa-mir-33b-5p,hsa-mir-30b-3p,False,0.31424050632911393
0.0975,0.406,0.003,639,hsa-mir-362-5p,hsa-let-7f-2-3p,False,0.31424050632911393
0.098,0.081,0.001,1316,hsa-mir-7-5p,hsa-mir-183-5p,False,0.2613157894736842
0.9825,0.618,0.0035,6319,hsa-mir-188-3p,hsa-mir-30b-3p,False,0.31424050632911393
0.118,0.0205,0.0055,8829,hsa-mir-301a-3p,hsa-mir-362-3p,False,0.3250892857142857
0.128,0.533,0.0095,9145,hsa-mir-34a-5p,hsa-mir-877-3p,False,0.4036585365853659
0.1005,0.1,0.0035,23405,hsa-mir-424-5p,hsa-mir-581,False,0.31424050632911393
0.5435,0.0895,0.0045,23405,hsa-mir-499a-5p,hsa-mir-581,False,0.31424050632911393
0.827,0.3785,0.0005,54941,hsa-mir-1228-3p,hsa-mir-940,False,0.206875
0.2935,0.2305,0.001,51090,hsa-mir-25-5p,hsa-mir-940,False,0.2613157894736842
0.4845,0.2725,0.005,6299,hsa-mir-338-3p,hsa-mir-320c,False,0.31424050632911393
0.315,0.885,0.0015,57214,hsa-mir-29c-3p,hsa-mir-7-5p,False,0.2979
0.0615,0.011,0.0,4355,hsa-mir-146a-5p,hsa-mir-663b,True,0.0
0.037,0.642,0.0075,2004,hsa-mir-552-3p,hsa-mir-1301-3p,False,0.3799744897959183
0.368,0.0265,0.006,11149,hsa-mir-34a-5p,hsa-mir-30b-3p,False,0.3347191011235955
0.638,0.086,0.0065,9444,hsa-mir-424-5p,hsa-mir-95-3p,False,0.34701612903225804
0.057,0.424,0.008,5618,hsa-mir-760,hsa-mir-338-5p,False,0.3819230769230769
0.0485,0.4155,0.0075,5618,hsa-mir-760,hsa-mir-1249-3p,False,0.3799744897959183
0.506,0.2245,0.0035,2908,hsa-mir-29b-3p,hsa-mir-301b-3p,False,0.31424050632911393
0.9435,0.2495,0.003,51421,hsa-mir-183-5p,hsa-mir-105-5p,False,0.31424050632911393
0.467,0.03,0.0035,55704,hsa-mir-101-5p,hsa-mir-33b-5p,False,0.31424050632911393
0.027,0.0175,0.003,6549,hsa-mir-320d,hsa-mir-320b,False,0.31424050632911393
0.4065,0.823,0.0045,4209,hsa-mir-362-3p,hsa-mir-210-3p,False,0.31424050632911393
0.1275,0.4965,0.0055,10000,hsa-mir-33a-3p,hsa-mir-320d,False,0.3250892857142857
0.232,0.687,0.008,113,hsa-mir-34a-5p,hsa-mir-301b-3p,False,0.3819230769230769
0.3185,0.1645,0.006,79026,hsa-mir-1226-3p,hsa-mir-486-3p,False,0.3347191011235955
0.2545,0.4535,0.0045,599,hsa-mir-29c-3p,hsa-mir-301a-3p,False,0.31424050632911393
0.314,0.0445,0.004,1289,hsa-mir-33b-5p,hsa-mir-101-5p,False,0.31424050632911393
0.041,0.049,0.002,1289,hsa-mir-101-5p,hsa-mir-29b-3p,False,0.31424050632911393
0.155,0.5055,0.0065,4037,hsa-mir-182-5p,hsa-mir-34a-5p,False,0.34701612903225804
0.041,0.028,0.0005,4131,hsa-mir-32-3p,hsa-mir-18b-5p,False,0.206875
0.1,0.04,0.0085,4131,hsa-mir-20a-3p,hsa-mir-18b-5p,False,0.3871788990825688
0.092,0.034,0.001,4131,hsa-mir-486-5p,hsa-mir-18b-5p,False,0.2613157894736842
0.031,0.0125,0.002,4853,hsa-mir-1248,hsa-mir-7-5p,False,0.31424050632911393
0.519,0.109,0.0015,3559,hsa-mir-1237-3p,hsa-mir-188-5p,False,0.2979
0.0935,0.015,0.009,23670,hsa-mir-125a-3p,hsa-mir-301a-3p,False,0.39544247787610615
0.0895,0.0225,0.002,23670,hsa-mir-301b-3p,hsa-mir-301a-3p,False,0.31424050632911393
0.494,0.31,0.001,10228,hsa-mir-1-3p,hsa-mir-188-3p,False,0.2613157894736842
0.0795,0.144,0.0075,7057,hsa-mir-20a-3p,hsa-mir-182-5p,False,0.3799744897959183
0.1185,0.0935,0.0085,463,hsa-mir-744-3p,hsa-mir-486-3p,False,0.3871788990825688
0.255,0.367,0.0025,4542,hsa-mir-592,hsa-mir-552-3p,False,0.31424050632911393
0.7115,0.5615,0.0015,7552,hsa-mir-769-3p,hsa-mir-144-3p,False,0.2979
0.7625,0.1175,0.004,8038,hsa-mir-369-3p,hsa-mir-29c-3p,False,0.31424050632911393
0.142,0.494,0.0045,8038,hsa-mir-29c-3p,hsa-mir-30b-3p,False,0.31424050632911393
0.425,0.417,0.0055,85463,hsa-mir-550a-3p,hsa-mir-33a-3p,False,0.3250892857142857
0.722,0.792,0.0095,85463,hsa-mir-18b-5p,hsa-mir-552-3p,False,0.4036585365853659
0.0125,0.457,0.0025,3688,hsa-mir-188-5p,hsa-mir-877-5p,False,0.31424050632911393
0.06,0.4895,0.005,2308,hsa-mir-135b-5p,hsa-mir-33a-3p,False,0.31424050632911393
0.445,0.447,0.0005,55326,hsa-mir-29c-3p,hsa-mir-605-5p,False,0.206875
0.195,0.537,0.0005,91748,hsa-mir-616-3p,hsa-mir-196b-5p,False,0.206875
0.19,0.4185,0.002,1831,hsa-mir-18a-5p,hsa-mir-18b-5p,False,0.31424050632911393
0.5135,0.0375,0.005,445815,hsa-mir-1296-5p,hsa-mir-188-5p,False,0.31424050632911393
0.8315,0.0205,0.0055,26086,hsa-mir-424-5p,hsa-mir-188-5p,False,0.3250892857142857
0.022,0.052,0.003,26086,hsa-mir-188-5p,hsa-mir-18a-5p,False,0.31424050632911393
0.2855,0.8635,0.0045,3570,hsa-mir-34b-3p,hsa-mir-1307-3p,False,0.31424050632911393
0.026,0.091,0.004,10602,hsa-mir-663b,hsa-mir-450b-5p,False,0.31424050632911393
0.694,0.3165,0.0035,10395,hsa-mir-877-3p,hsa-mir-7-5p,False,0.31424050632911393
0.516,0.75,0.0025,120114,hsa-mir-425-5p,hsa-mir-301b-3p,False,0.31424050632911393
0.078,0.027,0.0035,1073,hsa-mir-32-3p,hsa-mir-651-5p,False,0.31424050632911393
0.7655,0.4155,0.004,57608,hsa-mir-34a-5p,hsa-mir-301a-3p,False,0.31424050632911393
0.0195,0.128,0.0025,154810,hsa-mir-556-5p,hsa-mir-301a-3p,False,0.31424050632911393
0.8405,0.144,0.008,367,hsa-mir-675-3p,hsa-mir-552-3p,False,0.3819230769230769
0.2155,0.269,0.009,124583,hsa-mir-224-5p,hsa-mir-7-5p,False,0.39544247787610615
0.19,0.4505,0.005,596,hsa-mir-182-5p,hsa-mir-29b-3p,False,0.31424050632911393
0.135,0.1025,0.006,3400,hsa-mir-577,hsa-mir-215-5p,False,0.3347191011235955
0.757,0.788,0.0,10855,hsa-mir-1307-3p,hsa-mir-34a-5p,True,0.0
0.0175,0.2875,0.0085,253461,hsa-mir-760,hsa-mir-301b-3p,False,0.3871788990825688
0.277,0.809,0.001,253461,hsa-mir-7-5p,hsa-mir-323a-3p,False,0.2613157894736842
0.0575,0.397,0.005,84133,hsa-mir-454-5p,hsa-mir-940,False,0.31424050632911393
0.0125,0.0565,0.0035,25923,hsa-mir-486-5p,hsa-mir-224-5p,False,0.31424050632911393
0.219,0.0165,0.0025,7026,hsa-mir-362-3p,hsa-mir-548f-3p,False,0.31424050632911393
0.517,0.049,0.003,56479,hsa-mir-543,hsa-mir-301b-3p,False,0.31424050632911393
0.5965,0.1565,0.0045,126231,hsa-mir-30b-3p,hsa-mir-186-3p,False,0.31424050632911393
0.3955,0.026,0.003,3841,hsa-mir-376a-5p,hsa-mir-33b-5p,False,0.31424050632911393
0.3975,0.108,0.009,7975,hsa-mir-1301-3p,hsa-mir-188-3p,False,0.39544247787610615
0.03,0.155,0.0025,57713,hsa-mir-616-3p,hsa-mir-940,False,0.31424050632911393
0.023,0.4265,0.005,57713,hsa-mir-616-3p,hsa-mir-423-3p,False,0.31424050632911393
0.063,0.506,0.0025,3303,hsa-mir-146a-5p,hsa-mir-196b-5p,False,0.31424050632911393
0.271,0.7775,0.0055,23089,hsa-mir-299-3p,hsa-mir-23a-5p,False,0.3250892857142857
0.336,0.0685,0.0085,1523,hsa-mir-188-3p,hsa-mir-1270,False,0.3871788990825688
0.1425,0.016,0.0,10628,hsa-mir-424-5p,hsa-mir-18a-3p,True,0.0
