Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0235,0.0925,0.008,9645,hsa-mir-9-5p,hsa-let-7e-5p,True,0.023411271771278344
0.354,0.1715,0.0035,1595,hsa-mir-197-3p,hsa-mir-424-5p,True,0.012140507839127472
0.0295,0.1775,0.0005,9108,hsa-mir-409-3p,hsa-mir-103a-2-5p,True,0.0023854177130420225
0.102,0.345,0.007,6542,hsa-mir-651-5p,hsa-mir-497-5p,True,0.021096241301267003
0.125,0.3395,0.004,6542,hsa-mir-425-5p,hsa-mir-452-3p,True,0.013503068211434122
0.3435,0.196,0.003,6542,hsa-mir-452-3p,hsa-let-7a-3p,True,0.010711783279871693
0.3685,0.1815,0.002,6542,hsa-mir-452-3p,hsa-mir-29b-2-5p,True,0.00769086688977653
0.2295,0.2735,0.0035,6542,hsa-mir-141-3p,hsa-mir-194-3p,True,0.012140507839127472
0.0205,0.011,0.0005,4293,hsa-mir-148a-3p,hsa-mir-186-5p,True,0.0023854177130420225
0.0285,0.0785,0.0015,5080,hsa-mir-185-5p,hsa-mir-365a-3p,True,0.006068530297007212
0.019,0.0275,0.0075,9918,hsa-mir-29c-3p,hsa-mir-218-5p,True,0.02226265625
0.6735,0.585,0.0095,3423,hsa-mir-185-3p,hsa-mir-136-3p,True,0.026813975832012678
0.2375,0.062,0.0045,9066,hsa-let-7c-5p,hsa-mir-185-5p,True,0.014824612716763004
0.055,0.0185,0.009,672,hsa-mir-181a-5p,hsa-mir-10b-5p,True,0.02569179756371213
0.849,0.0415,0.0055,9052,hsa-mir-454-3p,hsa-mir-130a-3p,True,0.017394630529843955
0.2075,0.0675,0.005,9052,hsa-mir-301a-3p,hsa-mir-130a-3p,True,0.016141131955773068
0.271,0.0475,0.003,9052,hsa-mir-15b-5p,hsa-mir-194-3p,True,0.010711783279871693
0.03,0.051,0.007,9052,hsa-mir-130a-3p,hsa-mir-194-3p,True,0.021096241301267003
0.0985,0.224,0.0035,10046,hsa-mir-18a-5p,hsa-mir-335-5p,True,0.012140507839127472
0.062,0.015,0.006,9782,hsa-mir-149-5p,hsa-mir-148a-3p,True,0.018664003143830234
0.064,0.063,0.0005,9782,hsa-mir-149-5p,hsa-mir-141-3p,True,0.0023854177130420225
0.3885,0.0125,0.001,9782,hsa-mir-93-3p,hsa-mir-148a-3p,True,0.004324026584929137
