Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.065,0.658,0.0035,56919,hsa-mir-708-5p,hsa-mir-125b-5p,False,0.31973019801980196
0.3255,0.4435,0.0075,4293,hsa-mir-17-5p,hsa-mir-93-5p,False,0.3860460251046025
0.379,0.083,0.0045,4293,hsa-mir-17-5p,hsa-mir-454-3p,False,0.3403217213114754
0.2285,0.067,0.009,4293,hsa-mir-19a-3p,hsa-mir-454-3p,False,0.39922355769230766
0.5655,0.8145,0.002,4293,hsa-mir-20b-5p,hsa-mir-1292-5p,False,0.2940717131474104
0.2045,0.2975,0.0035,2115,hsa-mir-30a-3p,hsa-mir-17-3p,False,0.31973019801980196
0.247,0.0585,0.009,414,hsa-mir-550a-3p,hsa-mir-193b-3p,False,0.39922355769230766
0.092,0.057,0.0035,5048,hsa-mir-20b-5p,hsa-mir-1-3p,False,0.31973019801980196
0.06,0.3155,0.005,5080,hsa-mir-223-3p,hsa-mir-335-3p,False,0.3535057471264368
0.7975,0.0185,0.007,29116,hsa-mir-106a-5p,hsa-mir-654-3p,False,0.3815982274741506
0.631,0.0795,0.006,3720,hsa-mir-542-3p,hsa-mir-181c-5p,False,0.3654059405940594
0.079,0.037,0.002,6482,hsa-mir-141-5p,hsa-mir-29b-1-5p,False,0.2940717131474104
0.026,0.039,0.0045,6482,hsa-mir-30a-3p,hsa-mir-29b-1-5p,False,0.3403217213114754
0.022,0.1655,0.001,5310,hsa-mir-324-5p,hsa-mir-125b-5p,False,0.2350700636942675
0.2815,0.2015,0.0015,5980,hsa-mir-365a-3p,hsa-mir-4326,False,0.2727044334975369
0.642,0.8295,0.0005,5980,hsa-mir-149-5p,hsa-let-7c-5p,False,0.19023711340206184
0.071,0.6225,0.0,5286,hsa-mir-142-5p,hsa-mir-3934-5p,True,0.0
0.89,0.7925,0.003,9052,hsa-mir-500b-5p,hsa-mir-582-5p,False,0.31973019801980196
0.675,0.0305,0.0095,10046,hsa-mir-18a-5p,hsa-mir-200b-3p,False,0.4011521739130435
0.046,0.018,0.0,10046,hsa-mir-200c-3p,hsa-mir-200b-3p,True,0.0
0.0135,0.066,0.0005,7431,hsa-mir-95-3p,hsa-mir-182-5p,False,0.19023711340206184
0.717,0.1395,0.001,960,hsa-mir-628-5p,hsa-mir-145-5p,False,0.2350700636942675
0.015,0.1205,0.007,960,hsa-mir-199a-3p,hsa-mir-765,False,0.3815982274741506
0.0645,0.026,0.008,56938,hsa-mir-211-5p,hsa-mir-17-5p,False,0.3931398135818908
0.9885,0.5725,0.0,9497,hsa-mir-494-3p,hsa-mir-20b-5p,True,0.0
0.387,0.32,0.0095,3224,hsa-mir-3065-5p,hsa-mir-424-5p,False,0.4011521739130435
0.3855,0.013,0.001,999,hsa-mir-34c-5p,hsa-mir-138-5p,False,0.2350700636942675
0.076,0.0425,0.0,999,hsa-mir-9-3p,hsa-mir-9-5p,True,0.0
0.9545,0.2695,0.0025,153,hsa-mir-431-5p,hsa-mir-582-5p,False,0.31973019801980196
0.2565,0.983,0.009,153,hsa-mir-582-5p,hsa-mir-590-3p,False,0.39922355769230766
0.889,0.6385,0.0085,57102,hsa-mir-335-3p,hsa-mir-29a-3p,False,0.3945924528301887
0.5995,0.818,0.0085,4254,hsa-mir-30a-5p,hsa-mir-27a-3p,False,0.3945924528301887
0.3375,0.539,0.0085,57600,hsa-mir-142-5p,hsa-mir-34c-5p,False,0.3945924528301887
0.6825,0.452,0.0065,10079,hsa-mir-744-5p,hsa-mir-642a-5p,False,0.3754131455399061
0.054,0.407,0.0005,26099,hsa-mir-328-3p,hsa-mir-34a-5p,False,0.19023711340206184
0.4585,0.8545,0.002,6515,hsa-mir-199a-5p,hsa-mir-500a-5p,False,0.2940717131474104
0.0235,0.1235,0.003,79832,hsa-mir-143-3p,hsa-mir-195-5p,False,0.31973019801980196
0.2025,0.353,0.009,586,hsa-mir-454-3p,hsa-mir-363-3p,False,0.39922355769230766
0.944,0.326,0.0005,586,hsa-mir-653-5p,hsa-mir-363-3p,False,0.19023711340206184
0.167,0.067,0.004,51564,hsa-mir-143-5p,hsa-mir-27a-3p,False,0.33099551569506724
0.079,0.448,0.0015,10787,hsa-mir-195-5p,hsa-mir-143-3p,False,0.2727044334975369
0.1685,0.334,0.0035,63916,hsa-mir-200b-3p,hsa-mir-193b-3p,False,0.31973019801980196
0.155,0.1215,0.003,63916,hsa-mir-200b-3p,hsa-mir-135b-5p,False,0.31973019801980196
0.3565,0.2125,0.002,63916,hsa-mir-193b-3p,hsa-mir-205-5p,False,0.2940717131474104
0.1125,0.1345,0.009,63916,hsa-mir-135b-5p,hsa-mir-200c-3p,False,0.39922355769230766
0.1395,0.1155,0.0085,57491,hsa-mir-191-3p,hsa-mir-125b-5p,False,0.3945924528301887
0.4645,0.089,0.0015,51768,hsa-mir-320d,hsa-mir-195-5p,False,0.2727044334975369
0.913,0.2985,0.001,9697,hsa-mir-3065-3p,hsa-mir-7-1-3p,False,0.2350700636942675
0.0395,0.4755,0.0095,23013,hsa-mir-328-3p,hsa-mir-342-3p,False,0.4011521739130435
0.621,0.288,0.004,23013,hsa-mir-192-3p,hsa-mir-1-3p,False,0.33099551569506724
0.48,0.215,0.0015,8653,hsa-mir-200c-3p,hsa-mir-181d-5p,False,0.2727044334975369
0.245,0.7335,0.004,8653,hsa-mir-181d-5p,hsa-mir-203a-3p,False,0.33099551569506724
0.6655,0.1635,0.0055,4756,hsa-mir-338-3p,hsa-mir-7-5p,False,0.35673637961335675
0.1455,0.5905,0.005,3796,hsa-mir-22-5p,hsa-mir-615-3p,False,0.3535057471264368
0.3915,0.8845,0.0045,375449,hsa-mir-93-5p,hsa-mir-17-5p,False,0.3403217213114754
0.7125,0.27,0.0085,7049,hsa-mir-7-1-3p,hsa-mir-195-5p,False,0.3945924528301887
0.2265,0.0695,0.0095,537,hsa-mir-196a-5p,hsa-mir-92a-1-5p,False,0.4011521739130435
0.0605,0.2145,0.009,53615,hsa-mir-103a-2-5p,hsa-mir-125b-5p,False,0.39922355769230766
