Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0185,0.3525,0.005,6542,hsa-mir-424-5p,hsa-mir-452-3p,True,0.008666413012460763
0.0255,0.015,0.0065,6542,hsa-mir-424-5p,hsa-mir-26b-5p,True,0.010942374760376006
0.038,0.0555,0.0005,6542,hsa-mir-424-5p,hsa-mir-362-3p,True,0.0010852888624181061
0.0265,0.115,0.004,60481,hsa-mir-424-5p,hsa-mir-148a-5p,True,0.007104266673164551
0.1775,0.028,0.0035,9052,hsa-mir-92a-1-5p,hsa-mir-133a-3p,True,0.006306125475849112
0.4025,0.9415,0.0035,9052,hsa-mir-30a-3p,hsa-mir-939-5p,True,0.006306125475849112
0.101,0.73,0.0045,11215,hsa-mir-192-5p,hsa-mir-195-5p,True,0.007887552904963447
0.03,0.0395,0.0055,3371,hsa-mir-224-5p,hsa-mir-452-3p,True,0.009434562613259277
0.258,0.246,0.0015,7546,hsa-mir-129-5p,hsa-mir-629-3p,True,0.0029531629841715737
0.044,0.13,0.002,8863,hsa-mir-26b-5p,hsa-mir-939-5p,True,0.003826844827133594
0.124,0.1565,0.0035,8863,hsa-mir-939-5p,hsa-mir-377-3p,True,0.006306125475849112
0.3945,0.023,0.0005,5798,hsa-mir-326,hsa-mir-320b,True,0.0010852888624181061
0.091,0.3965,0.0025,2296,hsa-mir-93-5p,hsa-mir-133a-3p,True,0.004673266311038162
0.1255,0.8735,0.0005,58508,hsa-mir-192-3p,hsa-mir-125b-5p,True,0.0010852888624181061
0.2065,0.022,0.0,2263,hsa-mir-942-5p,hsa-mir-19b-1-5p,True,0.0
0.0265,0.025,0.0055,2263,hsa-mir-19b-1-5p,hsa-mir-19a-3p,True,0.009434562613259277
0.055,0.0305,0.002,8653,hsa-mir-19a-3p,hsa-mir-651-5p,True,0.003826844827133594
0.105,0.823,0.0035,5743,hsa-mir-103a-2-5p,hsa-mir-146b-5p,True,0.006306125475849112
0.032,0.0265,0.0,2736,hsa-mir-424-5p,hsa-mir-503-5p,True,0.0
0.0255,0.065,0.0025,2736,hsa-mir-503-5p,hsa-mir-342-5p,True,0.004673266311038162
0.357,0.2155,0.0045,3205,hsa-mir-126-3p,hsa-mir-141-5p,True,0.007887552904963447
0.0105,0.013,0.0,131544,hsa-mir-93-5p,hsa-mir-200a-3p,True,0.0
0.015,0.013,0.001,83394,hsa-mir-642a-5p,hsa-mir-429,True,0.002047473243630439
0.012,0.057,0.001,83394,hsa-mir-183-5p,hsa-mir-511-5p,True,0.002047473243630439
0.015,0.0155,0.0055,5435,hsa-mir-20a-5p,hsa-mir-505-5p,True,0.009434562613259277
0.1495,0.0125,0.006,55195,hsa-mir-486-5p,hsa-mir-93-5p,True,0.010195314139177061
0.05,0.05,0.0,9252,hsa-mir-577,hsa-mir-148a-3p,True,0.0
0.048,0.422,0.0055,9252,hsa-mir-577,hsa-mir-142-5p,True,0.009434562613259277
0.0545,0.1655,0.0085,9751,hsa-mir-362-3p,hsa-mir-1301-3p,True,0.013864476569842906
0.1125,0.535,0.006,23509,hsa-mir-1266-5p,hsa-mir-218-5p,True,0.010195314139177061
0.037,0.017,0.0005,11201,hsa-mir-671-3p,hsa-mir-376a-5p,True,0.0010852888624181061
0.0905,0.055,0.0005,57534,hsa-mir-192-3p,hsa-mir-145-5p,True,0.0010852888624181061
0.0585,0.318,0.0,57534,hsa-mir-145-5p,hsa-mir-192-5p,True,0.0
0.045,0.084,0.002,9455,hsa-mir-18a-3p,hsa-mir-505-5p,True,0.003826844827133594
0.316,0.0335,0.001,9455,hsa-mir-214-3p,hsa-mir-93-3p,True,0.002047473243630439
0.5785,0.03,0.0075,9455,hsa-mir-3615,hsa-mir-93-3p,True,0.012412806539509538
0.076,0.045,0.0,9455,hsa-mir-505-5p,hsa-mir-93-3p,True,0.0
0.029,0.085,0.0005,9455,hsa-mir-93-3p,hsa-mir-31-5p,True,0.0010852888624181061
0.0165,0.3475,0.007,2138,hsa-mir-1292-5p,hsa-mir-142-5p,True,0.011684514267393396
0.062,0.1935,0.006,3696,hsa-mir-363-3p,hsa-mir-376b-3p,True,0.010195314139177061
0.0395,0.54,0.006,6671,hsa-mir-192-5p,hsa-mir-145-5p,True,0.010195314139177061
0.0585,0.012,0.0005,7091,hsa-mir-335-5p,hsa-mir-155-5p,True,0.0010852888624181061
0.0255,0.0315,0.0085,1993,hsa-mir-20a-5p,hsa-mir-500a-3p,True,0.013864476569842906
0.531,0.4765,0.0015,10891,hsa-mir-362-3p,hsa-mir-421,True,0.0029531629841715737
0.4755,0.0355,0.0,10891,hsa-mir-362-3p,hsa-mir-130b-3p,True,0.0
0.332,0.024,0.0015,10891,hsa-mir-425-3p,hsa-mir-130b-3p,True,0.0029531629841715737
0.04,0.075,0.0,6506,hsa-mir-455-3p,hsa-mir-500a-5p,True,0.0
0.0695,0.042,0.0,6506,hsa-mir-500a-5p,hsa-mir-200c-3p,True,0.0
0.183,0.0415,0.003,81539,hsa-mir-32-3p,hsa-mir-143-3p,True,0.005500150920615756
0.012,0.585,0.0025,81539,hsa-mir-424-3p,hsa-mir-19b-3p,True,0.004673266311038162
0.027,0.1805,0.0035,81539,hsa-mir-424-3p,hsa-mir-19a-3p,True,0.006306125475849112
0.078,0.03,0.001,81539,hsa-mir-7-5p,hsa-mir-143-3p,True,0.002047473243630439
0.011,0.0115,0.0035,51559,hsa-mir-505-5p,hsa-mir-503-5p,True,0.006306125475849112
0.072,0.0815,0.005,3977,hsa-mir-335-5p,hsa-mir-26b-3p,True,0.008666413012460763
0.059,0.015,0.0025,3977,hsa-mir-335-5p,hsa-mir-331-3p,True,0.004673266311038162
0.113,0.0175,0.0045,3977,hsa-mir-26b-3p,hsa-mir-331-3p,True,0.007887552904963447
0.102,0.011,0.003,3977,hsa-mir-26b-3p,hsa-mir-200a-5p,True,0.005500150920615756
0.1055,0.069,0.004,3977,hsa-mir-26b-3p,hsa-mir-484,True,0.007104266673164551
0.0285,0.0135,0.005,3977,hsa-mir-331-3p,hsa-mir-200a-5p,True,0.008666413012460763
0.2045,0.012,0.003,3977,hsa-mir-339-5p,hsa-mir-200a-5p,True,0.005500150920615756
0.012,0.0635,0.0005,3977,hsa-mir-200a-5p,hsa-mir-484,True,0.0010852888624181061
0.062,0.2685,0.001,55186,hsa-mir-218-5p,hsa-mir-32-3p,True,0.002047473243630439
0.408,0.1775,0.0005,2335,hsa-mir-130a-3p,hsa-mir-27a-5p,True,0.0010852888624181061
0.2435,0.0115,0.001,3488,hsa-mir-323b-3p,hsa-mir-193b-3p,True,0.002047473243630439
0.878,0.0215,0.001,5768,hsa-mir-20b-5p,hsa-mir-708-5p,True,0.002047473243630439
0.8475,0.0155,0.007,64766,hsa-mir-1-3p,hsa-mir-200a-3p,True,0.011684514267393396
0.0105,0.2115,0.0015,894,hsa-mir-503-5p,hsa-mir-326,True,0.0029531629841715737
0.0125,0.0125,0.004,894,hsa-mir-503-5p,hsa-mir-424-3p,True,0.007104266673164551
0.0115,0.015,0.0035,894,hsa-mir-503-5p,hsa-mir-342-3p,True,0.006306125475849112
0.044,0.4205,0.0025,894,hsa-mir-424-5p,hsa-mir-627-5p,True,0.004673266311038162
0.041,0.0905,0.0025,894,hsa-mir-424-5p,hsa-mir-1271-5p,True,0.004673266311038162
0.055,0.073,0.0015,894,hsa-mir-424-5p,hsa-mir-335-5p,True,0.0029531629841715737
0.066,0.0155,0.001,894,hsa-mir-424-5p,hsa-mir-940,True,0.002047473243630439
0.107,0.011,0.0005,894,hsa-mir-424-5p,hsa-mir-196b-5p,True,0.0010852888624181061
0.0545,0.05,0.0005,894,hsa-mir-424-5p,hsa-mir-505-3p,True,0.0010852888624181061
0.051,0.043,0.0025,894,hsa-mir-424-5p,hsa-mir-26b-5p,True,0.004673266311038162
0.4305,0.073,0.0,894,hsa-mir-627-5p,hsa-mir-335-5p,True,0.0
0.4225,0.0145,0.002,894,hsa-mir-627-5p,hsa-mir-196b-5p,True,0.003826844827133594
0.1185,0.0855,0.0025,894,hsa-mir-320c,hsa-mir-320d,True,0.004673266311038162
0.1105,0.014,0.0005,894,hsa-mir-1468-5p,hsa-mir-940,True,0.0010852888624181061
0.173,0.0765,0.0075,894,hsa-mir-376c-3p,hsa-mir-1271-5p,True,0.012412806539509538
0.084,0.0175,0.0005,894,hsa-mir-1271-5p,hsa-mir-940,True,0.0010852888624181061
0.078,0.02,0.0085,894,hsa-mir-335-5p,hsa-mir-940,True,0.013864476569842906
0.084,0.056,0.002,894,hsa-mir-335-5p,hsa-mir-505-3p,True,0.003826844827133594
0.102,0.0245,0.0,894,hsa-mir-335-5p,hsa-mir-26b-5p,True,0.0
0.032,0.1185,0.001,894,hsa-mir-708-5p,hsa-mir-153-3p,True,0.002047473243630439
0.0145,0.0415,0.0,894,hsa-mir-940,hsa-mir-26b-5p,True,0.0
0.02,0.084,0.0045,894,hsa-mir-940,hsa-mir-153-3p,True,0.007887552904963447
0.0705,0.0355,0.0,894,hsa-mir-505-3p,hsa-mir-26b-5p,True,0.0
0.0355,0.093,0.001,894,hsa-mir-26b-5p,hsa-mir-153-3p,True,0.002047473243630439
0.0875,0.1315,0.0015,53335,hsa-mir-33a-5p,hsa-mir-424-5p,True,0.0029531629841715737
0.64,0.096,0.001,53335,hsa-mir-196a-5p,hsa-mir-532-3p,True,0.002047473243630439
0.016,0.0805,0.0075,1191,hsa-mir-27a-5p,hsa-mir-326,True,0.012412806539509538
0.119,0.012,0.0,79912,hsa-mir-30a-3p,hsa-mir-539-5p,True,0.0
0.179,0.194,0.0055,3624,hsa-mir-338-5p,hsa-mir-129-5p,True,0.009434562613259277
0.0145,0.075,0.001,4035,hsa-mir-185-3p,hsa-mir-494-3p,True,0.002047473243630439
0.192,0.017,0.0005,27161,hsa-mir-196a-5p,hsa-mir-145-3p,True,0.0010852888624181061
0.044,0.4235,0.0005,3659,hsa-mir-20b-5p,hsa-mir-20a-5p,True,0.0010852888624181061
0.029,0.0195,0.0065,3659,hsa-mir-195-5p,hsa-mir-93-5p,True,0.010942374760376006
0.206,0.48,0.0,5126,hsa-mir-224-3p,hsa-mir-144-5p,True,0.0
0.127,0.0935,0.0005,8854,hsa-mir-155-5p,hsa-mir-362-3p,True,0.0010852888624181061
0.2635,0.07,0.002,4131,hsa-mir-224-3p,hsa-mir-224-5p,True,0.003826844827133594
0.13,0.3585,0.007,6860,hsa-mir-142-3p,hsa-mir-3065-5p,True,0.011684514267393396
0.0115,0.0135,0.0,3572,hsa-mir-148a-3p,hsa-mir-155-5p,True,0.0
0.0845,0.0745,0.002,324,hsa-mir-125b-5p,hsa-mir-192-5p,True,0.003826844827133594
0.113,0.1675,0.0,51280,hsa-mir-145-5p,hsa-mir-17-5p,True,0.0
0.0315,0.0255,0.002,3915,hsa-mir-4326,hsa-mir-940,True,0.003826844827133594
0.0395,0.017,0.006,3662,hsa-mir-26b-5p,hsa-mir-19b-1-5p,True,0.010195314139177061
0.555,0.015,0.0005,3662,hsa-mir-33a-3p,hsa-mir-19b-1-5p,True,0.0010852888624181061
0.0125,0.106,0.001,3662,hsa-mir-18a-3p,hsa-mir-3928-3p,True,0.002047473243630439
0.0125,0.0185,0.001,3662,hsa-mir-18a-3p,hsa-mir-19b-1-5p,True,0.002047473243630439
0.222,0.0165,0.008,3662,hsa-mir-339-5p,hsa-mir-19b-1-5p,True,0.013142445005409304
0.049,0.011,0.0,3662,hsa-mir-1301-3p,hsa-mir-19b-1-5p,True,0.0
0.711,0.019,0.0015,3662,hsa-mir-505-3p,hsa-mir-19b-1-5p,True,0.0029531629841715737
0.0325,0.031,0.007,3662,hsa-mir-19a-3p,hsa-mir-19b-1-5p,True,0.011684514267393396
0.7835,0.026,0.002,3662,hsa-mir-345-5p,hsa-mir-19b-1-5p,True,0.003826844827133594
0.0605,0.018,0.0015,3662,hsa-mir-103a-2-5p,hsa-mir-19b-1-5p,True,0.0029531629841715737
0.0395,0.293,0.0,7057,hsa-mir-193b-3p,hsa-mir-193b-5p,True,0.0
0.0285,0.0115,0.0005,84171,hsa-mir-335-5p,hsa-mir-424-5p,True,0.0010852888624181061
0.1325,0.351,0.0005,84665,hsa-mir-7-5p,hsa-mir-93-5p,True,0.0010852888624181061
0.126,0.0445,0.005,84665,hsa-mir-7-5p,hsa-mir-20a-5p,True,0.008666413012460763
0.1205,0.2595,0.0015,84665,hsa-mir-7-5p,hsa-mir-425-5p,True,0.0029531629841715737
0.024,0.336,0.0085,84665,hsa-mir-3928-3p,hsa-mir-93-5p,True,0.013864476569842906
0.0125,0.0655,0.006,84665,hsa-mir-3928-3p,hsa-mir-133a-3p,True,0.010195314139177061
0.377,0.0675,0.0045,84665,hsa-mir-93-5p,hsa-mir-20a-5p,True,0.007887552904963447
0.0475,0.049,0.0085,84665,hsa-mir-133a-3p,hsa-mir-20a-5p,True,0.013864476569842906
0.0305,0.432,0.001,84530,hsa-mir-511-5p,hsa-mir-431-5p,True,0.002047473243630439
0.055,0.105,0.0025,11057,hsa-mir-185-3p,hsa-mir-195-5p,True,0.004673266311038162
0.032,0.173,0.0,11057,hsa-mir-145-3p,hsa-mir-20b-5p,True,0.0
0.0195,0.0795,0.003,11057,hsa-mir-514a-3p,hsa-mir-103a-2-5p,True,0.005500150920615756
0.619,0.0715,0.005,80000,hsa-mir-362-3p,hsa-mir-484,True,0.008666413012460763
0.046,0.057,0.004,80000,hsa-mir-26b-5p,hsa-mir-484,True,0.007104266673164551
0.059,0.0585,0.0,80000,hsa-mir-26b-5p,hsa-mir-582-5p,True,0.0
0.032,0.0185,0.0095,80000,hsa-mir-200a-3p,hsa-mir-200b-3p,True,0.015304820635236388
0.035,0.018,0.0,80000,hsa-mir-200a-3p,hsa-mir-200c-3p,True,0.0
0.096,0.0285,0.0015,80000,hsa-mir-484,hsa-mir-320b,True,0.0029531629841715737
0.022,0.014,0.0005,80000,hsa-mir-200b-3p,hsa-mir-200c-3p,True,0.0010852888624181061
0.127,0.026,0.007,150094,hsa-mir-194-5p,hsa-mir-1307-3p,True,0.011684514267393396
0.4275,0.316,0.0085,150094,hsa-mir-195-5p,hsa-mir-374b-3p,True,0.013864476569842906
0.039,0.143,0.0055,150094,hsa-mir-1307-3p,hsa-mir-130b-3p,True,0.009434562613259277
0.1235,0.029,0.0005,150094,hsa-mir-130b-3p,hsa-mir-17-5p,True,0.0010852888624181061
0.107,0.017,0.0075,80110,hsa-mir-136-5p,hsa-mir-31-3p,True,0.012412806539509538
0.136,0.0145,0.0,388,hsa-mir-1271-5p,hsa-mir-23a-5p,True,0.0
0.104,0.045,0.0,91775,hsa-mir-874-3p,hsa-mir-431-5p,True,0.0
0.0225,0.08,0.0,5814,hsa-mir-145-5p,hsa-mir-942-5p,True,0.0
0.0235,0.345,0.0065,8038,hsa-mir-200b-3p,hsa-mir-1-3p,True,0.010942374760376006
0.0105,0.1275,0.008,85463,hsa-mir-31-5p,hsa-mir-362-3p,True,0.013142445005409304
0.023,0.072,0.0005,85463,hsa-mir-200c-5p,hsa-mir-33a-3p,True,0.0010852888624181061
0.0225,0.105,0.0,85463,hsa-mir-200c-5p,hsa-mir-362-3p,True,0.0
0.032,0.069,0.0065,85463,hsa-mir-33a-3p,hsa-mir-671-5p,True,0.010942374760376006
0.063,0.1375,0.0,85463,hsa-mir-671-5p,hsa-mir-362-3p,True,0.0
0.0165,0.105,0.0015,85463,hsa-mir-142-3p,hsa-mir-362-3p,True,0.0029531629841715737
0.0155,0.019,0.001,472,hsa-mir-223-3p,hsa-mir-148a-3p,True,0.002047473243630439
0.019,0.1035,0.003,8091,hsa-mir-33a-5p,hsa-mir-30c-2-3p,True,0.005500150920615756
0.2825,0.1195,0.0005,8091,hsa-mir-532-3p,hsa-mir-30c-2-3p,True,0.0010852888624181061
0.038,0.158,0.0,8091,hsa-mir-196b-5p,hsa-mir-30c-2-3p,True,0.0
0.0265,0.13,0.0085,8091,hsa-mir-194-5p,hsa-mir-363-3p,True,0.013864476569842906
0.239,0.075,0.002,341640,hsa-mir-539-5p,hsa-mir-326,True,0.003826844827133594
0.33,0.072,0.009,23657,hsa-mir-215-5p,hsa-mir-30a-5p,True,0.014587000511440705
0.013,0.437,0.002,7068,hsa-mir-26b-5p,hsa-mir-320b,True,0.003826844827133594
