Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.2965,0.578,0.001,56924,hsa-mir-3609,hsa-mir-519d-3p,True,0.003796744484900407
0.235,0.125,0.0065,4170,hsa-mir-873-5p,hsa-mir-494-3p,True,0.01827912326159378
0.0165,0.124,0.006,1601,hsa-mir-124-3p,hsa-mir-548d-3p,True,0.01713305412371134
0.064,0.0105,0.0045,861,hsa-mir-34b-5p,hsa-mir-642a-5p,True,0.013529765943012211
0.013,0.0145,0.001,861,hsa-mir-642a-5p,hsa-mir-106a-5p,True,0.003796744484900407
0.196,0.7455,0.0075,3920,hsa-mir-124-3p,hsa-mir-29b-3p,True,0.02055066079295154
0.026,0.0765,0.0045,3720,hsa-mir-301b-3p,hsa-mir-449a,True,0.013529765943012211
0.03,0.018,0.0005,9031,hsa-mir-3065-5p,hsa-mir-34c-5p,True,0.0020586459180118454
0.013,0.035,0.005,3423,hsa-mir-18b-5p,hsa-mir-7-1-3p,True,0.014756104328523862
0.0835,0.02,0.009,920,hsa-mir-204-5p,hsa-mir-485-5p,True,0.023827799074027975
0.013,0.55,0.0025,3097,hsa-mir-486-3p,hsa-mir-873-5p,True,0.008302007555652689
0.044,0.618,0.0,672,hsa-mir-181d-5p,hsa-mir-20b-5p,True,0.0
0.067,0.07,0.001,5010,hsa-mir-377-3p,hsa-mir-154-3p,True,0.003796744484900407
0.0365,0.0235,0.001,9052,hsa-let-7e-5p,hsa-mir-582-5p,True,0.003796744484900407
0.0245,0.027,0.0005,9052,hsa-let-7e-5p,hsa-mir-152-3p,True,0.0020586459180118454
0.034,0.026,0.002,9052,hsa-let-7e-5p,hsa-let-7c-5p,True,0.006871818064349399
0.7305,0.0295,0.006,9052,hsa-mir-34b-3p,hsa-mir-455-5p,True,0.01713305412371134
0.1,0.0585,0.002,9052,hsa-mir-940,hsa-mir-500b-5p,True,0.006871818064349399
0.0855,0.0635,0.004,9052,hsa-mir-424-5p,hsa-mir-500b-5p,True,0.012273482575582738
0.0375,0.0175,0.0075,9052,hsa-mir-500b-5p,hsa-mir-301a-3p,True,0.02055066079295154
0.062,0.025,0.0,9052,hsa-mir-500b-5p,hsa-mir-582-5p,True,0.0
0.746,0.031,0.0,3479,hsa-mir-3065-5p,hsa-mir-129-5p,True,0.0
0.752,0.038,0.006,3479,hsa-mir-3065-5p,hsa-mir-219a-1-3p,True,0.01713305412371134
0.055,0.0325,0.0035,58528,hsa-mir-34c-5p,hsa-mir-124-3p,True,0.01098845858669343
0.042,0.1375,0.0035,23633,hsa-mir-150-5p,hsa-mir-452-3p,True,0.01098845858669343
0.37,0.0875,0.0065,4238,hsa-mir-7-5p,hsa-mir-96-5p,True,0.01827912326159378
0.2535,0.2015,0.0005,3224,hsa-mir-518a-3p,hsa-mir-34b-5p,True,0.0020586459180118454
0.522,0.2235,0.006,3224,hsa-mir-149-3p,hsa-mir-518b,True,0.01713305412371134
0.1445,0.183,0.0015,3224,hsa-mir-518b,hsa-mir-34b-5p,True,0.005383963824115007
0.184,0.2025,0.0015,3224,hsa-mir-518f-3p,hsa-mir-34b-5p,True,0.005383963824115007
0.197,0.141,0.0005,3224,hsa-mir-34b-5p,hsa-mir-518c-3p,True,0.0020586459180118454
0.027,0.012,0.003,116984,hsa-let-7f-2-3p,hsa-mir-942-5p,True,0.009658443563277538
0.5285,0.0815,0.0025,23095,hsa-mir-511-5p,hsa-mir-483-3p,True,0.008302007555652689
0.018,0.0185,0.0,10797,hsa-mir-136-5p,hsa-mir-1224-5p,True,0.0
0.023,0.012,0.003,6672,hsa-mir-18b-5p,hsa-mir-335-3p,True,0.009658443563277538
0.043,0.0145,0.0,7158,hsa-mir-29b-3p,hsa-mir-96-5p,True,0.0
0.022,0.1405,0.004,7158,hsa-mir-96-5p,hsa-mir-29a-3p,True,0.012273482575582738
0.024,0.799,0.0,375449,hsa-mir-20b-5p,hsa-mir-92b-3p,True,0.0
0.7315,0.064,0.0,375449,hsa-mir-92b-3p,hsa-mir-106a-5p,True,0.0
0.203,0.0905,0.004,7037,hsa-mir-124-3p,hsa-mir-615-3p,True,0.012273482575582738
0.07,0.3135,0.0015,7037,hsa-mir-615-3p,hsa-mir-7-5p,True,0.005383963824115007
0.021,0.328,0.007,6720,hsa-mir-342-5p,hsa-mir-495-3p,True,0.019425328741390104
0.03,0.027,0.0065,64778,hsa-mir-155-5p,hsa-mir-211-5p,True,0.01827912326159378
0.016,0.15,0.0005,2239,hsa-mir-548o-3p,hsa-mir-3065-3p,True,0.0020586459180118454
0.098,0.092,0.0005,5915,hsa-mir-195-5p,hsa-mir-424-5p,True,0.0020586459180118454
0.0725,0.091,0.003,4983,hsa-mir-1269a,hsa-mir-548o-3p,True,0.009658443563277538
0.0615,0.249,0.001,4983,hsa-mir-1269a,hsa-mir-92a-1-5p,True,0.003796744484900407
