Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0425,0.0305,0.0025,1601,hsa-mir-93-5p,hsa-mir-144-3p,True,0.011365535015997156
0.038,0.066,0.0075,4681,hsa-mir-7-5p,hsa-mir-18a-3p,True,0.027062744683102317
0.0365,0.0475,0.0015,4681,hsa-mir-7-5p,hsa-mir-106a-5p,True,0.007531138047798989
0.026,0.0155,0.001,4681,hsa-mir-20b-5p,hsa-mir-17-5p,True,0.005372472824659981
0.019,0.059,0.0065,4681,hsa-mir-20b-5p,hsa-mir-18a-3p,True,0.024225938069216753
0.0165,0.055,0.002,4681,hsa-mir-20b-5p,hsa-mir-106a-5p,True,0.009510388101324657
0.0175,0.0425,0.004,4681,hsa-mir-20a-5p,hsa-mir-18a-3p,True,0.016563403084146194
0.0645,0.051,0.0025,4681,hsa-mir-18a-3p,hsa-mir-106a-5p,True,0.011365535015997156
0.3315,0.8265,0.004,57147,hsa-mir-135b-5p,hsa-mir-18a-5p,True,0.016563403084146194
0.357,0.1075,0.0025,7035,hsa-mir-195-5p,hsa-mir-100-5p,True,0.011365535015997156
0.0175,0.565,0.008,1870,hsa-mir-199a-3p,hsa-mir-519d-3p,True,0.02846138331536669
0.579,0.128,0.0,1870,hsa-mir-519d-3p,hsa-let-7b-5p,True,0.0
0.548,0.0135,0.0,1870,hsa-mir-519d-3p,hsa-mir-31-5p,True,0.0
0.118,0.0205,0.003,1870,hsa-let-7b-5p,hsa-mir-31-5p,True,0.013181189607043162
0.019,0.1225,0.0045,9690,hsa-mir-520a-3p,hsa-mir-940,True,0.018167633479341777
0.0505,0.4045,0.0,9918,hsa-let-7b-5p,hsa-mir-519d-3p,True,0.0
0.0325,0.0565,0.001,54443,hsa-mir-497-5p,hsa-mir-195-5p,True,0.005372472824659981
0.0355,0.2015,0.0055,9369,hsa-mir-3940-3p,hsa-mir-196a-5p,True,0.021270658501549862
0.263,0.085,0.001,7133,hsa-mir-125a-5p,hsa-mir-130a-3p,True,0.005372472824659981
0.677,0.0705,0.0075,56938,hsa-mir-579-3p,hsa-mir-363-3p,True,0.027062744683102317
0.2085,0.0675,0.0,22807,hsa-let-7b-5p,hsa-mir-125b-5p,True,0.0
0.067,0.019,0.0,10721,hsa-mir-519d-3p,hsa-let-7b-5p,True,0.0
0.032,0.0145,0.0005,5291,hsa-mir-181a-5p,hsa-mir-383-5p,True,0.0029751075956729093
0.0185,0.991,0.0055,23224,hsa-mir-130a-5p,hsa-mir-520a-5p,True,0.021270658501549862
0.0175,0.5975,0.0045,64718,hsa-mir-128-3p,hsa-mir-520a-3p,True,0.018167633479341777
0.0645,0.0535,0.008,4084,hsa-mir-520a-5p,hsa-mir-525-5p,True,0.02846138331536669
0.015,0.073,0.003,4084,hsa-let-7b-5p,hsa-mir-525-5p,True,0.013181189607043162
0.011,0.011,0.0085,586,hsa-mir-125a-5p,hsa-mir-34c-3p,True,0.029841735012525312
0.0625,0.0255,0.003,81671,hsa-mir-150-3p,hsa-mir-212-3p,True,0.013181189607043162
0.016,0.033,0.004,10797,hsa-mir-3065-3p,hsa-mir-154-5p,True,0.016563403084146194
0.016,0.0165,0.0,259266,hsa-mir-31-5p,hsa-mir-509-3p,True,0.0
0.013,0.2935,0.0,259266,hsa-mir-31-5p,hsa-mir-195-5p,True,0.0
0.017,0.7775,0.001,259266,hsa-mir-31-5p,hsa-mir-376c-3p,True,0.005372472824659981
0.016,0.121,0.0095,259266,hsa-mir-509-3p,hsa-mir-196a-5p,True,0.03256142584341184
0.0245,0.386,0.0015,29121,hsa-mir-200b-3p,hsa-mir-214-3p,True,0.007531138047798989
0.063,0.083,0.0,483,hsa-mir-520a-3p,hsa-mir-519d-3p,True,0.0
0.0825,0.073,0.0035,4925,hsa-let-7b-5p,hsa-mir-432-5p,True,0.014919295029373777
0.0685,0.1345,0.0005,53615,hsa-mir-125a-5p,hsa-mir-1262,True,0.0029751075956729093
0.215,0.315,0.0,7037,hsa-mir-181d-5p,hsa-mir-125b-5p,True,0.0
0.012,0.0115,0.0025,7037,hsa-mir-136-5p,hsa-mir-450b-5p,True,0.011365535015997156
0.2105,0.452,0.0015,7037,hsa-mir-125b-5p,hsa-mir-181c-5p,True,0.007531138047798989
0.4055,0.016,0.005,4775,hsa-mir-195-5p,hsa-mir-30a-3p,True,0.01973610092981982
0.4265,0.0375,0.0,4775,hsa-mir-519a-5p,hsa-mir-125b-5p,True,0.0
0.024,0.013,0.006,4775,hsa-mir-30a-3p,hsa-mir-30a-5p,True,0.022776446143000263
0.0125,0.032,0.003,4775,hsa-mir-125a-5p,hsa-mir-125b-5p,True,0.013181189607043162
0.025,0.0455,0.001,4775,hsa-mir-337-3p,hsa-mir-125b-5p,True,0.005372472824659981
0.144,0.3305,0.002,64778,hsa-mir-200c-3p,hsa-mir-1304-5p,True,0.009510388101324657
0.0855,0.0615,0.0025,60,hsa-mir-195-5p,hsa-mir-1295a,True,0.011365535015997156
0.0125,0.3275,0.006,22978,hsa-mir-766-3p,hsa-mir-483-3p,True,0.022776446143000263
0.404,0.913,0.0065,3205,hsa-mir-195-3p,hsa-mir-199b-3p,True,0.024225938069216753
0.1855,0.223,0.0045,3205,hsa-let-7b-5p,hsa-mir-182-5p,True,0.018167633479341777
0.019,0.1255,0.006,1906,hsa-mir-130a-3p,hsa-mir-33b-5p,True,0.022776446143000263
0.0275,0.1755,0.005,8671,hsa-mir-23a-5p,hsa-mir-4326,True,0.01973610092981982
0.113,0.3825,0.0015,2920,hsa-mir-141-3p,hsa-mir-181d-5p,True,0.007531138047798989
0.168,0.142,0.0005,6790,hsa-mir-199a-3p,hsa-mir-154-5p,True,0.0029751075956729093
0.018,0.0705,0.0085,6790,hsa-mir-519a-5p,hsa-mir-149-5p,True,0.029841735012525312
0.014,0.016,0.0055,6790,hsa-mir-519a-5p,hsa-mir-518c-5p,True,0.021270658501549862
0.211,0.0145,0.0055,53827,hsa-mir-512-3p,hsa-mir-3170,True,0.021270658501549862
0.018,0.1795,0.004,53827,hsa-mir-3170,hsa-mir-520c-3p,True,0.016563403084146194
0.015,0.1705,0.005,53827,hsa-mir-3170,hsa-mir-520a-3p,True,0.01973610092981982
0.012,0.2115,0.005,53827,hsa-mir-3170,hsa-mir-519d-3p,True,0.01973610092981982
0.0145,0.1675,0.0075,53827,hsa-mir-3170,hsa-mir-520d-3p,True,0.027062744683102317
0.4725,0.1435,0.0005,2099,hsa-mir-519c-3p,hsa-mir-221-3p,True,0.0029751075956729093
0.153,0.3415,0.0015,2099,hsa-mir-221-3p,hsa-mir-520a-3p,True,0.007531138047798989
0.5165,0.0535,0.007,10762,hsa-mir-96-5p,hsa-mir-195-5p,True,0.025660396287935792
