Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.353,0.034,0.0005,4784,hsa-mir-3648,hsa-mir-625-5p,True,0.031108928571428572
0.034,0.0135,0.008,9052,hsa-mir-301b-3p,hsa-mir-130b-3p,False,0.1409180990899899
0.044,0.0125,0.006,9052,hsa-mir-130b-3p,hsa-mir-301a-3p,False,0.12414014251781473
0.0265,0.523,0.003,9052,hsa-mir-130b-3p,hsa-mir-92a-1-5p,False,0.09152889667250438
0.0415,0.1855,0.004,7431,hsa-mir-320c,hsa-mir-548e-3p,False,0.10416143497757849
0.606,0.1885,0.007,2296,hsa-mir-185-3p,hsa-mir-639,False,0.13356736035049288
0.0295,0.1055,0.002,586,hsa-mir-194-5p,hsa-mir-653-5p,False,0.07444871794871795
0.097,0.2465,0.002,2182,hsa-mir-339-5p,hsa-mir-19a-3p,False,0.07444871794871795
0.1215,0.1755,0.0,2182,hsa-mir-33b-5p,hsa-mir-26a-1-3p,True,0.0
0.4685,0.1075,0.005,22924,hsa-mir-146a-5p,hsa-mir-301b-3p,False,0.1150660501981506
0.021,0.0145,0.0095,79776,hsa-mir-9-5p,hsa-mir-497-5p,False,0.15127925045703838
0.8725,0.0805,0.0035,84336,hsa-mir-20b-3p,hsa-let-7c-5p,False,0.0980281350482315
0.0265,0.012,0.0025,151887,hsa-mir-19a-3p,hsa-mir-17-3p,False,0.08264231499051233
0.0535,0.022,0.0095,23428,hsa-mir-34a-5p,hsa-mir-185-3p,False,0.15127925045703838
0.095,0.4755,0.0045,9402,hsa-mir-504-5p,hsa-mir-548s,False,0.11025949367088607
0.0985,0.113,0.0055,1021,hsa-mir-628-5p,hsa-mir-624-5p,False,0.11902546583850931
0.475,0.037,0.009,1021,hsa-mir-491-5p,hsa-mir-320b,False,0.14861516587677723
0.0925,0.214,0.001,1021,hsa-mir-203a-3p,hsa-mir-378c,True,0.04963247863247864
0.7935,0.498,0.008,4233,hsa-mir-34a-3p,hsa-mir-148a-3p,False,0.1409180990899899
0.071,0.014,0.0045,22841,hsa-mir-18a-3p,hsa-mir-628-5p,False,0.11025949367088607
0.0105,0.0375,0.002,253738,hsa-mir-34a-5p,hsa-mir-628-5p,False,0.07444871794871795
0.282,0.168,0.004,81539,hsa-mir-758-3p,hsa-mir-146a-5p,False,0.10416143497757849
0.107,0.219,0.0005,81539,hsa-mir-29b-3p,hsa-mir-125b-5p,True,0.031108928571428572
0.1865,0.026,0.002,6648,hsa-mir-483-3p,hsa-mir-7-5p,False,0.07444871794871795
0.0105,0.029,0.0035,60468,hsa-mir-7-1-3p,hsa-mir-1270,False,0.0980281350482315
0.011,0.6345,0.0065,81491,hsa-mir-22-5p,hsa-mir-146b-3p,False,0.1283860544217687
0.0105,0.0175,0.0065,55084,hsa-mir-92b-3p,hsa-mir-17-3p,False,0.1283860544217687
0.0125,0.029,0.002,55084,hsa-mir-92b-3p,hsa-mir-20a-5p,False,0.07444871794871795
0.366,0.2405,0.0045,57221,hsa-mir-181a-5p,hsa-mir-221-5p,False,0.11025949367088607
0.2015,0.148,0.0025,57221,hsa-mir-181b-5p,hsa-mir-221-5p,False,0.08264231499051233
0.051,0.216,0.0055,7422,hsa-mir-296-5p,hsa-mir-146a-5p,False,0.11902546583850931
0.1495,0.049,0.001,3977,hsa-mir-421,hsa-mir-629-3p,True,0.04963247863247864
0.928,0.0605,0.0065,7474,hsa-mir-135b-3p,hsa-mir-1226-3p,False,0.1283860544217687
