Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.441,0.2145,0.0075,9957,hsa-mir-144-5p,hsa-mir-30a-3p,False,0.20499631811487481
0.0105,0.031,0.0075,952,hsa-mir-19b-1-5p,hsa-mir-20a-5p,False,0.20499631811487481
0.023,0.033,0.005,952,hsa-mir-17-5p,hsa-mir-20a-5p,False,0.1784519230769231
0.024,0.0115,0.0095,3675,hsa-mir-199b-5p,hsa-mir-199b-3p,False,0.21956475716064758
0.011,0.011,0.009,3675,hsa-mir-199b-5p,hsa-mir-199a-3p,False,0.21692337662337663
0.0135,0.034,0.003,3675,hsa-mir-199b-5p,hsa-mir-199a-5p,False,0.15253972602739727
0.589,0.942,0.004,53616,hsa-mir-627-5p,hsa-mir-21-5p,False,0.1649688888888889
0.2875,0.0765,0.0045,9043,hsa-mir-182-5p,hsa-mir-141-5p,False,0.1732686721991701
0.011,0.6725,0.002,51099,hsa-mir-17-5p,hsa-mir-129-5p,False,0.12497643097643098
0.803,0.455,0.0045,54814,hsa-mir-149-3p,hsa-mir-30c-2-3p,False,0.1732686721991701
0.0255,0.096,0.0005,9052,hsa-mir-362-3p,hsa-mir-188-3p,False,0.06773357664233577
0.016,0.034,0.0,9052,hsa-mir-362-3p,hsa-mir-362-5p,True,0.0
0.03,0.018,0.0,9052,hsa-mir-362-3p,hsa-mir-500b-5p,True,0.0
0.0315,0.0185,0.0,9052,hsa-mir-362-3p,hsa-mir-133a-3p,True,0.0
0.0245,0.036,0.0,9052,hsa-mir-362-3p,hsa-mir-500a-3p,True,0.0
0.066,0.0435,0.0005,9052,hsa-mir-188-3p,hsa-mir-362-5p,False,0.06773357664233577
0.0795,0.0225,0.0,9052,hsa-mir-188-3p,hsa-mir-500b-5p,True,0.0
0.1005,0.031,0.0,9052,hsa-mir-188-3p,hsa-mir-500a-3p,True,0.0
0.0365,0.023,0.0,9052,hsa-mir-362-5p,hsa-mir-500b-5p,True,0.0
0.035,0.0265,0.0,9052,hsa-mir-362-5p,hsa-mir-133a-3p,True,0.0
0.032,0.0485,0.0005,9052,hsa-mir-362-5p,hsa-mir-500a-3p,False,0.06773357664233577
0.026,0.012,0.0005,9052,hsa-mir-500b-5p,hsa-mir-133a-3p,False,0.06773357664233577
0.025,0.0565,0.0,9052,hsa-mir-500b-5p,hsa-mir-500a-3p,True,0.0
0.0195,0.0455,0.001,9052,hsa-mir-133a-3p,hsa-mir-500a-3p,False,0.09616062176165803
0.563,0.384,0.0085,25937,hsa-mir-320d,hsa-mir-29a-5p,False,0.21174697986577182
0.1695,0.1525,0.004,1373,hsa-mir-29a-5p,hsa-mir-29a-3p,False,0.1649688888888889
0.0855,0.7755,0.0055,5452,hsa-mir-185-3p,hsa-mir-542-3p,False,0.18525317604355715
0.3325,0.432,0.0005,22807,hsa-mir-130b-5p,hsa-mir-301b-3p,False,0.06773357664233577
0.1995,0.039,0.006,7204,hsa-mir-98-5p,hsa-mir-92b-3p,False,0.18746464646464647
0.0795,0.7535,0.007,1462,hsa-mir-335-3p,hsa-mir-3187-3p,False,0.20235669781931465
0.804,0.0115,0.009,23035,hsa-mir-628-3p,hsa-mir-338-5p,False,0.21692337662337663
0.3345,0.149,0.0065,1829,hsa-mir-494-3p,hsa-mir-381-3p,False,0.19679200652528547
0.195,0.4925,0.004,22884,hsa-mir-744-5p,hsa-mir-23a-5p,False,0.1649688888888889
0.1515,0.1295,0.0045,116984,hsa-mir-17-5p,hsa-mir-301b-3p,False,0.1732686721991701
0.013,0.1355,0.003,116984,hsa-mir-130b-3p,hsa-mir-301b-3p,False,0.15253972602739727
0.018,0.0795,0.0,116984,hsa-mir-130b-3p,hsa-mir-130a-3p,True,0.0
0.0215,0.444,0.006,116984,hsa-mir-130b-3p,hsa-mir-20a-5p,False,0.18746464646464647
0.156,0.074,0.0025,116984,hsa-mir-301b-3p,hsa-mir-130a-3p,False,0.14364551083591331
0.157,0.293,0.002,116984,hsa-mir-301b-3p,hsa-mir-20a-5p,False,0.12497643097643098
0.4735,0.2565,0.007,23095,hsa-mir-30a-5p,hsa-mir-9-5p,False,0.20235669781931465
0.1655,0.2025,0.0,10758,hsa-mir-411-5p,hsa-mir-17-5p,True,0.0
0.76,0.883,0.008,65125,hsa-mir-200b-3p,hsa-mir-708-5p,False,0.20882137834036568
0.455,0.859,0.0025,65125,hsa-mir-200a-5p,hsa-mir-708-5p,False,0.14364551083591331
0.043,0.047,0.0015,10787,hsa-mir-218-5p,hsa-mir-30a-3p,False,0.1136265306122449
0.4425,0.0275,0.002,10188,hsa-mir-491-5p,hsa-mir-744-5p,False,0.12497643097643098
0.054,0.115,0.009,10188,hsa-mir-7-5p,hsa-mir-330-5p,False,0.21692337662337663
0.4865,0.4905,0.005,10885,hsa-mir-21-5p,hsa-let-7b-5p,False,0.1784519230769231
0.9095,0.331,0.002,6602,hsa-mir-21-5p,hsa-mir-744-5p,False,0.12497643097643098
0.2145,0.559,0.006,6602,hsa-mir-501-5p,hsa-mir-182-5p,False,0.18746464646464647
