Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.1765,0.0125,0.006,22875,hsa-mir-424-5p,hsa-mir-140-5p,False,0.31881159420289856
0.0225,0.042,0.0075,9957,hsa-mir-150-5p,hsa-mir-30a-3p,False,0.33533536585365853
0.1735,0.1605,0.0015,4293,hsa-mir-15a-5p,hsa-mir-301a-3p,False,0.19296491228070176
0.1,0.2585,0.0015,4293,hsa-mir-301a-3p,hsa-mir-20a-5p,False,0.19296491228070176
0.0585,0.1515,0.0005,3720,hsa-mir-33a-5p,hsa-mir-19a-3p,False,0.11826881720430107
0.5585,0.1645,0.0075,54443,hsa-mir-335-3p,hsa-mir-142-5p,False,0.33533536585365853
0.5525,0.23,0.006,9782,hsa-mir-1229-3p,hsa-mir-421,False,0.31881159420289856
0.2575,0.535,0.004,864,hsa-mir-106a-5p,hsa-mir-495-3p,False,0.28112460063897765
0.0265,0.274,0.0095,1373,hsa-mir-142-3p,hsa-mir-21-5p,False,0.3494665551839465
0.1345,0.343,0.0045,7431,hsa-mir-21-5p,hsa-mir-34a-3p,False,0.29029618768328447
0.253,0.0765,0.007,5452,hsa-mir-133a-3p,hsa-mir-20a-3p,False,0.3297344753747323
0.406,0.371,0.006,22807,hsa-mir-301a-3p,hsa-mir-125b-5p,False,0.31881159420289856
0.3585,0.76,0.0025,1829,hsa-mir-335-3p,hsa-mir-129-5p,False,0.24120614035087717
0.626,0.0175,0.0065,116984,hsa-mir-629-3p,hsa-mir-338-5p,False,0.3272013729977116
0.2905,0.148,0.0055,55187,hsa-mir-301a-3p,hsa-mir-550a-3p,False,0.30630126582278483
0.0265,0.109,0.0025,55187,hsa-mir-20a-5p,hsa-mir-550a-3p,False,0.24120614035087717
0.024,0.762,0.002,26099,hsa-mir-195-5p,hsa-mir-9-5p,False,0.22332994923857866
0.313,0.5155,0.0,6515,hsa-mir-106a-5p,hsa-mir-424-5p,True,0.0
0.216,0.677,0.0075,28996,hsa-mir-182-5p,hsa-mir-383-5p,False,0.33533536585365853
0.0185,0.18,0.0005,91526,hsa-mir-335-3p,hsa-mir-383-5p,False,0.11826881720430107
0.27,0.6055,0.0045,1316,hsa-mir-10b-3p,hsa-mir-511-5p,False,0.29029618768328447
0.819,0.5055,0.009,30836,hsa-mir-143-3p,hsa-mir-203a-3p,False,0.3449163763066202
0.0235,0.7655,0.003,2182,hsa-mir-1304-5p,hsa-mir-20b-5p,False,0.2588
0.2195,0.843,0.002,3796,hsa-mir-34b-3p,hsa-mir-222-5p,False,0.22332994923857866
0.194,0.0205,0.0005,7037,hsa-mir-197-3p,hsa-mir-506-3p,False,0.11826881720430107
0.0195,0.2795,0.0085,64778,hsa-mir-211-5p,hsa-let-7b-5p,False,0.34435174953959485
0.1655,0.4695,0.0,64778,hsa-mir-335-3p,hsa-mir-129-5p,True,0.0
0.0125,0.0605,0.0025,79960,hsa-mir-199a-3p,hsa-mir-92b-3p,False,0.24120614035087717
0.017,0.136,0.0085,55728,hsa-mir-197-3p,hsa-mir-181a-5p,False,0.34435174953959485
0.0585,0.4525,0.005,28962,hsa-mir-149-5p,hsa-mir-146b-3p,False,0.3005191256830601
0.1535,0.0295,0.009,5241,hsa-mir-19b-3p,hsa-mir-181b-5p,False,0.3449163763066202
0.6455,0.1055,0.001,5351,hsa-mir-106a-5p,hsa-mir-142-3p,False,0.1745873015873016
0.093,0.3985,0.009,27327,hsa-mir-328-3p,hsa-mir-30c-2-3p,False,0.3449163763066202
0.637,0.0265,0.0055,55632,hsa-mir-383-5p,hsa-mir-548v,False,0.30630126582278483
0.733,0.018,0.009,26523,hsa-mir-34c-5p,hsa-let-7b-5p,False,0.3449163763066202
0.2035,0.581,0.0085,1808,hsa-mir-30e-5p,hsa-mir-21-5p,False,0.34435174953959485
0.027,0.29,0.0035,51430,hsa-mir-197-3p,hsa-mir-181a-5p,False,0.26826829268292685
0.052,0.206,0.0005,25805,hsa-mir-15a-5p,hsa-mir-301a-3p,False,0.11826881720430107
0.547,0.0125,0.005,51804,hsa-mir-374a-3p,hsa-mir-30a-5p,False,0.3005191256830601
0.03,0.158,0.0025,9388,hsa-mir-197-3p,hsa-mir-34b-3p,False,0.24120614035087717
