miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-let-7c-5p,hsa-mir-17-5p,4205,3097,1,0.003,0.0575,0.2385,0.0045,True,0.03928086625416468
hsa-let-7c-5p,hsa-mir-21-3p,7764,256987,1,0.002,0.0765,0.0815,0.0025,True,0.026196720374814308
hsa-let-7c-5p,hsa-mir-363-3p,1958,1026,1,0.0,0.294,0.0115,0.0005,True,0.00787453842851009
hsa-let-7c-5p,hsa-mir-377-3p,1875,5757,1,0.0,0.11,0.252,0.0035,True,0.033097504382798806
hsa-let-7c-5p,hsa-mir-874-3p,1869,5558,1,0.001,0.0135,0.014,0.001,True,0.013510976867540887
hsa-mir-17-5p,hsa-mir-19a-3p,4205,135112,1,0.0,0.0155,0.0405,0.006,True,0.04768848729116557
hsa-mir-17-5p,hsa-mir-19b-1-5p,4205,135112,1,0.0,0.0245,0.3485,0.0005,True,0.00787453842851009
hsa-mir-17-5p,hsa-mir-20a-5p,4205,23002,1,0.0,0.2535,0.032,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-20a-3p,5452,4067,1,0.0,0.088,0.0385,0.006,True,0.04768848729116557
hsa-mir-17-5p,hsa-mir-32-3p,2113,10397,-1,0.0,0.0225,0.0535,0.002,True,0.022403860249205963
hsa-mir-17-5p,hsa-mir-93-3p,4205,23291,1,0.0,0.1995,0.0645,0.006,True,0.04768848729116557
hsa-mir-17-5p,hsa-mir-182-5p,60468,222658,1,0.0,0.068,0.037,0.0055,True,0.04491646257291713
hsa-mir-17-5p,hsa-mir-214-3p,6774,3091,1,0.0,0.09,0.3725,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-215-5p,1958,3091,1,0.0,0.091,0.08,0.0005,True,0.00787453842851009
hsa-mir-17-5p,hsa-mir-30c-1-3p,4212,4163,1,0.0,0.012,0.7365,0.0005,True,0.00787453842851009
hsa-mir-17-5p,hsa-mir-618,6774,3659,1,0.0,0.0145,0.061,0.0015,True,0.018269159250896533
hsa-mir-17-5p,hsa-mir-421,4779,23731,1,0.001,0.0555,0.2345,0.0025,True,0.026196720374814308
hsa-mir-17-5p,hsa-mir-766-3p,1054,79977,1,0.0,0.1,0.0335,0.0045,True,0.03928086625416468
hsa-mir-17-5p,hsa-mir-874-3p,6774,3091,1,0.0,0.0905,0.1305,0.0005,True,0.00787453842851009
hsa-mir-17-5p,hsa-mir-744-5p,1958,3091,1,0.0,0.1345,0.0135,0.0015,True,0.018269159250896533
hsa-mir-17-5p,hsa-mir-942-5p,4205,221037,1,0.0,0.0115,0.163,0.0055,True,0.04491646257291713
hsa-mir-17-5p,hsa-mir-944,2627,1523,1,0.0,0.403,0.08,0.001,True,0.013510976867540887
hsa-mir-18a-5p,hsa-mir-19b-1-5p,4205,25937,1,0.0,0.025,0.0215,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-20a-5p,3660,11119,1,0.0,0.0135,0.0125,0.0045,True,0.03928086625416468
hsa-mir-18a-5p,hsa-mir-33a-3p,6938,4154,1,0.0,0.053,0.013,0.0055,True,0.04491646257291713
hsa-mir-18a-5p,hsa-mir-92a-1-5p,4205,4154,1,0.0,0.048,0.1885,0.0005,True,0.00787453842851009
hsa-mir-18a-5p,hsa-mir-92a-1-5p,6938,4154,1,0.002,0.048,0.1885,0.0005,True,0.00787453842851009
hsa-mir-18a-5p,hsa-mir-410-3p,3660,7050,1,0.0,0.2225,0.1375,0.006,True,0.04768848729116557
hsa-mir-18a-5p,hsa-mir-497-5p,4088,1026,1,0.004,0.0165,0.079,0.0005,True,0.00787453842851009
hsa-mir-18a-5p,hsa-mir-590-5p,6774,3586,1,0.0075,0.3575,0.0325,0.004,True,0.036280514342235406
hsa-mir-18a-5p,hsa-mir-590-5p,2309,10935,1,0.0005,0.0375,0.531,0.0045,True,0.03928086625416468
hsa-mir-18a-5p,hsa-mir-592,4609,3091,1,0.0005,0.2445,0.0115,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-18a-5p,4088,1026,1,0.0005,0.0215,0.0145,0.002,True,0.022403860249205963
hsa-mir-18a-3p,hsa-mir-19a-3p,4609,1282,1,0.0015,0.2495,0.0105,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-199a-5p,4609,5315,1,0.002,0.063,0.0515,0.001,True,0.013510976867540887
hsa-mir-19a-3p,hsa-mir-19b-1-5p,4205,3097,1,0.0,0.0245,0.2955,0.0005,True,0.00787453842851009
hsa-mir-19a-3p,hsa-mir-29b-3p,27086,142,-1,0.0,0.0855,0.055,0.0055,True,0.04491646257291713
hsa-mir-19a-3p,hsa-mir-29b-3p,4205,60312,1,0.0,0.0675,0.058,0.004,True,0.036280514342235406
hsa-mir-19a-3p,hsa-mir-7-5p,7003,23731,1,0.005,0.0605,0.105,0.0055,True,0.04491646257291713
hsa-mir-19a-3p,hsa-mir-204-5p,6591,56894,-1,0.002,0.565,0.3355,0.0015,True,0.018269159250896533
hsa-mir-19a-3p,hsa-mir-219a-1-3p,7003,23731,1,0.005,0.058,0.817,0.001,True,0.013510976867540887
hsa-mir-19a-3p,hsa-mir-20b-5p,4205,79828,1,0.0,0.0605,0.0485,0.001,True,0.013510976867540887
hsa-mir-19a-3p,hsa-mir-590-5p,1386,5925,1,0.007,0.0165,0.387,0.001,True,0.013510976867540887
hsa-mir-19a-3p,hsa-mir-642a-5p,27086,2889,-1,0.0,0.54,0.188,0.0045,True,0.03928086625416468
hsa-mir-19a-3p,hsa-mir-877-5p,639,116984,1,0.0015,0.0175,0.86,0.0035,True,0.033097504382798806
hsa-mir-19b-1-5p,hsa-mir-93-5p,4205,3097,1,0.0025,0.336,0.0205,0.001,True,0.013510976867540887
hsa-mir-19b-1-5p,hsa-mir-96-5p,4205,3097,1,0.008,0.317,0.0735,0.0035,True,0.033097504382798806
hsa-mir-19b-1-5p,hsa-mir-205-5p,4205,80223,1,0.0015,0.0185,0.1495,0.005,True,0.04220703304796097
hsa-mir-19b-1-5p,hsa-mir-224-5p,4205,10602,1,0.002,0.1665,0.0195,0.0055,True,0.04491646257291713
hsa-mir-19b-1-5p,hsa-mir-9-5p,2113,4322,1,0.0,0.668,0.2385,0.004,True,0.036280514342235406
hsa-mir-19b-1-5p,hsa-mir-335-3p,4782,4609,1,0.0045,0.021,0.082,0.0,True,0.0
hsa-mir-19b-1-5p,hsa-mir-497-5p,2353,1026,1,0.0,0.1545,0.1575,0.002,True,0.022403860249205963
hsa-mir-19b-1-5p,hsa-mir-767-5p,2113,4170,1,0.0,0.3015,0.015,0.0,True,0.0
hsa-mir-19b-1-5p,hsa-mir-766-3p,6935,9524,-1,0.0,0.067,0.307,0.0005,True,0.00787453842851009
hsa-mir-19b-1-5p,hsa-mir-744-5p,2113,51278,1,0.0005,0.079,0.121,0.0,True,0.0
hsa-mir-20a-5p,hsa-mir-92a-1-5p,4205,51199,1,0.0,0.13,0.2415,0.0055,True,0.04491646257291713
hsa-mir-20a-5p,hsa-mir-92a-1-5p,5452,4067,1,0.0,0.015,0.1415,0.003,True,0.029797395001218554
hsa-mir-20a-5p,hsa-mir-93-5p,4205,23002,1,0.0,0.0515,0.094,0.0,True,0.0
hsa-mir-20a-5p,hsa-mir-214-3p,6774,3091,1,0.0,0.0125,0.3695,0.0,True,0.0
hsa-mir-20a-5p,hsa-mir-335-5p,2115,23043,1,0.0,0.5485,0.102,0.0,True,0.0
hsa-mir-20a-5p,hsa-mir-497-5p,7182,57695,1,0.0005,0.1935,0.6295,0.006,True,0.04768848729116557
