"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-33a-3p","hsa-mir-625-3p",3091,"HIF1A",19,"ABCA1",1,0,0.1815,0.439,0.006,0.0476884872911656
"hsa-mir-1270","hsa-mir-148a-5p",4609,"MYC",50,"ACO2",1,0.0055,0.879,0.9065,0.004,0.0362805143422354
"hsa-mir-330-3p","hsa-mir-629-3p",4779,"NFE2L1",115,"ADCY9",1,0,0.028,0.6025,5e-04,0.00787453842851009
"hsa-mir-330-3p","hsa-mir-766-3p",4609,"MYC",115,"ADCY9",1,0,0.0155,0.077,5e-04,0.00787453842851009
"hsa-mir-330-3p","hsa-mir-766-3p",4779,"NFE2L1",115,"ADCY9",1,0.001,0.0155,0.077,5e-04,0.00787453842851009
"hsa-mir-330-3p","hsa-mir-424-5p",4609,"MYC",115,"ADCY9",1,0,0.0185,0.787,0.002,0.022403860249206
"hsa-mir-363-3p","hsa-mir-625-3p",3091,"HIF1A",133,"ADM",1,0,0.033,0.8295,0.002,0.022403860249206
"hsa-mir-149-5p","hsa-mir-429",4609,"MYC",142,"PARP1",1,0,0.279,0.027,0.0025,0.0261967203748143
"hsa-mir-429","hsa-mir-874-3p",4609,"MYC",142,"PARP1",1,0,0.025,0.031,0.006,0.0476884872911656
"hsa-mir-19a-3p","hsa-mir-29b-3p",27086,"FOXP1",142,"PARP1",-1,0,0.0855,0.055,0.0055,0.0449164625729171
"hsa-mir-18a-3p","hsa-mir-29b-3p",27086,"FOXP1",142,"PARP1",-1,0,0.139,0.0675,0.0045,0.0392808662541647
"hsa-mir-19a-3p","hsa-mir-29c-3p",27086,"FOXP1",142,"PARP1",-1,0,0.0985,0.085,5e-04,0.00787453842851009
"hsa-mir-3199","hsa-mir-425-5p",6591,"SNAI2",182,"JAG1",1,0.004,0.1055,0.0205,0.001,0.0135109768675409
"hsa-mir-2355-5p","hsa-mir-7-5p",4088,"SMAD3",196,"AHR",1,0,0.0165,0.194,0.0055,0.0449164625729171
"hsa-mir-19b-1-5p","hsa-mir-7-5p",4089,"SMAD4",196,"AHR",1,0.004,0.074,0.1965,0.0045,0.0392808662541647
"hsa-mir-125b-5p","hsa-mir-130b-3p",6667,"SP1",240,"ALOX5",1,0,0.021,0.5005,0.0035,0.0330975043827988
