miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-193b-3p,hsa-mir-20b-5p,10009,26009,1,0.0035,0.051,0.1465,0.0085,True,0.0458423612819538
hsa-mir-455-5p,hsa-mir-501-3p,10009,26009,1,0.0,0.195,0.4785,0.001,True,0.009403275492298694
hsa-mir-101-5p,hsa-mir-215-5p,10009,55334,1,0.0065,0.0195,0.0245,0.0065,True,0.038037650456222094
hsa-let-7f-1-3p,hsa-mir-576-5p,10009,5813,1,0.0005,0.689,0.0735,0.0085,True,0.0458423612819538
hsa-mir-130b-5p,hsa-mir-576-5p,10009,5813,1,0.0,0.0235,0.0755,0.0,True,0.0
hsa-mir-192-5p,hsa-mir-429,10009,5813,1,0.0,0.3855,0.0205,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-576-5p,10009,5813,1,0.0,0.682,0.0665,0.0005,True,0.005303897417850702
hsa-mir-424-5p,hsa-mir-576-5p,10009,5813,1,0.0,0.036,0.0415,0.001,True,0.009403275492298694
hsa-mir-484,hsa-mir-576-5p,10009,5813,1,0.0,0.2625,0.045,0.0015,True,0.012953285586392123
hsa-mir-576-5p,hsa-mir-616-5p,10009,5813,1,0.0,0.0445,0.0665,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-20b-5p,10009,7323,1,0.001,0.049,0.0905,0.004,True,0.02688072678631145
hsa-mir-19a-3p,hsa-mir-501-5p,10320,5305,1,0.0015,0.061,0.0405,0.002,True,0.01614697512471124
hsa-mir-148b-5p,hsa-mir-19b-3p,10320,5795,1,0.0,0.021,0.0455,0.0055,True,0.03380249509391646
hsa-mir-30b-3p,hsa-mir-33b-5p,10320,64420,1,0.0035,0.171,0.177,0.0005,True,0.005303897417850702
hsa-mir-19a-3p,hsa-mir-324-5p,10499,10564,1,0.003,0.011,0.1065,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-503-5p,10499,10564,1,0.0005,0.0115,0.0145,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-590-3p,10499,10564,1,0.001,0.0225,0.035,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-766-3p,10499,10564,1,0.0005,0.012,0.554,0.0015,True,0.012953285586392123
hsa-mir-19b-3p,hsa-mir-766-3p,10499,10564,1,0.003,0.2755,0.499,0.004,True,0.02688072678631145
hsa-mir-19a-3p,hsa-mir-222-3p,10499,2186,1,0.001,0.071,0.273,0.0025,True,0.019049150025278058
hsa-mir-19a-3p,hsa-mir-598-3p,10499,2186,1,0.002,0.072,0.1115,0.0075,True,0.04202729237347214
hsa-mir-130b-5p,hsa-mir-93-3p,10499,23389,1,0.0015,0.0115,0.0995,0.002,True,0.01614697512471124
hsa-mir-20a-3p,hsa-mir-29a-5p,10499,23389,1,0.0015,0.0255,0.3255,0.0,True,0.0
hsa-mir-20a-3p,hsa-mir-320b,10499,23389,1,0.001,0.0445,0.3235,0.0025,True,0.019049150025278058
hsa-mir-20a-3p,hsa-mir-93-3p,10499,23389,1,0.0,0.061,0.1025,0.0,True,0.0
hsa-mir-484,hsa-mir-582-3p,10499,23389,1,0.0,0.532,0.341,0.0075,True,0.04202729237347214
hsa-mir-130b-5p,hsa-mir-29b-2-5p,10499,56243,1,0.0005,0.011,0.03,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-9-5p,10499,6733,1,0.0005,0.444,0.0775,0.003,True,0.021789735248938284
hsa-mir-130b-5p,hsa-mir-20a-3p,10499,7402,1,0.0015,0.124,0.026,0.0,True,0.0
hsa-mir-130b-5p,hsa-mir-484,10499,7402,1,0.0005,0.1305,0.1295,0.006,True,0.035958992966672466
hsa-mir-18a-5p,hsa-mir-320b,10499,8202,1,0.0,0.0295,0.029,0.0035,True,0.02440194576153579
hsa-mir-363-3p,hsa-mir-503-5p,10664,402,-1,0.0015,0.3675,0.0665,0.0045,True,0.02926225595944342
hsa-mir-629-3p,hsa-mir-93-3p,10664,55421,1,0.0,0.343,0.1365,0.0015,True,0.012953285586392123
hsa-mir-192-5p,hsa-mir-193b-3p,10664,5793,1,0.0,0.026,0.3385,0.0005,True,0.005303897417850702
