miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-33a-5p,hsa-mir-429,10320,23085,1,0.0,0.0235,0.015,0.0005,True,0.018426477221470457
hsa-mir-18a-5p,hsa-mir-30b-5p,10765,23002,1,0.0,0.015,0.555,0.001,True,0.0302379718726869
hsa-mir-19a-3p,hsa-mir-33a-5p,10765,4627,1,0.0,0.0475,0.0125,0.0,True,0.0
hsa-mir-33a-3p,hsa-mir-452-3p,11016,4774,1,0.0015,0.688,0.209,0.0015,True,0.03993304007820137
hsa-mir-486-5p,hsa-mir-7-5p,11016,8289,1,0.0025,0.349,0.1765,0.001,True,0.0302379718726869
hsa-mir-376a-5p,hsa-mir-424-5p,1385,2335,1,0.006,0.0265,0.067,0.0015,True,0.03993304007820137
hsa-mir-196a-5p,hsa-mir-96-5p,144455,1786,1,0.0065,0.094,0.0755,0.0015,True,0.03993304007820137
hsa-mir-18b-5p,hsa-mir-424-5p,2099,3487,1,0.0,0.046,0.793,0.0005,True,0.018426477221470457
hsa-mir-18b-5p,hsa-mir-615-3p,2099,5914,1,0.0,0.826,0.2285,0.0005,True,0.018426477221470457
hsa-mir-19a-3p,hsa-mir-301b-3p,2099,9021,1,0.0,0.068,0.0155,0.0005,True,0.018426477221470457
hsa-let-7g-3p,hsa-mir-424-5p,2113,1012,1,0.002,0.0155,0.6105,0.0,True,0.0
hsa-mir-455-3p,hsa-mir-499a-5p,2113,1508,1,0.0055,0.9455,0.196,0.001,True,0.0302379718726869
hsa-mir-125b-5p,hsa-mir-136-5p,2113,285,1,0.0,0.1985,0.1325,0.0015,True,0.03993304007820137
hsa-mir-135b-5p,hsa-mir-570-3p,2113,4170,1,0.0,0.31,0.513,0.0,True,0.0
hsa-mir-203a-3p,hsa-mir-429,2113,4170,1,0.0,0.3855,0.0935,0.0015,True,0.03993304007820137
hsa-mir-224-5p,hsa-mir-424-5p,2113,50807,1,0.0,0.2955,0.189,0.001,True,0.0302379718726869
hsa-mir-1180-3p,hsa-mir-203a-3p,2113,861,1,0.001,0.035,0.0185,0.002,True,0.04773765702600058
hsa-mir-10a-3p,hsa-mir-135b-5p,2308,5166,1,0.0015,0.013,0.0215,0.001,True,0.0302379718726869
hsa-mir-19a-3p,hsa-mir-455-3p,26959,861,1,0.0,0.012,0.063,0.0015,True,0.03993304007820137
hsa-mir-31-5p,hsa-mir-615-3p,3091,2247,1,0.003,0.319,0.2235,0.001,True,0.0302379718726869
hsa-mir-18a-5p,hsa-mir-34a-3p,3091,4170,1,0.0,0.0455,0.5235,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-34a-3p,3091,4170,1,0.0,0.142,0.5275,0.0005,True,0.018426477221470457
hsa-mir-18a-5p,hsa-mir-196a-5p,3091,5209,1,0.0,0.116,0.055,0.0,True,0.0
hsa-mir-196a-5p,hsa-mir-19a-3p,3091,5209,1,0.0,0.0755,0.2975,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-96-5p,3091,5209,1,0.0,0.2955,0.016,0.001,True,0.0302379718726869
hsa-mir-429,hsa-mir-96-5p,3091,5209,1,0.0075,0.0195,0.022,0.0,True,0.0
hsa-mir-224-5p,hsa-mir-424-5p,3516,50807,1,0.0025,0.2955,0.189,0.001,True,0.0302379718726869
hsa-mir-20a-3p,hsa-mir-29b-1-5p,3660,54778,1,0.0005,0.048,0.1465,0.002,True,0.04773765702600058
hsa-mir-19a-3p,hsa-mir-29b-1-5p,3662,1075,1,0.0015,0.0595,0.559,0.0,True,0.0
hsa-mir-10a-3p,hsa-mir-296-5p,3662,6595,1,0.005,0.0215,0.9005,0.002,True,0.04773765702600058
hsa-mir-16-2-3p,hsa-mir-92a-1-5p,367,5780,1,0.0,0.0625,0.205,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-589-3p,367,6595,1,0.0,0.029,0.0215,0.001,True,0.0302379718726869
hsa-mir-224-5p,hsa-mir-424-5p,405,50807,1,0.0,0.2955,0.189,0.001,True,0.0302379718726869
hsa-mir-188-5p,hsa-mir-30b-5p,4086,85461,1,0.0,0.0305,0.0595,0.0,True,0.0
