"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-625-5p","hsa-mir-942-5p",4772,"NFATC1",60,"ACTB",1,0.0035,0.4815,0.147,0.001,0.0302379718726869
"hsa-mir-7-5p","hsa-mir-942-5p",4772,"NFATC1",60,"ACTB",1,5e-04,0.246,0.1835,0,0
"hsa-mir-125b-5p","hsa-mir-136-5p",2113,"ETS1",285,"ANGPT2",1,0,0.1985,0.1325,0.0015,0.0399330400782014
"hsa-mir-18a-5p","hsa-mir-196a-5p",6774,"STAT3",330,"BIRC3",1,5e-04,0.028,0.0975,0.0015,0.0399330400782014
"hsa-mir-33b-5p","hsa-mir-877-3p",5241,"PGR",596,"BCL2",1,0,0.355,0.0375,0.002,0.0477376570260006
"hsa-mir-210-3p","hsa-mir-577",4286,"MITF",596,"BCL2",1,0,0.1265,0.336,0,0
"hsa-mir-188-3p","hsa-mir-491-3p",4205,"MEF2A",667,"DST",1,0.0055,0.4045,0.021,0.002,0.0477376570260006
"hsa-mir-19a-3p","hsa-mir-455-3p",860,"RUNX2",861,"RUNX1",1,0,0.012,0.063,0.0015,0.0399330400782014
"hsa-mir-19a-3p","hsa-mir-455-3p",26959,"HBP1",861,"RUNX1",1,0,0.012,0.063,0.0015,0.0399330400782014
"hsa-mir-1180-3p","hsa-mir-203a-3p",6664,"SOX11",861,"RUNX1",1,5e-04,0.035,0.0185,0.002,0.0477376570260006
"hsa-mir-1180-3p","hsa-mir-203a-3p",2113,"ETS1",861,"RUNX1",1,0.001,0.035,0.0185,0.002,0.0477376570260006
"hsa-let-7g-3p","hsa-mir-424-5p",2113,"ETS1",1012,"CDH13",1,0.002,0.0155,0.6105,0,0
"hsa-mir-19a-3p","hsa-mir-29b-1-5p",3662,"IRF4",1075,"CTSC",1,0.0015,0.0595,0.559,0,0
"hsa-mir-455-3p","hsa-mir-499a-5p",2113,"ETS1",1508,"CTSB",1,0.0055,0.9455,0.196,0.001,0.0302379718726869
"hsa-mir-196a-5p","hsa-mir-96-5p",144455,"E2F7",1786,"DNMT1",1,0.0065,0.094,0.0755,0.0015,0.0399330400782014
"hsa-mir-31-5p","hsa-mir-615-3p",3091,"HIF1A",2247,"FGF2",1,0.003,0.319,0.2235,0.001,0.0302379718726869
"hsa-mir-376a-5p","hsa-mir-424-5p",1385,"CREB1",2335,"FN1",1,0.006,0.0265,0.067,0.0015,0.0399330400782014
"hsa-let-7g-3p","hsa-mir-16-2-3p",4286,"MITF",3091,"HIF1A",1,0,0.012,0.2975,0.0015,0.0399330400782014
"hsa-mir-18a-3p","hsa-mir-7-5p",60468,"BACH2",3097,"HIVEP2",1,0,0.087,0.015,0.002,0.0477376570260006
"hsa-mir-18b-5p","hsa-mir-424-5p",2099,"ESR1",3487,"IGFBP4",1,0,0.046,0.793,5e-04,0.0184264772214704
"hsa-mir-424-5p","hsa-mir-491-3p",4205,"MEF2A",3516,"RBPJ",1,0.005,0.5365,0.24,0.002,0.0477376570260006
"hsa-mir-18a-5p","hsa-mir-203a-3p",6774,"STAT3",3569,"IL6",1,0.003,0.553,0.548,0.002,0.0477376570260006
"hsa-mir-181d-5p","hsa-mir-424-5p",6720,"SREBF1",3949,"LDLR",1,0.0025,0.0265,0.54,5e-04,0.0184264772214704
"hsa-mir-203a-3p","hsa-mir-629-3p",5090,"PBX3",4134,"MAP4",1,0,0.019,0.29,5e-04,0.0184264772214704
"hsa-mir-19a-3p","hsa-mir-33a-3p",5090,"PBX3",4134,"MAP4",1,0,0.019,0.0695,0,0
"hsa-mir-203a-3p","hsa-mir-429",2113,"ETS1",4170,"MCL1",1,0,0.3855,0.0935,0.0015,0.0399330400782014
"hsa-mir-18a-5p","hsa-mir-34a-3p",3091,"HIF1A",4170,"MCL1",1,0,0.0455,0.5235,0,0
"hsa-mir-135b-5p","hsa-mir-570-3p",2113,"ETS1",4170,"MCL1",1,0,0.31,0.513,0,0
"hsa-mir-19a-3p","hsa-mir-34a-3p",3091,"HIF1A",4170,"MCL1",1,0,0.142,0.5275,5e-04,0.0184264772214704
"hsa-mir-18a-5p","hsa-mir-34a-3p",6774,"STAT3",4170,"MCL1",1,0.0025,0.0455,0.5235,0,0
"hsa-mir-31-5p","hsa-mir-33b-5p",4609,"MYC",4233,"MET",1,0,0.0265,0.358,0.001,0.0302379718726869
"hsa-mir-19a-3p","hsa-mir-33a-5p",10765,"KDM5B",4627,"MYH9",1,0,0.0475,0.0125,0,0
"hsa-mir-33a-3p","hsa-mir-452-3p",11016,"ATF7",4774,"NFIA",1,0.0015,0.688,0.209,0.0015,0.0399330400782014
"hsa-mir-10a-3p","hsa-mir-135b-5p",2308,"FOXO1",5166,"PDK4",1,0.0015,0.013,0.0215,0.001,0.0302379718726869
"hsa-mir-19a-3p","hsa-mir-96-5p",3091,"HIF1A",5209,"PFKFB3",1,0,0.2955,0.016,0.001,0.0302379718726869
"hsa-mir-196a-5p","hsa-mir-19a-3p",3091,"HIF1A",5209,"PFKFB3",1,0,0.0755,0.2975,0,0
"hsa-mir-18a-5p","hsa-mir-196a-5p",3091,"HIF1A",5209,"PFKFB3",1,0,0.116,0.055,0,0
"hsa-mir-429","hsa-mir-96-5p",3091,"HIF1A",5209,"PFKFB3",1,0.0075,0.0195,0.022,0,0
