miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-424-5p,hsa-mir-425-5p,10009,55334,1,0.0,0.657,0.141,0.0015,True,0.036356701030927835
hsa-mir-33a-5p,hsa-mir-33b-5p,10320,5579,1,0.006,0.011,0.1845,0.0,True,0.0
hsa-mir-2355-3p,hsa-mir-296-3p,10765,1495,1,0.009,0.5825,0.0815,0.0015,True,0.036356701030927835
hsa-mir-106a-5p,hsa-mir-363-3p,10765,3720,1,0.0005,0.0145,0.0425,0.002,True,0.04391325101172564
hsa-mir-19a-3p,hsa-mir-20a-5p,10765,3720,1,0.001,0.097,0.0515,0.002,True,0.04391325101172564
hsa-mir-106a-5p,hsa-mir-18a-5p,10765,80790,1,0.0,0.0285,0.1045,0.002,True,0.04391325101172564
hsa-mir-20a-5p,hsa-mir-7-5p,11016,124540,1,0.0,0.155,0.0405,0.001,True,0.02747643163225555
hsa-mir-182-5p,hsa-mir-20a-3p,1316,390,1,0.0005,0.015,0.514,0.0005,True,0.01646661478599222
hsa-mir-106a-5p,hsa-mir-221-5p,1316,4000,1,0.0,0.019,0.283,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-301b-3p,1316,54206,1,0.0,0.0235,0.413,0.0015,True,0.036356701030927835
hsa-mir-20a-3p,hsa-mir-877-5p,1316,9208,1,0.001,0.03,0.7435,0.0005,True,0.01646661478599222
hsa-mir-10a-5p,hsa-mir-320b,1385,5122,1,0.0015,0.215,0.074,0.002,True,0.04391325101172564
hsa-mir-106a-5p,hsa-mir-454-3p,144455,667,1,0.0,0.057,0.0155,0.001,True,0.02747643163225555
hsa-mir-141-3p,hsa-mir-183-5p,1523,1938,1,0.001,0.172,0.4485,0.0015,True,0.036356701030927835
hsa-mir-142-5p,hsa-mir-155-5p,1523,23499,1,0.001,0.0255,0.034,0.0,True,0.0
hsa-mir-30c-5p,hsa-mir-505-5p,1523,91663,1,0.0,0.016,0.4275,0.002,True,0.04391325101172564
hsa-mir-338-3p,hsa-mir-582-5p,171017,1859,1,0.0,0.016,0.066,0.0005,True,0.01646661478599222
hsa-mir-193b-3p,hsa-mir-381-3p,1869,8520,1,0.0,0.6,0.3635,0.0,True,0.0
hsa-mir-193b-3p,hsa-mir-31-5p,1870,83879,1,0.0,0.0815,0.144,0.0005,True,0.01646661478599222
hsa-let-7c-5p,hsa-mir-138-5p,1874,4691,1,0.0,0.6165,0.2055,0.002,True,0.04391325101172564
hsa-let-7c-5p,hsa-mir-182-5p,1874,5984,1,0.0,0.134,0.1675,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-200a-3p,1874,801,1,0.0,0.8715,0.055,0.0005,True,0.01646661478599222
hsa-mir-335-3p,hsa-mir-335-5p,1875,6885,1,0.0,0.039,0.739,0.002,True,0.04391325101172564
hsa-mir-196b-5p,hsa-mir-370-3p,1876,79047,-1,0.0,0.0115,0.4415,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-200b-3p,196,375449,1,0.0,0.011,0.5665,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-429,196,375449,1,0.0,0.5665,0.013,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-96-5p,196,6654,1,0.0,0.0795,0.0195,0.001,True,0.02747643163225555
hsa-mir-106a-5p,hsa-mir-196b-5p,196,7227,1,0.0005,0.2435,0.8225,0.0005,True,0.01646661478599222
hsa-mir-141-3p,hsa-mir-218-5p,196,9448,1,0.0,0.014,0.0135,0.001,True,0.02747643163225555
hsa-mir-9-5p,hsa-mir-96-5p,196,9686,1,0.0,0.105,0.1595,0.0005,True,0.01646661478599222
hsa-mir-1-3p,hsa-mir-101-5p,196528,1106,1,0.007,0.083,0.26,0.001,True,0.02747643163225555
hsa-mir-20a-5p,hsa-mir-7-5p,196528,124540,1,0.0005,0.155,0.0405,0.001,True,0.02747643163225555
