"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-20b-5p","hsa-mir-376b-3p",3091,"HIF1A",19,"ABCA1",1,0,0.0205,0.0715,5e-04,0.0164666147859922
"hsa-mir-200b-3p","hsa-mir-218-5p",4779,"NFE2L1",115,"ADCY9",1,0.001,0.0665,0.414,0.001,0.0274764316322555
"hsa-mir-363-3p","hsa-mir-9-5p",3091,"HIF1A",133,"ADM",1,0,0.193,0.072,5e-04,0.0164666147859922
"hsa-mir-196b-5p","hsa-mir-29b-1-5p",4088,"SMAD3",196,"AHR",1,0.001,0.169,0.0815,0.002,0.0439132510117256
"hsa-mir-10a-5p","hsa-mir-30a-3p",6667,"SP1",331,"XIAP",1,0.0035,0.012,0.89,0,0
"hsa-mir-20b-5p","hsa-mir-31-5p",6667,"SP1",331,"XIAP",1,5e-04,0.1625,0.051,0.002,0.0439132510117256
"hsa-mir-33b-5p","hsa-mir-503-5p",6667,"SP1",331,"XIAP",1,0.0095,0.182,0.082,0.002,0.0439132510117256
"hsa-mir-10a-5p","hsa-mir-503-5p",6667,"SP1",331,"XIAP",1,0.003,0.0185,0.083,0.001,0.0274764316322555
"hsa-mir-224-3p","hsa-mir-320d",860,"RUNX2",351,"APP",1,0.0045,0.0825,0.0995,0.0015,0.0363567010309278
"hsa-let-7c-5p","hsa-mir-377-5p",4609,"MYC",375,"ARF1",1,0.0015,0.0515,0.0305,0.0015,0.0363567010309278
"hsa-mir-182-5p","hsa-mir-20a-3p",1316,"KLF6",390,"RND3",1,5e-04,0.015,0.514,5e-04,0.0164666147859922
"hsa-mir-206","hsa-mir-301b-3p",2099,"ESR1",596,"BCL2",1,0,0.0535,0.035,0,0
"hsa-mir-206","hsa-mir-301b-3p",6667,"SP1",596,"BCL2",1,0,0.0535,0.035,0,0
