miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-335-3p,hsa-mir-497-5p,1820,23152,1,0.004,0.3055,0.3135,0.0005,True,0.047325581395348836
hsa-mir-378a-3p,hsa-mir-877-5p,1958,7077,1,0.0,0.018,0.0355,0.0,True,0.0
hsa-mir-192-3p,hsa-mir-192-5p,1958,960,1,0.0035,0.0625,0.037,0.0005,True,0.047325581395348836
hsa-mir-193b-3p,hsa-mir-194-5p,196528,5128,1,0.0,0.048,0.271,0.0,True,0.0
hsa-mir-138-5p,hsa-mir-192-3p,2001,5927,1,0.0035,0.046,0.532,0.0005,True,0.047325581395348836
hsa-mir-199a-5p,hsa-mir-874-3p,2113,3371,1,0.0,0.095,0.011,0.0005,True,0.047325581395348836
hsa-mir-1229-3p,hsa-mir-335-3p,27086,142,-1,0.0055,0.7515,0.516,0.0005,True,0.047325581395348836
hsa-mir-193b-3p,hsa-mir-491-5p,283337,56257,1,0.0005,0.0215,0.2,0.0,True,0.0
hsa-mir-135a-5p,hsa-mir-138-5p,3091,3939,1,0.0,0.083,0.143,0.0005,True,0.047325581395348836
hsa-mir-142-5p,hsa-mir-96-5p,3516,56261,1,0.004,0.1885,0.0475,0.0,True,0.0
hsa-mir-125b-2-3p,hsa-mir-20b-3p,3659,3660,1,0.0005,0.148,0.2185,0.0,True,0.0
hsa-mir-145-5p,hsa-mir-424-5p,3659,958,1,0.0005,0.7965,0.3675,0.0005,True,0.047325581395348836
hsa-mir-183-5p,hsa-mir-642a-5p,367,7067,1,0.001,0.121,0.385,0.0,True,0.0
hsa-mir-144-3p,hsa-mir-20b-5p,4089,4233,1,0.0005,0.048,0.5955,0.0,True,0.0
hsa-mir-144-5p,hsa-mir-20b-5p,4089,4233,1,0.0,0.048,0.523,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-629-3p,4205,23499,1,0.0005,0.0105,0.456,0.0005,True,0.047325581395348836
hsa-mir-135b-5p,hsa-mir-582-3p,4205,667,1,0.0,0.614,0.411,0.0,True,0.0
hsa-mir-16-2-3p,hsa-mir-31-5p,4609,10935,1,0.001,0.492,0.019,0.0,True,0.0
hsa-mir-218-5p,hsa-mir-497-5p,4609,2305,1,0.0,0.3145,0.138,0.0,True,0.0
hsa-mir-135a-5p,hsa-mir-138-5p,4609,3939,1,0.001,0.083,0.143,0.0005,True,0.047325581395348836
hsa-mir-185-3p,hsa-mir-362-5p,4609,841,1,0.0,0.5375,0.5575,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-627-5p,53335,23613,1,0.0005,0.151,0.0145,0.0005,True,0.047325581395348836
hsa-mir-3170,hsa-mir-589-3p,55810,84333,1,0.009,0.059,0.6405,0.0,True,0.0
hsa-mir-126-5p,hsa-mir-940,6667,2683,1,0.0,0.0135,0.8755,0.0005,True,0.047325581395348836
hsa-mir-3200-3p,hsa-mir-625-5p,6667,4170,1,0.0,0.2755,0.019,0.0005,True,0.047325581395348836
hsa-mir-144-3p,hsa-mir-20b-5p,6667,4233,1,0.0,0.048,0.5955,0.0,True,0.0
hsa-mir-144-5p,hsa-mir-20b-5p,6667,4233,1,0.0005,0.048,0.523,0.0,True,0.0
hsa-mir-143-3p,hsa-mir-378a-5p,6667,4790,1,0.0,0.021,0.6325,0.0,True,0.0
hsa-mir-378a-5p,hsa-mir-9-5p,6667,4790,1,0.0,0.6045,0.0115,0.0005,True,0.047325581395348836
hsa-mir-142-5p,hsa-mir-30c-1-3p,6668,11100,1,0.0015,0.036,0.4575,0.0005,True,0.047325581395348836
hsa-mir-365a-3p,hsa-mir-486-5p,6671,595,1,0.0,0.0285,0.236,0.0,True,0.0
hsa-mir-145-5p,hsa-mir-192-5p,6689,958,1,0.0,0.7495,0.061,0.0005,True,0.047325581395348836
hsa-let-7c-5p,hsa-mir-335-5p,6773,23070,1,0.001,0.0125,0.574,0.0005,True,0.047325581395348836
hsa-mir-182-5p,hsa-mir-204-5p,7157,5888,1,0.0015,0.374,0.013,0.0,True,0.0
hsa-mir-33b-5p,hsa-mir-34c-5p,7182,23405,1,0.0,0.2505,0.5175,0.0,True,0.0
hsa-mir-192-5p,hsa-mir-421,7543,23613,1,0.002,0.4235,0.014,0.0005,True,0.047325581395348836
hsa-mir-155-5p,hsa-mir-296-3p,7586,11176,1,0.0,0.205,0.15,0.0005,True,0.047325581395348836
hsa-mir-142-3p,hsa-mir-582-5p,7586,29998,1,0.0,0.128,0.84,0.0005,True,0.047325581395348836
hsa-mir-378a-5p,hsa-mir-452-5p,7764,64778,1,0.0,0.0525,0.169,0.0,True,0.0
hsa-mir-192-3p,hsa-mir-33a-3p,8202,23446,1,0.0015,0.2195,0.66,0.0005,True,0.047325581395348836
hsa-mir-192-5p,hsa-mir-421,8202,23613,1,0.003,0.4235,0.014,0.0005,True,0.047325581395348836
