miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-let-7a-2-3p,hsa-mir-23a-3p,6667,3480,1,0.0065,0.015,0.013,0.0,True,0.0
hsa-let-7a-2-3p,hsa-mir-378a-5p,6667,3480,1,0.0035,0.011,0.278,0.0015,True,0.004727627433863438
hsa-let-7a-2-3p,hsa-mir-331-3p,6667,3480,1,0.0025,0.04,0.067,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-24-3p,4066,1240,1,0.0065,0.1425,0.2555,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-27a-3p,1876,138151,-1,0.0025,0.012,0.222,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-33a-5p,6667,7528,1,0.003,0.2105,0.505,0.003,True,0.008580675383364792
hsa-let-7e-5p,hsa-mir-101-5p,4609,5591,1,0.0,0.063,0.0515,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-101-3p,7157,10973,1,0.0,0.011,0.0455,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-29b-3p,30009,2081,1,0.0025,0.154,0.0115,0.0045,True,0.012107114391430848
hsa-let-7e-5p,hsa-mir-124-3p,6925,7003,1,0.0,0.041,0.011,0.002,True,0.006061432450582499
hsa-let-7e-5p,hsa-mir-128-3p,4609,3398,1,0.0,0.108,0.017,0.0055,True,0.014341560529555103
hsa-let-7e-5p,hsa-mir-145-5p,7004,7045,1,0.0025,0.9835,0.0565,0.0095,True,0.022680869660220693
hsa-let-7e-5p,hsa-mir-145-5p,4609,4783,1,0.0,0.555,0.192,0.005,True,0.013232410795099627
hsa-let-7e-5p,hsa-mir-152-3p,60468,5814,1,0.0,0.096,0.746,0.003,True,0.008580675383364792
hsa-let-7e-5p,hsa-mir-126-5p,6667,5925,1,0.0045,0.014,0.123,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-126-5p,7157,6240,1,0.0,0.039,0.2145,0.002,True,0.006061432450582499
hsa-let-7e-5p,hsa-mir-126-5p,2113,1147,1,0.0,0.0535,0.023,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-136-5p,4609,57089,1,0.0,0.016,0.1895,0.0015,True,0.004727627433863438
hsa-let-7e-5p,hsa-mir-150-5p,6925,7003,1,0.0,0.0455,0.116,0.0025,True,0.007340598568640208
hsa-let-7e-5p,hsa-mir-29c-3p,405,7204,1,0.002,0.0635,0.1665,0.008,True,0.019645530090196657
hsa-let-7e-5p,hsa-mir-29c-3p,6925,7204,1,0.0,0.0635,0.1665,0.008,True,0.019645530090196657
hsa-let-7e-5p,hsa-mir-378a-5p,6667,5925,1,0.003,0.014,0.0215,0.002,True,0.006061432450582499
hsa-let-7e-5p,hsa-mir-378a-3p,4090,2908,1,0.0,0.012,0.0395,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-378a-3p,6667,2908,1,0.0025,0.012,0.0395,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-381-3p,367,79776,1,0.0,0.0275,0.0165,0.0095,True,0.022680869660220693
hsa-let-7e-5p,hsa-mir-330-3p,1958,7422,1,0.0,0.1835,0.163,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-330-3p,6670,7422,1,0.0025,0.1835,0.163,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-330-3p,6774,7422,1,0.0,0.1835,0.163,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-503-5p,60468,4097,1,0.0,0.0155,0.211,0.009,True,0.02167722848093188
hsa-let-7e-5p,hsa-mir-582-5p,7157,596,-1,0.0,0.22,0.0945,0.0045,True,0.012107114391430848
hsa-let-7e-5p,hsa-mir-625-5p,55810,26959,1,0.0,0.0705,0.0515,0.009,True,0.02167722848093188
hsa-let-7e-5p,hsa-mir-411-3p,6772,7559,1,0.0045,0.2135,0.0665,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-769-3p,6667,8370,1,0.001,0.9035,0.018,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-940,8202,51366,1,0.0015,0.0785,0.0665,0.004,True,0.01096024497122644
hsa-let-7e-5p,hsa-mir-940,8202,9969,1,0.0015,0.011,0.356,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-940,4609,1843,-1,0.0,0.058,0.034,0.001,True,0.0033194435561240804
hsa-let-7e-5p,hsa-mir-1229-3p,60468,5814,1,0.0,0.107,0.016,0.0035,True,0.009785368941322236
hsa-let-7e-5p,hsa-mir-1287-5p,4609,6223,1,0.0,0.212,0.0105,0.005,True,0.013232410795099627
hsa-let-7f-1-3p,hsa-mir-16-2-3p,7543,1385,1,0.0085,0.202,0.148,0.003,True,0.008580675383364792
hsa-let-7f-1-3p,hsa-mir-7-2-3p,5451,595,1,0.0,0.615,0.017,0.0035,True,0.009785368941322236
hsa-let-7f-1-3p,hsa-mir-27b-3p,2624,154810,1,0.003,0.1975,0.037,0.004,True,0.01096024497122644
hsa-let-7f-1-3p,hsa-mir-27b-3p,4205,79718,1,0.0,0.777,0.661,0.007,True,0.017560629588229962
hsa-let-7f-1-3p,hsa-mir-141-5p,283337,57551,1,0.0005,0.5505,0.1045,0.0035,True,0.009785368941322236
hsa-let-7f-1-3p,hsa-mir-142-5p,5451,595,1,0.0,0.372,0.12,0.0055,True,0.014341560529555103
hsa-let-7f-1-3p,hsa-mir-185-3p,5451,595,1,0.0,0.3815,0.252,0.0015,True,0.004727627433863438
hsa-let-7f-1-3p,hsa-mir-29c-3p,5451,7296,1,0.0,0.0615,0.0105,0.0,True,0.0
hsa-let-7f-1-3p,hsa-mir-329-3p,1316,81619,1,0.0005,0.254,0.016,0.001,True,0.0033194435561240804
hsa-let-7f-1-3p,hsa-mir-625-5p,1958,1499,1,0.0,0.2685,0.3155,0.001,True,0.0033194435561240804
hsa-let-7f-1-3p,hsa-mir-450b-5p,7003,23731,1,0.009,0.0395,0.0215,0.0065,True,0.01650555633703756
hsa-let-7f-1-3p,hsa-mir-450b-5p,3516,114793,1,0.0025,0.0345,0.023,0.0005,True,0.0017901626338754461
hsa-let-7f-1-3p,hsa-mir-940,1316,81619,1,0.0005,0.208,0.223,0.006,True,0.015437569327822222
hsa-let-7f-1-3p,hsa-mir-2114-5p,4205,79718,1,0.0,0.7845,0.711,0.0065,True,0.01650555633703756
hsa-mir-18a-5p,hsa-mir-22-5p,8202,4734,1,0.0,0.108,0.1165,0.0015,True,0.004727627433863438
hsa-mir-18a-5p,hsa-mir-22-5p,3091,2074,1,0.0,0.029,0.014,0.003,True,0.008580675383364792
hsa-mir-18a-5p,hsa-mir-24-3p,2551,8621,1,0.0,0.076,0.5135,0.0005,True,0.0017901626338754461
hsa-mir-18a-5p,hsa-mir-197-3p,1869,55544,1,0.0,0.0115,0.0615,0.006,True,0.015437569327822222
hsa-mir-18a-5p,hsa-mir-212-3p,196528,3842,1,0.0,0.031,0.094,0.0005,True,0.0017901626338754461
hsa-mir-18a-5p,hsa-mir-221-3p,2551,51194,1,0.0,0.1585,0.0185,0.0065,True,0.01650555633703756
hsa-mir-18a-5p,hsa-mir-222-5p,196528,3842,1,0.0,0.026,0.038,0.002,True,0.006061432450582499
hsa-mir-18a-5p,hsa-mir-27b-3p,2005,5927,1,0.0025,0.1675,0.7025,0.0015,True,0.004727627433863438
hsa-mir-18a-5p,hsa-mir-299-5p,3091,6095,1,0.0005,0.038,0.24,0.0055,True,0.014341560529555103
hsa-mir-18a-5p,hsa-mir-370-3p,2305,894,1,0.0005,0.312,0.0245,0.0095,True,0.022680869660220693
hsa-mir-18a-5p,hsa-mir-330-3p,7003,196527,1,0.0,0.977,0.0225,0.0045,True,0.012107114391430848
hsa-mir-18a-5p,hsa-mir-433-3p,3091,6095,1,0.0005,0.0205,0.0185,0.004,True,0.01096024497122644
hsa-mir-18a-5p,hsa-mir-410-3p,3091,7764,1,0.0005,0.243,0.0255,0.0035,True,0.009785368941322236
hsa-mir-18a-5p,hsa-mir-483-5p,171017,23013,1,0.0,0.7335,0.096,0.0055,True,0.014341560529555103
hsa-mir-18a-5p,hsa-mir-769-5p,2005,5927,1,0.009,0.1915,0.023,0.0025,True,0.007340598568640208
hsa-mir-21-5p,hsa-mir-23a-3p,1523,3329,1,0.0,0.2495,0.241,0.0025,True,0.007340598568640208
hsa-mir-21-5p,hsa-mir-24-3p,10009,2957,1,0.001,0.018,0.1105,0.0,True,0.0
hsa-mir-21-5p,hsa-mir-27a-3p,6667,6879,1,0.0,0.176,0.064,0.0005,True,0.0017901626338754461
hsa-mir-21-5p,hsa-mir-29b-3p,6925,7227,1,0.0015,0.5125,0.016,0.0085,True,0.02066087088880303
hsa-mir-21-5p,hsa-mir-23b-5p,1997,1112,1,0.0,0.061,0.1635,0.0045,True,0.012107114391430848
hsa-mir-21-5p,hsa-mir-23b-3p,10009,2957,1,0.0025,0.013,0.8435,0.008,True,0.019645530090196657
hsa-mir-21-5p,hsa-mir-455-3p,7543,25836,1,0.0075,0.6655,0.212,0.004,True,0.01096024497122644
hsa-mir-21-5p,hsa-mir-550a-3p,4205,667,1,0.0,0.3685,0.0395,0.007,True,0.017560629588229962
hsa-mir-21-5p,hsa-mir-629-3p,3516,55668,1,0.001,0.016,0.024,0.0075,True,0.018606417304015296
hsa-mir-21-3p,hsa-mir-381-3p,639,116984,1,0.0,0.0345,0.247,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-32-5p,5914,7832,1,0.0,0.0135,0.5655,0.0085,True,0.02066087088880303
hsa-mir-22-5p,hsa-mir-33a-3p,6925,23505,1,0.0,0.0105,0.442,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-29b-3p,5914,7832,1,0.0,0.0145,0.0205,0.008,True,0.019645530090196657
hsa-mir-22-5p,hsa-mir-221-3p,2113,142,1,0.0,0.1565,0.0205,0.0005,True,0.0017901626338754461
hsa-mir-22-5p,hsa-mir-23b-3p,8202,4734,1,0.0,0.172,0.0495,0.001,True,0.0033194435561240804
hsa-mir-22-5p,hsa-mir-299-5p,6667,102,1,0.0,0.139,0.1845,0.002,True,0.006061432450582499
hsa-mir-22-5p,hsa-mir-99b-3p,3725,894,1,0.008,0.012,0.012,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-376c-3p,3725,894,1,0.006,0.011,0.0585,0.0005,True,0.0017901626338754461
hsa-mir-22-5p,hsa-mir-377-3p,2113,142,1,0.0,0.0755,0.14,0.0025,True,0.007340598568640208
hsa-mir-22-5p,hsa-mir-378a-5p,2551,140609,1,0.0,0.017,0.1155,0.001,True,0.0033194435561240804
hsa-mir-22-5p,hsa-mir-323a-3p,4801,140609,1,0.0,0.0195,0.0175,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-433-3p,3091,2074,1,0.0,0.014,0.0895,0.004,True,0.01096024497122644
hsa-mir-22-5p,hsa-mir-329-3p,2113,142,1,0.0,0.102,0.0275,0.005,True,0.013232410795099627
hsa-mir-22-5p,hsa-mir-410-3p,6667,102,1,0.0005,0.1155,0.2445,0.004,True,0.01096024497122644
hsa-mir-22-5p,hsa-mir-582-5p,10009,2957,1,0.0,0.011,0.325,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-33b-5p,4609,142,1,0.0,0.0885,0.8695,0.005,True,0.013232410795099627
hsa-mir-22-5p,hsa-mir-654-3p,2113,142,1,0.0,0.1195,0.421,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-766-3p,2625,5139,1,0.0,0.019,0.0695,0.0085,True,0.02066087088880303
hsa-mir-22-5p,hsa-mir-744-3p,4150,375790,1,0.0,0.011,0.0385,0.0025,True,0.007340598568640208
hsa-mir-22-5p,hsa-mir-543,2113,142,1,0.0,0.0775,0.023,0.0,True,0.0
hsa-mir-22-5p,hsa-mir-676-3p,7182,80218,1,0.0,0.4315,0.0495,0.0035,True,0.009785368941322236
hsa-mir-23a-3p,hsa-mir-27a-3p,171017,9736,1,0.0,0.6005,0.22,0.0025,True,0.007340598568640208
hsa-mir-23a-3p,hsa-mir-32-5p,60468,5814,1,0.0005,0.0145,0.0105,0.0005,True,0.0017901626338754461
hsa-mir-23a-3p,hsa-mir-23b-5p,4208,27086,1,0.0,0.4005,0.397,0.0005,True,0.0017901626338754461
hsa-mir-23a-3p,hsa-mir-27b-3p,3091,5514,1,0.005,0.3865,0.015,0.0035,True,0.009785368941322236
hsa-mir-23a-3p,hsa-mir-29c-3p,55810,10594,1,0.003,0.0125,0.0815,0.0025,True,0.007340598568640208
hsa-mir-23a-3p,hsa-mir-296-5p,6667,331,1,0.0,0.018,0.138,0.007,True,0.017560629588229962
hsa-mir-23a-3p,hsa-mir-378a-5p,687,2309,1,0.003,0.0385,0.9715,0.0035,True,0.009785368941322236
hsa-mir-23a-3p,hsa-mir-331-3p,6667,331,1,0.0,0.0135,0.041,0.0,True,0.0
hsa-mir-23a-3p,hsa-mir-331-3p,6667,7112,1,0.0,0.2495,0.039,0.001,True,0.0033194435561240804
hsa-mir-23a-3p,hsa-mir-582-5p,283337,57551,1,0.0,0.0815,0.0765,0.006,True,0.015437569327822222
hsa-mir-23a-3p,hsa-mir-671-5p,4208,27086,1,0.0,0.434,0.019,0.0005,True,0.0017901626338754461
hsa-mir-23a-3p,hsa-mir-3065-3p,2305,894,1,0.0025,0.1305,0.0225,0.0005,True,0.0017901626338754461
hsa-mir-23a-3p,hsa-mir-3065-3p,6667,3480,1,0.0,0.013,0.024,0.0,True,0.0
hsa-mir-24-1-5p,hsa-mir-29b-2-5p,2908,800,1,0.0,0.645,0.06,0.001,True,0.0033194435561240804
hsa-mir-24-3p,hsa-mir-27a-3p,171017,54901,1,0.0,0.113,0.057,0.002,True,0.006061432450582499
hsa-mir-24-3p,hsa-mir-27a-3p,639,11244,1,0.001,0.3775,0.3795,0.0095,True,0.022680869660220693
hsa-mir-24-3p,hsa-mir-27a-3p,10009,2957,1,0.0005,0.113,0.5815,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-32-5p,639,11244,1,0.0,0.378,0.6335,0.0075,True,0.018606417304015296
hsa-mir-24-3p,hsa-mir-33a-5p,6667,7358,1,0.0025,0.0555,0.02,0.0005,True,0.0017901626338754461
hsa-mir-24-3p,hsa-mir-33a-5p,6667,6868,1,0.0025,0.0185,0.119,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-33a-5p,639,11244,1,0.0005,0.2895,0.63,0.001,True,0.0033194435561240804
hsa-mir-24-3p,hsa-mir-33a-3p,10499,8202,1,0.0075,0.024,0.14,0.001,True,0.0033194435561240804
hsa-mir-24-3p,hsa-mir-7-5p,4609,5591,1,0.0,0.495,0.0465,0.007,True,0.017560629588229962
hsa-mir-24-3p,hsa-mir-27b-3p,7157,1820,1,0.0,0.2755,0.0125,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-27b-3p,4150,6483,1,0.0,0.211,0.0285,0.002,True,0.006061432450582499
hsa-mir-24-3p,hsa-mir-299-5p,4609,54107,1,0.0,0.068,0.02,0.0095,True,0.022680869660220693
hsa-mir-24-3p,hsa-mir-362-3p,4205,79718,1,0.0,0.4585,0.0505,0.0035,True,0.009785368941322236
hsa-mir-24-3p,hsa-mir-376c-3p,6671,595,1,0.0,0.14,0.323,0.002,True,0.006061432450582499
hsa-mir-24-3p,hsa-mir-369-3p,7027,1719,1,0.0,0.3925,0.1165,0.003,True,0.008580675383364792
hsa-mir-24-3p,hsa-mir-378a-5p,2551,8621,1,0.0,0.4515,0.0185,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-379-5p,2113,142,1,0.0,0.631,0.237,0.0005,True,0.0017901626338754461
hsa-mir-24-3p,hsa-mir-379-5p,4609,142,1,0.0,0.631,0.237,0.0005,True,0.0017901626338754461
hsa-mir-24-3p,hsa-mir-376b-3p,5970,8767,1,0.0,0.034,0.0655,0.007,True,0.017560629588229962
hsa-mir-24-3p,hsa-mir-485-5p,3659,5610,1,0.0,0.307,0.0325,0.001,True,0.0033194435561240804
hsa-mir-24-3p,hsa-mir-491-5p,51341,375790,-1,0.0,0.329,0.0125,0.0015,True,0.004727627433863438
hsa-mir-24-3p,hsa-mir-432-5p,7543,57541,1,0.0065,0.0195,0.524,0.0085,True,0.02066087088880303
hsa-mir-24-3p,hsa-mir-625-5p,4609,71,1,0.0,0.044,0.015,0.001,True,0.0033194435561240804
hsa-mir-24-3p,hsa-mir-744-3p,4779,7328,1,0.0,0.097,0.0195,0.002,True,0.006061432450582499
hsa-mir-24-3p,hsa-mir-935,5451,595,1,0.0,0.197,0.012,0.001,True,0.0033194435561240804
hsa-mir-24-3p,hsa-mir-940,1958,3091,1,0.0,0.1345,0.0145,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-940,4609,3091,1,0.0,0.1345,0.0145,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-940,5970,3091,1,0.0,0.1345,0.0145,0.0,True,0.0
hsa-mir-24-3p,hsa-mir-940,10499,8202,1,0.0055,0.017,0.051,0.006,True,0.015437569327822222
hsa-mir-24-3p,hsa-mir-940,4066,5339,1,0.0,0.9085,0.0125,0.0045,True,0.012107114391430848
hsa-mir-24-3p,hsa-mir-942-5p,4066,5339,1,0.0,0.9275,0.084,0.0035,True,0.009785368941322236
hsa-mir-24-3p,hsa-mir-676-3p,10499,124540,1,0.0085,0.017,0.1545,0.0055,True,0.014341560529555103
hsa-mir-24-2-5p,hsa-mir-99b-3p,2005,9169,1,0.0,0.1425,0.066,0.0045,True,0.012107114391430848
hsa-mir-24-2-5p,hsa-mir-550a-3p,2005,9169,1,0.0,0.1385,0.879,0.0045,True,0.012107114391430848
hsa-mir-27a-5p,hsa-mir-320d,4150,9612,1,0.0025,0.198,0.0315,0.0075,True,0.018606417304015296
hsa-mir-27a-3p,hsa-mir-27a-5p,367,3977,1,0.0,0.4675,0.0405,0.003,True,0.008580675383364792
hsa-mir-27a-3p,hsa-mir-362-3p,4205,79718,1,0.0,0.6125,0.0825,0.004,True,0.01096024497122644
hsa-mir-27a-3p,hsa-mir-378a-3p,4609,3398,1,0.0,0.235,0.0165,0.0015,True,0.004727627433863438
hsa-mir-27a-3p,hsa-mir-381-3p,367,7227,1,0.0,0.7115,0.0355,0.002,True,0.006061432450582499
hsa-mir-27a-3p,hsa-mir-584-5p,3607,54815,1,0.0,0.682,0.074,0.003,True,0.008580675383364792
hsa-mir-27a-3p,hsa-mir-33b-5p,6667,331,1,0.0,0.0195,0.2755,0.0075,True,0.018606417304015296
hsa-mir-27a-3p,hsa-mir-744-3p,6667,331,1,0.0,0.0175,0.0515,0.0,True,0.0
hsa-mir-27a-3p,hsa-mir-744-3p,1997,152006,1,0.0,0.0135,0.1085,0.0025,True,0.007340598568640208
hsa-mir-27a-3p,hsa-mir-887-3p,1997,2309,1,0.0,0.075,0.012,0.0005,True,0.0017901626338754461
hsa-mir-27a-3p,hsa-mir-760,1874,3015,1,0.0055,0.097,0.0205,0.0015,True,0.004727627433863438
hsa-mir-27a-3p,hsa-mir-940,4286,3091,1,0.0,0.0265,0.011,0.0,True,0.0
hsa-mir-27a-3p,hsa-mir-940,4790,3091,1,0.0,0.0265,0.011,0.0,True,0.0
hsa-mir-27a-3p,hsa-mir-940,6667,331,1,0.0,0.0325,0.4905,0.009,True,0.02167722848093188
hsa-mir-27a-3p,hsa-mir-940,4609,9631,1,0.0,0.148,0.052,0.004,True,0.01096024497122644
hsa-mir-31-5p,hsa-mir-7-5p,10009,7323,1,0.001,0.3175,0.131,0.003,True,0.008580675383364792
hsa-mir-31-5p,hsa-mir-377-5p,10009,140838,1,0.001,0.306,0.033,0.0,True,0.0
hsa-mir-31-5p,hsa-mir-410-3p,6667,3678,1,0.0,0.075,0.254,0.001,True,0.0033194435561240804
hsa-mir-31-5p,hsa-mir-432-5p,6667,2335,1,0.0,0.157,0.0235,0.001,True,0.0033194435561240804
hsa-mir-31-5p,hsa-mir-432-5p,3091,5209,1,0.002,0.032,0.0105,0.004,True,0.01096024497122644
hsa-mir-31-5p,hsa-mir-508-3p,4790,4023,1,0.0,0.282,0.018,0.0035,True,0.009785368941322236
hsa-mir-31-5p,hsa-mir-628-5p,6667,2335,1,0.0,0.185,0.0105,0.0,True,0.0
hsa-mir-31-5p,hsa-mir-411-5p,6667,2335,1,0.0,0.1745,0.4825,0.0055,True,0.014341560529555103
hsa-mir-31-5p,hsa-mir-421,10009,3658,1,0.0,0.0895,0.09,0.002,True,0.006061432450582499
hsa-mir-31-5p,hsa-mir-758-3p,7027,983,1,0.0,0.022,0.0205,0.0,True,0.0
hsa-mir-31-5p,hsa-mir-874-3p,3091,7422,1,0.0005,0.809,0.014,0.0,True,0.0
hsa-mir-31-5p,hsa-mir-874-3p,6774,7422,1,0.0035,0.809,0.014,0.0,True,0.0
