miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-183-5p,hsa-mir-885-5p,10765,27086,1,0.0,0.447,0.1975,0.0005,True,0.03359090909090909
hsa-mir-181d-5p,hsa-mir-199a-5p,1385,7422,1,0.0,0.1675,0.0325,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-18a-3p,1869,9020,1,0.0,0.019,0.014,0.0005,True,0.03359090909090909
hsa-mir-299-5p,hsa-mir-377-3p,1958,1026,1,0.0,0.073,0.0335,0.0,True,0.0
hsa-mir-181c-5p,hsa-mir-363-3p,1958,3949,1,0.0005,0.0715,0.0145,0.0005,True,0.03359090909090909
hsa-mir-204-5p,hsa-mir-218-5p,196,1495,1,0.0,0.1115,0.3395,0.0005,True,0.03359090909090909
hsa-mir-149-5p,hsa-mir-19a-3p,196,7227,1,0.0005,0.271,0.574,0.0005,True,0.03359090909090909
hsa-mir-155-5p,hsa-mir-874-3p,196528,80205,1,0.008,0.1485,0.44,0.0005,True,0.03359090909090909
hsa-mir-130b-3p,hsa-mir-200a-5p,1997,80205,1,0.003,0.054,0.031,0.0005,True,0.03359090909090909
hsa-mir-200b-5p,hsa-mir-342-3p,1997,80205,1,0.0,0.254,0.252,0.0,True,0.0
hsa-mir-200c-3p,hsa-mir-582-5p,1999,84059,1,0.0,0.384,0.04,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-21-3p,2005,5927,1,0.0,0.329,0.3515,0.0,True,0.0
hsa-mir-204-5p,hsa-mir-874-3p,2099,463,1,0.005,0.074,0.3895,0.0005,True,0.03359090909090909
hsa-mir-19a-3p,hsa-mir-301b-3p,2099,8648,1,0.0,0.1775,0.2165,0.0,True,0.0
hsa-mir-299-5p,hsa-mir-377-3p,2113,1026,1,0.0,0.073,0.0335,0.0,True,0.0
hsa-mir-370-3p,hsa-mir-543,2113,1026,1,0.0,0.073,0.0615,0.0005,True,0.03359090909090909
hsa-mir-136-5p,hsa-mir-222-3p,2113,2114,1,0.0,0.085,0.1935,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-370-3p,2305,7422,1,0.0,0.0735,0.15,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-582-5p,2308,1612,1,0.0,0.828,0.0805,0.0,True,0.0
hsa-mir-370-3p,hsa-mir-543,2353,1026,1,0.0015,0.073,0.0615,0.0005,True,0.03359090909090909
hsa-mir-145-5p,hsa-mir-200a-3p,26298,5373,1,0.0,0.974,0.1995,0.0005,True,0.03359090909090909
hsa-mir-299-5p,hsa-mir-377-3p,3091,1026,1,0.0,0.073,0.0335,0.0,True,0.0
hsa-mir-370-3p,hsa-mir-433-3p,3091,1026,1,0.001,0.06,0.115,0.0,True,0.0
hsa-mir-299-5p,hsa-mir-376b-3p,3091,2632,1,0.0,0.082,0.0225,0.0,True,0.0
hsa-mir-376b-3p,hsa-mir-433-3p,3091,2632,1,0.0,0.034,0.014,0.0,True,0.0
hsa-mir-20a-5p,hsa-mir-224-5p,3091,3164,1,0.009,0.026,0.046,0.0,True,0.0
hsa-mir-493-3p,hsa-mir-548b-3p,3172,3949,1,0.0,0.0325,0.045,0.0,True,0.0
hsa-mir-204-5p,hsa-mir-214-3p,3607,7170,1,0.0005,0.067,0.1725,0.0005,True,0.03359090909090909
hsa-mir-222-3p,hsa-mir-381-3p,367,2887,1,0.0,0.016,0.019,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-381-3p,367,7132,1,0.0,0.1375,0.31,0.0005,True,0.03359090909090909
hsa-mir-19b-3p,hsa-mir-675-3p,367,7132,1,0.0,0.146,0.4795,0.0005,True,0.03359090909090909
hsa-mir-130a-3p,hsa-mir-142-3p,4205,80205,1,0.0055,0.0435,0.106,0.0005,True,0.03359090909090909
hsa-mir-130b-3p,hsa-mir-30c-1-3p,4212,1785,1,0.0045,0.615,0.0255,0.0,True,0.0
hsa-mir-181a-2-3p,hsa-mir-625-5p,4212,81846,1,0.0,0.4405,0.9395,0.0005,True,0.03359090909090909
hsa-mir-184,hsa-mir-338-5p,4609,1655,1,0.006,0.7825,0.026,0.0005,True,0.03359090909090909
hsa-mir-195-3p,hsa-mir-214-5p,4609,2023,1,0.0005,0.0415,0.072,0.0,True,0.0
hsa-mir-377-5p,hsa-mir-497-5p,4609,3178,1,0.0025,0.0285,0.017,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-199a-5p,4609,3308,1,0.004,0.3045,0.202,0.0005,True,0.03359090909090909
hsa-mir-378a-3p,hsa-mir-497-5p,4609,3313,1,0.006,0.0435,0.5245,0.0005,True,0.03359090909090909
hsa-let-7e-3p,hsa-mir-145-5p,4609,3930,1,0.0,0.2035,0.137,0.0,True,0.0
hsa-mir-10a-5p,hsa-mir-145-5p,4609,3930,1,0.007,0.099,0.1385,0.0005,True,0.03359090909090909
hsa-mir-10a-5p,hsa-mir-199a-5p,4609,3930,1,0.004,0.0865,0.1645,0.0005,True,0.03359090909090909
hsa-mir-145-5p,hsa-mir-377-5p,4609,3930,1,0.0015,0.121,0.2,0.0,True,0.0
hsa-mir-199a-5p,hsa-mir-377-5p,4609,3930,1,0.003,0.1895,0.1725,0.0,True,0.0
hsa-mir-199a-5p,hsa-mir-582-5p,4609,3930,1,0.002,0.181,0.6745,0.0,True,0.0
hsa-mir-195-3p,hsa-mir-424-5p,4609,6122,1,0.0005,0.018,0.0755,0.0,True,0.0
hsa-mir-127-5p,hsa-mir-323a-3p,4609,6778,1,0.0,0.0935,0.021,0.0,True,0.0
