"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-142-3p","hsa-mir-203a-3p",9314,"KLF4",332,"BIRC5",-1,0.003,0.0325,0.1845,0,0
"hsa-mir-204-5p","hsa-mir-874-3p",2099,"ESR1",463,"ZFHX3",1,0.005,0.074,0.3895,5e-04,0.0335909090909091
"hsa-mir-1-3p","hsa-mir-203a-3p",6925,"TCF4",595,"CCND1",1,0,0.0915,0.019,0,0
"hsa-mir-369-3p","hsa-mir-654-5p",4779,"NFE2L1",800,"CALD1",1,0,0.0845,0.1085,0,0
"hsa-mir-379-5p","hsa-mir-410-3p",4779,"NFE2L1",800,"CALD1",1,0.001,0.3265,0.0585,0,0
"hsa-mir-410-3p","hsa-mir-494-3p",4779,"NFE2L1",800,"CALD1",1,0.001,0.034,0.419,0,0
"hsa-mir-493-5p","hsa-mir-654-5p",4779,"NFE2L1",800,"CALD1",1,0,0.0495,0.0675,0,0
"hsa-mir-410-3p","hsa-mir-654-5p",4779,"NFE2L1",800,"CALD1",1,0.0015,0.044,0.074,0,0
"hsa-mir-299-5p","hsa-mir-377-3p",3091,"HIF1A",1026,"CDKN1A",1,0,0.073,0.0335,0,0
"hsa-mir-299-5p","hsa-mir-377-3p",2113,"ETS1",1026,"CDKN1A",1,0,0.073,0.0335,0,0
"hsa-mir-370-3p","hsa-mir-543",2113,"ETS1",1026,"CDKN1A",1,0,0.073,0.0615,5e-04,0.0335909090909091
"hsa-mir-370-3p","hsa-mir-543",2353,"FOS",1026,"CDKN1A",1,0.0015,0.073,0.0615,5e-04,0.0335909090909091
"hsa-mir-370-3p","hsa-mir-433-3p",3091,"HIF1A",1026,"CDKN1A",1,0.001,0.06,0.115,0,0
"hsa-mir-299-5p","hsa-mir-377-3p",1958,"EGR1",1026,"CDKN1A",1,0,0.073,0.0335,0,0
"hsa-mir-204-5p","hsa-mir-218-5p",196,"AHR",1495,"CTNNA1",1,0,0.1115,0.3395,5e-04,0.0335909090909091
"hsa-mir-18a-5p","hsa-mir-582-5p",2308,"FOXO1",1612,"DAPK1",1,0,0.828,0.0805,0,0
"hsa-mir-184","hsa-mir-338-5p",4609,"MYC",1655,"DDX5",1,0.006,0.7825,0.026,5e-04,0.0335909090909091
"hsa-mir-130b-3p","hsa-mir-30c-1-3p",4212,"MEIS2",1785,"DNM2",1,0.0045,0.615,0.0255,0,0
"hsa-mir-195-3p","hsa-mir-214-5p",4609,"MYC",2023,"ENO1",1,5e-04,0.0415,0.072,0,0
"hsa-mir-136-5p","hsa-mir-222-3p",2113,"ETS1",2114,"ETS2",1,0,0.085,0.1935,0,0
"hsa-mir-30c-2-3p","hsa-mir-335-5p",6720,"SREBF1",2224,"FDPS",1,0.0025,0.028,0.111,5e-04,0.0335909090909091
"hsa-mir-376b-3p","hsa-mir-433-3p",3091,"HIF1A",2632,"GBE1",1,0,0.034,0.014,0,0
"hsa-mir-299-5p","hsa-mir-376b-3p",3091,"HIF1A",2632,"GBE1",1,0,0.082,0.0225,0,0
"hsa-mir-222-3p","hsa-mir-381-3p",367,"AR",2887,"GRB10",1,0,0.016,0.019,0,0
"hsa-mir-125a-5p","hsa-mir-335-5p",5465,"PPARA",3157,"HMGCS1",1,5e-04,0.0765,0.29,0,0
"hsa-mir-20a-5p","hsa-mir-224-5p",3091,"HIF1A",3164,"NR4A1",1,0.009,0.026,0.046,0,0
"hsa-mir-377-5p","hsa-mir-497-5p",4609,"MYC",3178,"HNRNPA1",1,0.0025,0.0285,0.017,0,0
"hsa-mir-10a-5p","hsa-mir-199a-5p",4609,"MYC",3308,"HSPA4",1,0.004,0.3045,0.202,5e-04,0.0335909090909091
"hsa-mir-378a-3p","hsa-mir-497-5p",4609,"MYC",3313,"HSPA9",1,0.006,0.0435,0.5245,5e-04,0.0335909090909091
"hsa-mir-337-3p","hsa-mir-539-5p",6774,"STAT3",3479,"IGF1",1,0.002,0.032,0.1815,5e-04,0.0335909090909091
"hsa-mir-409-3p","hsa-mir-942-5p",6935,"ZEB1",3898,"LAD1",-1,0.004,0.027,0.0125,0,0
"hsa-mir-10a-5p","hsa-mir-145-5p",4609,"MYC",3930,"LBR",1,0.007,0.099,0.1385,5e-04,0.0335909090909091
"hsa-mir-10a-5p","hsa-mir-199a-5p",4609,"MYC",3930,"LBR",1,0.004,0.0865,0.1645,5e-04,0.0335909090909091
"hsa-let-7e-3p","hsa-mir-145-5p",4609,"MYC",3930,"LBR",1,0,0.2035,0.137,0,0
"hsa-mir-199a-5p","hsa-mir-582-5p",4609,"MYC",3930,"LBR",1,0.002,0.181,0.6745,0,0
"hsa-mir-199a-5p","hsa-mir-377-5p",4609,"MYC",3930,"LBR",1,0.003,0.1895,0.1725,0,0
"hsa-mir-145-5p","hsa-mir-377-5p",4609,"MYC",3930,"LBR",1,0.0015,0.121,0.2,0,0
"hsa-mir-493-3p","hsa-mir-548b-3p",3172,"HNF4A",3949,"LDLR",1,0,0.0325,0.045,0,0
"hsa-mir-181c-5p","hsa-mir-363-3p",1958,"EGR1",3949,"LDLR",1,5e-04,0.0715,0.0145,5e-04,0.0335909090909091
"hsa-mir-125b-2-3p","hsa-mir-182-5p",468,"ATF4",4170,"MCL1",1,0.0025,0.015,0.2985,5e-04,0.0335909090909091
"hsa-mir-146a-5p","hsa-mir-32-3p",6772,"STAT1",4170,"MCL1",1,0,0.0505,0.021,5e-04,0.0335909090909091
"hsa-mir-381-3p","hsa-mir-653-5p",687,"KLF9",4209,"MEF2D",1,0,0.1525,0.236,0,0
"hsa-mir-155-5p","hsa-mir-218-5p",7003,"TEAD1",4638,"MYLK",1,0.0015,0.0435,0.0135,0,0
"hsa-mir-675-3p","hsa-mir-877-5p",7543,"ZFX",4641,"MYO1C",1,0,0.0945,0.1215,0,0
"hsa-mir-377-3p","hsa-mir-494-3p",4779,"NFE2L1",5073,"PARN",1,0.002,0.221,0.044,0,0
"hsa-mir-145-5p","hsa-mir-200a-3p",26298,"EHF",5373,"PMM2",1,0,0.974,0.1995,5e-04,0.0335909090909091
"hsa-mir-181c-5p","hsa-mir-27a-5p",5468,"PPARG",5728,"PTEN",1,0.0095,0.035,0.0175,5e-04,0.0335909090909091
"hsa-mir-141-3p","hsa-mir-21-3p",2005,"ELK4",5927,"KDM5A",1,0,0.329,0.3515,0,0
"hsa-mir-195-3p","hsa-mir-424-5p",4609,"MYC",6122,"RPL3",1,5e-04,0.018,0.0755,0,0
"hsa-mir-181a-2-3p","hsa-mir-92b-3p",6925,"TCF4",6711,"SPTBN1",1,0,0.26,0.083,0,0
"hsa-mir-127-5p","hsa-mir-7-5p",4609,"MYC",6778,"STAT6",1,5e-04,0.1675,0.1405,0,0
"hsa-mir-127-5p","hsa-mir-323a-3p",4609,"MYC",6778,"STAT6",1,0,0.0935,0.021,0,0
"hsa-mir-19b-3p","hsa-mir-381-3p",367,"AR",7132,"TNFRSF1A",1,0,0.1375,0.31,5e-04,0.0335909090909091
"hsa-mir-19b-3p","hsa-mir-675-3p",367,"AR",7132,"TNFRSF1A",1,0,0.146,0.4795,5e-04,0.0335909090909091
"hsa-mir-338-3p","hsa-mir-942-5p",860,"RUNX2",7145,"TNS1",1,0,0.247,0.295,0,0
"hsa-mir-338-3p","hsa-mir-942-5p",4779,"NFE2L1",7145,"TNS1",1,0.0045,0.247,0.295,0,0
"hsa-mir-204-5p","hsa-mir-214-3p",3607,"FOXK2",7170,"TPM3",1,5e-04,0.067,0.1725,5e-04,0.0335909090909091
"hsa-mir-149-5p","hsa-mir-19a-3p",196,"AHR",7227,"TRPS1",1,5e-04,0.271,0.574,5e-04,0.0335909090909091
"hsa-mir-20b-5p","hsa-mir-370-3p",2305,"FOXM1",7422,"VEGFA",1,0,0.0735,0.15,0,0
"hsa-mir-181d-5p","hsa-mir-199a-5p",1385,"CREB1",7422,"VEGFA",1,0,0.1675,0.0325,0,0
"hsa-mir-20b-5p","hsa-mir-664a-3p",51341,"ZBTB7A",8570,"KHSRP",-1,0.008,0.3555,0.0315,0,0
"hsa-mir-19a-3p","hsa-mir-301b-3p",2099,"ESR1",8648,"NCOA1",1,0,0.1775,0.2165,0,0
"hsa-mir-106a-5p","hsa-mir-18a-3p",1869,"E2F1",9020,"MAP3K14",1,0,0.019,0.014,5e-04,0.0335909090909091
"hsa-mir-142-5p","hsa-mir-381-3p",7586,"ZKSCAN1",9043,"SPAG9",1,0,0.258,0.086,5e-04,0.0335909090909091
"hsa-mir-125a-3p","hsa-mir-335-5p",7586,"ZKSCAN1",9267,"CYTH1",1,0.004,0.015,0.126,5e-04,0.0335909090909091
