"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-199a-5p","hsa-mir-589-3p",4609,"MYC",71,"ACTG1",1,0.001,0.823,0.4385,0,0
"hsa-let-7f-5p","hsa-mir-127-5p",6773,"STAT2",103,"ADAR",1,0,0.034,0.0115,0,0
"hsa-mir-203a-3p","hsa-mir-224-5p",4609,"MYC",223,"ALDH9A1",-1,0.0075,0.407,0.0645,0.001,0.0440683692471402
"hsa-mir-29b-2-5p","hsa-mir-301a-3p",4609,"MYC",262,"AMD1",1,0.006,0.0375,0.1475,5e-04,0.0275537258815702
"hsa-mir-301a-3p","hsa-mir-616-5p",51274,"KLF3",394,"ARHGAP5",1,0,0.016,0.0155,5e-04,0.0275537258815702
"hsa-mir-29b-3p","hsa-mir-301a-3p",144455,"E2F7",667,"DST",1,0,0.5375,0.1995,0,0
"hsa-mir-502-5p","hsa-mir-9-5p",1997,"ELF1",754,"PTTG1IP",1,0,0.0385,0.208,0.001,0.0440683692471402
"hsa-mir-26b-3p","hsa-mir-548j-5p",7003,"TEAD1",824,"CAPN2",1,0.0045,0.318,0.157,0,0
"hsa-mir-7-5p","hsa-mir-9-5p",2099,"ESR1",824,"CAPN2",1,0.005,0.012,0.0185,5e-04,0.0275537258815702
"hsa-mir-301a-3p","hsa-mir-505-5p",4089,"SMAD4",862,"RUNX1T1",1,0.003,0.161,0.896,0,0
"hsa-let-7c-5p","hsa-mir-3065-3p",4150,"MAZ",871,"SERPINH1",1,0,0.1845,0.1415,5e-04,0.0275537258815702
"hsa-mir-29a-5p","hsa-mir-93-3p",1385,"CREB1",920,"CD4",1,0,0.5035,0.0125,5e-04,0.0275537258815702
"hsa-mir-18a-5p","hsa-mir-877-5p",4297,"KMT2A",1027,"CDKN1B",1,0.0025,0.02,0.054,0,0
"hsa-mir-150-5p","hsa-mir-7-5p",6772,"STAT1",1278,"COL1A2",1,0,0.0315,0.0785,5e-04,0.0275537258815702
"hsa-mir-20b-5p","hsa-mir-30b-5p",3726,"JUNB",1316,"KLF6",1,0.008,0.0295,0.4465,0.001,0.0440683692471402
"hsa-mir-204-5p","hsa-mir-30a-3p",6667,"SP1",1386,"ATF2",1,0.007,0.023,0.152,5e-04,0.0275537258815702
