miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-29c-3p,hsa-mir-320b,10499,8202,1,0.0005,0.458,0.0205,0.0,True,0.0
hsa-mir-205-3p,hsa-mir-940,1051,1026,1,0.0005,0.037,0.279,0.0005,True,0.03336516168395363
hsa-mir-129-5p,hsa-mir-940,1316,5339,1,0.0,0.0165,0.682,0.0,True,0.0
hsa-mir-30a-5p,hsa-mir-338-5p,144455,80010,1,0.0045,0.0495,0.6485,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-204-5p,1958,4609,1,0.0055,0.0855,0.112,0.0005,True,0.03336516168395363
hsa-mir-18b-5p,hsa-mir-205-3p,2099,1026,1,0.0025,0.0135,0.06,0.0005,True,0.03336516168395363
hsa-mir-200a-3p,hsa-mir-200b-3p,2113,1026,1,0.0,0.0735,0.0195,0.0005,True,0.03336516168395363
hsa-mir-205-3p,hsa-mir-331-3p,2113,1026,1,0.0,0.0515,0.035,0.0005,True,0.03336516168395363
hsa-mir-1-3p,hsa-mir-18a-5p,2113,2551,1,0.0,0.2595,0.1245,0.0005,True,0.03336516168395363
hsa-mir-1226-3p,hsa-mir-570-3p,2113,3371,1,0.0,0.1325,0.0145,0.0005,True,0.03336516168395363
hsa-mir-141-3p,hsa-mir-200b-3p,2113,5743,1,0.0,0.0485,0.087,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-429,2113,5743,1,0.0,0.0485,0.2425,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-18a-3p,2115,6925,1,0.0,0.409,0.048,0.0005,True,0.03336516168395363
hsa-mir-106a-5p,hsa-mir-296-5p,2115,89796,1,0.002,0.147,0.0765,0.0005,True,0.03336516168395363
hsa-mir-19a-3p,hsa-mir-20a-5p,2355,8061,1,0.0005,0.013,0.014,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-182-5p,2625,64778,1,0.0,0.012,0.32,0.0005,True,0.03336516168395363
hsa-mir-141-3p,hsa-mir-183-5p,2625,64778,1,0.0,0.011,0.1775,0.0005,True,0.03336516168395363
hsa-mir-200a-3p,hsa-mir-944,2627,5144,1,0.001,0.0585,0.0285,0.0,True,0.0
hsa-mir-301a-3p,hsa-mir-338-3p,27086,142,-1,0.0,0.011,0.02,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-338-3p,3091,112399,1,0.0025,0.032,0.4305,0.0005,True,0.03336516168395363
hsa-mir-106a-5p,hsa-mir-19a-3p,3091,2908,1,0.0005,0.03,0.011,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-19b-3p,3091,2908,1,0.001,0.038,0.0215,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-429,3091,5743,1,0.003,0.0485,0.2425,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-182-5p,3516,64778,1,0.0005,0.012,0.32,0.0005,True,0.03336516168395363
hsa-mir-141-3p,hsa-mir-183-5p,3516,64778,1,0.0,0.011,0.1775,0.0005,True,0.03336516168395363
hsa-mir-196b-5p,hsa-mir-96-5p,3516,64778,1,0.0,0.417,0.016,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-18a-3p,3516,6925,1,0.002,0.409,0.048,0.0005,True,0.03336516168395363
hsa-mir-17-5p,hsa-mir-18a-3p,3662,6925,1,0.0,0.409,0.048,0.0005,True,0.03336516168395363
hsa-mir-30c-2-3p,hsa-mir-338-3p,4150,28964,1,0.0065,0.071,0.0835,0.0005,True,0.03336516168395363
hsa-mir-17-5p,hsa-mir-577,4609,1476,1,0.0,0.064,0.036,0.0005,True,0.03336516168395363
hsa-mir-33a-5p,hsa-mir-655-3p,4609,26354,1,0.0005,0.5655,0.2835,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-20a-5p,4609,3312,1,0.0025,0.135,0.0605,0.0005,True,0.03336516168395363
hsa-mir-106a-5p,hsa-mir-301a-3p,4609,3655,1,0.0015,0.017,0.0115,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-20a-5p,4609,8061,1,0.0025,0.013,0.014,0.0,True,0.0
hsa-mir-205-3p,hsa-mir-940,5914,1026,1,0.0,0.037,0.279,0.0005,True,0.03336516168395363
hsa-mir-32-3p,hsa-mir-363-3p,639,1385,1,0.0005,0.017,0.0205,0.0,True,0.0
hsa-mir-33a-3p,hsa-mir-944,639,2908,1,0.0,0.6065,0.0105,0.0005,True,0.03336516168395363
hsa-mir-20b-5p,hsa-mir-3934-5p,6774,2120,1,0.0035,0.3695,0.4555,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-628-3p,6925,57480,1,0.0,0.385,0.2465,0.0,True,0.0
hsa-mir-205-3p,hsa-mir-940,7421,1026,1,0.0,0.037,0.279,0.0005,True,0.03336516168395363
hsa-mir-200a-3p,hsa-mir-200b-3p,9314,1026,1,0.007,0.0735,0.0195,0.0005,True,0.03336516168395363
