"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-301a-3p","hsa-mir-338-3p",27086,"FOXP1",142,"PARP1",-1,0,0.011,0.02,0,0
"hsa-mir-205-3p","hsa-mir-331-3p",2113,"ETS1",1026,"CDKN1A",1,0,0.0515,0.035,5e-04,0.0333651616839536
"hsa-mir-18b-5p","hsa-mir-205-3p",2099,"ESR1",1026,"CDKN1A",1,0.0025,0.0135,0.06,5e-04,0.0333651616839536
"hsa-mir-205-3p","hsa-mir-940",1051,"CEBPB",1026,"CDKN1A",1,5e-04,0.037,0.279,5e-04,0.0333651616839536
"hsa-mir-200a-3p","hsa-mir-200b-3p",9314,"KLF4",1026,"CDKN1A",1,0.007,0.0735,0.0195,5e-04,0.0333651616839536
"hsa-mir-205-3p","hsa-mir-940",5914,"RARA",1026,"CDKN1A",1,0,0.037,0.279,5e-04,0.0333651616839536
"hsa-mir-205-3p","hsa-mir-940",7421,"VDR",1026,"CDKN1A",1,0,0.037,0.279,5e-04,0.0333651616839536
"hsa-mir-200a-3p","hsa-mir-200b-3p",2113,"ETS1",1026,"CDKN1A",1,0,0.0735,0.0195,5e-04,0.0333651616839536
"hsa-mir-32-3p","hsa-mir-363-3p",639,"PRDM1",1385,"CREB1",1,5e-04,0.017,0.0205,0,0
"hsa-mir-17-5p","hsa-mir-577",4609,"MYC",1476,"CSTB",1,0,0.064,0.036,5e-04,0.0333651616839536
"hsa-mir-20b-5p","hsa-mir-3934-5p",6774,"STAT3",2120,"ETV6",1,0.0035,0.3695,0.4555,0,0
"hsa-mir-1-3p","hsa-mir-18a-5p",2113,"ETS1",2551,"GABPA",1,0,0.2595,0.1245,5e-04,0.0333651616839536
"hsa-mir-33a-3p","hsa-mir-944",639,"PRDM1",2908,"NR3C1",1,0,0.6065,0.0105,5e-04,0.0333651616839536
"hsa-mir-106a-5p","hsa-mir-19a-3p",3091,"HIF1A",2908,"NR3C1",1,5e-04,0.03,0.011,0,0
"hsa-mir-106a-5p","hsa-mir-19b-3p",3091,"HIF1A",2908,"NR3C1",1,0.001,0.038,0.0215,0,0
"hsa-mir-19a-3p","hsa-mir-20a-5p",4609,"MYC",3312,"HSPA8",1,0.0025,0.135,0.0605,5e-04,0.0333651616839536
"hsa-mir-1226-3p","hsa-mir-570-3p",2113,"ETS1",3371,"TNC",1,0,0.1325,0.0145,5e-04,0.0333651616839536
"hsa-mir-106a-5p","hsa-mir-301a-3p",4609,"MYC",3655,"ITGA6",1,0.0015,0.017,0.0115,0,0
"hsa-let-7c-5p","hsa-mir-204-5p",1958,"EGR1",4609,"MYC",1,0.0055,0.0855,0.112,5e-04,0.0333651616839536
"hsa-mir-200a-3p","hsa-mir-944",2627,"GATA6",5144,"PDE4D",1,0.001,0.0585,0.0285,0,0
"hsa-mir-129-5p","hsa-mir-940",1316,"KLF6",5339,"PLEC",1,0,0.0165,0.682,0,0
"hsa-mir-141-3p","hsa-mir-429",2113,"ETS1",5743,"PTGS2",1,0,0.0485,0.2425,0,0
"hsa-mir-141-3p","hsa-mir-429",3091,"HIF1A",5743,"PTGS2",1,0.003,0.0485,0.2425,0,0
"hsa-mir-141-3p","hsa-mir-200b-3p",2113,"ETS1",5743,"PTGS2",1,0,0.0485,0.087,0,0
"hsa-mir-17-5p","hsa-mir-18a-3p",2115,"ETV1",6925,"TCF4",1,0,0.409,0.048,5e-04,0.0333651616839536
"hsa-mir-17-5p","hsa-mir-18a-3p",3662,"IRF4",6925,"TCF4",1,0,0.409,0.048,5e-04,0.0333651616839536
"hsa-mir-17-5p","hsa-mir-18a-3p",3516,"RBPJ",6925,"TCF4",1,0.002,0.409,0.048,5e-04,0.0333651616839536
"hsa-mir-19a-3p","hsa-mir-20a-5p",2355,"FOSL2",8061,"FOSL1",1,5e-04,0.013,0.014,0,0
"hsa-mir-19a-3p","hsa-mir-20a-5p",4609,"MYC",8061,"FOSL1",1,0.0025,0.013,0.014,0,0
"hsa-mir-29c-3p","hsa-mir-320b",10499,"NCOA2",8202,"NCOA3",1,5e-04,0.458,0.0205,0,0
"hsa-mir-33a-5p","hsa-mir-655-3p",4609,"MYC",26354,"GNL3",1,5e-04,0.5655,0.2835,0,0
"hsa-mir-30c-2-3p","hsa-mir-338-3p",4150,"MAZ",28964,"GIT1",1,0.0065,0.071,0.0835,5e-04,0.0333651616839536
"hsa-mir-200a-3p","hsa-mir-628-3p",6925,"TCF4",57480,"PLEKHG1",1,0,0.385,0.2465,0,0
"hsa-mir-141-3p","hsa-mir-182-5p",3516,"RBPJ",64778,"FNDC3B",1,5e-04,0.012,0.32,5e-04,0.0333651616839536
"hsa-mir-141-3p","hsa-mir-182-5p",2625,"GATA3",64778,"FNDC3B",1,0,0.012,0.32,5e-04,0.0333651616839536
"hsa-mir-141-3p","hsa-mir-183-5p",2625,"GATA3",64778,"FNDC3B",1,0,0.011,0.1775,5e-04,0.0333651616839536
"hsa-mir-196b-5p","hsa-mir-96-5p",3516,"RBPJ",64778,"FNDC3B",1,0,0.417,0.016,0,0
"hsa-mir-141-3p","hsa-mir-183-5p",3516,"RBPJ",64778,"FNDC3B",1,0,0.011,0.1775,5e-04,0.0333651616839536
"hsa-mir-30a-5p","hsa-mir-338-5p",144455,"E2F7",80010,"RMI1",1,0.0045,0.0495,0.6485,0,0
"hsa-mir-106a-5p","hsa-mir-296-5p",2115,"ETV1",89796,"NAV1",1,0.002,0.147,0.0765,5e-04,0.0333651616839536
"hsa-mir-17-5p","hsa-mir-338-3p",3091,"HIF1A",112399,"EGLN3",1,0.0025,0.032,0.4305,5e-04,0.0333651616839536
