miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-642a-5p,hsa-mir-7-5p,10765,4088,1,0.006,0.015,0.036,0.0,True,0.0
hsa-mir-33b-5p,hsa-mir-376a-3p,10765,4627,1,0.0085,0.0115,0.1255,0.0015,True,0.03890277777777778
hsa-mir-204-5p,hsa-mir-9-5p,10765,9686,1,0.0,0.1905,0.139,0.0,True,0.0
hsa-mir-135b-5p,hsa-mir-205-5p,1869,16,1,0.0,0.119,0.1315,0.002,True,0.04554471544715447
hsa-mir-129-5p,hsa-mir-7-5p,1879,3915,1,0.0,0.625,0.054,0.0015,True,0.03890277777777778
hsa-mir-141-3p,hsa-mir-194-3p,2625,64778,1,0.0095,0.037,0.0285,0.001,True,0.0305404984423676
hsa-mir-31-5p,hsa-mir-675-3p,367,7067,1,0.0005,0.381,0.13,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-204-5p,405,6938,1,0.003,0.073,0.209,0.0,True,0.0
hsa-mir-193b-5p,hsa-mir-224-5p,4090,57492,1,0.0,0.042,0.012,0.0,True,0.0
hsa-mir-1179,hsa-mir-1224-5p,4609,3930,1,0.001,0.0565,0.051,0.0,True,0.0
hsa-mir-1179,hsa-mir-592,4609,3930,1,0.001,0.043,0.076,0.0,True,0.0
hsa-mir-192-3p,hsa-mir-203a-3p,51621,8943,-1,0.0,0.0275,0.092,0.0005,True,0.0191474609375
hsa-mir-7-5p,hsa-mir-877-5p,571,3930,1,0.0,0.0365,0.2095,0.0,True,0.0
hsa-mir-429,hsa-mir-656-3p,60468,50650,1,0.0,0.0705,0.4035,0.0015,True,0.03890277777777778
hsa-mir-204-5p,hsa-mir-9-5p,6664,861,1,0.0,0.0955,0.0765,0.0,True,0.0
hsa-mir-153-3p,hsa-mir-33a-5p,6667,4170,1,0.0025,0.2215,0.279,0.002,True,0.04554471544715447
hsa-mir-129-5p,hsa-mir-7-5p,6667,6868,1,0.001,0.0805,0.0445,0.001,True,0.0305404984423676
hsa-mir-1179,hsa-mir-3065-5p,6667,8091,1,0.004,0.026,0.2605,0.0,True,0.0
hsa-mir-139-3p,hsa-mir-192-3p,6667,960,1,0.0025,0.7695,0.4555,0.0005,True,0.0191474609375
hsa-mir-153-3p,hsa-mir-376a-3p,6670,23607,1,0.0005,0.0225,0.039,0.0005,True,0.0191474609375
hsa-mir-153-3p,hsa-mir-33b-5p,6670,8091,1,0.0025,0.032,0.0935,0.0015,True,0.03890277777777778
hsa-mir-153-3p,hsa-mir-7-5p,688,375790,1,0.0095,0.021,0.042,0.0,True,0.0
hsa-mir-153-3p,hsa-mir-376a-3p,688,4641,1,0.005,0.0115,0.119,0.0005,True,0.0191474609375
hsa-mir-1179,hsa-mir-96-5p,6934,1499,1,0.0015,0.018,0.0375,0.0,True,0.0
hsa-mir-146a-5p,hsa-mir-577,7003,9645,1,0.002,0.018,0.1705,0.0005,True,0.0191474609375
hsa-mir-193b-3p,hsa-mir-584-5p,7528,4677,1,0.0005,0.0505,0.0305,0.0015,True,0.03890277777777778
hsa-mir-135a-5p,hsa-mir-3065-3p,860,1806,1,0.0005,0.1465,0.207,0.0005,True,0.0191474609375
hsa-mir-204-5p,hsa-mir-9-5p,860,861,1,0.002,0.0955,0.0765,0.0,True,0.0
hsa-mir-223-3p,hsa-mir-33a-5p,9935,23001,1,0.003,0.6765,0.382,0.0015,True,0.03890277777777778
