"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-20b-5p","hsa-mir-33a-5p",5465,"PPARA",51,"ACOX1",1,0,0.0235,0.384,0,0
"hsa-mir-106a-5p","hsa-mir-338-5p",3091,"HIF1A",133,"ADM",1,0,0.5885,0.1055,5e-04,0.0108588312541037
"hsa-mir-135a-5p","hsa-mir-362-3p",6667,"SP1",351,"APP",1,0,0.208,0.481,0.0025,0.0341976840363937
"hsa-mir-20b-5p","hsa-mir-33b-5p",1385,"CREB1",596,"BCL2",1,0,0.0115,0.1295,0.003,0.0385201863354037
"hsa-mir-20b-5p","hsa-mir-33b-5p",6667,"SP1",596,"BCL2",1,0,0.0115,0.1295,0.003,0.0385201863354037
"hsa-mir-20b-5p","hsa-mir-33b-5p",6774,"STAT3",596,"BCL2",1,0,0.0115,0.1295,0.003,0.0385201863354037
"hsa-let-7g-3p","hsa-mir-33b-5p",4286,"MITF",596,"BCL2",1,0.001,0.6335,0.13,5e-04,0.0108588312541037
"hsa-let-7g-3p","hsa-mir-33b-5p",1385,"CREB1",596,"BCL2",1,0,0.6335,0.13,5e-04,0.0108588312541037
"hsa-mir-20b-5p","hsa-mir-33b-5p",2099,"ESR1",596,"BCL2",1,0,0.0115,0.1295,0.003,0.0385201863354037
"hsa-mir-33a-5p","hsa-mir-33b-5p",2736,"GLI2",596,"BCL2",1,0,0.1395,0.1235,0,0
"hsa-mir-20b-5p","hsa-mir-33b-5p",8202,"NCOA3",596,"BCL2",1,0,0.0115,0.1295,0.003,0.0385201863354037
"hsa-mir-338-3p","hsa-mir-362-3p",405,"ARNT",667,"DST",1,0,0.477,0.013,5e-04,0.0108588312541037
"hsa-mir-338-3p","hsa-mir-362-3p",4205,"MEF2A",667,"DST",1,0.001,0.477,0.013,5e-04,0.0108588312541037
"hsa-mir-182-5p","hsa-mir-7-5p",2099,"ESR1",824,"CAPN2",1,0,0.011,0.4395,0.0015,0.0246835820895522
"hsa-mir-141-3p","hsa-mir-338-3p",2353,"FOS",1026,"CDKN1A",1,5e-04,0.021,0.0565,0.001,0.0182437948152234
"hsa-mir-20b-5p","hsa-mir-221-5p",6667,"SP1",1027,"CDKN1B",1,0,0.261,0.0275,5e-04,0.0108588312541037
"hsa-mir-205-5p","hsa-mir-944",639,"PRDM1",1385,"CREB1",1,0.0045,0.036,0.7565,0.004,0.0468332743362832
"hsa-mir-31-5p","hsa-mir-455-3p",367,"AR",2289,"FKBP5",1,0,0.011,0.073,0.0025,0.0341976840363937
"hsa-mir-182-5p","hsa-mir-20b-5p",3091,"HIF1A",2673,"GFPT1",1,0,0.193,0.0185,0.0035,0.0427812269031781
"hsa-mir-149-5p","hsa-mir-3065-5p",6667,"SP1",2697,"GJA1",1,5e-04,0.701,0.24,0.002,0.0295453327378294
"hsa-mir-20b-5p","hsa-mir-221-5p",2099,"ESR1",2934,"GSN",1,0,0.019,0.0215,0,0
"hsa-mir-106a-5p","hsa-mir-20b-5p",6774,"STAT3",3454,"IFNAR1",1,0,0.019,0.134,0.002,0.0295453327378294
"hsa-mir-182-5p","hsa-mir-200a-3p",6774,"STAT3",3454,"IFNAR1",1,0,0.7785,0.331,0.002,0.0295453327378294
"hsa-mir-20b-5p","hsa-mir-33a-3p",6667,"SP1",3480,"IGF1R",1,0,0.03,0.6785,0.0025,0.0341976840363937
"hsa-mir-20b-5p","hsa-mir-33a-3p",1316,"KLF6",3480,"IGF1R",1,0,0.03,0.6785,0.0025,0.0341976840363937
"hsa-let-7g-3p","hsa-mir-20b-5p",6667,"SP1",3480,"IGF1R",1,0,0.1965,0.0225,0,0
"hsa-mir-362-3p","hsa-mir-7-5p",6667,"SP1",3949,"LDLR",1,5e-04,0.1245,0.5375,0.003,0.0385201863354037
"hsa-mir-20b-5p","hsa-mir-3065-5p",6667,"SP1",4089,"SMAD4",1,0,0.0525,0.023,0.002,0.0295453327378294
"hsa-mir-106a-5p","hsa-mir-3065-5p",6667,"SP1",4089,"SMAD4",1,0,0.2185,0.023,0.001,0.0182437948152234
"hsa-mir-200a-3p","hsa-mir-9-5p",2034,"EPAS1",4891,"SLC11A2",1,0,0.507,0.022,0.002,0.0295453327378294
"hsa-mir-20b-5p","hsa-mir-33b-5p",6671,"SP4",5108,"PCM1",1,0,0.0445,0.328,0.0025,0.0341976840363937
"hsa-mir-142-3p","hsa-mir-33b-5p",6667,"SP1",5743,"PTGS2",1,0,0.235,0.0285,0.001,0.0182437948152234
"hsa-mir-142-3p","hsa-mir-33b-5p",1385,"CREB1",5743,"PTGS2",1,0.0085,0.235,0.0285,0.001,0.0182437948152234
"hsa-mir-106a-3p","hsa-mir-383-5p",3091,"HIF1A",6513,"SLC2A1",1,0,0.9565,0.2065,0.0015,0.0246835820895522
"hsa-mir-133b","hsa-mir-149-5p",6667,"SP1",7528,"YY1",1,0.0045,0.0385,0.06,0.0015,0.0246835820895522
"hsa-mir-20b-5p","hsa-mir-450b-5p",10009,"ZBTB33",8452,"CUL3",1,0,0.03,0.0485,0.0015,0.0246835820895522
"hsa-mir-20b-5p","hsa-mir-9-3p",10009,"ZBTB33",8452,"CUL3",1,0,0.0215,0.1505,0.003,0.0385201863354037
"hsa-mir-204-5p","hsa-mir-33b-5p",7764,"ZNF217",8826,"IQGAP1",1,0.001,0.084,0.0755,0.002,0.0295453327378294
"hsa-mir-4326","hsa-mir-486-5p",2308,"FOXO1",9337,"CNOT8",1,0,0.3515,0.544,0.0025,0.0341976840363937
"hsa-mir-362-3p","hsa-mir-615-3p",10664,"CTCF",9662,"CEP135",1,0,0.5475,0.608,0.0025,0.0341976840363937
"hsa-mir-106a-5p","hsa-mir-18b-5p",3660,"IRF2",10509,"SEMA4B",1,5e-04,0.104,0.081,5e-04,0.0108588312541037
"hsa-mir-221-5p","hsa-mir-503-5p",6929,"TCF3",23225,"NUP210",1,0,0.1095,0.34,0.002,0.0295453327378294
"hsa-mir-338-5p","hsa-mir-653-5p",2494,"NR5A2",23329,"TBC1D30",1,0.003,0.118,0.1075,0.003,0.0385201863354037
"hsa-mir-29b-1-5p","hsa-mir-9-5p",1997,"ELF1",25942,"SIN3A",1,0.005,0.036,0.04,0,0
"hsa-mir-200a-3p","hsa-mir-33a-5p",3516,"RBPJ",27086,"FOXP1",1,0,0.2605,0.2165,0,0
"hsa-mir-141-3p","hsa-mir-33b-5p",10765,"KDM5B",27086,"FOXP1",1,0,0.0125,0.99,0.0015,0.0246835820895522
"hsa-mir-149-5p","hsa-mir-362-3p",7003,"TEAD1",51421,"AMOTL2",1,0,0.035,0.1795,0,0
"hsa-mir-362-3p","hsa-mir-629-3p",4205,"MEF2A",51719,"CAB39",1,0.005,0.4865,0.38,5e-04,0.0108588312541037
