"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-22-3p","hsa-mir-23b-3p",10127,"ZNF263",29,"ABR",-1,0.001,0.0925,0.21,0.004,0.0242992328935256
"hsa-mir-191-3p","hsa-mir-940",6722,"SRF",60,"ACTB",1,0,0.029,0.164,5e-04,0.00465053675036997
"hsa-mir-186-5p","hsa-mir-34a-5p",6722,"SRF",60,"ACTB",1,0,0.1815,0.346,0.0015,0.011451979253032
"hsa-mir-186-5p","hsa-mir-331-3p",6722,"SRF",60,"ACTB",1,0,0.2005,0.1725,0.006,0.0327349087151223
"hsa-mir-424-5p","hsa-mir-590-3p",10379,"IRF9",103,"ADAR",1,0.0045,0.02,0.51,0.006,0.0327349087151223
"hsa-mir-29a-5p","hsa-mir-455-3p",6773,"STAT2",103,"ADAR",1,5e-04,0.5715,0.0885,0.007,0.0366393295262267
"hsa-mir-197-3p","hsa-mir-455-3p",6773,"STAT2",103,"ADAR",1,0.001,0.2295,0.103,0.0095,0.0455110826114311
"hsa-mir-197-3p","hsa-mir-503-5p",3660,"IRF2",103,"ADAR",1,0,0.3195,0.0225,0.0065,0.0347114341973943
"hsa-mir-222-5p","hsa-mir-874-3p",6772,"STAT1",103,"ADAR",1,5e-04,0.721,0.5115,0.006,0.0327349087151223
"hsa-mir-17-3p","hsa-mir-181a-5p",6772,"STAT1",103,"ADAR",1,5e-04,0.044,0.862,0.004,0.0242992328935256
"hsa-mir-455-3p","hsa-mir-484",6773,"STAT2",103,"ADAR",1,0.0035,0.1045,0.0415,0.007,0.0366393295262267
"hsa-mir-27b-3p","hsa-mir-301a-3p",1997,"ELF1",113,"ADCY7",1,0.005,0.1895,0.235,0.0045,0.0265216200526919
