miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-let-7a-3p,hsa-let-7c-5p,7003,2195,1,0.003,0.0445,0.0275,0.0,True,0.0
hsa-let-7a-3p,hsa-mir-16-1-3p,7003,57608,1,0.005,0.252,0.2755,0.0005,True,0.00465053675036997
hsa-let-7a-3p,hsa-mir-19a-3p,7003,79026,1,0.0005,0.0225,0.0235,0.0,True,0.0
hsa-let-7a-3p,hsa-mir-22-5p,7003,63971,1,0.003,0.0415,0.055,0.0025,True,0.017023629359565248
hsa-let-7a-3p,hsa-mir-192-5p,4205,57157,1,0.0,0.39,0.6645,0.007,True,0.036639329526226734
hsa-let-7a-3p,hsa-mir-192-5p,7003,196527,1,0.002,0.061,0.2365,0.005,True,0.02865674666357873
hsa-let-7a-3p,hsa-mir-197-3p,7003,79026,1,0.001,0.018,0.054,0.0,True,0.0
hsa-let-7a-3p,hsa-mir-132-3p,7003,196527,1,0.003,0.061,0.1105,0.0035,True,0.021972095825472073
hsa-let-7a-3p,hsa-mir-142-3p,7003,3895,1,0.0045,0.0105,0.036,0.0065,True,0.03471143419739433
hsa-let-7a-3p,hsa-mir-191-5p,7003,79026,1,0.0005,0.0205,0.1495,0.004,True,0.024299232893525622
hsa-let-7a-3p,hsa-mir-125a-3p,7003,79026,1,0.0025,0.0165,0.8065,0.0,True,0.0
hsa-let-7a-3p,hsa-mir-29c-3p,7003,25937,1,0.0025,0.127,0.678,0.003,True,0.01956304347826087
hsa-let-7a-3p,hsa-mir-29c-3p,4205,25937,1,0.0,0.127,0.678,0.003,True,0.01956304347826087
hsa-let-7a-3p,hsa-mir-424-5p,7003,63971,1,0.0005,0.0315,0.1345,0.0005,True,0.00465053675036997
hsa-let-7a-3p,hsa-mir-500a-3p,7003,55187,1,0.004,0.048,0.2055,0.0055,True,0.030718509323779158
hsa-let-7a-3p,hsa-mir-503-5p,7003,3895,1,0.002,0.0145,0.028,0.0005,True,0.00465053675036997
hsa-let-7a-3p,hsa-mir-33b-5p,2115,57448,1,0.0,0.535,0.138,0.0025,True,0.017023629359565248
hsa-let-7a-3p,hsa-mir-942-5p,7003,3895,1,0.0015,0.014,0.348,0.001,True,0.008273040680303378
hsa-let-7a-2-3p,hsa-mir-23a-5p,2309,10370,1,0.0055,0.0155,0.152,0.009,True,0.04380421127678143
hsa-let-7a-2-3p,hsa-mir-142-5p,2309,10370,1,0.0075,0.013,0.08,0.0055,True,0.030718509323779158
hsa-let-7a-2-3p,hsa-mir-9-3p,1869,8520,1,0.0,0.597,0.49,0.0005,True,0.00465053675036997
hsa-let-7a-2-3p,hsa-mir-590-5p,2309,10370,1,0.004,0.024,0.0205,0.006,True,0.03273490871512229
hsa-let-7c-5p,hsa-mir-16-1-3p,6938,463,1,0.0075,0.0135,0.011,0.001,True,0.008273040680303378
hsa-let-7c-5p,hsa-mir-17-5p,1869,9134,1,0.0,0.0145,0.0165,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-18a-5p,7528,2908,1,0.0,0.597,0.0365,0.002,True,0.014323397482274635
hsa-let-7c-5p,hsa-mir-19b-1-5p,144455,7465,1,0.004,0.111,0.308,0.0065,True,0.03471143419739433
hsa-let-7c-5p,hsa-mir-93-3p,2309,26959,1,0.0005,0.5735,0.026,0.0005,True,0.00465053675036997
hsa-let-7c-5p,hsa-mir-29b-3p,3091,7764,1,0.0,0.0315,0.101,0.004,True,0.024299232893525622
hsa-let-7c-5p,hsa-mir-199a-3p,4205,8411,1,0.0,0.355,0.0165,0.002,True,0.014323397482274635
hsa-let-7c-5p,hsa-mir-129-5p,405,5747,1,0.0,0.0155,0.783,0.006,True,0.03273490871512229
hsa-let-7c-5p,hsa-mir-129-5p,4205,5747,1,0.0,0.0155,0.783,0.006,True,0.03273490871512229
hsa-let-7c-5p,hsa-mir-30c-2-3p,367,81563,1,0.0045,0.4015,0.0285,0.0065,True,0.03471143419739433
hsa-let-7c-5p,hsa-mir-34a-5p,6932,5339,1,0.0,0.0235,0.0185,0.0015,True,0.011451979253032029
hsa-let-7c-5p,hsa-mir-181c-5p,27086,1021,-1,0.0005,0.0135,0.0175,0.005,True,0.02865674666357873
hsa-let-7c-5p,hsa-mir-204-5p,6925,1021,1,0.0,0.019,0.0515,0.002,True,0.014323397482274635
hsa-let-7c-5p,hsa-mir-223-3p,1869,6790,1,0.0,0.2975,0.3915,0.005,True,0.02865674666357873
hsa-let-7c-5p,hsa-mir-27b-3p,1869,6790,1,0.0,0.2475,0.6105,0.005,True,0.02865674666357873
hsa-let-7c-5p,hsa-mir-125b-5p,6934,1499,1,0.0,0.0485,0.043,0.0095,True,0.04551108261143106
hsa-let-7c-5p,hsa-mir-145-5p,4609,3308,1,0.0,0.29,0.525,0.0015,True,0.011451979253032029
hsa-let-7c-5p,hsa-mir-127-5p,7528,2908,1,0.0,0.597,0.026,0.005,True,0.02865674666357873
hsa-let-7c-5p,hsa-mir-362-3p,4205,4208,1,0.0,0.3245,0.046,0.005,True,0.02865674666357873
hsa-let-7c-5p,hsa-mir-362-3p,4205,7402,1,0.0,0.4355,0.0215,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-362-3p,6774,8462,1,0.003,0.9195,0.027,0.0005,True,0.00465053675036997
hsa-let-7c-5p,hsa-mir-370-3p,3091,8614,1,0.0,0.0155,0.2185,0.005,True,0.02865674666357873
hsa-let-7c-5p,hsa-mir-193b-5p,6938,5747,1,0.0055,0.0135,0.2025,0.0065,True,0.03471143419739433
hsa-let-7c-5p,hsa-mir-576-5p,4609,3312,1,0.0,0.0115,0.1755,0.002,True,0.014323397482274635
hsa-let-7c-5p,hsa-mir-625-3p,3091,1906,1,0.0,0.8355,0.6425,0.0015,True,0.011451979253032029
hsa-let-7c-5p,hsa-mir-627-5p,8648,50807,1,0.0,0.0845,0.5605,0.0025,True,0.017023629359565248
hsa-let-7e-5p,hsa-mir-19b-3p,4205,4627,1,0.0035,0.0185,0.011,0.008,True,0.0403013778801257
hsa-let-7e-5p,hsa-mir-92a-1-5p,4205,23112,1,0.003,0.386,0.1445,0.007,True,0.036639329526226734
hsa-let-7e-5p,hsa-mir-92a-1-5p,6774,604,1,0.006,0.299,0.193,0.004,True,0.024299232893525622
hsa-let-7e-5p,hsa-mir-129-5p,4205,4478,1,0.001,0.032,0.0115,0.004,True,0.024299232893525622
hsa-let-7e-5p,hsa-mir-324-3p,7528,7913,1,0.007,0.0935,0.374,0.0,True,0.0
hsa-let-7e-5p,hsa-mir-532-5p,7586,124540,1,0.0,0.101,0.013,0.001,True,0.008273040680303378
hsa-let-7e-5p,hsa-mir-542-3p,6774,6772,1,0.007,0.0135,0.011,0.0005,True,0.00465053675036997
hsa-let-7e-5p,hsa-mir-744-3p,7543,23613,1,0.0035,0.523,0.087,0.008,True,0.0403013778801257
hsa-let-7e-5p,hsa-mir-2110,4150,79047,1,0.0,0.031,0.018,0.002,True,0.014323397482274635
hsa-let-7f-5p,hsa-mir-338-3p,2627,1523,1,0.0,0.03,0.436,0.002,True,0.014323397482274635
hsa-let-7f-5p,hsa-mir-491-5p,367,8021,1,0.0,0.1665,0.1945,0.0045,True,0.0265216200526919
hsa-let-7f-1-3p,hsa-mir-196b-5p,4211,23002,1,0.0,0.0385,0.0165,0.0,True,0.0
hsa-let-7f-1-3p,hsa-mir-589-3p,10009,5813,1,0.0095,0.509,0.485,0.007,True,0.036639329526226734
hsa-mir-16-1-3p,hsa-mir-19b-1-5p,7003,79026,1,0.0065,0.0105,0.0425,0.0025,True,0.017023629359565248
hsa-mir-16-1-3p,hsa-mir-491-5p,7543,155435,1,0.0,0.169,0.062,0.007,True,0.036639329526226734
hsa-mir-17-5p,hsa-mir-19a-3p,2099,858,1,0.0,0.317,0.0205,0.003,True,0.01956304347826087
hsa-mir-17-5p,hsa-mir-20a-3p,4205,4478,1,0.0005,0.2705,0.0555,0.0005,True,0.00465053675036997
hsa-mir-17-5p,hsa-mir-22-5p,4208,50650,1,0.0,0.146,0.757,0.002,True,0.014323397482274635
hsa-mir-17-5p,hsa-mir-22-3p,7157,1786,-1,0.0005,0.038,0.3335,0.007,True,0.036639329526226734
hsa-mir-17-5p,hsa-mir-22-3p,27086,64067,-1,0.005,0.0995,0.0135,0.001,True,0.008273040680303378
hsa-mir-17-5p,hsa-mir-34a-5p,4779,8878,1,0.0,0.0765,0.05,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-200b-3p,7157,672,-1,0.0025,0.024,0.051,0.009,True,0.04380421127678143
hsa-mir-17-5p,hsa-mir-23b-3p,860,351,1,0.0,0.5965,0.03,0.006,True,0.03273490871512229
hsa-mir-17-5p,hsa-mir-23b-3p,4609,1979,1,0.001,0.649,0.036,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-200a-5p,6774,330,1,0.0,0.0235,0.559,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-363-3p,4205,4627,1,0.0005,0.151,0.019,0.005,True,0.02865674666357873
hsa-mir-17-5p,hsa-mir-365a-3p,1870,1869,1,0.0,0.0315,0.1535,0.007,True,0.036639329526226734
hsa-mir-17-5p,hsa-mir-338-3p,4205,4627,1,0.0025,0.1645,0.02,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-335-5p,4601,9564,-1,0.0,0.114,0.6475,0.003,True,0.01956304347826087
