miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-let-7c-5p,hsa-mir-30a-5p,4090,6670,1,0.008,0.125,0.5045,0.003,True,0.009650217720928424
hsa-let-7c-5p,hsa-mir-148a-5p,27086,57521,-1,0.0,0.4485,0.7455,0.0065,True,0.018279303048842663
hsa-let-7c-5p,hsa-mir-218-5p,6720,31,1,0.0,0.1635,0.0165,0.0015,True,0.005379509324779749
hsa-let-7c-5p,hsa-mir-26a-2-3p,7182,8540,1,0.003,0.394,0.042,0.001,True,0.003796310953577205
hsa-let-7c-5p,hsa-mir-193b-3p,1869,6294,1,0.0,0.1535,0.548,0.0025,True,0.008283964276059553
hsa-let-7c-5p,hsa-mir-642a-5p,26959,2067,-1,0.0,0.041,0.65,0.0065,True,0.018279303048842663
hsa-let-7c-5p,hsa-mir-675-3p,4609,3094,1,0.008,0.0335,0.0335,0.006,True,0.01712597997360863
hsa-mir-17-5p,hsa-mir-19a-3p,2115,8545,1,0.0,0.0655,0.218,0.004,True,0.012260850236176717
hsa-mir-17-5p,hsa-mir-20a-3p,6774,1026,1,0.0,0.0285,0.526,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-26b-5p,5090,23236,1,0.0,0.0745,0.091,0.0045,True,0.013517767672366843
hsa-mir-17-5p,hsa-mir-26b-5p,6925,23236,1,0.0,0.0745,0.091,0.0045,True,0.013517767672366843
hsa-mir-17-5p,hsa-mir-93-3p,196528,54877,1,0.004,0.0155,0.0435,0.0095,True,0.024907978546416746
hsa-mir-17-5p,hsa-mir-96-5p,4286,8924,1,0.0,0.2905,0.027,0.0005,True,0.0020652683998352533
hsa-mir-17-5p,hsa-mir-192-5p,1316,9208,1,0.0,0.025,0.0645,0.008,True,0.021676829867365317
hsa-mir-17-5p,hsa-mir-192-5p,4609,81894,1,0.001,0.028,0.264,0.005,True,0.014740642092323043
hsa-mir-17-5p,hsa-mir-7-5p,4205,8301,1,0.0,0.0195,0.1445,0.001,True,0.003796310953577205
hsa-mir-17-5p,hsa-mir-7-5p,4088,1026,1,0.0,0.041,0.026,0.004,True,0.012260850236176717
hsa-mir-17-5p,hsa-mir-7-5p,5970,1026,1,0.009,0.041,0.026,0.004,True,0.012260850236176717
hsa-mir-17-5p,hsa-mir-7-5p,5970,100507436,1,0.009,0.0445,0.4235,0.004,True,0.012260850236176717
hsa-mir-17-5p,hsa-mir-182-5p,4286,8924,1,0.0,0.2895,0.0185,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-182-5p,2115,8545,1,0.0,0.0755,0.0505,0.0065,True,0.018279303048842663
hsa-mir-17-5p,hsa-mir-210-3p,4094,221937,1,0.0,0.0595,0.017,0.001,True,0.003796310953577205
hsa-mir-17-5p,hsa-mir-221-5p,2005,9497,1,0.0,0.03,0.1455,0.0025,True,0.008283964276059553
hsa-mir-17-5p,hsa-mir-221-5p,2624,126282,1,0.0,0.012,0.145,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-9-5p,2113,7124,1,0.0,0.0255,0.838,0.004,True,0.012260850236176717
hsa-mir-17-5p,hsa-mir-9-5p,4790,7124,1,0.0005,0.0255,0.838,0.004,True,0.012260850236176717
hsa-mir-17-5p,hsa-mir-194-5p,196528,6314,1,0.0025,0.033,0.148,0.0085,True,0.022766574675061914
