"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-193b-5p","hsa-mir-502-5p",6938,"TCF12",29,"ABR",1,0,0.0555,0.366,0.006,0.0171259799736086
"hsa-mir-26b-5p","hsa-mir-502-5p",6938,"TCF12",29,"ABR",1,0,0.4525,0.359,0.001,0.0037963109535772
"hsa-let-7c-5p","hsa-mir-218-5p",6720,"SREBF1",31,"ACACA",1,0,0.1635,0.0165,0.0015,0.00537950932477974
"hsa-mir-20a-5p","hsa-mir-326",4601,"MXI1",47,"ACLY",-1,0.0025,0.0535,0.15,0.005,0.014740642092323
"hsa-mir-27a-5p","hsa-mir-339-5p",5465,"PPARA",51,"ACOX1",1,0.0025,0.376,0.2975,5e-04,0.00206526839983525
"hsa-mir-195-5p","hsa-mir-7-5p",5465,"PPARA",51,"ACOX1",1,0.004,0.664,0.1795,0.009,0.023840869252011
"hsa-let-7i-3p","hsa-mir-3928-3p",6722,"SRF",60,"ACTB",1,0,0.0155,0.015,0.0065,0.0182793030488427
"hsa-mir-324-5p","hsa-mir-708-5p",6722,"SRF",60,"ACTB",1,5e-04,0.014,0.3695,0.008,0.0216768298673653
"hsa-mir-142-5p","hsa-mir-940",6722,"SRF",70,"ACTC1",1,0.0015,0.023,0.017,0.001,0.0037963109535772
"hsa-mir-26b-5p","hsa-mir-320c",7543,"ZFX",118,"ADD1",1,0,0.116,0.041,0,0
"hsa-mir-192-5p","hsa-mir-940",55145,"THAP1",166,"TLE5",1,0.001,0.012,0.0165,0.001,0.0037963109535772
"hsa-mir-153-3p","hsa-mir-192-3p",6591,"SNAI2",182,"JAG1",1,5e-04,0.12,0.2765,0.009,0.023840869252011
"hsa-mir-200a-5p","hsa-mir-505-3p",7003,"TEAD1",288,"ANK3",1,0,0.2825,0.0315,0.006,0.0171259799736086
"hsa-mir-19b-1-5p","hsa-mir-505-5p",2113,"ETS1",290,"ANPEP",1,0,0.109,0.211,0.002,0.00686677317619719
"hsa-mir-1-3p","hsa-mir-148a-3p",688,"KLF5",302,"ANXA2",1,0.005,0.0935,0.058,5e-04,0.00206526839983525
"hsa-mir-1-3p","hsa-mir-143-3p",688,"KLF5",302,"ANXA2",1,0.0085,0.076,0.02,0.0045,0.0135177676723668
"hsa-mir-20a-3p","hsa-mir-9-5p",1316,"KLF6",302,"ANXA2",1,0.0095,0.0165,0.0135,0,0
"hsa-mir-424-5p","hsa-mir-503-5p",7003,"TEAD1",323,"APBB2",1,0,0.027,0.046,0.0025,0.00828396427605955
"hsa-mir-671-5p","hsa-mir-874-3p",2624,"GATA2",328,"APEX1",-1,0.001,0.022,0.0215,0.0015,0.00537950932477974
"hsa-mir-299-5p","hsa-mir-616-3p",6667,"SP1",331,"XIAP",1,0.004,0.0245,0.247,0.0035,0.0109743199840832
"hsa-mir-133b","hsa-mir-19b-3p",6667,"SP1",331,"XIAP",1,0.0045,0.1615,0.0135,0.002,0.00686677317619719
"hsa-mir-30a-5p","hsa-mir-429",2113,"ETS1",355,"FAS",1,0.001,0.3205,0.018,0.001,0.0037963109535772
"hsa-mir-149-5p","hsa-mir-196a-5p",6667,"SP1",356,"FASLG",1,0.0015,0.034,0.0215,0.003,0.00965021772092842
"hsa-mir-149-5p","hsa-mir-548b-3p",6667,"SP1",356,"FASLG",1,0.0015,0.05,0.144,0.008,0.0216768298673653
"hsa-mir-193b-3p","hsa-mir-326",2099,"ESR1",367,"AR",1,0,0.02,0.044,0.0015,0.00537950932477974
"hsa-mir-125a-3p","hsa-mir-93-5p",7157,"TP53",387,"RHOA",1,0.003,0.667,0.0385,0,0
"hsa-mir-19a-3p","hsa-mir-345-5p",7157,"TP53",387,"RHOA",1,0,0.036,0.124,0.0065,0.0182793030488427
"hsa-mir-20a-5p","hsa-mir-345-5p",7157,"TP53",387,"RHOA",1,0.0015,0.074,0.131,0.0015,0.00537950932477974
"hsa-mir-130b-3p","hsa-mir-130b-5p",51274,"KLF3",394,"ARHGAP5",1,0,0.1265,0.022,0.009,0.023840869252011
"hsa-mir-130b-3p","hsa-mir-942-5p",51274,"KLF3",394,"ARHGAP5",1,0,0.1015,0.069,5e-04,0.00206526839983525
"hsa-mir-200a-3p","hsa-mir-942-5p",51274,"KLF3",394,"ARHGAP5",1,0,0.1285,0.0595,0.0095,0.0249079785464167
"hsa-mir-19b-3p","hsa-mir-455-5p",3662,"IRF4",399,"RHOH",1,0.0085,0.0255,0.742,0.0095,0.0249079785464167
