"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-20b-5p","hsa-mir-940",4609,"MYC",51,"ACOX1",1,0,0.014,0.2455,0.002,0.0102974354294059
"hsa-mir-106a-5p","hsa-mir-940",4609,"MYC",51,"ACOX1",1,0,0.032,0.1465,0.002,0.0102974354294059
"hsa-mir-106a-5p","hsa-mir-1197",4089,"SMAD4",196,"AHR",1,0,0.367,0.1105,0.0045,0.0193509604390578
"hsa-mir-205-5p","hsa-mir-654-3p",4089,"SMAD4",196,"AHR",1,0,0.208,0.052,5e-04,0.00327524746727045
"hsa-mir-18b-5p","hsa-mir-205-5p",4089,"SMAD4",196,"AHR",1,0,0.21,0.169,0.0065,0.0256366798336072
"hsa-mir-338-3p","hsa-mir-9-3p",4790,"NFKB1",241,"ALOX5AP",1,0,0.0495,0.5495,0.0025,0.0122642883540946
"hsa-mir-338-3p","hsa-mir-9-5p",4790,"NFKB1",241,"ALOX5AP",1,0,0.034,0.8415,0.0025,0.0122642883540946
"hsa-mir-302a-5p","hsa-mir-34c-5p",4609,"MYC",271,"AMPD2",1,0,0.074,0.028,0.002,0.0102974354294059
"hsa-mir-29b-3p","hsa-mir-96-5p",6667,"SP1",292,"SLC25A5",1,5e-04,0.047,0.012,0,0
"hsa-mir-219a-5p","hsa-mir-296-5p",6667,"SP1",331,"XIAP",1,0.0025,0.7855,0.8135,0.0025,0.0122642883540946
"hsa-mir-142-5p","hsa-mir-195-5p",6667,"SP1",331,"XIAP",1,0.0055,0.1425,0.0325,0.0095,0.0341758891705326
"hsa-mir-25-5p","hsa-mir-3662",4609,"MYC",351,"APP",1,0.0035,0.073,0.5205,0.0085,0.0314493031644532
"hsa-mir-25-5p","hsa-mir-31-5p",4609,"MYC",351,"APP",1,0.005,0.053,0.473,0,0
"hsa-mir-106a-5p","hsa-mir-200c-3p",3725,"JUN",355,"FAS",1,0,0.305,0.029,0,0
"hsa-mir-106a-5p","hsa-mir-9-5p",7157,"TP53",355,"FAS",1,0,0.2835,0.015,0.007,0.0271218900774369
"hsa-mir-205-5p","hsa-mir-519a-3p",2099,"ESR1",367,"AR",1,5e-04,0.0575,0.1505,0.0045,0.0193509604390578
"hsa-mir-381-3p","hsa-mir-520a-3p",2099,"ESR1",367,"AR",1,0.0035,0.015,0.0795,0.002,0.0102974354294059
"hsa-mir-381-3p","hsa-mir-519b-3p",2099,"ESR1",367,"AR",1,0.0035,0.0105,0.0115,0.0015,0.00818926765538431
"hsa-mir-205-5p","hsa-mir-525-5p",2309,"FOXO3",367,"AR",1,0,0.064,0.104,0.001,0.00587513343226847
"hsa-mir-381-3p","hsa-mir-519c-3p",2099,"ESR1",367,"AR",1,0.0055,0.0105,0.0255,0.0015,0.00818926765538431
"hsa-mir-200a-5p","hsa-mir-216a-5p",6778,"STAT6",387,"RHOA",1,0,0.0925,0.2735,0.009,0.0328166173832954
"hsa-mir-141-3p","hsa-mir-302a-3p",51274,"KLF3",394,"ARHGAP5",1,0,0.7925,0.3335,0.005,0.0209836339966524
"hsa-mir-424-5p","hsa-mir-940",1051,"CEBPB",440,"ASNS",1,0.003,0.6775,0.089,0,0
"hsa-mir-29c-3p","hsa-mir-497-3p",6667,"SP1",488,"ATP2A2",1,5e-04,0.0255,0.1555,0.0045,0.0193509604390578
"hsa-mir-29a-3p","hsa-mir-29b-3p",6667,"SP1",488,"ATP2A2",1,0.002,0.0105,0.0155,0,0
"hsa-mir-29b-3p","hsa-mir-944",6667,"SP1",488,"ATP2A2",1,5e-04,0.0175,0.061,0.004,0.0176830639631698
"hsa-mir-29c-3p","hsa-mir-497-5p",6667,"SP1",488,"ATP2A2",1,0,0.02,0.0795,0.001,0.00587513343226847
"hsa-mir-526b-3p","hsa-mir-96-5p",4790,"NFKB1",567,"B2M",1,5e-04,0.0375,0.064,0,0
"hsa-mir-301a-3p","hsa-mir-526b-3p",4790,"NFKB1",567,"B2M",1,0,0.14,0.042,0.001,0.00587513343226847
"hsa-mir-141-5p","hsa-mir-632",2113,"ETS1",595,"CCND1",1,5e-04,0.0245,0.0475,0,0
"hsa-mir-141-5p","hsa-mir-192-5p",1958,"EGR1",595,"CCND1",1,0,0.027,0.013,0,0
"hsa-mir-141-5p","hsa-mir-31-5p",2736,"GLI2",595,"CCND1",1,5e-04,0.02,0.0405,0.0085,0.0314493031644532
"hsa-mir-1270","hsa-mir-141-5p",4149,"MAX",595,"CCND1",1,0,0.31,0.018,0.0025,0.0122642883540946
"hsa-mir-106a-5p","hsa-mir-345-5p",1385,"CREB1",596,"BCL2",1,0,0.029,0.072,0,0
"hsa-mir-18b-5p","hsa-mir-345-5p",2099,"ESR1",596,"BCL2",1,0,0.0355,0.0875,0,0
"hsa-mir-365a-5p","hsa-mir-376c-3p",6774,"STAT3",596,"BCL2",1,0.0015,0.213,0.189,0.001,0.00587513343226847
"hsa-mir-106a-5p","hsa-mir-345-5p",6774,"STAT3",596,"BCL2",1,0,0.029,0.072,0,0
"hsa-mir-18b-5p","hsa-mir-345-5p",6774,"STAT3",596,"BCL2",1,0.001,0.0355,0.0875,0,0
"hsa-mir-141-5p","hsa-mir-9-5p",2113,"ETS1",637,"BID",1,0,0.0195,0.024,0.004,0.0176830639631698
"hsa-mir-141-5p","hsa-mir-219a-1-3p",2113,"ETS1",637,"BID",1,0,0.027,0.334,0.005,0.0209836339966524
"hsa-mir-124-3p","hsa-mir-335-3p",2099,"ESR1",654,"BMP6",1,0,0.011,0.549,0.007,0.0271218900774369
"hsa-mir-124-3p","hsa-mir-96-5p",7003,"TEAD1",667,"DST",1,0,0.0435,0.0155,0.003,0.014138677137069
"hsa-mir-196b-5p","hsa-mir-33b-3p",11016,"ATF7",667,"DST",1,0,0.14,0.428,0,0
"hsa-mir-33b-3p","hsa-mir-503-5p",11016,"ATF7",667,"DST",1,5e-04,0.4925,0.0225,0,0
"hsa-mir-124-3p","hsa-mir-378a-3p",11016,"ATF7",667,"DST",1,0.004,0.028,0.0755,0.0045,0.0193509604390578
"hsa-mir-124-3p","hsa-mir-378a-3p",7003,"TEAD1",667,"DST",1,0,0.028,0.0755,0.0045,0.0193509604390578
"hsa-mir-33b-3p","hsa-mir-582-3p",11016,"ATF7",667,"DST",1,0,0.3795,0.017,0,0
"hsa-mir-196b-5p","hsa-mir-424-5p",11016,"ATF7",667,"DST",1,5e-04,0.144,0.0225,0,0
"hsa-mir-3662","hsa-mir-96-5p",4205,"MEF2A",667,"DST",1,5e-04,0.0595,0.022,0,0
"hsa-mir-3662","hsa-mir-92a-1-5p",4205,"MEF2A",667,"DST",1,0,0.0495,0.087,5e-04,0.00327524746727045
"hsa-mir-124-3p","hsa-mir-182-5p",7003,"TEAD1",667,"DST",1,0,0.0215,0.012,0.0055,0.0225666206043856
"hsa-mir-182-5p","hsa-mir-33b-3p",11016,"ATF7",667,"DST",1,0,0.02,0.447,0.009,0.0328166173832954
"hsa-mir-124-3p","hsa-mir-378a-5p",7003,"TEAD1",667,"DST",1,0,0.0295,0.084,0.003,0.014138677137069
"hsa-mir-1-3p","hsa-mir-301a-3p",4205,"MEF2A",667,"DST",1,5e-04,0.0105,0.738,0,0
