miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-192-3p,hsa-mir-486-3p,10127,5792,-1,0.0035,0.017,0.819,0.0025,True,0.012264288354094655
hsa-mir-192-3p,hsa-mir-642a-5p,10127,861,-1,0.0035,0.2385,0.011,0.0065,True,0.02563667983360716
hsa-mir-192-3p,hsa-mir-20b-5p,10127,9922,-1,0.002,0.3455,0.017,0.0005,True,0.003275247467270458
hsa-mir-373-3p,hsa-mir-92b-3p,10379,219285,1,0.001,0.0195,0.131,0.0055,True,0.02256662060438561
hsa-mir-130b-5p,hsa-mir-200c-3p,10379,8844,1,0.0005,0.073,0.041,0.009,True,0.03281661738329535
hsa-mir-124-3p,hsa-mir-548d-3p,10481,5144,1,0.0035,0.09,0.2245,0.001,True,0.005875133432268479
hsa-mir-124-3p,hsa-mir-7-5p,10481,5144,1,0.0045,0.0645,0.017,0.0055,True,0.02256662060438561
hsa-mir-196a-5p,hsa-mir-766-3p,10499,10564,1,0.0,0.0565,0.1135,0.007,True,0.027121890077436858
hsa-mir-200c-3p,hsa-mir-766-3p,10499,10564,1,0.0,0.0275,0.0715,0.0055,True,0.02256662060438561
hsa-mir-122-5p,hsa-mir-302c-3p,10499,157680,1,0.0,0.8445,0.021,0.004,True,0.017683063963169755
hsa-let-7c-5p,hsa-mir-125b-5p,10499,2186,1,0.0,0.0535,0.0215,0.004,True,0.017683063963169755
hsa-mir-199b-5p,hsa-mir-450b-5p,10499,2186,1,0.0,0.3025,0.0155,0.008,True,0.030035671502728605
hsa-mir-199b-5p,hsa-mir-582-3p,10499,2186,1,0.0,0.287,0.5275,0.0025,True,0.012264288354094655
hsa-mir-200b-3p,hsa-mir-455-3p,10499,2186,1,0.0,0.255,0.131,0.0075,True,0.028585049065144325
hsa-mir-429,hsa-mir-582-3p,10499,2186,1,0.0,0.162,0.512,0.0025,True,0.012264288354094655
hsa-mir-206,hsa-mir-629-3p,10499,7402,1,0.0,0.0795,0.0145,0.0065,True,0.02563667983360716
hsa-mir-181d-5p,hsa-mir-582-3p,10499,8202,1,0.001,0.5645,0.012,0.007,True,0.027121890077436858
hsa-mir-144-3p,hsa-mir-548b-3p,10499,9910,1,0.0,0.054,0.4865,0.0055,True,0.02256662060438561
hsa-mir-526b-3p,hsa-mir-629-3p,10499,9910,1,0.0,0.015,0.082,0.0065,True,0.02563667983360716
hsa-mir-1224-5p,hsa-mir-1226-3p,1050,3383,1,0.0,0.6195,0.166,0.0,True,0.0
hsa-mir-124-3p,hsa-mir-3922-3p,1050,3990,1,0.0,0.0105,0.6615,0.008,True,0.030035671502728605
hsa-mir-424-5p,hsa-mir-940,1051,440,1,0.003,0.6775,0.089,0.0,True,0.0
hsa-mir-431-5p,hsa-mir-9-3p,10538,81552,1,0.0045,0.359,0.5975,0.0015,True,0.008189267655384318
hsa-mir-130b-3p,hsa-mir-665,1054,9695,1,0.0005,0.374,0.1515,0.001,True,0.005875133432268479
hsa-mir-219a-5p,hsa-mir-342-5p,10664,23082,1,0.0,0.124,0.625,0.0,True,0.0
hsa-mir-219a-5p,hsa-mir-944,10664,4683,1,0.0,0.0425,0.1045,0.009,True,0.03281661738329535
hsa-mir-367-3p,hsa-mir-96-5p,10664,57609,1,0.0005,0.334,0.3195,0.001,True,0.005875133432268479
hsa-mir-1305,hsa-mir-345-5p,10664,9512,1,0.008,0.682,0.3975,0.0045,True,0.019350960439057853
hsa-mir-155-5p,hsa-mir-7-1-3p,11016,51317,1,0.0,0.0515,0.02,0.0005,True,0.003275247467270458
hsa-mir-629-5p,hsa-mir-7-1-3p,11016,57492,1,0.001,0.0545,0.029,0.0065,True,0.02563667983360716
hsa-mir-124-3p,hsa-mir-182-5p,11016,667,1,0.002,0.0215,0.012,0.0055,True,0.02256662060438561
hsa-mir-124-3p,hsa-mir-378a-3p,11016,667,1,0.004,0.028,0.0755,0.0045,True,0.019350960439057853
