"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-127-5p","hsa-mir-34c-3p",6667,"SP1",331,"XIAP",1,5e-04,0.0225,0.0435,0.001,0.0110565003513703
"hsa-mir-204-5p","hsa-mir-301b-3p",2099,"ESR1",490,"ATP2B1",1,0,0.0135,0.0325,5e-04,0.00622562519784742
"hsa-mir-204-5p","hsa-mir-450b-5p",2627,"GATA6",490,"ATP2B1",1,0,0.011,0.72,5e-04,0.00622562519784742
"hsa-mir-338-3p","hsa-mir-338-5p",2099,"ESR1",607,"BCL9",1,0,0.013,0.19,0.006,0.042518872173678
"hsa-mir-205-5p","hsa-mir-96-5p",604,"BCL6",894,"CCND2",-1,0,0.0255,0.037,0,0
"hsa-mir-204-5p","hsa-mir-548v",2305,"FOXM1",1027,"CDKN1B",1,0.001,0.0115,0.6135,0.0065,0.044791126489138
"hsa-mir-204-5p","hsa-mir-548v",7421,"VDR",1027,"CDKN1B",1,0,0.0115,0.6135,0.0065,0.044791126489138
"hsa-mir-204-5p","hsa-mir-548v",6667,"SP1",1027,"CDKN1B",1,0,0.0115,0.6135,0.0065,0.044791126489138
"hsa-let-7f-5p","hsa-mir-19a-3p",3516,"RBPJ",1808,"DPYSL2",1,0,0.037,0.1695,0.0025,0.022361284820921
"hsa-mir-200a-3p","hsa-mir-33a-5p",2625,"GATA3",1906,"EDN1",1,0,0.306,0.571,0.003,0.0256439204607193
"hsa-mir-301b-3p","hsa-mir-7-5p",4609,"MYC",1979,"EIF4EBP2",1,0,0.0385,0.036,0.0055,0.0399140682656827
"hsa-mir-301b-3p","hsa-mir-616-5p",6664,"SOX11",2045,"EPHA7",1,0,0.255,0.345,5e-04,0.00622562519784742
"hsa-mir-221-3p","hsa-mir-301b-3p",6664,"SOX11",2045,"EPHA7",1,0,0.2525,0.296,0.005,0.0372335289663006
"hsa-mir-135a-5p","hsa-mir-221-3p",860,"RUNX2",2113,"ETS1",1,0,0.022,0.528,0.003,0.0256439204607193
"hsa-mir-221-3p","hsa-mir-96-5p",3091,"HIF1A",2113,"ETS1",1,0,0.577,0.0535,0.0055,0.0399140682656827
"hsa-mir-135a-5p","hsa-mir-221-3p",4609,"MYC",2114,"ETS2",1,0,0.478,0.421,0.006,0.042518872173678
"hsa-mir-148a-3p","hsa-mir-338-5p",4609,"MYC",2114,"ETS2",1,0.002,0.023,0.277,0.007,0.0472393411683967
"hsa-mir-182-5p","hsa-mir-204-5p",60468,"BACH2",2309,"FOXO3",1,0,0.0245,0.0135,0.004,0.0316822392267418
"hsa-mir-139-5p","hsa-mir-20b-5p",2627,"GATA6",2590,"GALNT2",1,0,0.1955,0.9265,0.005,0.0372335289663006
"hsa-mir-127-5p","hsa-mir-675-3p",4090,"SMAD5",2908,"NR3C1",1,0,0.052,0.062,0.0015,0.0151749614197531
"hsa-mir-182-5p","hsa-mir-503-5p",60468,"BACH2",3097,"HIVEP2",1,0,0.057,0.0125,0.0035,0.0286956227201667
