miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-103a-2-5p,hsa-mir-182-5p,10009,5813,1,0.0055,0.032,0.037,0.006,True,0.04251887217367805
hsa-mir-193b-3p,hsa-mir-320d,10009,7323,1,0.0005,0.0515,0.694,0.001,True,0.011056500351370345
hsa-mir-33a-5p,hsa-mir-940,10320,200424,1,0.0005,0.048,0.0495,0.0,True,0.0
hsa-mir-676-3p,hsa-mir-9-5p,10499,124540,1,0.0005,0.431,0.011,0.007,True,0.04723934116839667
hsa-mir-146a-5p,hsa-mir-148a-3p,1054,6249,1,0.0,0.0125,0.013,0.005,True,0.037233528966300646
hsa-mir-138-5p,hsa-mir-338-5p,1054,81539,1,0.0,0.011,0.1085,0.0,True,0.0
hsa-mir-221-3p,hsa-mir-424-5p,10664,27141,1,0.0,0.0115,0.8095,0.0005,True,0.006225625197847421
hsa-mir-19a-3p,hsa-mir-221-3p,10664,6314,1,0.002,0.0335,0.7415,0.0065,True,0.04479112648913805
hsa-mir-221-3p,hsa-mir-382-5p,10664,9584,-1,0.0,0.1645,0.063,0.005,True,0.037233528966300646
hsa-mir-130a-5p,hsa-mir-363-3p,10765,10184,1,0.0005,0.024,0.457,0.0035,True,0.028695622720166753
hsa-mir-130a-5p,hsa-mir-616-5p,10765,7050,1,0.0,0.4455,0.0135,0.006,True,0.04251887217367805
hsa-mir-19a-3p,hsa-mir-221-3p,10765,91748,1,0.0085,0.419,0.0115,0.0065,True,0.04479112648913805
hsa-mir-31-3p,hsa-mir-424-5p,11016,7158,1,0.0005,0.057,0.3875,0.005,True,0.037233528966300646
hsa-mir-138-5p,hsa-mir-148a-3p,1316,4739,1,0.0,0.0165,0.0705,0.0015,True,0.015174961419753087
hsa-mir-214-3p,hsa-mir-889-3p,171017,10725,1,0.004,0.4805,0.055,0.0005,True,0.006225625197847421
hsa-mir-214-3p,hsa-mir-23c,171017,57533,1,0.004,0.1925,0.308,0.007,True,0.04723934116839667
hsa-mir-33a-5p,hsa-mir-874-3p,1869,7298,1,0.001,0.0225,0.106,0.006,True,0.04251887217367805
hsa-let-7f-5p,hsa-mir-2110,1874,81620,1,0.0015,0.3345,0.856,0.0065,True,0.04479112648913805
hsa-mir-199a-3p,hsa-mir-889-3p,196528,10725,1,0.0,0.021,0.0615,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-205-5p,196528,221037,1,0.0,0.079,0.6025,0.006,True,0.04251887217367805
hsa-mir-127-5p,hsa-mir-381-3p,196528,3842,1,0.0005,0.014,0.0215,0.0005,True,0.006225625197847421
hsa-mir-127-5p,hsa-mir-155-5p,196528,5074,1,0.0005,0.4485,0.0555,0.004,True,0.03168223922674185
hsa-mir-155-5p,hsa-mir-199a-3p,196528,5074,1,0.0,0.0435,0.043,0.0005,True,0.006225625197847421
hsa-mir-127-5p,hsa-mir-199a-5p,196528,54877,1,0.0005,0.7265,0.0545,0.0005,True,0.006225625197847421
hsa-mir-188-3p,hsa-mir-193b-3p,2099,388677,1,0.0005,0.104,0.014,0.0045,True,0.03450307017543859
hsa-mir-204-5p,hsa-mir-301b-3p,2099,490,1,0.0,0.0135,0.0325,0.0005,True,0.006225625197847421
hsa-mir-182-5p,hsa-mir-9-5p,2099,5914,1,0.0,0.0205,0.0215,0.0035,True,0.028695622720166753
hsa-mir-338-3p,hsa-mir-338-5p,2099,607,1,0.0,0.013,0.19,0.006,True,0.04251887217367805
hsa-mir-301b-3p,hsa-mir-338-5p,2099,6667,1,0.0,0.021,0.037,0.0025,True,0.02236128482092098
hsa-mir-193b-3p,hsa-mir-21-3p,2113,4363,1,0.0,0.278,0.04,0.006,True,0.04251887217367805
hsa-mir-136-5p,hsa-mir-214-3p,2113,7037,1,0.0055,0.2955,0.2085,0.0045,True,0.03450307017543859
hsa-mir-214-3p,hsa-mir-409-3p,2113,7037,1,0.0,0.1845,0.141,0.0015,True,0.015174961419753087
hsa-mir-204-5p,hsa-mir-548v,2305,1027,1,0.001,0.0115,0.6135,0.0065,True,0.04479112648913805
