miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-3613-5p,hsa-mir-518a-5p,10009,8452,1,0.0005,0.2985,0.306,0.0075,True,0.03589809809371649
hsa-mir-3613-5p,hsa-mir-527,10009,8452,1,0.0,0.309,0.2925,0.0025,True,0.015961813563775434
hsa-mir-31-5p,hsa-mir-582-3p,10499,204851,1,0.0065,0.564,0.1285,0.0,True,0.0
hsa-mir-450b-5p,hsa-mir-518a-5p,10499,51592,1,0.0,0.1705,0.9635,0.004,True,0.022728156096547065
hsa-mir-450b-5p,hsa-mir-527,10499,51592,1,0.0,0.1695,0.9625,0.003,True,0.01833518710001956
hsa-mir-181a-5p,hsa-mir-2355-5p,1050,1312,1,0.0,0.1045,0.126,0.0075,True,0.03589809809371649
hsa-mir-17-5p,hsa-mir-181a-5p,1050,3778,1,0.0,0.0955,0.0165,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-548d-3p,1050,3778,1,0.0,0.102,0.054,0.0045,True,0.024807340374580926
hsa-mir-181a-5p,hsa-mir-181c-3p,1050,3778,1,0.0,0.039,0.0255,0.0035,True,0.020577342867896125
hsa-mir-181a-5p,hsa-mir-766-3p,1050,3778,1,0.0,0.023,0.012,0.0005,True,0.0044329671220659185
hsa-mir-3065-3p,hsa-mir-940,1051,2353,1,0.0,0.525,0.3545,0.008,True,0.03764616774970952
hsa-mir-125a-5p,hsa-mir-518a-5p,10664,27113,1,0.001,0.0425,0.69,0.001,True,0.007828465063001146
hsa-mir-106a-5p,hsa-mir-215-5p,10664,5934,1,0.0,0.101,0.0745,0.0085,True,0.039335477591095694
hsa-mir-17-5p,hsa-mir-215-5p,10664,5934,1,0.0,0.251,0.099,0.0095,True,0.0426185562780775
hsa-mir-212-3p,hsa-mir-548t-5p,10765,23002,1,0.0005,0.6095,0.0145,0.002,True,0.013460700437003755
