"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-16-1-3p","hsa-mir-17-5p",3091,"HIF1A",19,"ABCA1",1,0,0.019,0.014,0.0025,0.0159618135637754
"hsa-let-7b-5p","hsa-mir-30a-3p",6667,"SP1",102,"ADAM10",1,0,0.0145,0.0165,0.0055,0.0287304256437204
"hsa-mir-30a-3p","hsa-mir-369-3p",6667,"SP1",102,"ADAM10",1,5e-04,0.0365,0.0255,0.007,0.0341537157263012
"hsa-mir-125b-5p","hsa-mir-199b-5p",4609,"MYC",262,"AMD1",1,0.003,0.4145,0.396,0.0025,0.0159618135637754
"hsa-mir-181a-5p","hsa-mir-25-3p",2624,"GATA2",285,"ANGPT2",1,0.0035,0.0195,0.0295,0.0045,0.0248073403745809
"hsa-mir-181a-5p","hsa-mir-548j-5p",2308,"FOXO1",285,"ANGPT2",1,0,0.0215,0.206,0.009,0.0409841540864133
"hsa-mir-181a-5p","hsa-mir-9-5p",2308,"FOXO1",285,"ANGPT2",1,0,0.0155,0.042,0.001,0.00782846506300114
"hsa-mir-130a-3p","hsa-mir-381-3p",2099,"ESR1",367,"AR",1,0.0095,0.013,0.0215,0.001,0.00782846506300114
"hsa-mir-25-3p","hsa-mir-376c-3p",6667,"SP1",472,"ATM",1,0.001,0.038,0.1795,0.0065,0.0324104879160967
"hsa-mir-15a-5p","hsa-mir-450b-5p",2627,"GATA6",490,"ATP2B1",1,0,0.032,0.039,0.007,0.0341537157263012
"hsa-mir-429","hsa-mir-495-3p",4609,"MYC",595,"CCND1",-1,0.0015,0.0135,0.499,0.006,0.0306554527614242
"hsa-mir-181c-5p","hsa-mir-195-5p",6934,"TCF7L2",595,"CCND1",1,5e-04,0.0725,0.0145,0.007,0.0341537157263012
"hsa-mir-429","hsa-mir-516b-5p",4609,"MYC",595,"CCND1",-1,0.004,0.0155,0.0415,0,0
"hsa-mir-130a-3p","hsa-mir-497-5p",6667,"SP1",595,"CCND1",1,0,0.025,0.0205,0.002,0.0134607004370037
"hsa-mir-130a-3p","hsa-mir-195-5p",6925,"TCF4",595,"CCND1",1,0,0.0205,0.0105,0.0045,0.0248073403745809
"hsa-mir-130a-3p","hsa-mir-195-5p",6667,"SP1",595,"CCND1",1,0,0.0205,0.0105,0.0045,0.0248073403745809
"hsa-mir-130a-3p","hsa-mir-497-5p",6925,"TCF4",595,"CCND1",1,0,0.025,0.0205,0.002,0.0134607004370037
"hsa-let-7b-5p","hsa-mir-525-5p",7157,"TP53",598,"BCL2L1",1,0,0.037,0.791,0,0
"hsa-let-7b-5p","hsa-mir-520a-5p",7157,"TP53",598,"BCL2L1",1,0,0.0295,0.8125,0,0
"hsa-mir-135b-5p","hsa-mir-182-5p",4609,"MYC",672,"BRCA1",1,0.006,0.0485,0.5025,0.007,0.0341537157263012
"hsa-mir-138-5p","hsa-mir-195-5p",11016,"ATF7",677,"ZFP36L1",1,5e-04,0.172,0.0445,0.002,0.0134607004370037
