miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-181d-5p,hsa-mir-378c,10009,55334,1,0.0,0.7285,0.396,0.0,True,0.0
hsa-mir-421,hsa-mir-497-5p,1523,23499,1,0.0,0.101,0.338,0.0,True,0.0
hsa-mir-34b-5p,hsa-mir-92b-3p,1820,23152,1,0.0,0.024,0.017,0.0,True,0.0
hsa-mir-296-5p,hsa-mir-9-5p,2099,6667,1,0.0005,0.0145,0.339,0.0,True,0.0
hsa-mir-219a-1-3p,hsa-mir-629-5p,2113,4233,1,0.0015,0.011,0.0195,0.0,True,0.0
hsa-mir-135b-5p,hsa-mir-222-3p,2309,10628,1,0.001,0.0305,0.209,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-31-5p,2309,10628,1,0.0005,0.011,0.0875,0.0,True,0.0
hsa-mir-20b-5p,hsa-mir-874-3p,2627,90102,1,0.004,0.2985,0.047,0.0,True,0.0
hsa-mir-154-5p,hsa-mir-33a-5p,27086,10090,-1,0.0,0.0485,0.183,0.0,True,0.0
hsa-mir-24-1-5p,hsa-mir-589-3p,27086,473,-1,0.0015,0.111,0.1585,0.0,True,0.0
hsa-mir-130b-5p,hsa-mir-192-3p,2908,800,1,0.003,0.0795,0.0115,0.0,True,0.0
hsa-mir-148a-5p,hsa-mir-19a-3p,2908,800,1,0.0005,0.0105,0.0425,0.0,True,0.0
hsa-mir-17-3p,hsa-mir-20a-5p,3091,10370,1,0.0005,0.4405,0.849,0.0,True,0.0
hsa-mir-221-3p,hsa-mir-935,3091,665,1,0.006,0.0105,0.121,0.0,True,0.0
hsa-mir-181c-5p,hsa-mir-181d-5p,3607,23274,1,0.0015,0.2115,0.076,0.0,True,0.0
hsa-mir-30a-5p,hsa-mir-30c-2-3p,367,3169,1,0.0,0.032,0.019,0.0,True,0.0
hsa-mir-17-3p,hsa-mir-378a-3p,3725,7431,1,0.0085,0.041,0.021,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-18a-5p,4088,7538,1,0.0025,0.3415,0.3805,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-589-3p,4208,27086,1,0.0005,0.855,0.684,0.0,True,0.0
hsa-mir-497-5p,hsa-mir-708-5p,4609,1979,1,0.001,0.307,0.0755,0.0,True,0.0
hsa-mir-1224-5p,hsa-mir-34b-5p,4609,3383,1,0.0,0.0465,0.0175,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-34b-5p,4779,7296,1,0.004,0.134,0.2395,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-96-5p,4790,3659,1,0.0015,0.1245,0.7425,0.0,True,0.0
hsa-mir-301b-3p,hsa-mir-96-5p,4790,3659,1,0.008,0.019,0.7755,0.0,True,0.0
hsa-mir-199a-5p,hsa-mir-421,4790,6648,1,0.001,0.0155,0.027,0.0,True,0.0
hsa-mir-221-3p,hsa-mir-222-3p,4801,10434,1,0.0005,0.5375,0.1745,0.0,True,0.0
hsa-mir-182-5p,hsa-mir-20a-5p,55145,54880,1,0.0025,0.6065,0.65,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-345-5p,571,1021,1,0.0055,0.018,0.017,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-193a-3p,6667,1490,1,0.008,0.2545,0.012,0.0,True,0.0
hsa-mir-1270,hsa-mir-33a-5p,6667,27430,1,0.005,0.236,0.011,0.0,True,0.0
hsa-mir-1270,hsa-mir-874-3p,6667,7422,1,0.004,0.0345,0.24,0.0,True,0.0
hsa-mir-30a-3p,hsa-mir-874-3p,6670,7422,1,0.003,0.2275,0.2605,0.0,True,0.0
hsa-mir-134-5p,hsa-mir-33a-5p,6720,8660,-1,0.001,0.0235,0.021,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-3613-3p,6772,3796,1,0.0,0.9125,0.667,0.0,True,0.0
hsa-mir-193b-3p,hsa-mir-20a-5p,6925,1021,1,0.0,0.076,0.0195,0.0,True,0.0
hsa-mir-193b-3p,hsa-mir-320d,6925,6711,1,0.0005,0.165,0.1535,0.0,True,0.0
hsa-mir-155-5p,hsa-mir-92a-1-5p,6938,10788,1,0.009,0.022,0.124,0.0,True,0.0
hsa-mir-34a-5p,hsa-mir-625-3p,7003,667,1,0.0,0.5405,0.0265,0.0,True,0.0
hsa-mir-301b-3p,hsa-mir-942-5p,7421,1026,1,0.0015,0.023,0.0345,0.0,True,0.0
hsa-mir-34c-3p,hsa-mir-939-5p,7975,23077,1,0.0035,0.3985,0.33,0.0,True,0.0
hsa-mir-20b-3p,hsa-mir-96-5p,8202,9931,1,0.003,0.697,0.748,0.0,True,0.0
hsa-mir-222-3p,hsa-mir-92a-1-5p,860,2195,1,0.0,0.1045,0.0625,0.0,True,0.0
