"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-24-1-5p","hsa-mir-589-3p",27086,"FOXP1",473,"RERE",-1,0.0015,0.111,0.1585,0,0
"hsa-mir-221-3p","hsa-mir-935",3091,"HIF1A",665,"BNIP3L",1,0.006,0.0105,0.121,0,0
"hsa-mir-34a-5p","hsa-mir-625-3p",7003,"TEAD1",667,"DST",1,0,0.5405,0.0265,0,0
"hsa-mir-148a-5p","hsa-mir-19a-3p",2908,"NR3C1",800,"CALD1",1,5e-04,0.0105,0.0425,0,0
"hsa-mir-130b-5p","hsa-mir-192-3p",2908,"NR3C1",800,"CALD1",1,0.003,0.0795,0.0115,0,0
"hsa-mir-33a-5p","hsa-mir-345-5p",571,"BACH1",1021,"CDK6",1,0.0055,0.018,0.017,0,0
"hsa-mir-193b-3p","hsa-mir-20a-5p",6925,"TCF4",1021,"CDK6",1,0,0.076,0.0195,0,0
"hsa-mir-301b-3p","hsa-mir-942-5p",7421,"VDR",1026,"CDKN1A",1,0.0015,0.023,0.0345,0,0
"hsa-mir-130b-3p","hsa-mir-193a-3p",6667,"SP1",1490,"CCN2",1,0.008,0.2545,0.012,0,0
"hsa-mir-497-5p","hsa-mir-708-5p",4609,"MYC",1979,"EIF4EBP2",1,0.001,0.307,0.0755,0,0
"hsa-mir-222-3p","hsa-mir-92a-1-5p",860,"RUNX2",2195,"FAT1",1,0,0.1045,0.0625,0,0
"hsa-mir-30a-5p","hsa-mir-30c-2-3p",367,"AR",3169,"FOXA1",1,0,0.032,0.019,0,0
"hsa-mir-1224-5p","hsa-mir-34b-5p",4609,"MYC",3383,"ICAM1",1,0,0.0465,0.0175,0,0
"hsa-mir-130b-3p","hsa-mir-96-5p",4790,"NFKB1",3659,"IRF1",1,0.0015,0.1245,0.7425,0,0
"hsa-mir-301b-3p","hsa-mir-96-5p",4790,"NFKB1",3659,"IRF1",1,0.008,0.019,0.7755,0,0
"hsa-mir-155-5p","hsa-mir-3613-3p",6772,"STAT1",3796,"KIF2A",1,0,0.9125,0.667,0,0
"hsa-mir-219a-1-3p","hsa-mir-629-5p",2113,"ETS1",4233,"MET",1,0.0015,0.011,0.0195,0,0
"hsa-mir-199a-5p","hsa-mir-421",4790,"NFKB1",6648,"SOD2",1,0.001,0.0155,0.027,0,0
"hsa-mir-296-5p","hsa-mir-9-5p",2099,"ESR1",6667,"SP1",1,5e-04,0.0145,0.339,0,0
"hsa-mir-193b-3p","hsa-mir-320d",6925,"TCF4",6711,"SPTBN1",1,5e-04,0.165,0.1535,0,0
"hsa-mir-155-5p","hsa-mir-34b-5p",4779,"NFE2L1",7296,"TXNRD1",1,0.004,0.134,0.2395,0,0
"hsa-mir-30a-3p","hsa-mir-874-3p",6670,"SP3",7422,"VEGFA",1,0.003,0.2275,0.2605,0,0
"hsa-mir-1270","hsa-mir-874-3p",6667,"SP1",7422,"VEGFA",1,0.004,0.0345,0.24,0,0
"hsa-mir-17-3p","hsa-mir-378a-3p",3725,"JUN",7431,"VIM",1,0.0085,0.041,0.021,0,0
"hsa-let-7c-5p","hsa-mir-18a-5p",4088,"SMAD3",7538,"ZFP36",1,0.0025,0.3415,0.3805,0,0
"hsa-mir-134-5p","hsa-mir-33a-5p",6720,"SREBF1",8660,"IRS2",-1,0.001,0.0235,0.021,0,0
"hsa-mir-20b-3p","hsa-mir-96-5p",8202,"NCOA3",9931,"HELZ",1,0.003,0.697,0.748,0,0
"hsa-mir-154-5p","hsa-mir-33a-5p",27086,"FOXP1",10090,"UST",-1,0,0.0485,0.183,0,0
"hsa-mir-17-3p","hsa-mir-20a-5p",3091,"HIF1A",10370,"CITED2",1,5e-04,0.4405,0.849,0,0
"hsa-mir-221-3p","hsa-mir-222-3p",4801,"NFYB",10434,"LYPLA1",1,5e-04,0.5375,0.1745,0,0
"hsa-mir-135b-5p","hsa-mir-222-3p",2309,"FOXO3",10628,"TXNIP",1,0.001,0.0305,0.209,0,0
"hsa-mir-155-5p","hsa-mir-31-5p",2309,"FOXO3",10628,"TXNIP",1,5e-04,0.011,0.0875,0,0
"hsa-mir-155-5p","hsa-mir-92a-1-5p",6938,"TCF12",10788,"IQGAP2",1,0.009,0.022,0.124,0,0
"hsa-mir-34c-3p","hsa-mir-939-5p",7975,"MAFK",23077,"MYCBP2",1,0.0035,0.3985,0.33,0,0
"hsa-mir-34b-5p","hsa-mir-92b-3p",1820,"ARID3A",23152,"CIC",1,0,0.024,0.017,0,0
"hsa-mir-181c-5p","hsa-mir-181d-5p",3607,"FOXK2",23274,"CLEC16A",1,0.0015,0.2115,0.076,0,0
"hsa-mir-421","hsa-mir-497-5p",1523,"CUX1",23499,"MACF1",1,0,0.101,0.338,0,0
"hsa-mir-33a-5p","hsa-mir-589-3p",4208,"MEF2C",27086,"FOXP1",1,5e-04,0.855,0.684,0,0
"hsa-mir-1270","hsa-mir-33a-5p",6667,"SP1",27430,"MAT2B",1,0.005,0.236,0.011,0,0
"hsa-mir-182-5p","hsa-mir-20a-5p",55145,"THAP1",54880,"BCOR",1,0.0025,0.6065,0.65,0,0
"hsa-mir-181d-5p","hsa-mir-378c",10009,"ZBTB33",55334,"SLC39A9",1,0,0.7285,0.396,0,0
"hsa-mir-20b-5p","hsa-mir-874-3p",2627,"GATA6",90102,"PHLDB2",1,0.004,0.2985,0.047,0,0
