miRNA1,miRNA2,TF1,TF2,Target,ModeOfRegulation1,ModeOfRegulation2,TwoVar_mirna1_tf1,TwoVar_mirna1_target,TwoVar_mirna2_tf2,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-33a-5p,hsa-mir-942-5p,10320,405,23085,1,1,0.0,0.014,0.003,0.355,0.0015,True,0.035768940223341365
hsa-mir-196b-5p,hsa-mir-33a-5p,10320,5452,6793,1,1,0.0005,0.1395,0.0005,0.184,0.0025,True,0.04940772162235732
hsa-mir-33a-5p,hsa-mir-942-5p,10320,6664,23085,1,1,0.0,0.014,0.0,0.355,0.0015,True,0.035768940223341365
hsa-mir-18a-3p,hsa-mir-18a-5p,10765,9935,23002,1,1,0.0005,0.065,0.0,0.018,0.001,True,0.027294360902255642
hsa-let-7f-2-3p,hsa-mir-18a-5p,1385,2099,596,1,1,0.0,0.0275,0.0,0.0135,0.0005,True,0.016664804896710024
hsa-let-7g-3p,hsa-mir-33a-5p,1385,2736,596,1,1,0.001,0.1645,0.0,0.0215,0.0,True,0.0
hsa-let-7g-3p,hsa-mir-19a-3p,1385,3091,2321,1,1,0.0015,0.012,0.0,0.0105,0.002,True,0.04299851939591353
hsa-let-7g-3p,hsa-mir-20a-3p,1385,6774,3569,1,1,0.002,0.2025,0.002,0.012,0.0005,True,0.016664804896710024
hsa-mir-18a-5p,hsa-mir-203a-3p,1385,6774,5743,1,1,0.0,0.03,0.001,0.5245,0.001,True,0.027294360902255642
hsa-let-7f-2-3p,hsa-mir-18a-5p,1385,6774,596,1,1,0.0,0.0275,0.001,0.0135,0.0005,True,0.016664804896710024
hsa-mir-196b-5p,hsa-mir-629-3p,196,6664,861,1,1,0.001,0.137,0.0045,0.021,0.0,True,0.0
hsa-let-7f-2-3p,hsa-mir-18a-5p,2099,1385,596,1,1,0.0,0.0275,0.0,0.0135,0.0005,True,0.016664804896710024
hsa-mir-10a-3p,hsa-mir-18a-5p,2099,2308,4846,1,1,0.0,0.057,0.007,0.067,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-196a-5p,2099,2308,4846,1,1,0.0,0.0735,0.0065,0.3105,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-589-3p,2099,367,4322,1,1,0.0,0.013,0.0,0.571,0.001,True,0.027294360902255642
hsa-mir-335-3p,hsa-mir-589-3p,2099,367,4322,1,1,0.0,0.1845,0.0,0.555,0.001,True,0.027294360902255642
hsa-mir-301a-3p,hsa-mir-30b-5p,2099,4297,2296,1,1,0.0,0.0795,0.0005,0.0275,0.0005,True,0.016664804896710024
hsa-mir-335-3p,hsa-mir-338-5p,2099,5090,5087,1,1,0.0,0.0315,0.003,0.2175,0.0,True,0.0
hsa-mir-18b-5p,hsa-mir-19a-3p,2099,860,4322,1,1,0.0,0.0235,0.0,0.025,0.0005,True,0.016664804896710024
hsa-mir-1180-3p,hsa-mir-335-3p,2113,2099,4846,1,1,0.0,0.0645,0.0,0.3845,0.0,True,0.0
hsa-mir-301a-3p,hsa-mir-570-3p,2113,2099,4846,1,1,0.0,0.2395,0.0025,0.183,0.0015,True,0.035768940223341365
hsa-mir-32-3p,hsa-mir-33a-5p,2113,2736,596,1,1,0.0,0.0555,0.0,0.023,0.001,True,0.027294360902255642
hsa-mir-16-2-3p,hsa-mir-429,2113,3091,5743,1,1,0.0,0.04,0.0085,0.0195,0.0025,True,0.04940772162235732
hsa-mir-429,hsa-mir-629-3p,2113,6664,861,1,1,0.0,0.031,0.0035,0.0175,0.001,True,0.027294360902255642
hsa-mir-1-3p,hsa-mir-196a-5p,2113,6667,355,1,1,0.0,0.4345,0.001,0.13,0.0025,True,0.04940772162235732
hsa-mir-196a-5p,hsa-mir-429,2113,6667,355,1,1,0.0,0.1515,0.0025,0.022,0.0,True,0.0
hsa-mir-196a-5p,hsa-mir-429,2113,6667,4170,1,1,0.0,0.0335,0.0025,0.105,0.0025,True,0.04940772162235732
hsa-mir-31-3p,hsa-mir-625-3p,2115,6667,7402,1,1,0.0005,0.0205,0.0,0.0975,0.0005,True,0.016664804896710024
hsa-mir-31-5p,hsa-mir-625-3p,2115,6667,7402,1,1,0.0015,0.0865,0.001,0.098,0.0,True,0.0
hsa-mir-10a-3p,hsa-mir-18a-5p,2308,2099,4846,1,1,0.001,0.057,0.0,0.067,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-196a-5p,2308,2099,4846,1,1,0.002,0.0735,0.0,0.3105,0.0,True,0.0
hsa-mir-196a-5p,hsa-mir-19a-3p,2308,2099,4846,1,1,0.004,0.3265,0.0,0.2465,0.0005,True,0.016664804896710024
hsa-mir-1180-3p,hsa-mir-942-5p,2308,2113,4846,1,1,0.001,0.037,0.0,0.1385,0.001,True,0.027294360902255642
hsa-mir-135b-5p,hsa-mir-18a-5p,2308,3091,285,1,1,0.0,0.0195,0.0005,0.056,0.0005,True,0.016664804896710024
hsa-mir-18a-5p,hsa-mir-196a-5p,2308,3091,285,1,1,0.002,0.0555,0.0,0.93,0.0025,True,0.04940772162235732
hsa-mir-196a-5p,hsa-mir-19a-3p,2308,3091,285,1,1,0.004,0.9185,0.0,0.201,0.0025,True,0.04940772162235732
hsa-mir-135b-5p,hsa-mir-30c-1-3p,2308,367,901,1,1,0.0,0.0865,0.0015,0.111,0.002,True,0.04299851939591353
hsa-mir-135b-5p,hsa-mir-301a-3p,2308,6667,1030,1,1,0.0,0.0145,0.008,0.019,0.0005,True,0.016664804896710024
hsa-mir-18a-5p,hsa-mir-19a-3p,2355,3091,5329,1,1,0.0065,0.063,0.0,0.125,0.0025,True,0.04940772162235732
hsa-mir-31-3p,hsa-mir-570-3p,23764,7003,667,1,1,0.0005,0.161,0.001,0.0155,0.002,True,0.04299851939591353
hsa-mir-301a-3p,hsa-mir-429,26959,2113,861,1,1,0.007,0.0205,0.0,0.022,0.0025,True,0.04940772162235732
hsa-mir-301b-3p,hsa-mir-499a-5p,26959,6664,861,1,1,0.0,0.0135,0.001,0.0595,0.0025,True,0.04940772162235732
hsa-let-7g-3p,hsa-mir-33a-5p,2736,1385,596,1,1,0.0005,0.1645,0.0,0.0215,0.0,True,0.0
hsa-mir-32-3p,hsa-mir-33a-5p,2736,2113,596,1,1,0.0,0.0555,0.0,0.023,0.001,True,0.027294360902255642
hsa-let-7g-3p,hsa-mir-33a-5p,2736,4286,596,1,1,0.0005,0.1645,0.0,0.0215,0.0,True,0.0
hsa-mir-32-3p,hsa-mir-33a-5p,2736,5241,596,1,1,0.0,0.0555,0.0,0.023,0.001,True,0.027294360902255642
hsa-let-7g-3p,hsa-mir-18b-5p,3091,1385,2321,1,1,0.0095,0.0125,0.003,0.132,0.0005,True,0.016664804896710024
hsa-mir-429,hsa-mir-7-5p,3091,2034,8553,1,1,0.003,0.3515,0.0,0.1105,0.001,True,0.027294360902255642
hsa-mir-135b-5p,hsa-mir-18a-5p,3091,2308,285,1,1,0.0,0.0195,0.0035,0.056,0.0005,True,0.016664804896710024
hsa-mir-18a-5p,hsa-mir-196a-5p,3091,2308,285,1,1,0.0,0.0555,0.0065,0.93,0.0025,True,0.04940772162235732
hsa-mir-429,hsa-mir-7-5p,3091,405,8553,1,1,0.003,0.3515,0.0,0.1105,0.001,True,0.027294360902255642
hsa-mir-196a-5p,hsa-mir-429,3091,6667,4170,1,1,0.0,0.0335,0.0025,0.105,0.0025,True,0.04940772162235732
hsa-mir-196b-5p,hsa-mir-429,3091,6667,5045,1,1,0.0,0.035,0.003,0.3725,0.0005,True,0.016664804896710024
hsa-mir-18a-5p,hsa-mir-19a-3p,3091,6774,3162,1,1,0.0,0.052,0.0075,0.262,0.001,True,0.027294360902255642
hsa-mir-429,hsa-mir-7-5p,3091,7376,8553,1,1,0.003,0.3515,0.0,0.1105,0.001,True,0.027294360902255642
hsa-mir-196b-5p,hsa-mir-629-3p,3516,6664,861,1,1,0.0005,0.137,0.0045,0.021,0.0,True,0.0
hsa-mir-196a-5p,hsa-mir-7-5p,3516,6938,3987,1,1,0.0015,0.011,0.0005,0.0835,0.001,True,0.027294360902255642
hsa-mir-1275,hsa-mir-30b-5p,3662,4094,9267,1,1,0.0,0.0385,0.0,0.9075,0.002,True,0.04299851939591353
hsa-mir-1275,hsa-mir-30b-5p,4094,3662,9267,1,1,0.0005,0.0385,0.0,0.9075,0.002,True,0.04299851939591353
hsa-let-7c-5p,hsa-mir-30b-5p,4094,5090,23150,1,1,0.0,0.9225,0.005,0.0225,0.0005,True,0.016664804896710024
hsa-mir-16-2-3p,hsa-mir-19a-3p,4205,3516,50650,1,1,0.001,0.6265,0.0005,0.016,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-19a-3p,4205,3516,8650,1,1,0.0,0.0245,0.0,0.1675,0.0005,True,0.016664804896710024
hsa-mir-877-5p,hsa-mir-92a-1-5p,4205,3662,640,1,1,0.0005,0.0125,0.009,0.0505,0.001,True,0.027294360902255642
hsa-mir-135b-5p,hsa-mir-629-3p,4205,4772,4739,1,1,0.0,0.523,0.0005,0.055,0.002,True,0.04299851939591353
hsa-mir-92a-1-5p,hsa-mir-940,4205,687,23328,1,1,0.001,0.013,0.001,0.178,0.0015,True,0.035768940223341365
hsa-mir-224-5p,hsa-mir-625-3p,4205,7003,23034,1,1,0.0,0.0145,0.0,0.0145,0.0,True,0.0
hsa-mir-203a-3p,hsa-mir-491-3p,4205,860,56243,1,1,0.007,0.035,0.0085,0.6895,0.0015,True,0.035768940223341365
hsa-mir-135b-5p,hsa-mir-20a-3p,4208,4150,8289,1,1,0.0,0.0505,0.0,0.5085,0.0015,True,0.035768940223341365
hsa-mir-135b-5p,hsa-mir-629-3p,4208,4772,4739,1,1,0.0,0.523,0.0005,0.055,0.002,True,0.04299851939591353
hsa-mir-30c-1-3p,hsa-mir-577,4212,7003,6453,1,1,0.0035,0.037,0.0,0.0155,0.0015,True,0.035768940223341365
hsa-mir-210-3p,hsa-mir-335-3p,4286,2099,596,1,1,0.0005,0.1375,0.0,0.0155,0.001,True,0.027294360902255642
hsa-let-7g-3p,hsa-mir-33a-5p,4286,2736,596,1,1,0.0,0.1645,0.0,0.0215,0.0,True,0.0
hsa-mir-301b-3p,hsa-mir-942-5p,4772,2099,6595,1,1,0.0,0.107,0.0005,0.0215,0.002,True,0.04299851939591353
hsa-mir-135b-5p,hsa-mir-629-3p,4772,4205,4739,1,1,0.0,0.523,0.0005,0.055,0.002,True,0.04299851939591353
hsa-mir-135b-5p,hsa-mir-629-3p,4772,4208,4739,1,1,0.0,0.523,0.0,0.055,0.002,True,0.04299851939591353
hsa-mir-301a-3p,hsa-mir-592,4782,6774,2670,1,1,0.005,0.0225,0.0075,0.014,0.0005,True,0.016664804896710024
hsa-mir-339-5p,hsa-mir-7-5p,5079,7376,9612,1,1,0.0005,0.5205,0.0,0.115,0.0,True,0.0
hsa-let-7c-5p,hsa-mir-30b-5p,5090,4094,23150,1,1,0.0,0.9225,0.0,0.0225,0.0005,True,0.016664804896710024
hsa-mir-10a-3p,hsa-mir-203a-3p,5090,860,26230,1,1,0.001,0.5035,0.006,0.0395,0.0,True,0.0
hsa-mir-32-3p,hsa-mir-33a-5p,5241,2736,596,1,1,0.0,0.0555,0.0,0.023,0.001,True,0.027294360902255642
hsa-mir-33a-5p,hsa-mir-877-3p,5241,2736,596,1,1,0.0,0.02,0.0075,0.019,0.001,True,0.027294360902255642
hsa-mir-196b-5p,hsa-mir-33a-5p,5452,10320,6793,1,1,0.0,0.1395,0.0,0.184,0.0025,True,0.04940772162235732
hsa-mir-224-5p,hsa-mir-592,55810,2309,5290,1,1,0.004,0.0305,0.0,0.093,0.0,True,0.0
hsa-let-7g-3p,hsa-mir-18b-5p,60468,10765,23002,1,1,0.0,0.129,0.0015,0.0755,0.001,True,0.027294360902255642
hsa-let-7g-3p,hsa-mir-19a-3p,60468,4205,50650,1,1,0.0,0.33,0.0,0.014,0.0005,True,0.016664804896710024
hsa-mir-429,hsa-mir-629-3p,6664,2113,861,1,1,0.0,0.031,0.0015,0.0175,0.001,True,0.027294360902255642
hsa-mir-196a-5p,hsa-mir-429,6667,2113,355,1,1,0.001,0.1515,0.0,0.022,0.0,True,0.0
hsa-mir-196a-5p,hsa-mir-429,6667,2113,4170,1,1,0.001,0.0335,0.0,0.105,0.0025,True,0.04940772162235732
hsa-mir-31-3p,hsa-mir-625-3p,6667,2115,7402,1,1,0.005,0.0205,0.0035,0.0975,0.0005,True,0.016664804896710024
hsa-mir-429,hsa-mir-940,6722,2113,1958,1,1,0.0085,0.025,0.0,0.2655,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-19a-3p,6774,3091,3162,1,1,0.0005,0.052,0.0,0.262,0.001,True,0.027294360902255642
hsa-mir-18a-5p,hsa-mir-301a-3p,6774,3091,5743,1,1,0.002,0.0515,0.001,0.0105,0.0,True,0.0
hsa-mir-92a-1-5p,hsa-mir-940,687,4205,23328,1,1,0.0,0.013,0.001,0.178,0.0015,True,0.035768940223341365
hsa-mir-301a-3p,hsa-mir-577,6925,7003,22998,1,1,0.0,0.065,0.0,0.1305,0.002,True,0.04299851939591353
hsa-mir-577,hsa-mir-92a-1-5p,7003,4205,23328,1,1,0.0,0.161,0.0005,0.019,0.0025,True,0.04940772162235732
hsa-mir-142-3p,hsa-mir-362-5p,7003,4205,90627,1,1,0.0025,0.0115,0.0,0.063,0.002,True,0.04299851939591353
hsa-mir-301a-3p,hsa-mir-577,7003,6925,22998,1,1,0.001,0.065,0.0,0.1305,0.002,True,0.04299851939591353
hsa-mir-33a-3p,hsa-mir-503-5p,7003,6938,117583,1,1,0.002,0.0165,0.008,0.7505,0.0015,True,0.035768940223341365
hsa-mir-10a-3p,hsa-mir-203a-3p,860,5090,26230,1,1,0.0045,0.5035,0.0,0.0395,0.0,True,0.0
hsa-mir-144-3p,hsa-mir-219a-5p,8648,2113,50807,1,1,0.0005,0.02,0.002,0.274,0.001,True,0.027294360902255642
hsa-mir-18a-3p,hsa-mir-18a-5p,9935,10765,23002,1,1,0.0,0.065,0.0,0.018,0.001,True,0.027294360902255642
