miRNA1,miRNA2,TF1,TF2,Target,ModeOfRegulation1,ModeOfRegulation2,TwoVar_mirna1_tf1,TwoVar_mirna1_target,TwoVar_mirna2_tf2,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-129-5p,hsa-mir-153-3p,1523,7003,6711,1,1,0.0055,0.09,0.0015,0.0285,0.0015,True,0.032469995521719655
hsa-mir-139-5p,hsa-mir-96-5p,196,6938,8828,1,1,0.002,0.0705,0.0,0.023,0.0005,True,0.016112333333333333
hsa-mir-153-3p,hsa-mir-7-5p,2627,688,3856,1,1,0.0,0.04,0.002,0.039,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-204-5p,405,10765,9686,1,1,0.003,0.0735,0.0,0.2285,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-642a-5p,405,10765,9686,1,1,0.0035,0.0655,0.003,0.331,0.0,True,0.0
hsa-mir-135b-5p,hsa-mir-642a-5p,4205,10765,4627,1,1,0.0,0.013,0.003,0.0145,0.0005,True,0.016112333333333333
hsa-mir-135b-5p,hsa-mir-642a-5p,4208,10765,4627,1,1,0.0,0.013,0.003,0.0145,0.0005,True,0.016112333333333333
hsa-mir-153-3p,hsa-mir-7-5p,5970,688,332,1,1,0.002,0.0105,0.002,0.011,0.001,True,0.025440526315789472
hsa-mir-153-3p,hsa-mir-7-5p,6667,6670,5327,1,1,0.0035,0.0125,0.007,0.027,0.0015,True,0.032469995521719655
hsa-mir-129-5p,hsa-mir-153-3p,6667,6670,6549,1,1,0.0015,0.0625,0.0005,0.013,0.0,True,0.0
hsa-mir-139-3p,hsa-mir-153-3p,6667,6670,6549,1,1,0.003,0.2,0.0,0.0285,0.0,True,0.0
hsa-mir-129-5p,hsa-mir-153-3p,6667,6670,8091,1,1,0.0015,0.098,0.0005,0.0365,0.0005,True,0.016112333333333333
hsa-mir-139-3p,hsa-mir-223-3p,6667,7528,355,1,-1,0.0,0.141,0.0,0.0155,0.0005,True,0.016112333333333333
hsa-mir-153-3p,hsa-mir-7-5p,6670,6667,5327,1,1,0.001,0.0125,0.0005,0.027,0.0015,True,0.032469995521719655
hsa-mir-153-3p,hsa-mir-642a-5p,688,10765,3728,1,1,0.0035,0.091,0.001,0.039,0.0,True,0.0
hsa-mir-153-3p,hsa-mir-7-5p,688,5970,332,1,1,0.0045,0.0105,0.001,0.011,0.001,True,0.025440526315789472
hsa-mir-153-3p,hsa-mir-7-5p,688,6934,332,1,1,0.0045,0.0105,0.0,0.011,0.001,True,0.025440526315789472
hsa-mir-153-3p,hsa-mir-7-5p,6934,688,332,1,1,0.006,0.0105,0.002,0.011,0.001,True,0.025440526315789472
hsa-mir-223-3p,hsa-mir-7-5p,7528,6667,355,-1,1,0.0,0.0415,0.0,0.3355,0.0005,True,0.016112333333333333
hsa-mir-129-5p,hsa-mir-204-5p,860,6664,1009,1,1,0.0025,0.204,0.0,0.114,0.002,True,0.03984913437757626
hsa-mir-129-5p,hsa-mir-135a-5p,860,6664,861,1,1,0.0015,0.227,0.0085,0.041,0.001,True,0.025440526315789472
hsa-mir-129-5p,hsa-mir-204-5p,860,6664,861,1,1,0.0025,0.216,0.0,0.0435,0.0005,True,0.016112333333333333
hsa-mir-33b-5p,hsa-mir-7-5p,861,10320,2533,1,1,0.0,0.125,0.0025,0.0455,0.001,True,0.025440526315789472
