"miRNA1","miRNA2","TF1","hgnc_symbol_tf1","TF2","hgnc_symbol_tf2","Target","hgnc_symbol_target","ModeOfRegulation1","ModeOfRegulation2","TwoVar_mirna1_tf1","TwoVar_mirna1_target","TwoVar_mirna2_tf2","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-153-3p","hsa-mir-7-5p",5970,"RELA",688,"KLF5",332,"BIRC5",1,1,0.002,0.0105,0.002,0.011,0.001,0.0254405263157895
"hsa-mir-153-3p","hsa-mir-7-5p",6934,"TCF7L2",688,"KLF5",332,"BIRC5",1,1,0.006,0.0105,0.002,0.011,0.001,0.0254405263157895
"hsa-mir-153-3p","hsa-mir-7-5p",688,"KLF5",5970,"RELA",332,"BIRC5",1,1,0.0045,0.0105,0.001,0.011,0.001,0.0254405263157895
"hsa-mir-153-3p","hsa-mir-7-5p",688,"KLF5",6934,"TCF7L2",332,"BIRC5",1,1,0.0045,0.0105,0,0.011,0.001,0.0254405263157895
"hsa-mir-223-3p","hsa-mir-7-5p",7528,"YY1",6667,"SP1",355,"FAS",-1,1,0,0.0415,0,0.3355,5e-04,0.0161123333333333
"hsa-mir-139-3p","hsa-mir-223-3p",6667,"SP1",7528,"YY1",355,"FAS",1,-1,0,0.141,0,0.0155,5e-04,0.0161123333333333
"hsa-mir-129-5p","hsa-mir-204-5p",860,"RUNX2",6664,"SOX11",861,"RUNX1",1,1,0.0025,0.216,0,0.0435,5e-04,0.0161123333333333
"hsa-mir-129-5p","hsa-mir-135a-5p",860,"RUNX2",6664,"SOX11",861,"RUNX1",1,1,0.0015,0.227,0.0085,0.041,0.001,0.0254405263157895
"hsa-mir-129-5p","hsa-mir-204-5p",860,"RUNX2",6664,"SOX11",1009,"CDH11",1,1,0.0025,0.204,0,0.114,0.002,0.0398491343775763
"hsa-mir-33b-5p","hsa-mir-7-5p",861,"RUNX1",10320,"IKZF1",2533,"FYB1",1,1,0,0.125,0.0025,0.0455,0.001,0.0254405263157895
"hsa-mir-153-3p","hsa-mir-642a-5p",688,"KLF5",10765,"KDM5B",3728,"JUP",1,1,0.0035,0.091,0.001,0.039,0,0
"hsa-mir-153-3p","hsa-mir-7-5p",2627,"GATA6",688,"KLF5",3856,"KRT8",1,1,0,0.04,0.002,0.039,0,0
"hsa-mir-135b-5p","hsa-mir-642a-5p",4205,"MEF2A",10765,"KDM5B",4627,"MYH9",1,1,0,0.013,0.003,0.0145,5e-04,0.0161123333333333
"hsa-mir-135b-5p","hsa-mir-642a-5p",4208,"MEF2C",10765,"KDM5B",4627,"MYH9",1,1,0,0.013,0.003,0.0145,5e-04,0.0161123333333333
"hsa-mir-153-3p","hsa-mir-7-5p",6670,"SP3",6667,"SP1",5327,"PLAT",1,1,0.001,0.0125,5e-04,0.027,0.0015,0.0324699955217196
"hsa-mir-153-3p","hsa-mir-7-5p",6667,"SP1",6670,"SP3",5327,"PLAT",1,1,0.0035,0.0125,0.007,0.027,0.0015,0.0324699955217196
"hsa-mir-129-5p","hsa-mir-153-3p",6667,"SP1",6670,"SP3",6549,"SLC9A2",1,1,0.0015,0.0625,5e-04,0.013,0,0
"hsa-mir-139-3p","hsa-mir-153-3p",6667,"SP1",6670,"SP3",6549,"SLC9A2",1,1,0.003,0.2,0,0.0285,0,0
"hsa-mir-129-5p","hsa-mir-153-3p",1523,"CUX1",7003,"TEAD1",6711,"SPTBN1",1,1,0.0055,0.09,0.0015,0.0285,0.0015,0.0324699955217196
"hsa-mir-129-5p","hsa-mir-153-3p",6667,"SP1",6670,"SP3",8091,"HMGA2",1,1,0.0015,0.098,5e-04,0.0365,5e-04,0.0161123333333333
"hsa-mir-139-5p","hsa-mir-96-5p",196,"AHR",6938,"TCF12",8828,"NRP2",1,1,0.002,0.0705,0,0.023,5e-04,0.0161123333333333
"hsa-mir-129-5p","hsa-mir-204-5p",405,"ARNT",10765,"KDM5B",9686,"VGLL4",1,1,0.003,0.0735,0,0.2285,0,0
"hsa-mir-129-5p","hsa-mir-642a-5p",405,"ARNT",10765,"KDM5B",9686,"VGLL4",1,1,0.0035,0.0655,0.003,0.331,0,0
