TF,Target,miRNA1,miRNA2,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted,hgnc_symbol_target,hgnc_symbol_tf
196,1495,hsa-mir-199a-3p,hsa-mir-338-3p,1,0,0,0.256,0.042,0.038,0.008,True,0.0435711293985783,CTNNA1,AHR
196,1495,hsa-mir-29a-3p,hsa-mir-766-3p,1,0,0,0.132,0.0245,0.0215,0.002,True,0.0159876185116239,CTNNA1,AHR
367,5768,hsa-mir-27a-5p,hsa-mir-31-5p,1,0,0,0.019,0.016,0.488,0.0025,True,0.0188864454627281,QSOX1,AR
367,3856,hsa-mir-205-5p,hsa-mir-27a-5p,1,5e-04,0,0.2725,0.0245,0.0395,0.003,True,0.0216225067332839,KRT8,AR
367,2065,hsa-mir-30c-2-3p,hsa-mir-31-5p,1,0.0025,0,0.016,0.133,0.0325,0.009,True,0.0473566909837,ERBB3,AR
405,5305,hsa-mir-29b-3p,hsa-mir-362-3p,1,0,0.0015,0.818,0.317,0.113,5e-04,True,0.00533698479680906,PIP4K2A,ARNT
405,23302,hsa-mir-221-3p,hsa-mir-29b-3p,1,0.0025,0,0.636,0.135,0.164,0.0035,True,0.0241922400239575,WSCD1,ARNT
405,23302,hsa-mir-29b-3p,hsa-mir-362-3p,1,0,0.0015,0.818,0.2045,0.0425,0.0045,True,0.0289771752397559,WSCD1,ARNT
639,23092,hsa-mir-32-3p,hsa-mir-944,1,0,0.006,0.6125,0.5285,0.0435,0.0035,True,0.0241922400239575,ARHGAP26,PRDM1
639,23092,hsa-mir-651-5p,hsa-mir-93-3p,1,0,0,0.024,0.655,0.298,0.006,True,0.0356442313879416,ARHGAP26,PRDM1
687,4782,hsa-mir-335-5p,hsa-mir-342-3p,1,0,0.0065,0.1705,0.019,0.0985,0.007,True,0.0397009245323586,NFIC,KLF9
864,6932,hsa-mir-130b-3p,hsa-mir-301b-3p,1,0,0,0,0.051,0.1315,5e-04,True,0.00533698479680906,TCF7,RUNX3
1051,5743,hsa-mir-191-5p,hsa-mir-940,1,0,0,0.002,0.039,0.196,0.0015,True,0.0128561780542146,PTGS2,CEBPB
1316,467,hsa-mir-183-5p,hsa-mir-200b-3p,1,0.004,0,0.002,0.3735,0.224,0.0015,True,0.0128561780542146,ATF3,KLF6
