miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-181c-5p,hsa-mir-181d-5p,10009,55334,1,0.0,0.008,0.0005,0.0305,0.0735,0.002,True,0.013749764963961141
hsa-mir-181c-5p,hsa-mir-181d-5p,10009,80010,1,0.0,0.008,0.0005,0.0765,0.0205,0.0005,True,0.004387988798879888
hsa-mir-19a-3p,hsa-mir-19b-3p,10499,10564,1,0.0025,0.0045,0.0,0.011,0.168,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-19b-3p,10499,2186,1,0.0025,0.0045,0.0,0.069,0.2275,0.0065,True,0.03352424473962619
hsa-mir-181c-5p,hsa-mir-181d-5p,10499,23389,1,0.0,0.0,0.0,0.183,0.059,0.0005,True,0.004387988798879888
hsa-mir-17-5p,hsa-mir-19a-3p,1385,148,1,0.001,0.0015,0.0,0.0805,0.301,0.003,True,0.018756893480584257
hsa-mir-17-5p,hsa-mir-19b-3p,1385,148,1,0.0,0.0025,0.0,0.072,0.163,0.006,True,0.031599207778177894
hsa-mir-181c-5p,hsa-mir-501-5p,1385,148,1,0.0005,0.0,0.5295,0.8985,0.1525,0.0075,True,0.03720154315753773
hsa-mir-19a-3p,hsa-mir-20a-5p,1385,148,1,0.001,0.0,0.0,0.2635,0.342,0.0065,True,0.03352424473962619
hsa-mir-17-5p,hsa-mir-19a-3p,1385,50484,1,0.001,0.0015,0.0,0.02,0.0105,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-19b-3p,1385,50484,1,0.0,0.0025,0.0,0.0105,0.027,0.0,True,0.0
hsa-mir-19a-3p,hsa-mir-20a-5p,1385,5105,1,0.001,0.0,0.0,0.057,0.1325,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-20a-5p,1385,5105,1,0.003,0.0,0.0,0.1365,0.1615,0.0035,True,0.021134633911368016
hsa-mir-363-3p,hsa-mir-421,1523,60685,1,0.0,0.005,0.0035,0.292,0.0185,0.0015,True,0.010942430792252059
hsa-mir-17-5p,hsa-mir-491-5p,1820,6482,1,0.0,0.0,0.7,0.093,0.322,0.001,True,0.007861583945529476
hsa-mir-205-5p,hsa-mir-342-3p,1869,6477,1,0.0,0.0,0.0,0.022,0.429,0.007,True,0.03542223631855141
hsa-mir-191-5p,hsa-mir-192-5p,1958,1499,1,0.0,0.0,0.191,0.5495,0.3725,0.003,True,0.018756893480584257
hsa-mir-2355-3p,hsa-mir-590-3p,1958,2321,1,0.0005,0.0,0.2045,0.823,0.022,0.0095,True,0.044175427905251446
hsa-mir-191-5p,hsa-mir-484,1958,4609,1,0.0,0.0,0.211,0.088,0.144,0.001,True,0.007861583945529476
hsa-mir-183-5p,hsa-mir-760,1958,4665,1,0.0,0.0,0.172,0.0235,0.043,0.0085,True,0.04074752799781481
hsa-mir-191-5p,hsa-mir-484,1958,4790,1,0.0,0.0,0.211,0.1625,0.124,0.0,True,0.0
hsa-mir-191-5p,hsa-mir-625-5p,1958,56034,1,0.0,0.0005,0.0035,0.25,0.45,0.0055,True,0.029634686233574847
hsa-mir-155-5p,hsa-mir-7-5p,196528,22887,1,0.0,0.006,0.0025,0.355,0.018,0.009,True,0.04244646888100612
hsa-mir-20a-3p,hsa-mir-93-3p,1997,1112,1,0.0045,0.0055,0.0,0.067,0.203,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-30b-3p,2034,2321,1,0.0005,0.0005,0.0,0.0305,0.058,0.004,True,0.02337377638676167
hsa-mir-130a-3p,hsa-mir-93-3p,2034,2321,1,0.001,0.0,0.0,0.03,0.2235,0.0025,True,0.01627550263372654
hsa-mir-142-3p,hsa-mir-378a-3p,2099,100133941,-1,0.0,0.0,0.0,0.3955,0.381,0.0005,True,0.004387988798879888
hsa-mir-129-5p,hsa-mir-130a-3p,2099,10693,1,0.0,0.0,0.129,0.041,0.15,0.0035,True,0.021134633911368016
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,1429,1,0.0,0.0,0.0,0.012,0.7025,0.005,True,0.027596389710044657
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,23509,1,0.0,0.0,0.0,0.0145,0.322,0.0025,True,0.01627550263372654
hsa-mir-142-3p,hsa-mir-19b-3p,2099,284565,1,0.0,0.0,0.0,0.121,0.1055,0.007,True,0.03542223631855141
hsa-mir-142-3p,hsa-mir-26b-3p,2099,284565,1,0.0,0.0,0.0,0.181,0.083,0.0,True,0.0
hsa-mir-142-3p,hsa-mir-301a-3p,2099,284565,1,0.0,0.0,0.0005,0.1075,0.314,0.003,True,0.018756893480584257
hsa-mir-17-5p,hsa-mir-18a-5p,2099,284565,1,0.0,0.0,0.0,0.0775,0.02,0.0005,True,0.004387988798879888
hsa-mir-17-5p,hsa-mir-19b-3p,2099,284565,1,0.0,0.0,0.0,0.077,0.0835,0.001,True,0.007861583945529476
hsa-mir-18a-5p,hsa-mir-19b-3p,2099,284565,1,0.0,0.0,0.0,0.1265,0.0825,0.0,True,0.0
