"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-101-5p","hsa-mir-7-5p",2353,"FOS",58,"ACTA1",1,0.0095,0,0.0855,0.2805,0.8465,0.001,0.00786158394552947
"hsa-mir-378a-5p","hsa-mir-548b-3p",6667,"SP1",102,"ADAM10",1,0,0,0.0555,0.1315,0.0465,0,0
"hsa-mir-301a-3p","hsa-mir-484",6925,"TCF4",120,"ADD3",1,0,5e-04,0,0.1,0.045,5e-04,0.00438798879887988
"hsa-mir-181c-5p","hsa-mir-501-5p",1385,"CREB1",148,"ADRA1A",1,5e-04,0,0.5295,0.8985,0.1525,0.0075,0.0372015431575377
"hsa-mir-17-5p","hsa-mir-19a-3p",1385,"CREB1",148,"ADRA1A",1,0.001,0.0015,0,0.0805,0.301,0.003,0.0187568934805842
"hsa-mir-17-5p","hsa-mir-19b-3p",1385,"CREB1",148,"ADRA1A",1,0,0.0025,0,0.072,0.163,0.006,0.0315992077781779
"hsa-mir-19a-3p","hsa-mir-20a-5p",1385,"CREB1",148,"ADRA1A",1,0.001,0,0,0.2635,0.342,0.0065,0.0335242447396262
"hsa-mir-30a-5p","hsa-mir-342-5p",639,"PRDM1",202,"CRYBG1",1,0,0.003,0.1785,0.0515,0.049,0,0
"hsa-mir-135b-5p","hsa-mir-324-5p",2308,"FOXO1",285,"ANGPT2",1,0,0,0.003,0.0345,0.057,0.005,0.0275963897100447
"hsa-mir-324-5p","hsa-mir-96-5p",2308,"FOXO1",285,"ANGPT2",1,0,0,0.051,0.0605,0.0105,0.0025,0.0162755026337265
"hsa-mir-20a-5p","hsa-mir-503-5p",4779,"NFE2L1",406,"BMAL1",1,0.0025,0.0045,0.611,0.017,0.707,0,0
"hsa-mir-766-3p","hsa-mir-92a-1-5p",4779,"NFE2L1",406,"BMAL1",1,0.002,0.004,0.2495,0.039,0.045,0.0015,0.010942430792252
"hsa-mir-326","hsa-mir-511-5p",51341,"ZBTB7A",491,"ATP2B2",-1,0,0,0.022,0.662,0.0175,5e-04,0.00438798879887988
"hsa-mir-18a-5p","hsa-mir-501-3p",6774,"STAT3",604,"BCL6",1,0,0,0.2085,0.0125,0.017,0,0
"hsa-mir-106a-5p","hsa-mir-20b-5p",2908,"NR3C1",632,"BGLAP",-1,0.0035,0.003,0.2345,0.592,0.016,0,0
"hsa-mir-17-5p","hsa-mir-429",2908,"NR3C1",632,"BGLAP",-1,0,0,5e-04,0.05,0.2195,0.0015,0.010942430792252
"hsa-mir-106a-5p","hsa-mir-342-3p",6886,"TAL1",719,"C3AR1",1,0,0.0015,0.0145,0.062,0.2385,0.0015,0.010942430792252
"hsa-mir-301a-3p","hsa-mir-590-3p",2908,"NR3C1",800,"CALD1",1,0,0.001,0.0055,0.011,0.0215,0.002,0.0137497649639611
"hsa-mir-183-5p","hsa-mir-7-5p",2353,"FOS",1026,"CDKN1A",1,0,0,0.098,0.011,0.2375,0.0015,0.010942430792252
"hsa-mir-410-3p","hsa-mir-7-5p",6667,"SP1",1027,"CDKN1B",1,0.001,5e-04,0.087,0.014,0.335,0.0015,0.010942430792252
"hsa-mir-20a-3p","hsa-mir-93-3p",1997,"ELF1",1112,"FOXN3",1,0.0045,0.0055,0,0.067,0.203,0,0
"hsa-mir-301a-3p","hsa-mir-454-3p",2355,"FOSL2",1233,"CCR4",1,0,0,0,0.341,0.1205,0.0075,0.0372015431575377
"hsa-mir-223-5p","hsa-mir-27a-5p",367,"AR",1376,"CPT2",1,0.004,0,0.892,0.1295,0.03,0.0085,0.0407475279978148
"hsa-mir-410-3p","hsa-mir-7-5p",6667,"SP1",1386,"ATF2",1,0.001,5e-04,0.087,0.0155,0.0645,0.0085,0.0407475279978148
"hsa-mir-301a-3p","hsa-mir-429",6667,"SP1",1386,"ATF2",1,0.0065,0.0025,0.1635,0.0255,0.024,0.009,0.0424464688810061
"hsa-mir-19a-3p","hsa-mir-19b-3p",2099,"ESR1",1429,"CRYZ",1,0,0,0,0.012,0.7025,0.005,0.0275963897100447
"hsa-mir-191-5p","hsa-mir-192-5p",1958,"EGR1",1499,"CTNNB1",1,0,0,0.191,0.5495,0.3725,0.003,0.0187568934805842
"hsa-mir-19a-3p","hsa-mir-19b-3p",10499,"NCOA2",2186,"BPTF",1,0.0025,0.0045,0,0.069,0.2275,0.0065,0.0335242447396262
"hsa-mir-2355-3p","hsa-mir-590-3p",1958,"EGR1",2321,"FLT1",1,5e-04,0,0.2045,0.823,0.022,0.0095,0.0441754279052514
"hsa-mir-338-3p","hsa-mir-96-5p",3091,"HIF1A",2321,"FLT1",1,0,5e-04,0.5025,0.164,0.0425,5e-04,0.00438798879887988
"hsa-mir-130a-3p","hsa-mir-93-3p",2034,"EPAS1",2321,"FLT1",1,0.001,0,0,0.03,0.2235,0.0025,0.0162755026337265
"hsa-mir-130a-3p","hsa-mir-30b-3p",2034,"EPAS1",2321,"FLT1",1,5e-04,5e-04,0,0.0305,0.058,0.004,0.0233737763867617
"hsa-mir-342-5p","hsa-mir-766-3p",3205,"HOXA9",2690,"GHR",1,0,0.008,0,0.0325,0.013,0,0
"hsa-mir-20a-5p","hsa-mir-494-3p",4780,"NFE2L2",2729,"GCLC",1,0,0,0.077,0.3645,0.755,0,0
"hsa-mir-150-3p","hsa-mir-155-5p",4602,"MYB",2944,"GSTM1",1,0,0,0,0.1125,0.5275,0.007,0.0354222363185514
"hsa-mir-155-5p","hsa-mir-215-5p",4602,"MYB",2944,"GSTM1",1,0,0.001,0.008,0.547,0.2955,0.0075,0.0372015431575377
"hsa-mir-196a-5p","hsa-mir-550a-3p",4782,"NFIC",3291,"HSD11B2",1,0,0,0.0105,0.1035,0.2115,0.0085,0.0407475279978148
"hsa-mir-221-5p","hsa-mir-223-5p",4782,"NFIC",3291,"HSD11B2",1,0,0.001,0.017,0.0185,0.0135,5e-04,0.00438798879887988
"hsa-mir-183-5p","hsa-mir-935",2308,"FOXO1",3553,"IL1B",1,0,0.0055,0.5405,0.073,0.0455,0.001,0.00786158394552947
"hsa-mir-148b-5p","hsa-mir-193b-5p",6938,"TCF12",3709,"ITPR2",1,0,0.001,0.01,0.09,0.7975,0.0085,0.0407475279978148
"hsa-mir-19b-3p","hsa-mir-20a-5p",4782,"NFIC",3725,"JUN",1,0,0,0,0.0215,0.382,0.004,0.0233737763867617
"hsa-mir-130a-3p","hsa-mir-19a-3p",2099,"ESR1",3880,"KRT19",1,0,0,0,0.0885,0.0105,5e-04,0.00438798879887988
"hsa-mir-142-3p","hsa-mir-192-5p",2099,"ESR1",4151,"MB",1,0,0,0,0.016,0.1085,0.0095,0.0441754279052514
"hsa-mir-184","hsa-mir-185-3p",4609,"MYC",4152,"MBD1",1,0,0.006,0.029,0.0245,0.0265,0.0045,0.0255321026768395
"hsa-mir-130b-3p","hsa-mir-17-5p",26959,"HBP1",4282,"MIF",-1,0,0,0,0.2245,0.0175,0.001,0.00786158394552947
"hsa-mir-130b-3p","hsa-mir-19b-3p",26959,"HBP1",4282,"MIF",-1,0,0,5e-04,0.199,0.1195,0.001,0.00786158394552947
"hsa-mir-203a-3p","hsa-mir-9-5p",26959,"HBP1",4282,"MIF",-1,5e-04,5e-04,0.0455,0.287,0.079,0.0025,0.0162755026337265
"hsa-mir-130b-3p","hsa-mir-96-5p",26959,"HBP1",4282,"MIF",-1,0,0.0095,0.004,0.204,0.184,0,0
"hsa-mir-19b-3p","hsa-mir-505-5p",860,"RUNX2",4322,"MMP13",1,0,0.004,0.0235,0.088,0.301,0.0015,0.010942430792252
"hsa-mir-17-5p","hsa-mir-19b-3p",2355,"FOSL2",4322,"MMP13",1,0,0,0.0395,0.1115,0.072,0.002,0.0137497649639611
"hsa-mir-550a-5p","hsa-mir-590-3p",2355,"FOSL2",4322,"MMP13",1,0.005,0,0.0945,0.097,0.1785,0.001,0.00786158394552947
"hsa-mir-17-5p","hsa-mir-19a-3p",2355,"FOSL2",4322,"MMP13",1,0,0,0.0315,0.1035,0.0145,0,0
"hsa-mir-184","hsa-mir-199a-5p",4609,"MYC",4335,"MNT",1,0,5e-04,0.483,0.06,0.9225,0.002,0.0137497649639611
"hsa-mir-191-5p","hsa-mir-484",1958,"EGR1",4609,"MYC",1,0,0,0.211,0.088,0.144,0.001,0.00786158394552947
"hsa-mir-183-5p","hsa-mir-760",1958,"EGR1",4665,"NAB2",1,0,0,0.172,0.0235,0.043,0.0085,0.0407475279978148
"hsa-mir-191-5p","hsa-mir-484",1958,"EGR1",4790,"NFKB1",1,0,0,0.211,0.1625,0.124,0,0
"hsa-let-7c-5p","hsa-mir-214-3p",7020,"TFAP2A",4832,"NME3",1,0,0.001,0.231,0.0865,0.2645,5e-04,0.00438798879887988
"hsa-mir-148a-3p","hsa-mir-23a-5p",51341,"ZBTB7A",4851,"NOTCH1",-1,0,0,0.0055,0.305,0.043,0.001,0.00786158394552947
"hsa-mir-204-5p","hsa-mir-411-5p",3607,"FOXK2",5093,"PCBP1",1,0,0,0.7745,0.122,0.0465,0.004,0.0233737763867617
"hsa-mir-19a-3p","hsa-mir-20a-5p",1385,"CREB1",5105,"PCK1",1,0.001,0,0,0.057,0.1325,0,0
"hsa-mir-19b-3p","hsa-mir-20a-5p",1385,"CREB1",5105,"PCK1",1,0.003,0,0,0.1365,0.1615,0.0035,0.021134633911368
"hsa-mir-331-3p","hsa-mir-532-3p",5089,"PBX2",5287,"PIK3C2B",1,0,5e-04,0.0045,0.1825,0.077,0,0
"hsa-mir-532-3p","hsa-mir-766-3p",5089,"PBX2",5287,"PIK3C2B",1,0.001,0,0.0035,0.057,0.5465,0.0045,0.0255321026768395
"hsa-mir-19a-3p","hsa-mir-19b-3p",860,"RUNX2",5305,"PIP4K2A",1,0,0,0,0.0545,0.105,0.002,0.0137497649639611
"hsa-mir-155-5p","hsa-mir-7-5p",6938,"TCF12",5362,"PLXNA2",1,0,0,5e-04,0.34,0.024,0.001,0.00786158394552947
"hsa-mir-135b-5p","hsa-mir-505-5p",860,"RUNX2",5468,"PPARG",1,0.001,0.007,0.001,0.0365,0.026,0,0
"hsa-mir-135b-5p","hsa-mir-19a-3p",860,"RUNX2",5468,"PPARG",1,0,0,0.0025,0.039,0.0115,0.0045,0.0255321026768395
"hsa-mir-326","hsa-mir-766-3p",51341,"ZBTB7A",5727,"PTCH1",-1,0,0,0,0.3245,0.0465,0.0035,0.021134633911368
"hsa-mir-148a-3p","hsa-mir-9-3p",4790,"NFKB1",5744,"PTHLH",1,0,0,0.771,0.12,0.848,0.003,0.0187568934805842
"hsa-mir-142-3p","hsa-mir-192-5p",2099,"ESR1",5793,"PTPRG",1,0,0,0,0.0145,0.0185,0.0015,0.010942430792252
"hsa-mir-16-2-3p","hsa-mir-184",4609,"MYC",6134,"RPL10",1,0.0035,0,0.0545,0.0385,0.1835,0.002,0.0137497649639611
"hsa-mir-16-2-3p","hsa-mir-184",4609,"MYC",6154,"RPL26",1,0.0035,0,0.0545,0.094,0.5685,5e-04,0.00438798879887988
"hsa-mir-16-2-3p","hsa-mir-184",4609,"MYC",6155,"RPL27",1,0.0035,0,0.0545,0.026,0.142,0.0035,0.021134633911368
"hsa-mir-16-2-3p","hsa-mir-184",4609,"MYC",6157,"RPL27A",1,0.0035,0,0.0545,0.4175,0.1855,0.0025,0.0162755026337265
"hsa-mir-16-2-3p","hsa-mir-184",4609,"MYC",6194,"RPS6",1,0.0035,0,0.0545,0.111,0.2445,0.002,0.0137497649639611
"hsa-mir-16-2-3p","hsa-mir-184",4609,"MYC",6223,"RPS19",1,0.0035,0,0.0545,0.3525,0.0265,0,0
"hsa-mir-145-5p","hsa-mir-181c-5p",6772,"STAT1",6229,"RPS24",-1,0.008,0,0.35,0.131,0.0155,5e-04,0.00438798879887988
"hsa-mir-130b-5p","hsa-mir-582-3p",2308,"FOXO1",6342,"SCP2",1,0.0095,0.005,0.014,0.012,0.148,0.0055,0.0296346862335748
"hsa-mir-205-5p","hsa-mir-342-3p",1869,"E2F1",6477,"SIAH1",1,0,0,0,0.022,0.429,0.007,0.0354222363185514
"hsa-mir-17-5p","hsa-mir-491-5p",1820,"ARID3A",6482,"ST3GAL1",1,0,0,0.7,0.093,0.322,0.001,0.00786158394552947
"hsa-mir-651-5p","hsa-mir-7-5p",93986,"FOXP2",6510,"SLC1A5",-1,0.0035,0,0.2205,0.408,0.0475,0,0
"hsa-mir-149-5p","hsa-mir-324-5p",4772,"NFATC1",6595,"SMARCA2",1,0,0,5e-04,0.0135,0.0535,0.005,0.0275963897100447
"hsa-mir-130b-3p","hsa-mir-301a-3p",4090,"SMAD5",6670,"SP3",1,5e-04,0.002,0.0055,0.35,0.073,0.004,0.0233737763867617
"hsa-mir-130b-3p","hsa-mir-301a-3p",2099,"ESR1",6670,"SP3",1,0,0,0,0.35,0.073,0.004,0.0233737763867617
"hsa-mir-338-3p","hsa-mir-92b-3p",2627,"GATA6",6710,"SPTB",1,0,0,0.712,0.0135,0.057,0.006,0.0315992077781779
"hsa-mir-10a-3p","hsa-mir-362-5p",7003,"TEAD1",6711,"SPTBN1",1,0.001,0,0.3095,0.393,0.0265,0.0095,0.0441754279052514
"hsa-mir-136-5p","hsa-mir-26b-3p",7376,"NR1H2",6720,"SREBF1",1,0,0,0.0105,0.2015,0.1375,0.0085,0.0407475279978148
"hsa-mir-136-5p","hsa-mir-939-5p",7376,"NR1H2",6720,"SREBF1",1,0,0,0.511,0.1925,0.0135,5e-04,0.00438798879887988
"hsa-mir-331-3p","hsa-mir-766-3p",5089,"PBX2",6764,"DENND2B",1,0,0,0.0885,0.052,0.4185,0.003,0.0187568934805842
"hsa-mir-153-3p","hsa-mir-425-5p",6591,"SNAI2",6820,"SULT2B1",-1,0.0075,0.007,0.1905,0.1025,0.029,5e-04,0.00438798879887988
"hsa-mir-1180-3p","hsa-mir-148b-5p",2113,"ETS1",6915,"TBXA2R",1,0,0,0.0535,0.452,0.0305,0.002,0.0137497649639611
"hsa-mir-149-5p","hsa-mir-629-3p",4772,"NFATC1",6925,"TCF4",1,0,0,0.0355,0.444,0.085,5e-04,0.00438798879887988
