miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-19a-3p,hsa-mir-33b-5p,10320,139818,1,0.0,0.0005,0.05,0.0495,0.2305,0.003,True,0.03752892316819935
hsa-mir-33a-5p,hsa-mir-33b-5p,10320,23085,1,0.0,0.0025,0.0005,0.0205,0.106,0.0035,True,0.041343137254901956
hsa-mir-33a-5p,hsa-mir-33b-5p,10320,25816,1,0.0,0.0025,0.0005,0.0565,0.9735,0.0,True,0.0
hsa-mir-33a-5p,hsa-mir-33b-5p,10320,57580,1,0.0,0.0025,0.0005,0.0265,0.0445,0.003,True,0.03752892316819935
hsa-mir-33a-5p,hsa-mir-33b-5p,10320,9402,1,0.0,0.0025,0.0005,0.132,0.857,0.004,True,0.04504138851802403
hsa-let-7g-3p,hsa-mir-19a-3p,1385,2321,1,0.002,0.001,0.1505,0.023,0.018,0.0045,True,0.048607838114754096
hsa-let-7g-3p,hsa-mir-33b-5p,1385,2321,1,0.0045,0.0,0.0635,0.0145,0.012,0.001,True,0.017740849810685737
hsa-let-7g-3p,hsa-mir-19a-3p,1385,6770,1,0.002,0.001,0.1505,0.416,0.0225,0.004,True,0.04504138851802403
hsa-mir-19a-3p,hsa-mir-301a-3p,2099,1588,1,0.0,0.0,0.0,0.587,0.141,0.0035,True,0.041343137254901956
hsa-mir-18a-5p,hsa-mir-301a-3p,2099,284565,1,0.0,0.0,0.0,0.419,0.228,0.002,True,0.028667573079537732
hsa-mir-19a-3p,hsa-mir-301a-3p,2099,284565,1,0.0,0.0,0.0,0.4475,0.224,0.0025,True,0.03343640976847447
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,388677,1,0.0,0.0,0.0,0.013,0.014,0.003,True,0.03752892316819935
hsa-mir-18b-5p,hsa-mir-19a-3p,2099,4322,1,0.0,0.0,0.0,0.03,0.02,0.0005,True,0.010427794263105836
hsa-mir-18b-5p,hsa-mir-19a-3p,2099,5054,1,0.0,0.0,0.0,0.042,0.011,0.001,True,0.017740849810685737
hsa-mir-18b-5p,hsa-mir-301a-3p,2099,6595,1,0.0,0.0,0.0295,0.0765,0.022,0.0015,True,0.023576220648527765
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,6667,1,0.0,0.0,0.0,0.055,0.0895,0.0005,True,0.010427794263105836
hsa-mir-19a-3p,hsa-mir-335-3p,2099,6776,1,0.0,0.0,0.011,0.3705,0.327,0.002,True,0.028667573079537732
hsa-mir-1180-3p,hsa-mir-1291,2113,4322,1,0.001,0.005,0.011,0.766,0.2675,0.004,True,0.04504138851802403
hsa-mir-18a-5p,hsa-mir-940,3091,3098,1,0.0,0.0,0.007,0.0145,0.0645,0.0015,True,0.023576220648527765
hsa-mir-18a-5p,hsa-mir-19a-3p,3091,3162,1,0.0005,0.0,0.0,0.045,0.2665,0.001,True,0.017740849810685737
hsa-mir-18b-5p,hsa-mir-19a-3p,3091,5054,1,0.0065,0.0005,0.0015,0.042,0.011,0.001,True,0.017740849810685737
hsa-mir-18a-5p,hsa-mir-19a-3p,3091,6556,1,0.0005,0.0,0.0,0.0195,0.0455,0.0035,True,0.041343137254901956
hsa-mir-18a-5p,hsa-mir-429,3091,8553,1,0.0005,0.0075,0.0,0.7255,0.3565,0.004,True,0.04504138851802403
hsa-mir-30b-5p,hsa-mir-339-5p,3662,22806,1,0.0,0.0,0.0,0.026,0.0205,0.0,True,0.0
hsa-mir-18a-3p,hsa-mir-345-5p,3662,4299,1,0.0045,0.0,0.0055,0.0885,0.047,0.001,True,0.017740849810685737
hsa-mir-339-5p,hsa-mir-345-5p,3662,8837,1,0.0,0.0,0.0035,0.154,0.0135,0.0025,True,0.03343640976847447
hsa-mir-1275,hsa-mir-30b-5p,3662,9267,1,0.0,0.0,0.015,0.0555,0.908,0.0005,True,0.010427794263105836
hsa-mir-16-2-3p,hsa-mir-625-5p,367,10957,1,0.0,0.0,0.071,0.0135,0.2685,0.0005,True,0.010427794263105836
