"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-19a-3p","hsa-mir-301a-3p",2099,"ESR1",1588,"CYP19A1",1,0,0,0,0.587,0.141,0.0035,0.041343137254902
"hsa-mir-362-5p","hsa-mir-570-3p",7003,"TEAD1",1956,"EGFR",1,0,5e-04,0.307,0.9625,0.35,0.0025,0.0334364097684745
"hsa-let-7g-3p","hsa-mir-19a-3p",1385,"CREB1",2321,"FLT1",1,0.002,0.001,0.1505,0.023,0.018,0.0045,0.0486078381147541
"hsa-let-7g-3p","hsa-mir-33b-5p",1385,"CREB1",2321,"FLT1",1,0.0045,0,0.0635,0.0145,0.012,0.001,0.0177408498106857
"hsa-mir-18a-5p","hsa-mir-940",3091,"HIF1A",3098,"HK1",1,0,0,0.007,0.0145,0.0645,0.0015,0.0235762206485278
"hsa-mir-196b-5p","hsa-mir-20a-3p",5452,"POU2F2",3112,"HLA-DOB",1,0,0,5e-04,0.057,0.0125,5e-04,0.0104277942631058
"hsa-mir-18a-5p","hsa-mir-19a-3p",3091,"HIF1A",3162,"HMOX1",1,5e-04,0,0,0.045,0.2665,0.001,0.0177408498106857
"hsa-mir-196b-5p","hsa-mir-20a-3p",6774,"STAT3",3569,"IL6",1,0.0025,0.004,0.533,0.072,0.04,0.0035,0.041343137254902
"hsa-mir-514a-3p","hsa-mir-942-5p",4212,"MEIS2",3757,"KCNH2",1,0,0,0.1275,0.1175,0.033,0.004,0.045041388518024
"hsa-mir-203a-3p","hsa-mir-33a-3p",5090,"PBX3",4134,"MAP4",1,0,0.001,0.013,0.0215,0.056,0.0015,0.0235762206485278
"hsa-mir-18a-3p","hsa-mir-345-5p",3662,"IRF4",4299,"AFF1",1,0.0045,0,0.0055,0.0885,0.047,0.001,0.0177408498106857
"hsa-mir-18b-5p","hsa-mir-19a-3p",2099,"ESR1",4322,"MMP13",1,0,0,0,0.03,0.02,5e-04,0.0104277942631058
"hsa-mir-1180-3p","hsa-mir-1291",2113,"ETS1",4322,"MMP13",1,0.001,0.005,0.011,0.766,0.2675,0.004,0.045041388518024
"hsa-mir-18b-5p","hsa-mir-19a-3p",3091,"HIF1A",5054,"SERPINE1",1,0.0065,5e-04,0.0015,0.042,0.011,0.001,0.0177408498106857
"hsa-mir-18b-5p","hsa-mir-19a-3p",2099,"ESR1",5054,"SERPINE1",1,0,0,0,0.042,0.011,0.001,0.0177408498106857
"hsa-mir-16-1-3p","hsa-mir-570-3p",7003,"TEAD1",6453,"ITSN1",1,0,0.002,0,0.183,0.126,0.002,0.0286675730795377
