miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-18a-5p,hsa-mir-766-3p,2005,5927,1,0.0,0.0055,0.005,0.404,0.011,0.0005,True,0.02018768328445748
hsa-mir-301a-3p,hsa-mir-301b-3p,2099,596,1,0.0,0.0035,0.0,0.1075,0.044,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-301b-3p,2099,8648,1,0.0,0.0005,0.006,0.0855,0.247,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-301b-3p,2099,8648,1,0.0,0.004,0.039,0.069,0.188,0.0,True,0.0
hsa-mir-141-3p,hsa-mir-200a-3p,2908,632,-1,0.0005,0.0,0.0015,0.0225,0.0115,0.0,True,0.0
hsa-mir-130a-3p,hsa-mir-20a-5p,3091,8553,1,0.0,0.0025,0.2215,0.0235,0.029,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-30a-5p,367,10957,1,0.0,0.0,0.011,0.291,0.114,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-381-3p,367,22926,1,0.0,0.0,0.0135,0.035,0.028,0.0,True,0.0
hsa-mir-183-5p,hsa-mir-96-5p,367,3133,1,0.0,0.0,0.0,0.0255,0.0335,0.001,True,0.03345808019441069
hsa-mir-589-3p,hsa-mir-675-3p,367,81563,1,0.005,0.0,0.1165,0.052,0.0185,0.0015,True,0.043615628299894404
hsa-let-7a-2-3p,hsa-mir-139-5p,5451,5450,1,0.0,0.0,0.8995,0.024,0.023,0.001,True,0.03345808019441069
hsa-mir-125a-5p,hsa-mir-30a-5p,5465,3157,1,0.0,0.0005,0.088,0.102,0.153,0.0005,True,0.02018768328445748
hsa-mir-125a-5p,hsa-mir-30a-5p,5465,335,1,0.0,0.0005,0.088,0.03,0.1735,0.0005,True,0.02018768328445748
hsa-mir-181d-5p,hsa-mir-30a-5p,5465,335,1,0.0,0.001,0.0045,0.046,0.177,0.0005,True,0.02018768328445748
hsa-mir-125a-5p,hsa-mir-181c-5p,5465,9415,1,0.0,0.0,0.0,0.0245,0.074,0.001,True,0.03345808019441069
hsa-mir-181c-5p,hsa-mir-30a-5p,5465,9415,1,0.0,0.001,0.051,0.0775,0.4125,0.001,True,0.03345808019441069
hsa-mir-20a-3p,hsa-mir-20a-5p,6774,3586,1,0.002,0.001,0.003,0.3805,0.3455,0.001,True,0.03345808019441069
hsa-mir-17-5p,hsa-mir-20a-5p,6774,5743,1,0.0,0.002,0.0005,0.041,0.021,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-20a-3p,6774,7538,1,0.0,0.0025,0.008,0.022,0.11,0.0005,True,0.02018768328445748
hsa-mir-146a-5p,hsa-mir-382-5p,687,1831,1,0.0,0.0,0.0,0.043,0.019,0.0015,True,0.043615628299894404
hsa-mir-146a-5p,hsa-mir-431-5p,687,323,1,0.0,0.0,0.0,0.045,0.027,0.0,True,0.0
hsa-mir-127-3p,hsa-mir-382-5p,687,5187,1,0.0,0.0,0.0,0.0345,0.0245,0.0,True,0.0
hsa-mir-342-3p,hsa-mir-381-3p,687,5187,1,0.0,0.0,0.0,0.056,0.0105,0.0005,True,0.02018768328445748
hsa-mir-381-3p,hsa-mir-382-5p,687,5187,1,0.0,0.0,0.0,0.013,0.0195,0.0,True,0.0
hsa-mir-378a-3p,hsa-mir-378c,688,332,1,0.0,0.0,0.0055,0.208,0.0315,0.0,True,0.0
hsa-mir-17-5p,hsa-mir-501-5p,9575,8553,1,0.0,0.0,0.1225,0.019,0.5345,0.0015,True,0.043615628299894404
hsa-mir-17-5p,hsa-mir-877-5p,9575,8553,1,0.0,0.004,0.022,0.018,0.0625,0.0,True,0.0
hsa-mir-19b-3p,hsa-mir-877-5p,9575,8553,1,0.0,0.003,0.253,0.223,0.0975,0.0005,True,0.02018768328445748
hsa-mir-20a-5p,hsa-mir-501-5p,9575,8553,1,0.0,0.0,0.4315,0.015,0.574,0.0,True,0.0
hsa-mir-20a-5p,hsa-mir-877-5p,9575,8553,1,0.0,0.006,0.1305,0.0155,0.101,0.0,True,0.0
