"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-146a-5p","hsa-mir-431-5p",687,"KLF9",323,"APBB2",1,0,0,0,0.045,0.027,0,0
"hsa-mir-378a-3p","hsa-mir-378c",688,"KLF5",332,"BIRC5",1,0,0,0.0055,0.208,0.0315,0,0
"hsa-mir-125a-5p","hsa-mir-30a-5p",5465,"PPARA",335,"APOA1",1,0,5e-04,0.088,0.03,0.1735,5e-04,0.0201876832844575
"hsa-mir-181d-5p","hsa-mir-30a-5p",5465,"PPARA",335,"APOA1",1,0,0.001,0.0045,0.046,0.177,5e-04,0.0201876832844575
"hsa-mir-301a-3p","hsa-mir-301b-3p",2099,"ESR1",596,"BCL2",1,0,0.0035,0,0.1075,0.044,0,0
"hsa-mir-141-3p","hsa-mir-200a-3p",2908,"NR3C1",632,"BGLAP",-1,5e-04,0,0.0015,0.0225,0.0115,0,0
"hsa-mir-146a-5p","hsa-mir-382-5p",687,"KLF9",1831,"TSC22D3",1,0,0,0,0.043,0.019,0.0015,0.0436156282998944
"hsa-mir-183-5p","hsa-mir-96-5p",367,"AR",3133,"HLA-E",1,0,0,0,0.0255,0.0335,0.001,0.0334580801944107
"hsa-mir-125a-5p","hsa-mir-30a-5p",5465,"PPARA",3157,"HMGCS1",1,0,5e-04,0.088,0.102,0.153,5e-04,0.0201876832844575
"hsa-mir-20a-3p","hsa-mir-20a-5p",6774,"STAT3",3586,"IL10",1,0.002,0.001,0.003,0.3805,0.3455,0.001,0.0334580801944107
"hsa-mir-127-3p","hsa-mir-382-5p",687,"KLF9",5187,"PER1",1,0,0,0,0.0345,0.0245,0,0
"hsa-mir-342-3p","hsa-mir-381-3p",687,"KLF9",5187,"PER1",1,0,0,0,0.056,0.0105,5e-04,0.0201876832844575
"hsa-mir-381-3p","hsa-mir-382-5p",687,"KLF9",5187,"PER1",1,0,0,0,0.013,0.0195,0,0
"hsa-let-7a-2-3p","hsa-mir-139-5p",5451,"POU2F1",5450,"POU2AF1",1,0,0,0.8995,0.024,0.023,0.001,0.0334580801944107
"hsa-mir-17-5p","hsa-mir-20a-5p",6774,"STAT3",5743,"PTGS2",1,0,0.002,5e-04,0.041,0.021,0,0
"hsa-mir-18a-5p","hsa-mir-766-3p",2005,"ELK4",5927,"KDM5A",1,0,0.0055,0.005,0.404,0.011,5e-04,0.0201876832844575
"hsa-mir-18a-5p","hsa-mir-20a-3p",6774,"STAT3",7538,"ZFP36",1,0,0.0025,0.008,0.022,0.11,5e-04,0.0201876832844575
"hsa-mir-130a-3p","hsa-mir-20a-5p",3091,"HIF1A",8553,"BHLHE40",1,0,0.0025,0.2215,0.0235,0.029,0,0
"hsa-mir-20a-5p","hsa-mir-501-5p",9575,"CLOCK",8553,"BHLHE40",1,0,0,0.4315,0.015,0.574,0,0
"hsa-mir-17-5p","hsa-mir-501-5p",9575,"CLOCK",8553,"BHLHE40",1,0,0,0.1225,0.019,0.5345,0.0015,0.0436156282998944
"hsa-mir-17-5p","hsa-mir-877-5p",9575,"CLOCK",8553,"BHLHE40",1,0,0.004,0.022,0.018,0.0625,0,0
"hsa-mir-19b-3p","hsa-mir-877-5p",9575,"CLOCK",8553,"BHLHE40",1,0,0.003,0.253,0.223,0.0975,5e-04,0.0201876832844575
"hsa-mir-20a-5p","hsa-mir-877-5p",9575,"CLOCK",8553,"BHLHE40",1,0,0.006,0.1305,0.0155,0.101,0,0
"hsa-mir-17-5p","hsa-mir-301b-3p",2099,"ESR1",8648,"NCOA1",1,0,5e-04,0.006,0.0855,0.247,0,0
"hsa-mir-19b-3p","hsa-mir-301b-3p",2099,"ESR1",8648,"NCOA1",1,0,0.004,0.039,0.069,0.188,0,0
"hsa-mir-125a-5p","hsa-mir-181c-5p",5465,"PPARA",9415,"FADS2",1,0,0,0,0.0245,0.074,0.001,0.0334580801944107
"hsa-mir-181c-5p","hsa-mir-30a-5p",5465,"PPARA",9415,"FADS2",1,0,0.001,0.051,0.0775,0.4125,0.001,0.0334580801944107
"hsa-mir-183-5p","hsa-mir-30a-5p",367,"AR",10957,"PNRC1",1,0,0,0.011,0.291,0.114,0,0
"hsa-mir-183-5p","hsa-mir-381-3p",367,"AR",22926,"ATF6",1,0,0,0.0135,0.035,0.028,0,0
"hsa-mir-589-3p","hsa-mir-675-3p",367,"AR",81563,"C1orf21",1,0.005,0,0.1165,0.052,0.0185,0.0015,0.0436156282998944
