"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-135b-5p","hsa-mir-429",4609,"MYC",71,"ACTG1",1,0,0.005,0.036,0.159,0.013,0.001,0.0349576783555018
"hsa-mir-301a-3p","hsa-mir-33a-5p",6667,"SP1",472,"ATM",1,0,0,0.0165,0.1,0.1915,0.0015,0.044340490797546
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",965,"CD58",1,0,0,0,0.2115,0.022,0.0015,0.044340490797546
"hsa-mir-133a-3p","hsa-mir-30c-2-3p",1871,"E2F3",1029,"CDKN2A",1,0,0,0,0.0175,0.153,0.001,0.0349576783555018
"hsa-mir-193b-3p","hsa-mir-20a-5p",6925,"TCF4",1124,"CHN2",1,0.0035,0,0.0225,0.0195,0.118,5e-04,0.021671664167916
"hsa-mir-193b-3p","hsa-mir-29a-5p",6925,"TCF4",1124,"CHN2",1,0.004,0,0.0475,0.0145,0.23,0,0
"hsa-mir-106a-5p","hsa-mir-589-3p",4782,"NFIC",1277,"COL1A1",1,0,0,0.0565,0.3185,0.36,5e-04,0.021671664167916
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",1435,"CSF1",1,0,0,0,0.1305,0.0285,0.0015,0.044340490797546
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",1437,"CSF2",1,0,0,0,0.029,0.0125,0,0
"hsa-mir-203a-3p","hsa-mir-429",6935,"ZEB1",1468,"SLC25A10",-1,0.0015,0,0.012,0.0125,0.6945,0.0015,0.044340490797546
"hsa-mir-130a-3p","hsa-mir-301b-3p",4790,"NFKB1",1508,"CTSB",1,5e-04,0,0.006,0.358,0.018,0.0015,0.044340490797546
"hsa-mir-29a-5p","hsa-mir-29b-3p",3091,"HIF1A",1871,"E2F3",1,5e-04,5e-04,0.0045,0.115,0.052,0,0
"hsa-mir-130a-3p","hsa-mir-301b-3p",6667,"SP1",2114,"ETS2",1,0,5e-04,0.7555,0.2155,0.046,0.0015,0.044340490797546
"hsa-mir-135b-5p","hsa-mir-429",4609,"MYC",3308,"HSPA4",1,0,0.005,0.036,0.466,0.059,0.0015,0.044340490797546
"hsa-mir-301a-3p","hsa-mir-301b-3p",6774,"STAT3",3479,"IGF1",1,0.0015,0,0.0425,0.014,0.0725,5e-04,0.021671664167916
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",3553,"IL1B",1,0,0,0,0.121,0.081,0,0
"hsa-mir-301a-3p","hsa-mir-96-5p",4790,"NFKB1",3553,"IL1B",1,0,0,0,0.1095,0.2255,0.0015,0.044340490797546
"hsa-mir-130a-3p","hsa-mir-301a-3p",6667,"SP1",3673,"ITGA2",1,0,0,0.364,0.1665,0.0855,0,0
"hsa-mir-29a-5p","hsa-mir-301a-3p",6925,"TCF4",4208,"MEF2C",1,0,0.002,0,0.0215,0.011,5e-04,0.021671664167916
"hsa-let-7c-5p","hsa-mir-30a-5p",1820,"ARID3A",4335,"MNT",1,0,0.004,0,0.2245,0.593,0,0
"hsa-mir-18a-5p","hsa-mir-20a-5p",6774,"STAT3",4582,"MUC1",1,0.001,0,0.118,0.116,0.4355,0.001,0.0349576783555018
"hsa-mir-301b-3p","hsa-mir-93-3p",6774,"STAT3",4837,"NNMT",1,0.0015,0.002,0.115,0.216,0.061,0,0
"hsa-mir-130a-3p","hsa-mir-204-5p",6667,"SP1",5581,"PRKCE",-1,0,0.0065,0.1755,0.2465,0.0105,5e-04,0.021671664167916
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",6347,"CCL2",1,0,0,0,0.173,0.03,0,0
"hsa-mir-29b-3p","hsa-mir-429",6667,"SP1",7048,"TGFBR2",1,0.0015,0.0065,0.2995,0.169,0.0555,0,0
"hsa-mir-301a-3p","hsa-mir-301b-3p",4790,"NFKB1",7124,"TNF",1,0,0,0,0.012,0.0315,0,0
