miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-200a-3p,hsa-mir-200b-3p,1316,4627,1,0.0,0.0,0.0,0.0175,0.0365,0.0,True,0.0
hsa-mir-301b-3p,hsa-mir-9-5p,1316,4739,1,0.0,0.0,0.06,0.7195,0.0785,0.0015,True,0.034554833468724615
hsa-mir-200a-3p,hsa-mir-200b-3p,1316,9208,1,0.0,0.0,0.0,0.0165,0.018,0.0015,True,0.034554833468724615
hsa-mir-19a-3p,hsa-mir-19b-3p,1997,4650,1,0.0,0.002,0.028,0.0695,0.1285,0.0,True,0.0
hsa-mir-20a-3p,hsa-mir-616-3p,1997,4650,1,0.0,0.009,0.059,0.695,0.0115,0.0015,True,0.034554833468724615
hsa-mir-19a-3p,hsa-mir-19b-3p,2099,1831,1,0.0,0.0,0.0,0.423,0.0595,0.001,True,0.025850501367365542
hsa-mir-17-5p,hsa-mir-1910-5p,2099,4846,1,0.0,0.0065,0.5375,0.065,0.7265,0.0,True,0.0
hsa-mir-18a-5p,hsa-mir-18b-5p,2099,4846,1,0.0,0.0,0.4575,0.0455,0.0475,0.0005,True,0.015116204690831555
hsa-mir-129-5p,hsa-mir-130b-3p,2099,595,1,0.0005,0.0,0.424,0.582,0.0335,0.0005,True,0.015116204690831555
hsa-mir-200b-3p,hsa-mir-429,2113,1026,1,0.0,0.0,0.0,0.012,0.171,0.0005,True,0.015116204690831555
hsa-mir-200b-3p,hsa-mir-429,2113,1441,1,0.0,0.0,0.0,0.202,0.04,0.001,True,0.025850501367365542
hsa-mir-200b-3p,hsa-mir-429,2113,2078,1,0.0,0.0,0.0,0.0245,0.0195,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-570-3p,2113,285,1,0.0,0.0,0.0565,0.037,0.0225,0.0,True,0.0
hsa-mir-200b-3p,hsa-mir-429,2113,7124,1,0.0,0.0,0.0,0.0235,0.0185,0.0,True,0.0
hsa-mir-200a-3p,hsa-mir-200b-3p,2627,53405,1,0.0005,0.003,0.0,0.018,0.091,0.0015,True,0.034554833468724615
hsa-mir-19a-3p,hsa-mir-19b-3p,3091,2908,1,0.002,0.0005,0.003,0.016,0.026,0.0005,True,0.015116204690831555
hsa-mir-106a-5p,hsa-mir-19a-3p,3091,3553,1,0.0005,0.0,0.071,0.026,0.0975,0.0,True,0.0
hsa-mir-589-3p,hsa-mir-96-5p,367,10957,1,0.0,0.0,0.013,0.022,0.1785,0.0025,True,0.049062283737024225
hsa-mir-106a-5p,hsa-mir-19a-3p,4205,151056,1,0.002,0.002,0.2155,0.0145,0.2175,0.0005,True,0.015116204690831555
hsa-mir-106a-5p,hsa-mir-19a-3p,4205,23291,1,0.002,0.002,0.2155,0.252,0.0285,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-301a-3p,4790,3091,1,0.0,0.0015,0.781,0.1215,0.033,0.0015,True,0.034554833468724615
hsa-mir-9-3p,hsa-mir-9-5p,4790,331,1,0.0,0.0,0.0,0.011,0.011,0.0005,True,0.015116204690831555
hsa-mir-182-5p,hsa-mir-301b-3p,4790,3569,1,0.0,0.0,0.796,0.2395,0.1075,0.0015,True,0.034554833468724615
hsa-mir-9-3p,hsa-mir-9-5p,4790,3726,1,0.0,0.0,0.0,0.018,0.031,0.0,True,0.0
hsa-mir-9-3p,hsa-mir-9-5p,4790,4318,1,0.0,0.0,0.0,0.017,0.0185,0.0015,True,0.034554833468724615
hsa-mir-9-3p,hsa-mir-9-5p,4790,602,1,0.0,0.0,0.0,0.015,0.022,0.0,True,0.0
hsa-mir-130b-3p,hsa-mir-9-5p,4790,9308,1,0.0,0.0,0.5165,0.3335,0.038,0.0005,True,0.015116204690831555
hsa-mir-9-3p,hsa-mir-9-5p,4790,958,1,0.0,0.0,0.0,0.0135,0.0225,0.0025,True,0.049062283737024225
hsa-mir-651-5p,hsa-mir-9-5p,639,2908,1,0.0015,0.003,0.3565,0.015,0.052,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-17-5p,6774,3726,1,0.0015,0.0005,0.0275,0.2055,0.275,0.001,True,0.025850501367365542
hsa-mir-20a-5p,hsa-mir-20b-5p,6774,4615,1,0.008,0.0055,0.9205,0.048,0.014,0.0005,True,0.015116204690831555
hsa-mir-18a-5p,hsa-mir-20a-5p,6774,6288,1,0.0045,0.003,0.1415,0.0175,0.095,0.0005,True,0.015116204690831555
hsa-mir-20a-5p,hsa-mir-20b-5p,6774,7291,1,0.008,0.0055,0.9205,0.081,0.3685,0.002,True,0.04227804696235557
hsa-mir-183-5p,hsa-mir-7-5p,6934,6591,1,0.0,0.0095,0.343,0.3905,0.037,0.0015,True,0.034554833468724615
