"miRNA1","miRNA2","TF","hgnc_symbol_tf","Target","hgnc_symbol_target","ModeOfRegulation","TwoVar_mirna1_tf","TwoVar_mirna2_tf","mirna1mirna2_tf","TwoVar_mirna1_target","TwoVar_mirna2_target","mirna1mirna2_target","BH_pvalues_adjusted"
"hsa-mir-200b-3p","hsa-mir-570-3p",2113,"ETS1",285,"ANGPT2",1,0,0,0.0565,0.037,0.0225,0,0
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",331,"XIAP",1,0,0,0,0.011,0.011,5e-04,0.0151162046908315
"hsa-mir-129-5p","hsa-mir-130b-3p",2099,"ESR1",595,"CCND1",1,5e-04,0,0.424,0.582,0.0335,5e-04,0.0151162046908315
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",602,"BCL3",1,0,0,0,0.015,0.022,0,0
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",958,"CD40",1,0,0,0,0.0135,0.0225,0.0025,0.0490622837370242
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",1026,"CDKN1A",1,0,0,0,0.012,0.171,5e-04,0.0151162046908315
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",1441,"CSF3R",1,0,0,0,0.202,0.04,0.001,0.0258505013673655
"hsa-mir-19a-3p","hsa-mir-19b-3p",2099,"ESR1",1831,"TSC22D3",1,0,0,0,0.423,0.0595,0.001,0.0258505013673655
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",2078,"ERG",1,0,0,0,0.0245,0.0195,0,0
"hsa-mir-651-5p","hsa-mir-9-5p",639,"PRDM1",2908,"NR3C1",1,0.0015,0.003,0.3565,0.015,0.052,0,0
"hsa-mir-19a-3p","hsa-mir-19b-3p",3091,"HIF1A",2908,"NR3C1",1,0.002,5e-04,0.003,0.016,0.026,5e-04,0.0151162046908315
"hsa-mir-130b-3p","hsa-mir-301a-3p",4790,"NFKB1",3091,"HIF1A",1,0,0.0015,0.781,0.1215,0.033,0.0015,0.0345548334687246
"hsa-mir-106a-5p","hsa-mir-19a-3p",3091,"HIF1A",3553,"IL1B",1,5e-04,0,0.071,0.026,0.0975,0,0
"hsa-mir-182-5p","hsa-mir-301b-3p",4790,"NFKB1",3569,"IL6",1,0,0,0.796,0.2395,0.1075,0.0015,0.0345548334687246
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",3726,"JUNB",1,0,0,0,0.018,0.031,0,0
"hsa-mir-106a-5p","hsa-mir-17-5p",6774,"STAT3",3726,"JUNB",1,0.0015,5e-04,0.0275,0.2055,0.275,0.001,0.0258505013673655
"hsa-mir-9-3p","hsa-mir-9-5p",4790,"NFKB1",4318,"MMP9",1,0,0,0,0.017,0.0185,0.0015,0.0345548334687246
"hsa-mir-20a-5p","hsa-mir-20b-5p",6774,"STAT3",4615,"MYD88",1,0.008,0.0055,0.9205,0.048,0.014,5e-04,0.0151162046908315
"hsa-mir-200a-3p","hsa-mir-200b-3p",1316,"KLF6",4627,"MYH9",1,0,0,0,0.0175,0.0365,0,0
"hsa-mir-20a-3p","hsa-mir-616-3p",1997,"ELF1",4650,"MYO9B",1,0,0.009,0.059,0.695,0.0115,0.0015,0.0345548334687246
"hsa-mir-19a-3p","hsa-mir-19b-3p",1997,"ELF1",4650,"MYO9B",1,0,0.002,0.028,0.0695,0.1285,0,0
"hsa-mir-301b-3p","hsa-mir-9-5p",1316,"KLF6",4739,"NEDD9",1,0,0,0.06,0.7195,0.0785,0.0015,0.0345548334687246
"hsa-mir-17-5p","hsa-mir-1910-5p",2099,"ESR1",4846,"NOS3",1,0,0.0065,0.5375,0.065,0.7265,0,0
"hsa-mir-18a-5p","hsa-mir-18b-5p",2099,"ESR1",4846,"NOS3",1,0,0,0.4575,0.0455,0.0475,5e-04,0.0151162046908315
"hsa-mir-18a-5p","hsa-mir-20a-5p",6774,"STAT3",6288,"SAA1",1,0.0045,0.003,0.1415,0.0175,0.095,5e-04,0.0151162046908315
"hsa-mir-183-5p","hsa-mir-7-5p",6934,"TCF7L2",6591,"SNAI2",1,0,0.0095,0.343,0.3905,0.037,0.0015,0.0345548334687246
"hsa-mir-200b-3p","hsa-mir-429",2113,"ETS1",7124,"TNF",1,0,0,0,0.0235,0.0185,0,0
"hsa-mir-20a-5p","hsa-mir-20b-5p",6774,"STAT3",7291,"TWIST1",1,0.008,0.0055,0.9205,0.081,0.3685,0.002,0.0422780469623556
"hsa-mir-200a-3p","hsa-mir-200b-3p",1316,"KLF6",9208,"LRRFIP1",1,0,0,0,0.0165,0.018,0.0015,0.0345548334687246
"hsa-mir-130b-3p","hsa-mir-9-5p",4790,"NFKB1",9308,"CD83",1,0,0,0.5165,0.3335,0.038,5e-04,0.0151162046908315
"hsa-mir-589-3p","hsa-mir-96-5p",367,"AR",10957,"PNRC1",1,0,0,0.013,0.022,0.1785,0.0025,0.0490622837370242
"hsa-mir-106a-5p","hsa-mir-19a-3p",4205,"MEF2A",23291,"FBXW11",1,0.002,0.002,0.2155,0.252,0.0285,0,0
"hsa-mir-200a-3p","hsa-mir-200b-3p",2627,"GATA6",53405,"CLIC5",1,5e-04,0.003,0,0.018,0.091,0.0015,0.0345548334687246
"hsa-mir-106a-5p","hsa-mir-19a-3p",4205,"MEF2A",151056,"PLB1",1,0.002,0.002,0.2155,0.0145,0.2175,5e-04,0.0151162046908315
