miRNA1,miRNA2,TF,Target,ModeOfRegulation,TwoVar_mirna1_tf,TwoVar_mirna2_tf,mirna1mirna2_tf,TwoVar_mirna1_target,TwoVar_mirna2_target,mirna1mirna2_target,BH_rejected,BH_pvalues_adjusted
hsa-mir-106a-5p,hsa-mir-20b-5p,10009,26009,1,0.0,0.0,0.0,0.015,0.382,0.005,True,0.0463670766319773
hsa-mir-106a-5p,hsa-mir-20b-5p,1316,23604,1,0.0,0.0,0.0005,0.0275,0.044,0.0055,True,0.04936904761904762
hsa-mir-106a-5p,hsa-mir-20b-5p,1316,4843,1,0.0,0.0,0.0005,0.148,0.0295,0.0015,True,0.02001769911504425
hsa-let-7g-3p,hsa-mir-106a-5p,1385,5663,1,0.0,0.0,0.033,0.275,0.168,0.0055,True,0.04936904761904762
hsa-mir-20b-5p,hsa-mir-338-3p,3091,1048,1,0.0,0.0,0.003,0.018,0.034,0.005,True,0.0463670766319773
hsa-mir-338-3p,hsa-mir-9-5p,3091,2305,1,0.0,0.0015,0.0145,0.014,0.2315,0.0,True,0.0
hsa-mir-106a-5p,hsa-mir-20b-5p,3091,4843,1,0.0,0.0,0.0,0.148,0.0295,0.0015,True,0.02001769911504425
hsa-mir-20b-3p,hsa-mir-33a-3p,3662,8837,1,0.0095,0.0,0.075,0.2535,0.0375,0.001,True,0.014695652173913044
hsa-mir-205-5p,hsa-mir-31-5p,367,6792,1,0.0,0.0,0.0185,0.6785,0.0155,0.0,True,0.0
hsa-mir-135a-5p,hsa-mir-141-3p,4205,640,1,0.0,0.0,0.0015,0.0375,0.0175,0.0015,True,0.02001769911504425
hsa-mir-135a-5p,hsa-mir-141-3p,4205,6480,1,0.0,0.0,0.0015,0.127,0.027,0.0015,True,0.02001769911504425
hsa-mir-106a-5p,hsa-mir-135a-5p,4205,79712,1,0.0,0.0,0.005,0.2635,0.5035,0.0055,True,0.04936904761904762
hsa-mir-106a-5p,hsa-mir-20b-5p,55810,57545,1,0.0,0.0,0.0,0.0125,0.0355,0.0025,True,0.029086053412462908
hsa-mir-182-5p,hsa-mir-96-5p,6591,56894,-1,0.0,0.0,0.0,0.2985,0.0345,0.0055,True,0.04936904761904762
hsa-mir-149-5p,hsa-mir-3065-5p,6667,10253,1,0.001,0.0,0.5245,0.014,0.012,0.003,True,0.03305902192242833
hsa-mir-149-5p,hsa-mir-20b-5p,6667,1027,1,0.0,0.0,0.009,0.013,0.265,0.0,True,0.0
hsa-mir-149-5p,hsa-mir-3065-5p,6667,148,1,0.001,0.0,0.5245,0.013,0.0205,0.001,True,0.014695652173913044
hsa-mir-20b-5p,hsa-mir-503-5p,6667,3459,1,0.0,0.0,0.0,0.0155,0.1065,0.0005,True,0.008666666666666666
hsa-mir-149-5p,hsa-mir-3065-5p,6667,8714,1,0.001,0.0,0.5245,0.915,0.1695,0.001,True,0.014695652173913044
hsa-mir-106a-5p,hsa-mir-20b-5p,6774,3569,1,0.0,0.0,0.0,0.0615,0.0515,0.001,True,0.014695652173913044
hsa-mir-20b-5p,hsa-mir-33a-3p,6925,23236,1,0.0,0.0,0.0115,0.0365,0.0245,0.002,True,0.02484664131812421
hsa-mir-106a-5p,hsa-mir-20b-5p,6925,57507,1,0.0,0.0,0.0,0.054,0.035,0.0015,True,0.02001769911504425
hsa-mir-106a-5p,hsa-mir-20b-5p,6925,84708,1,0.0,0.0,0.0,0.023,0.03,0.0005,True,0.008666666666666666
hsa-mir-129-5p,hsa-mir-362-3p,7003,5130,1,0.001,0.0015,0.1795,0.5345,0.0435,0.0035,True,0.036574626865671644
hsa-mir-20b-3p,hsa-mir-20b-5p,8202,23613,1,0.0035,0.0,0.0,0.3705,0.034,0.001,True,0.014695652173913044
hsa-mir-106a-5p,hsa-mir-20b-5p,864,6932,1,0.001,0.0045,0.1235,0.0755,0.019,0.0015,True,0.02001769911504425
hsa-mir-33a-3p,hsa-mir-33a-5p,8648,10905,1,0.0035,0.009,0.0055,0.3635,0.122,0.002,True,0.02484664131812421
hsa-mir-33a-3p,hsa-mir-33a-5p,8648,57488,1,0.0035,0.009,0.0055,0.0555,0.0845,0.0,True,0.0
hsa-mir-33a-3p,hsa-mir-33a-5p,8648,6788,1,0.0035,0.009,0.0055,0.023,0.5115,0.0005,True,0.008666666666666666
